# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.90
metadata : {}


# id : NWRW1800000036.90.1.1
‘공격 안받아도 다른나라 공격’일본, 집단적 자위권 허용 추진

‘공격	‘/SS+공격/NNG
보도를 보면, 이 위원회의 보고서는 장래 안전보장 정책과 관련해 “한층 동태적인 평화주의를 채택해야 한다”며 “미국 등 가치관을 공유하는 나라와 안전보장 협력을 심화하기 위해 협력 상대로서 일본의 가치를 높이는 것이 불가피하다”고 쓰고 있다.

보도를	보도/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
이	이/MMD
위원회의	위원회/NNG+의/JKG
보고서는	보고서/NNG+는/JX
장래	장래/NNG
안전보장	안전/NNG+보장/NNG
정책과	정책/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“한층	“/SS+한층/MAG
동태적인	동태/NNG+적/XSN+이/VCP+ㄴ/ETM
평화주의를	평화주의/NNG+를/JKO
채택해야	채택/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“미국	“/SS+미국/NNP
등	등/NNB
가치관을	가치관/NNG+을/JKO
공유하는	공유/NNG+하/XSV+는/ETM
나라와	나라/NNG+와/JKB
협력을	협력/NNG+을/JKO
심화하기	심화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
협력	협력/NNG
상대로서	상대/NNG+로서/JKB
일본의	일본/NNP+의/JKG
가치를	가치/NNG+를/JKO
높이는	높이/VV+는/ETM
것이	것/NNB+이/JKS
불가피하다”고	불가피하/VA+다/EF+”/SS+고/JKQ
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.90.5.2
이어 구체적으로 “집단적 자위권에 관한 해석 등 종래의 제도·관행을 고쳐 안전보장 협력수단의 확충을 꾀해야 한다”고 정리했다.

이어	이어/MAG
구체적으로	구체/NNG+적/XSN+으로/JKB
“집단적	“/SS+집단/NNG+적/XSN
자위권에	자위/NNG+권/XSN+에/JKB
관한	관하/VV+ㄴ/ETM
해석	해석/NNG
등	등/NNB
종래의	종래/NNG+의/JKG
제도·관행을	제도/NNG+·/SP+관행/NNG+을/JKO
고쳐	고치/VV+어/EC
안전보장	안전/NNG+보장/NNG
협력수단의	협력/NNG+수단/NNG+의/JKG
확충을	확충/NNG+을/JKO
꾀해야	꾀하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.90.5.3
<엔에이치케이>는 이 문구가 “지금까지 정부가 취해온 헌법 해석을 바꿔 집단적 자위권의 행사를 인정해야 한다고 요구한 것”이라고 해석했다.

<엔에이치케이>는	</SS+엔에이치케이/NNP+>/SS+는/JX
이	이/MMD
문구가	문구/NNG+가/JKS
“지금까지	“/SS+지금/NNG+까지/JX
정부가	정부/NNG+가/JKS
취해온	취하/VV+아/EC+오/VX+ㄴ/ETM
헌법	헌법/NNG
해석을	해석/NNG+을/JKO
바꿔	바꾸/VV+어/EC
집단적	집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
행사를	행사/NNG+를/JKO
인정해야	인정/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
요구한	요구/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.90.5.4
이 보고서는 6일 노다 총리에게 제출될 것으로 전해졌다.

이	이/MMD
보고서는	보고서/NNG+는/JX
6일	6/SN+일/NNB
노다	노다/NNP
총리에게	총리/NNG+에게/JKB
제출될	제출/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.90.6.1
집단적 자위권이란 ‘자국이 직접 공격을 받지 않은 상황이라도, 자국과 밀접한 관련이 있는 동맹국 등에 대한 무력공격을 실력으로 저지할 수 있는 국제법상의 권리’를 말한다.

집단적	집단/NNG+적/XSN
자위권이란	자위/NNG+권/XSN+이란/JX
‘자국이	‘/SS+자국/NNG+이/JKS
직접	직접/MAG
공격을	공격/NNG+을/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
상황이라도,	상황/NNG+이/VCP+라도/EC+,/SP
자국과	자국/NNG+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관련이	관련/NNG+이/JKS
있는	있/VA+는/ETM
동맹국	동맹국/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
무력공격을	무력/NNG+공격/NNG+을/JKO
실력으로	실력/NNG+으로/JKB
저지할	저지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
국제법상의	국제법/NNG+상/XSN+의/JKG
권리’를	권리/NNG+’/SS+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.90.6.2
일본 정부는 헌법 제9조와 관련해, 일본이 직접 공격을 받을 경우 실력행사에 나서는 개별적 자위권은 인정하는 것으로 해석하면서도 “집단적 자위권은 허용되지 않는 것으로 생각하고 있다”는 견해를 취해왔다.

일본	일본/NNP
정부는	정부/NNG+는/JX
헌법	헌법/NNG
제9조와	제/XPN+9/SN+조/NNB+와/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
일본이	일본/NNP+이/JKS
직접	직접/MAG
공격을	공격/NNG+을/JKO
받을	받/VV+을/ETM
경우	경우/NNG
실력행사에	실력/NNG+행사/NNG+에/JKB
나서는	나서/VV+는/ETM
개별적	개별/NNG+적/XSN
자위권은	자위/NNG+권/XSN+은/JX
인정하는	인정/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
해석하면서도	해석/NNG+하/XSV+면서/EC+도/JX
“집단적	“/SS+집단/NNG+적/XSN
허용되지	허용/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
생각하고	생각/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
견해를	견해/NNG+를/JKO
취해왔다.	취하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.90.7.1
그러나 보수세력은 집단적 자위권의 행사를 헌법이 허용하는 것으로 해석하거나 헌법을 고쳐야 한다고 주장해왔고, 미국은 이를 부추겨왔다.

그러나	그러나/MAJ
보수세력은	보수/NNG+세력/NNG+은/JX
집단적	집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
행사를	행사/NNG+를/JKO
헌법이	헌법/NNG+이/JKS
허용하는	허용/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
해석하거나	해석/NNG+하/XSV+거나/EC
헌법을	헌법/NNG+을/JKO
고쳐야	고치/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장해왔고,	주장/NNG+하/XSV+아/EC+오/VX+았/EP+고/EC+,/SP
미국은	미국/NNP+은/JX
이를	이/NP+를/JKO
부추겨왔다.	부추기/VV+어/EC+오/VX+았/EP+다/EF+./SF


