# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.213
metadata : {}


# id : NWRW1800000036.213.1.1
바람 심상찮더니…강풍에 1명 사망

바람	바람/NNG
사고로	사고/NNG+로/JKB
차량	차량/NNG
8대가	8/SN+대/NNB+가/JKS
부서지고	부서지/VV+고/EC
고압선이	고압선/NNG+이/JKS
끊기면서	끊기/VV+면서/EC
주변	주변/NNG
공장의	공장/NNG+의/JKG
전기	전기/NNG
공급이	공급/NNG+이/JKS
3시간	3/SN+시간/NNB
동안	동안/NNG
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.213.4.3
오전 8시10분께 전북 부안군 위도면 벌금리 해상에 정박중이던 인천선적 27t급 예인선(승선원 2명)과 150t급 건설기계선(승선원 1명)이 강풍에 밀려 충돌하면서 좌초했으나, 인명 피해는 발생하지 않았다.

오전	오전/NNG
8시10분께	8/SN+시/NNB+10/SN+분/NNB+께/XSN
전북	전북/NNP
부안군	부안군/NNP
위도면	위도면/NNP
벌금리	벌금리/NNP
해상에	해상/NNG+에/JKB
정박중이던	정박/NNG+중/NNB+이/VCP+던/ETM
인천선적	인천/NNP+선적/NNG
27t급	27/SN+t/SW+급/NNG
예인선(승선원	예인선/NNG+(/SS+승선원/NNG
2명)과	2/SN+명/NNB+)/SS+과/JC
150t급	150/SN+t/SW+급/NNG
건설기계선(승선원	건설/NNG+기계선/NNG+(/SS+승선원/NNG
1명)이	1/SN+명/NNB+)/SS+이/JKS
강풍에	강풍/NNG+에/JKB
밀려	밀리/VV+어/EC
충돌하면서	충돌/NNG+하/XSV+면서/EC
좌초했으나,	좌초/NNG+하/XSV+았/EP+으나/EC+,/SP
인명	인명/NNG
피해는	피해/NNG+는/JX
발생하지	발생/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.213.4.4
군산해양경찰서는 사고 해역에 3000t급 경비함정을 급파해 안전사고에 대비했다.

군산해양경찰서는	군산해양경찰서/NNP+는/JX
사고	사고/NNG
해역에	해역/NNG+에/JKB
3000t급	3000/SN+t/SW+급/NNG
경비함정을	경비/NNG+함정/NNG+을/JKO
급파해	급파/NNG+하/XSV+아/EC
안전사고에	안전사고/NNG+에/JKB
대비했다.	대비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.213.5.1
제주에선 순간 풍속이 초속 20m가 넘는 강한 바람이 몰아치는 강풍이 불어 비행기 수십편이 결항돼 항공편을 이용하려던 승객들이 큰 불편을 겪었다.

제주에선	제주/NNP+에서/JKB+ㄴ/JX
순간	순간/NNG
풍속이	풍속/NNG+이/JKS
초속	초속/NNG
20m가	20/SN+m/SW+가/JKS
넘는	넘/VV+는/ETM
강한	강하/VA+ㄴ/ETM
바람이	바람/NNG+이/JKS
몰아치는	몰아치/VV+는/ETM
강풍이	강풍/NNG+이/JKS
불어	불/VV+어/EC
비행기	비행기/NNG
수십편이	수십/NR+편/NNB+이/JKS
결항돼	결항/NNG+되/XSV+어/EC
항공편을	항공편/NNG+을/JKO
이용하려던	이용/NNG+하/XSV+려던/ETM
승객들이	승객/NNG+들/XSN+이/JKS
큰	크/VA+ㄴ/ETM
불편을	불편/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.213.5.2
강원 산간과 영동 해안지역엔 이날 대설주의보가 내려졌다.

강원	강원/NNP
산간과	산간/NNG+과/JC
영동	영동/NNP
해안지역엔	해안/NNG+지역/NNG+에/JKB+ㄴ/JX
이날	이날/NNG
대설주의보가	대설/NNG+주의보/NNG+가/JKS
내려졌다.	내려지/VV+었/EP+다/EF+./SF


