# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.382
metadata : {}


# id : NWRW1800000028.382.1.1
여 ‘감세철회 검토’ 청와대서 막았다?

여	여/NNG
개인논평에서	개인/NNG+논평/NNG+에서/JKB
“대기업과	“/SS+대/XPN+기업/NNG+과/JC
부유층	부유/NNG+층/XSN
위주의	위주/NNG+의/JKG
감세는	감세/NNG+는/JX
당·청이	당·청/NNG+이/JKS
목청	목청/NNG
높여	높이/VV+어/EC
외쳤던	외치/VV+었/EP+던/ETM
친서민	친/XPN+서민/NNG
공정사회	공정/NNG+사회/NNG
그	그/MMD
어느	어느/MMD
것에도	것/NNB+에/JKB+도/JX
부합하지	부합/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“나라	“/SS+나라/NNG
곳간을	곳간/NNG+을/JKO
비우고	비우/VV+고/EC
부자들과	부자/NNG+들/XSN+과/JC
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
배를	배/NNG+를/JKO
불리는	불리/VV+는/ETM
것	것/NNB
외에	외/NNB+에/JKB
부자	부자/NNG
감세의	감세/NNG+의/JKG
효과를	효과/NNG+를/JKO
도무지	도무지/MAG
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
없음에도	없/VA+음/ETN+에/JKB+도/JX
이를	이/NP+를/JKO
계속	계속/MAG
유지해야	유지/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장은	주장/NNG+은/JX
견강부회일	견강부회/NNG+이/VCP+ㄹ/ETM
따름”이라고	따름/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.382.6.1
한나라당 기획재정위 소속 의원들조차 극단으로 엇갈렸다.

한나라당	한나라당/NNP
기획재정위	기획/NNG+재정위/NNG
소속	소속/NNG
의원들조차	의원/NNG+들/XSN+조차/JX
극단으로	극단/NNG+으로/JKB
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.382.6.2
권영세·김성식 의원은 “더 이상 감세는 안 된다”고 강조했다.

권영세·김성식	권영세/NNP+·/SP+김성식/NNP
의원은	의원/NNG+은/JX
“더	“/SS+더/MAG
이상	이상/NNG
감세는	감세/NNG+는/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.382.6.3
김 의원은 “이미 8800만원 이상 고소득자들도 그 이하 소득까지는 감세혜택을 보고 있다”며 “재정건전성, 소득재분배 효과 등을 고려할 때 더 이상의 부자감세는 필요없다”고 말했다.

김	김/NNP
의원은	의원/NNG+은/JX
“이미	“/SS+이미/MAG
8800만원	8800/SN+만/NR+원/NNB
이상	이상/NNG
고소득자들도	고소득자/NNG+들/XSN+도/JX
그	그/MMD
이하	이하/NNG
소득까지는	소득/NNG+까지/JX+는/JX
감세혜택을	감세/NNG+혜택/NNG+을/JKO
보고	보/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“재정건전성,	“/SS+재정/NNG+건전/NNG+성/XSN+,/SP
소득재분배	소득/NNG+재/XPN+분배/NNG
효과	효과/NNG
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
더	더/MAG
이상의	이상/NNG+의/JKG
부자감세는	부자/NNG+감세/NNG+는/JX
필요없다”고	필요/NNG+없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.382.7.1
반면 나성린·정양석·강길부·유호일 의원 등은 “이명박 정부 출범 당시 ‘노무현 정부 세금폭탄’에 대한 정책적 대안으로 감세를 통한 경제성장을 약속했다”며 “일시적으로 어렵다고 표를 의식해 물러서거나 기조를 바꿔선 안 된다”고 맞섰다.

반면	반면/NNG
나성린·정양석·강길부·유호일	나성린/NNP+·/SP+정양석/NNP+·/SP+강길부/NNP+·/SP+유호일/NNP
의원	의원/NNG
등은	등/NNB+은/JX
“이명박	“/SS+이명박/NNP
정부	정부/NNG
출범	출범/NNG
당시	당시/NNG
‘노무현	‘/SS+노무현/NNP
세금폭탄’에	세금/NNG+폭탄/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
정책적	정책/NNG+적/XSN
대안으로	대안/NNG+으로/JKB
감세를	감세/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
경제성장을	경제/NNG+성장/NNG+을/JKO
약속했다”며	약속/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“일시적으로	“/SS+일시/NNG+적/XSN+으로/JKB
어렵다고	어렵/VA+다고/EC
표를	표/NNG+를/JKO
의식해	의식/NNG+하/XSV+아/EC
물러서거나	물러서/VV+거나/EC
기조를	기조/NNG+를/JKO
바꿔선	바꾸/VV+어서/EC+ㄴ/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.382.7.2
이한구·이종구 의원 등 일부 기재위원들은 “법인세는 인하하되, 소득세 인하는 유보”하는 ‘절충론’을 제시한다.

이한구·이종구	이한구/NNP+·/SP+이종구/NNP
의원	의원/NNG
등	등/NNB
일부	일부/NNG
기재위원들은	기재/NNG+위원/NNG+들/XSN+은/JX
“법인세는	“/SS+법인세/NNG+는/JX
인하하되,	인하/NNG+하/XSV+되/EC+,/SP
소득세	소득세/NNG
인하는	인하/NNG+는/JX
유보”하는	유보/NNG+”/SS+하/XSV+는/ETM
‘절충론’을	‘/SS+절충/NNG+론/XSN+’/SS+을/JKO
제시한다.	제시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.382.8.1
그러나 한나라당 안팎에선 “선거를 의식해 부자와 서민의 표를 모두 얻으려는 당의 계산과 감세를 통한 경제성장을 주창해온 청와대의 인식차가 빚어낸 딜레마”라는 분석도 나오고 있다.

그러나	그러나/MAJ
한나라당	한나라당/NNP
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
“선거를	“/SS+선거/NNG+를/JKO
의식해	의식/NNG+하/XSV+아/EC
부자와	부자/NNG+와/JC
서민의	서민/NNG+의/JKG
표를	표/NNG+를/JKO
모두	모두/MAG
얻으려는	얻/VV+으려는/ETM
당의	당/NNG+의/JKG
계산과	계산/NNG+과/JC
감세를	감세/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
경제성장을	경제/NNG+성장/NNG+을/JKO
주창해온	주창/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
청와대의	청와대/NNP+의/JKG
인식차가	인식/NNG+차/NNG+가/JKS
빚어낸	빚어내/VV+ㄴ/ETM
딜레마”라는	딜레마/NNG+”/SS+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.382.9.1
한나라당 한 고위당직자는 “안상수 대표도 처음에는 감세 철회에 별다른 이의를 제기하지 않았다”며 “강만수 대통령 경제특보와 청와대 관련 참모 등 윗선에서 태클이 들어온 것 같다”며 감세철회 혼선의 배후로 청와대와 강 특보를 지목했다.

한나라당	한나라당/NNP
한	한/MMN
고위당직자는	고위/NNG+당직자/NNG+는/JX
“안상수	“/SS+안상수/NNP
대표도	대표/NNG+도/JX
처음에는	처음/NNG+에/JKB+는/JX
감세	감세/NNG
철회에	철회/NNG+에/JKB
별다른	별다르/VA+ㄴ/ETM
이의를	이의/NNG+를/JKO
제기하지	제기/NNG+하/XSV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“강만수	“/SS+강만수/NNP
대통령	대통령/NNG
경제특보와	경제/NNG+특보/NNG+와/JC
청와대	청와대/NNP
관련	관련/NNG
참모	참모/NNG
등	등/NNB
윗선에서	윗선/NNG+에서/JKB
태클이	태클/NNG+이/JKS
들어온	들어오/VV+ㄴ/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
감세철회	감세/NNG+철회/NNG
혼선의	혼선/NNG+의/JKG
배후로	배후/NNG+로/JKB
청와대와	청와대/NNP+와/JC
강	강/NNG
특보를	특보/NNG+를/JKO
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.382.9.2
친이명박계 한 핵심 의원도 “감세는 이명박 정부 출범의 핵심 기조”라며 “이 대통령과 청와대도 감세 철회를 반기지 않고 있다”고 전했다.

친이명박계	친/XPN+이명박/NNP+계/XSN
한	한/MMN
핵심	핵심/NNG
의원도	의원/NNG+도/JX
“감세는	“/SS+감세/NNG+는/JX
이명박	이명박/NNP
정부	정부/NNG
출범의	출범/NNG+의/JKG
기조”라며	기조/NNG+”/SS+이/VCP+라며/EC
“이	“/SS+이/NNP
대통령과	대통령/NNG+과/JC
청와대도	청와대/NNP+도/JX
감세	감세/NNG
철회를	철회/NNG+를/JKO
반기지	반기/VV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.382.9.3
강만수 특보는 이날 <헤럴드 경제>와 인터뷰에서 “대통령의 (감세)공약은 국민과의 약속이며 특정 정치인에 의해 쉽게 바뀔 수 있는 사안도 아니다”라며 감세 철회를 반대한다는 뜻을 강조했다.

강만수	강만수/NNP
특보는	특보/NNG+는/JX
이날	이날/NNG
<헤럴드	</SS+헤럴드/NNP
경제>와	경제/NNG+>/SS+와/JKB
인터뷰에서	인터뷰/NNG+에서/JKB
“대통령의	“/SS+대통령/NNG+의/JKG
(감세)공약은	(/SS+감세/NNG+)/SS+공약/NNG+은/JX
국민과의	국민/NNG+과/JKB+의/JKG
약속이며	약속/NNG+이/VCP+며/EC
특정	특정/NNG
정치인에	정치인/NNG+에/JKB
의해	의하/VV+아/EC
쉽게	쉽/VA+게/EC
바뀔	바뀌/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사안도	사안/NNG+도/JX
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
감세	감세/NNG
철회를	철회/NNG+를/JKO
반대한다는	반대/NNG+하/XSV+ㄴ다는/ETM
뜻을	뜻/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


