# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.366
metadata : {}


# id : NWRW1800000056.366.1.1
교육 김상곤, 법무 안경환, 국방 송영무 등 장관 후보 지명

교육	교육/NNG
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
적임자”라고	적임자/NNG+”/SS+라고/JKQ
지명	지명/NNG
이유를	이유/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.366.6.1
송영무 후보자는 대전고, 해군사관학교 27기 출신으로 국방부 합동참모본부 전략기획본부장, 26대 해군 참모총장을 지냈다.

송영무	송영무/NNP
후보자는	후보자/NNG+는/JX
대전고,	대전고/NNP+,/SP
해군사관학교	해군사관학교/NNP
27기	27/SN+기/NNG
출신으로	출신/NNG+으로/JKB
국방부	국방부/NNG
합동참모본부	합동/NNG+참모/NNG+본부/NNG
전략기획본부장,	전략/NNG+기획/NNG+본부장/NNG+,/SP
26대	26/SN+대/NNB
해군	해군/NNG
참모총장을	참모/NNG+총장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.366.6.2
김은경 후보자는 중경고, 고려대 경영학과를 졸업했으며 서울시의회 의원, 대통령 비서실 지속가능발전비서관·민원제안비서관을 역임했다.

김은경	김은경/NNP
후보자는	후보자/NNG+는/JX
중경고,	중경고/NNP+,/SP
고려대	고려대/NNP
경영학과를	경영학과/NNG+를/JKO
졸업했으며	졸업/NNG+하/XSV+았/EP+으며/EC
서울시의회	서울시의회/NNP
의원,	의원/NNG+,/SP
대통령	대통령/NNG
비서실	비서실/NNG
지속가능발전비서관·민원제안비서관을	지속/NNG+가능/NNG+발전/NNG+비서관/NNG+·/SP+민원/NNG+제안/NNG+비서관/NNG+을/JKO
역임했다.	역임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.366.6.3
조대엽 후보자는 안동고, 고려대 사회학과 출신으로, 노 대통령의 후보 시절 싱크탱크인 정책공간 국민성장의 부소장을 맡아 정책 개발을 주도한 바 있다.

조대엽	조대엽/NNP
후보자는	후보자/NNG+는/JX
안동고,	안동고/NNP+,/SP
고려대	고려대/NNP
사회학과	사회학과/NNG
출신으로,	출신/NNG+으로/JKB+,/SP
노	노/NNP
대통령의	대통령/NNG+의/JKG
후보	후보/NNG
시절	시절/NNG
싱크탱크인	싱크탱크/NNG+이/VCP+ㄴ/ETM
정책공간	정책/NNG+공간/NNG
국민성장의	국민/NNG+성장/NNG+의/JKG
부소장을	부소장/NNG+을/JKO
맡아	맡/VV+아/EC
정책	정책/NNG
개발을	개발/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


