# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.311
metadata : {}


# id : NWRW1800000032.311.1.1
대표팀 첫 훈련한 문태종 /“태극마크 보면 엄마 생각나”

대표팀	대표/NNG+팀/NNG
국가대표…”라고	국가/NNG+대표/NNG+…/SE+”/SS+라고/JKQ
말하다가	말/NNG+하/XSV+다가/EC
멋쩍은	멋쩍/VA+은/ETM
웃음을	웃음/NNG+을/JKO
지을	짓/VV+을/ETM
정도로	정도/NNG+로/JKB
아직은	아직/MAG+은/JX
한국말이	한국말/NNG+이/JKS
서툴다.	서툴/VA+다/EF+./SF


# id : NWRW1800000032.311.5.2
하지만 국가대표가 됐다는 자부심은 커 보였다.

하지만	하지만/MAJ
국가대표가	국가/NNG+대표/NNG+가/JKC
됐다는	되/VV+었/EP+다는/ETM
자부심은	자부심/NNG+은/JX
커	크/VA+어/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.311.5.3
그는 “너무나 자랑스럽고 큰 책임감을 느낀다”고 했다.

그는	그/NP+는/JX
“너무나	“/SS+너무나/MAG
자랑스럽고	자랑/NNG+스럽/XSA+고/EC
큰	크/VA+ㄴ/ETM
책임감을	책임감/NNG+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.5.4
특히 “어머니는 우리 형제가 국적을 취득하고 내가 태극마크를 단 것을 매우 자랑스럽게 여기고 계시다”며 “나 역시 자랑스럽게 생각한다”고 말했다.

특히	특히/MAG
“어머니는	“/SS+어머니/NNG+는/JX
우리	우리/NP
형제가	형제/NNG+가/JKS
국적을	국적/NNG+을/JKO
취득하고	취득/NNG+하/XSV+고/EC
내가	내/NP+가/JKS
태극마크를	태극/NNG+마크/NNG+를/JKO
단	달/VV+ㄴ/ETM
것을	것/NNB+을/JKO
매우	매우/MAG
자랑스럽게	자랑/NNG+스럽/XSA+게/EC
여기고	여기/VV+고/EC
계시다”며	계시/VV+다/EF+”/SS+며/EC
“나	“/SS+나/NP
역시	역시/MAG
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.6.1
국제농구연맹(FIBA) 규정에 따라 혼혈선수는 한 명밖에 대표팀에 포함될 수 없지만 문태종은 먼저 귀화한 이승준(삼성), 전태풍(KCC), 그리고 이번에 함께 귀화한 동생 문태영(33·창원 LG)을 제치고 태극마크를 달았다.

국제농구연맹(FIBA)	국제농구연맹/NNP+(/SS+FIBA/SL+)/SS
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
혼혈선수는	혼혈/NNG+선수/NNG+는/JX
한	한/MMN
명밖에	명/NNB+밖에/JX
대표팀에	대표/NNG+팀/NNG+에/JKB
포함될	포함/NNG+되/XSV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
문태종은	문태종/NNP+은/JX
먼저	먼저/MAG
귀화한	귀화/NNG+하/XSV+ㄴ/ETM
이승준(삼성),	이승준/NNP+(/SS+삼성/NNP+)/SS+,/SP
전태풍(KCC),	전태풍/NNP+(/SS+KCC/SL+)/SS+,/SP
그리고	그리고/MAJ
이번에	이번/NNG+에/JKB
함께	함께/MAG
동생	동생/NNG
문태영(33·창원	문태영/NNP+(/SS+33/SN+·/SP+창원/NNP
LG)을	LG/SL+)/SS+을/JKO
제치고	제치/VV+고/EC
태극마크를	태극/NNG+마크/NNG+를/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.6.2
그는 “동생이 무척 부러워하더라”며 “규정상 한 명밖에 안 되지만 동생과 함께 뽑혔다면 더 좋았을 것”이라고 했다.

그는	그/NP+는/JX
“동생이	“/SS+동생/NNG+이/JKS
무척	무척/MAG
부러워하더라”며	부러워하/VV+더라/EF+”/SS+며/EC
“규정상	“/SS+규정/NNG+상/XSN
한	한/MMN
명밖에	명/NNB+밖에/JX
안	안/MAG
되지만	되/VV+지만/EC
동생과	동생/NNG+과/JKB
함께	함께/MAG
뽑혔다면	뽑히/VV+었/EP+다면/EC
더	더/MAG
좋았을	좋/VA+았/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.7.1
자신을 직접 선발한 허재 국가대표 감독에 대해선 “지난 시즌 우승팀 감독이고, 평소 존경한다”며 “대표팀에서도 열정을 쏟아부으리라 믿는다”고 했다.

자신을	자신/NNG+을/JKO
직접	직접/MAG
선발한	선발/NNG+하/XSV+ㄴ/ETM
허재	허재/NNP
국가대표	국가/NNG+대표/NNG
감독에	감독/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“지난	“/SS+지나/VV+ㄴ/ETM
시즌	시즌/NNG
우승팀	우승/NNG+팀/NNG
감독이고,	감독/NNG+이/VCP+고/EC+,/SP
평소	평소/NNG
존경한다”며	존경/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“대표팀에서도	“/SS+대표/NNG+팀/NNG+에서/JKB+도/JX
열정을	열정/NNG+을/JKO
쏟아부으리라	쏟아붓/VV+으리라/EF
믿는다”고	믿/VV+는다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.8.1
허 감독은 “다른 귀화선수도 훌륭하지만 현시점에선 전문 슈터가 필요해 문태종을 선발했다”고 말했다.

허	허/NNP
감독은	감독/NNG+은/JX
“다른	“/SS+다른/MMD
귀화선수도	귀화/NNG+선수/NNG+도/JX
훌륭하지만	훌륭하/VA+지만/EC
현시점에선	현시점/NNG+에서/JKB+ㄴ/JX
전문	전문/NNG
슈터가	슈터/NNG+가/JKS
필요해	필요/NNG+하/XSA+아/EC
문태종을	문태종/NNP+을/JKO
선발했다”고	선발/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.8.2
대표팀은 9월 중국 우한에서 열리는 아시아선수권대회에서 우승해야 올림픽 출전권을 딴다.

대표팀은	대표/NNG+팀/NNG+은/JX
9월	9/SN+월/NNB
중국	중국/NNP
우한에서	우한/NNP+에서/JKB
열리는	열리/VV+는/ETM
아시아선수권대회에서	아시아/NNP+선수/NNG+권/XSN+대회/NNG+에서/JKB
우승해야	우승/NNG+하/XSV+아야/EC
올림픽	올림픽/NNG
출전권을	출전/NNG+권/XSN+을/JKO
딴다.	따/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.311.8.3
허 감독은 “1996년 이후 올림픽에 출전하지 못했는데 이번에는 꼭 티켓을 따겠다”고 강조했다.

허	허/NNP
감독은	감독/NNG+은/JX
“1996년	“/SS+1996/SN+년/NNB
이후	이후/NNG
올림픽에	올림픽/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
못했는데	못하/VX+았/EP+는데/EC
이번에는	이번/NNG+에/JKB+는/JX
꼭	꼭/MAG
티켓을	티켓/NNG+을/JKO
따겠다”고	따/VV+겠/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.311.9.1
첫 훈련을 마친 문태종은 “아직 중국이나 중동 국가에 대한 정보는 많지 않지만 다른 나라에 뒤지지 않는 농구를 보여주겠다”고 의지를 다졌다.

첫	첫/MMN
훈련을	훈련/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
문태종은	문태종/NNP+은/JX
“아직	“/SS+아직/MAG
중국이나	중국/NNP+이나/JC
중동	중동/NNP
국가에	국가/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보는	정보/NNG+는/JX
많지	많/VA+지/EC
않지만	않/VX+지만/EC
다른	다른/MMD
나라에	나라/NNG+에/JKB
뒤지지	뒤지/VV+지/EC
않는	않/VX+는/ETM
농구를	농구/NNG+를/JKO
보여주겠다”고	보이/VV+어/EC+주/VX+겠/EP+다/EF+”/SS+고/JKQ
의지를	의지/NNG+를/JKO
다졌다.	다지/VV+었/EP+다/EF+./SF


