# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.353
metadata : {}


# id : NWRW1800000024.353.1.1
시청서 단식농성 장애인단체 간부 등 3명 영장 신청 /인정사정 없는 울산시, 한발 더나간 경찰

시청서	시청/NNG+서/JKB
것이	것/NNB+이/JKS
이번	이번/NNG
사태의	사태/NNG+의/JKG
빌미가	빌미/NNG+가/JKC
됐기	되/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.353.5.1
연행 당시 시 직원 100여명은 신관 1층 복도에서 농성중이던 10여명을 에워싸고 강제로 끌어내기도 했으며, 복지여성국장실에서 단식농성을 벌인 5명이 폭력을 행사하지 않았는데도 경찰 병력을 요청해 되레 일을 키웠다는 비판이 나오고 있다.

연행	연행/NNG
당시	당시/NNG
시	시/NNG
직원	직원/NNG
100여명은	100/SN+여/XSN+명/NNB+은/JX
신관	신관/NNG
1층	1/SN+층/NNG
복도에서	복도/NNG+에서/JKB
농성중이던	농성/NNG+중/NNB+이/VCP+던/ETM
10여명을	10/SN+여/XSN+명/NNB+을/JKO
에워싸고	에워싸/VV+고/EC
강제로	강제/NNG+로/JKB
끌어내기도	끌어내/VV+기/ETN+도/JX
했으며,	하/VX+았/EP+으며/EC+,/SP
복지여성국장실에서	복지/NNG+여성/NNG+국장실/NNG+에서/JKB
단식농성을	단식/NNG+농성/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
5명이	5/SN+명/NNB+이/JKS
폭력을	폭력/NNG+을/JKO
행사하지	행사/NNG+하/XSV+지/EC
않았는데도	않/VX+았/EP+는데/EC+도/JX
경찰	경찰/NNG
병력을	병력/NNG+을/JKO
요청해	요청/NNG+하/XSV+아/EC
되레	되레/MAG
일을	일/NNG+을/JKO
키웠다는	키우/VV+었/EP+다는/ETM
비판이	비판/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.353.6.1
한편, 시가 사흘째 주차장에서 신관으로 연결되는 통로를 막고 신관 정문으로만 다니도록 하고, 정문 앞에서는 민원인 등에게 일일이 신분증 제시를 요구해 시민들의 불편도 커지고 있다.

한편,	한편/MAG+,/SP
시가	시/NNG+가/JKS
사흘째	사흘/NNG+째/XSN
주차장에서	주차장/NNG+에서/JKB
신관으로	신관/NNG+으로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
통로를	통로/NNG+를/JKO
막고	막/VV+고/EC
신관	신관/NNG
정문으로만	정문/NNG+으로/JKB+만/JX
다니도록	다니/VV+도록/EC
하고,	하/VV+고/EC+,/SP
정문	정문/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
민원인	민원인/NNG
등에게	등/NNB+에게/JKB
일일이	일일이/MAG
신분증	신분증/NNG
제시를	제시/NNG+를/JKO
요구해	요구/NNG+하/XSV+아/EC
시민들의	시민/NNG+들/XSN+의/JKG
불편도	불편/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.353.7.1
엄균용 울산장애인차별철폐연대 집행위원장은 “처음부터 단식농성을 계획한 것이 아니라 연행 당일 시청 출입문을 걸어 잠그면서 자연스럽게 농성으로 이어졌으며, 협상 대표단의 단식농성도 계획된 것이 아니었다”며 “협상 대표단을 사법처리하는 경우는 어디에도 없다”고 주장했다.

엄균용	엄균용/NNP
울산장애인차별철폐연대	울산/NNP+장애인/NNG+차별/NNG+철폐/NNG+연대/NNG
집행위원장은	집행/NNG+위원장/NNG+은/JX
“처음부터	“/SS+처음/NNG+부터/JX
단식농성을	단식/NNG+농성/NNG+을/JKO
계획한	계획/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
연행	연행/NNG
당일	당일/NNG
시청	시청/NNG
출입문을	출입문/NNG+을/JKO
걸어	걸/VV+어/EC
잠그면서	잠그/VV+면서/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
농성으로	농성/NNG+으로/JKB
이어졌으며,	이어지/VV+었/EP+으며/EC+,/SP
협상	협상/NNG
대표단의	대표단/NNG+의/JKG
단식농성도	단식/NNG+농성/NNG+도/JX
계획된	계획/NNG+되/XSV+ㄴ/ETM
아니었다”며	아니/VCN+었/EP+다/EF+”/SS+며/EC
“협상	“/SS+협상/NNG
대표단을	대표단/NNG+을/JKO
사법처리하는	사법/NNG+처리/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
어디에도	어디/NP+에/JKB+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.353.8.1
시 관계자는 “대화로 문제를 해결하려고 했으나 일부 강성 대표들이 무리한 답변을 요구해 불미스런 일이 일어났다”고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
“대화로	“/SS+대화/NNG+로/JKB
문제를	문제/NNG+를/JKO
해결하려고	해결/NNG+하/XSV+려고/EC
했으나	하/VX+았/EP+으나/EC
일부	일부/NNG
강성	강성/NNG
대표들이	대표/NNG+들/XSN+이/JKS
무리한	무리/NNG+하/XSV+ㄴ/ETM
답변을	답변/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
불미스런	불미/NNG+스럽/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
일어났다”고	일어나/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


