# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.99
metadata : {}


# id : NWRW1800000022.99.1.1
"갈 곳 없어 두둥실~ 부동자금 800조 잡아라";경기회복 노린 상품 앞세워 증권사마다 유치전 한창

"갈	"/SS+가/VV+ㄹ/ETM
파생상품운용본부	파생/NNG+상품/NNG+운용/NNG+본부/NNG
상무는	상무/NNG+는/JX
"미국	"/SS+미국/NNP
정부의	정부/NNG+의/JKG
사상	사상/NNG
유래	유래/NNG
없는	없/VA+는/ETM
유동성	유동/NNG+성/XSN
공급은	공급/NNG+은/JX
향후	향후/NNG
강력한	강력/NNG+하/XSA+ㄴ/ETM
인플레이션을	인플레이션/NNG+을/JKO
발생시킬	발생/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"이러한	"/SS+이러하/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
인플레이션에	인플레이션/NNG+에/JKB
직접	직접/MAG
투자할	투자/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
미국	미국/NNP
CPI를	CPI/SL+를/JKO
기초자산으로	기초/NNG+자산/NNG+으로/JKB
선정하였다"고	선정/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.99.7.1
삼성투신은 원유값 상승분만큼 수익을 주는 '삼성WTI원유파생펀드'를 지난달 20일 내놔 지금까지 51억원을 모았다.

삼성투신은	삼성투신/NNP+은/JX
원유값	원유값/NNG
상승분만큼	상승/NNG+분/XSN+만큼/JKB
수익을	수익/NNG+을/JKO
주는	주/VV+는/ETM
'삼성WTI원유파생펀드'를	'/SS+삼성/NNP+WTI원유파생펀드/NNG+'/SS+를/JKO
지난달	지난달/NNG
20일	20/SN+일/NNB
내놔	내놓/VV+아/EC
지금까지	지금/NNG+까지/JX
51억원을	51/SN+억/NR+원/NNB+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.7.2
경기가 살아나면 바닥권인 원유값이 상승할 것으로 보고 출시한 상품이다.

경기가	경기/NNG+가/JKS
살아나면	살아나/VV+면/EC
바닥권인	바닥/NNG+권/XSN+이/VCP+ㄴ/ETM
원유값이	원유값/NNG+이/JKS
상승할	상승/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
출시한	출시/NNG+하/XSV+ㄴ/ETM
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.99.7.3
지난 22일까지 15.47%의 수익률을 기록 중이다.

지난	지나/VV+ㄴ/ETM
22일까지	22/SN+일/NNB+까지/JX
15.47%의	15/SN+./SP+47/SN+%/SW+의/JKG
수익률을	수익/NNG+률/XSN+을/JKO
기록	기록/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.99.7.4
대우증권은 지난 9일 투자자 자금을 증권사가 녹색성장기업에 알아서 투자해주는 랩어카운트(증권사가 투자금을 알아서 굴리는 상품) 상품을 국내 처음 내놨다.

대우증권은	대우증권/NNP+은/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
투자자	투자자/NNG
자금을	자금/NNG+을/JKO
증권사가	증권사/NNG+가/JKS
녹색성장기업에	녹색/NNG+성장/NNG+기업/NNG+에/JKB
알아서	알/VV+아서/EC
투자해주는	투자/NNG+하/XSV+아/EC+주/VX+는/ETM
랩어카운트(증권사가	랩/NNG+어카운트/NNG+(/SS+증권사/NNG+가/JKS
투자금을	투자금/NNG+을/JKO
굴리는	굴리/VV+는/ETM
상품)	상품/NNG+)/SS
상품을	상품/NNG+을/JKO
국내	국내/NNG
처음	처음/NNG
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.7.5
반응이 좋자 대우증권은 조만간 원유·금·외환 등을 가리지 않고 투자하는 상품도 내놓을 계획이다.

반응이	반응/NNG+이/JKS
좋자	좋/VA+자/EC
대우증권은	대우증권/NNP+은/JX
조만간	조만간/MAG
원유·금·외환	원유/NNG+·/SP+금/NNG+·/SP+외환/NNG
등을	등/NNB+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
투자하는	투자/NNG+하/XSV+는/ETM
상품도	상품/NNG+도/JX
내놓을	내놓/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.99.7.6
현대증권은 테마주(株)에 집중 투자하는 랩어카운트를 구상 중이다.

현대증권은	현대증권/NNP+은/JX
테마주(株)에	테마주/NNG+(/SS+株/SH+)/SS+에/JKB
집중	집중/NNG
투자하는	투자/NNG+하/XSV+는/ETM
랩어카운트를	랩/NNG+어카운트/NNG+를/JKO
구상	구상/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.99.8.1
◆증권사 간 신경전까지 벌어져

◆증권사	◆/SW+증권사/NNG
간	간/NNB
신경전까지	신경전/NNG+까지/JX
벌어져	벌어지/VV+어/EF


# id : NWRW1800000022.99.9.1
작년 주가폭락으로 투자자들에게 원금손실 피해를 입혔던 주가연계증권(ELS)은 요즘 인기 상품으로 변신했다.

작년	작년/NNG
주가폭락으로	주가/NNG+폭락/NNG+으로/JKB
투자자들에게	투자자/NNG+들/XSN+에게/JKB
원금손실	원금/NNG+손실/NNG
피해를	피해/NNG+를/JKO
입혔던	입히/VV+었/EP+던/ETM
주가연계증권(ELS)은	주가/NNG+연계/NNG+증권/NNG+(/SS+ELS/SL+)/SS+은/JX
요즘	요즘/NNG
인기	인기/NNG
상품으로	상품/NNG+으로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.9.2
주가가 상당히 내려가면서 앞으로는 상승할 가능성이 크다는 기대감 때문이다.

주가가	주가/NNG+가/JKS
상당히	상당히/MAG
내려가면서	내려가/VV+면서/EC
앞으로는	앞/NNG+으로/JKB+는/JX
상승할	상승/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
기대감	기대감/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.99.9.3
게다가 이전과 달리 만기 때의 지수나 주가가 가입 당시의 지수나 주가보다 일정 수준 높기만 하면 원금이 보장되는 것이 최근 ELS 상품의 특징이다.

게다가	게다가/MAG
이전과	이전/NNG+과/JKB
달리	달리/MAG
만기	만기/NNG
때의	때/NNG+의/JKG
지수나	지수/NNG+나/JC
주가가	주가/NNG+가/JKS
가입	가입/NNG
당시의	당시/NNG+의/JKG
주가보다	주가/NNG+보다/JKB
일정	일정/NNG
수준	수준/NNG
높기만	높/VA+기/ETN+만/JX
하면	하/VX+면/EC
원금이	원금/NNG+이/JKS
보장되는	보장/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKS
최근	최근/NNG
ELS	ELS/SL
상품의	상품/NNG+의/JKG
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.99.9.4
연 13~20%의 고수익까지 제시된다.

연	연/NNG
13~20%의	13/SN+~/SO+20/SN+%/SW+의/JKG
고수익까지	고/XPN+수익/NNG+까지/JX
제시된다.	제시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.99.9.5
삼성·동양종금·한국·굿모닝신한·한화·우리투자·현대증권 등이 이런 ELS를 경쟁적으로 내놓고 있다.

삼성·동양종금·한국·굿모닝신한·한화·우리투자·현대증권	삼성/NNP+·/SP+동양종금/NNP+·/SP+한국/NNP+·/SP+굿모닝/NNP+신한/NNP+·/SP+한화/NNP+·/SP+우리투자/NNP+·/SP+현대증권/NNP
등이	등/NNB+이/JKS
이런	이런/MMD
ELS를	ELS/SL+를/JKO
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.99.10.1
경쟁이 과열되자 회사 간 신경전까지 벌어진다.

경쟁이	경쟁/NNG+이/JKS
과열되자	과열/NNG+되/XSV+자/EC
회사	회사/NNG
간	간/NNB
신경전까지	신경전/NNG+까지/JX
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.99.10.2
삼성증권의 '슈퍼스텝다운주가연계증권'은 지난달 출시 후 한달여 만에 900억원이 넘는 자금을 끌어 모았다.

삼성증권의	삼성증권/NNP+의/JKG
'슈퍼스텝다운주가연계증권'은	'/SS+슈퍼스텝다운주가연계증권/NNG+'/SS+은/JX
지난달	지난달/NNG
출시	출시/NNG
후	후/NNG
한달여	한/MMN+달/NNB+여/XSN
만에	만/NNB+에/JKB
900억원이	900/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
자금을	자금/NNG+을/JKO
끌어	끌/VV+어/EC
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.10.3
다른 회사들도 따라서 '슈퍼스텝다운'이라는 이름을 쓰자 지난 18일 삼성증권은 특허청에 상표등록 출원을 신청했다.

다른	다른/MMD
회사들도	회사/NNG+들/XSN+도/JX
따라서	따라서/MAJ
'슈퍼스텝다운'이라는	'/SS+슈퍼스텝다운/NNP+'/SS+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
쓰자	쓰/VV+자/EC
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
삼성증권은	삼성증권/NNP+은/JX
특허청에	특허청/NNG+에/JKB
상표등록	상표/NNG+등록/NNG
출원을	출원/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.11.1
◆주의할 점

◆주의할	◆/SW+주의/NNG+하/XSV+ㄹ/ETM
점	점/NNG


# id : NWRW1800000022.99.12.1
전문가들은 이런 금융상품들은 원금손실 가능성이 있기 때문에 주의를 기울여야 한다고 충고한다.

전문가들은	전문가/NNG+들/XSN+은/JX
이런	이런/MMD
금융상품들은	금융/NNG+상품/NNG+들/XSN+은/JX
원금손실	원금/NNG+손실/NNG
가능성이	가능/NNG+성/XSN+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
주의를	주의/NNG+를/JKO
기울여야	기울이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
충고한다.	충고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.99.13.1
박미경 한국투자증권 상무는 "주가와 상품가격이 많이 하락했지만 몇 년 뒤 반드시 오를 거라고 누구도 확신하지 못한다"면서 "몰빵 투자하기보다는 성격이 다른 상품들에 조금씩 나눠 투자할 필요가 있다"고 말했다.

박미경	박미경/NNP
한국투자증권	한국투자증권/NNP
상무는	상무/NNG+는/JX
"주가와	"/SS+주가/NNG+와/JC
상품가격이	상품/NNG+가격/NNG+이/JKS
많이	많이/MAG
하락했지만	하락/NNG+하/XSV+았/EP+지만/EC
몇	몇/NR
년	년/NNB
뒤	뒤/NNG
반드시	반드시/MAG
오를	오르/VV+ㄹ/ETM
거라고	거/NNB+이/VCP+라고/EC
누구도	누구/NP+도/JX
확신하지	확신/NNG+하/XSV+지/EC
못한다"면서	못하/VX+ㄴ다/EF+"/SS+면서/EC
"몰빵	"/SS+몰빵/NNG
투자하기보다는	투자/NNG+하/XSV+기/ETN+보다/JKB+는/JX
성격이	성격/NNG+이/JKS
다른	다른/MMD
상품들에	상품/NNG+들/XSN+에/JKB
조금씩	조금/NNG+씩/XSN
나눠	나누/VV+어/EC
투자할	투자/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.99.13.2
경기 반등에 대한 속단은 이르기 때문에 아직 투자할 때가 아니라는 의견도 있었다.

경기	경기/NNG
반등에	반등/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
속단은	속단/NNG+은/JX
이르기	이르/VV+기/ETN
때문에	때문/NNB+에/JKB
아직	아직/MAG
투자할	투자/NNG+하/XSV+ㄹ/ETM
때가	때/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
의견도	의견/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.99.13.3
장민 금융연구원 연구위원은 "시중에 잠복해 있던 돈이 수익성을 찾아 움직이기 시작하면서 투자가 활기를 띠고 있다"며 "하지만 아직 글로벌 금융시장 안정에 대한 확신이 서지 않았기 때문에 조금 더 지켜봐야 한다"고 말했다.

장민	장민/NNP
금융연구원	금융연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
"시중에	"/SS+시중/NNG+에/JKB
잠복해	잠복/NNG+하/XSV+아/EC
있던	있/VX+던/ETM
돈이	돈/NNG+이/JKS
수익성을	수익/NNG+성/XSN+을/JKO
찾아	찾/VV+아/EC
움직이기	움직이/VV+기/ETN
시작하면서	시작/NNG+하/XSV+면서/EC
투자가	투자/NNG+가/JKS
활기를	활기/NNG+를/JKO
띠고	띠/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"하지만	"/SS+하지만/MAJ
아직	아직/MAG
글로벌	글로벌/NNG
금융시장	금융/NNG+시장/NNG
안정에	안정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확신이	확신/NNG+이/JKS
서지	서/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
조금	조금/MAG
더	더/MAG
지켜봐야	지켜보/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


