# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.218
metadata : {}


# id : NWRW1800000036.218.1.1
뚱뚱한 우리 애, 엄마의 짠음식 때문?

뚱뚱한	뚱뚱/MAG+하/XSA+ㄴ/ETM
분석해보니,	분석/NNG+하/XSV+아/EC+보/VX+니/EC+,/SP
19살	19/SN+살/NNB
이상	이상/NNG
성인의	성인/NNG+의/JKG
경우	경우/NNG
가장	가장/MAG
짜게	짜/VA+게/EC
먹는	먹/VV+는/ETM
20%에	20/SN+%/SW+에/JKB
속하는	속하/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
덜	덜/MAG
견줘	견주/VV+어/EC
비만에	비만/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
1.2배로	1/SN+./SP+2/SN+배/NNG+로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
10일	10/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.218.6.2
또 7~18살 청소년의 경우 가장 짜게 먹는 20%에 속하는 이들은 하위 20%에 견줘 비만해질 가능성이 약 1.8배로 조사됐다.

또	또/MAG
7~18살	7/SN+~/SO+18/SN+살/NNB
청소년의	청소년/NNG+의/JKG
경우	경우/NNG
가장	가장/MAG
짜게	짜/VA+게/EC
먹는	먹/VV+는/ETM
20%에	20/SN+%/SW+에/JKB
속하는	속하/VV+는/ETM
이들은	이/NNB+들/XSN+은/JX
하위	하위/NNG
견줘	견주/VV+어/EC
비만해질	비만/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
약	약/MMA
1.8배로	1/SN+./SP+8/SN+배/NNG+로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.218.6.3
식품섭취량(g)당 나트륨(㎎)의 양이 1단위 올라갈 때마다 비만이 생길 가능성은 성인의 경우 2.7%씩, 청소년은 13.2%씩 높아졌다.

식품섭취량(g)당	식품/NNG+섭취량/NNG+(/SS+g/SW+)/SS+당/XSN
나트륨(㎎)의	나트륨/NNG+(/SS+㎎/SW+)/SS+의/JKG
양이	양/NNG+이/JKS
1단위	1/SN+단위/NNG
올라갈	올라가/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
비만이	비만/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
성인의	성인/NNG+의/JKG
경우	경우/NNG
2.7%씩,	2/SN+./SP+7/SN+%/SW+씩/XSN+,/SP
청소년은	청소년/NNG+은/JX
13.2%씩	13/SN+./SP+2/SN+%/SW+씩/XSN
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.218.7.1
오 교수는 “소금이 든 음식을 많이 먹으면 소금 섭취도 늘어나지만 섭취한 열량도 많아지는데 이 열량이 비만에 미치는 영향을 감안해, 이번 연구에서는 짜게 먹는 것과 비만과의 관계만을 분석했다”며 “그 결과 섭취한 열량과는 관계없이 짜게 먹을수록 비만에 걸릴 위험이 높은 것으로 나온 것”이라고 말했다.

오	오/NNP
교수는	교수/NNG+는/JX
“소금이	“/SS+소금/NNG+이/JKS
든	들/VV+ㄴ/ETM
음식을	음식/NNG+을/JKO
많이	많이/MAG
먹으면	먹/VV+으면/EC
소금	소금/NNG
섭취도	섭취/NNG+도/JX
늘어나지만	늘어나/VV+지만/EC
섭취한	섭취/NNG+하/XSV+ㄴ/ETM
열량도	열량/NNG+도/JX
많아지는데	많아지/VV+는데/EC
이	이/MMD
열량이	열량/NNG+이/JKS
비만에	비만/NNG+에/JKB
미치는	미치/VV+는/ETM
영향을	영향/NNG+을/JKO
감안해,	감안/NNG+하/XSV+아/EC+,/SP
이번	이번/NNG
연구에서는	연구/NNG+에서/JKB+는/JX
짜게	짜/VA+게/EC
먹는	먹/VV+는/ETM
것과	것/NNB+과/JC
비만과의	비만/NNG+과/JKB+의/JKG
관계만을	관계/NNG+만/JX+을/JKO
분석했다”며	분석/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
결과	결과/NNG
열량과는	열량/NNG+과/JKB+는/JX
관계없이	관계없이/MAG
먹을수록	먹/VV+을수록/EC
걸릴	걸리/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나온	나오/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.218.7.2
오 교수는 “짜게 먹을수록 비만이 나타날 가능성은 성인보다는 청소년에서 더 큰 만큼 어릴 때부터 싱겁게 먹는 습관을 가져야 한다”고 덧붙였다.

오	오/NNP
교수는	교수/NNG+는/JX
“짜게	“/SS+짜/VA+게/EC
먹을수록	먹/VV+을수록/EC
비만이	비만/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
성인보다는	성인/NNG+보다/JKB+는/JX
청소년에서	청소년/NNG+에서/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
만큼	만큼/NNB
어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
싱겁게	싱겁/VA+게/EC
먹는	먹/VV+는/ETM
습관을	습관/NNG+을/JKO
가져야	가지/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.218.8.1
또 우리나라 사람들은 최근 들어 더 짜게 먹고 있는 것으로 나타났다.

또	또/MAG
우리나라	우리나라/NNG
사람들은	사람/NNG+들/XSN+은/JX
최근	최근/MAG
들어	들/VV+어/EC
더	더/MAG
짜게	짜/VA+게/EC
먹고	먹/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.218.8.2
식품의약품안전청이 국민건강영양조사를 바탕으로 2008~2010년 나트륨 섭취량에 대해 조사한 결과 2008년 하루 평균 4553㎎에서 2009년 4664㎎, 2010년 4878㎎으로 늘어났다.

식품의약품안전청이	식품/NNG+의약품/NNG+안전청/NNG+이/JKS
국민건강영양조사를	국민/NNG+건강/NNG+영양/NNG+조사/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
2008~2010년	2008/SN+~/SO+2010/SN+년/NNB
나트륨	나트륨/NNG
섭취량에	섭취량/NNG+에/JKB
대해	대하/VV+아/EC
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
2008년	2008/SN+년/NNB
하루	하루/NNG
평균	평균/NNG
4553㎎에서	4553/SN+㎎/SW+에서/JKB
2009년	2009/SN+년/NNB
4664㎎,	4664/SN+㎎/SW+,/SP
2010년	2010/SN+년/NNB
4878㎎으로	4878/SN+㎎/SW+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.218.8.3
이런 수치는 세계보건기구(WHO) 등이 권장하는 나트륨 최대 섭취 권고량인 2000㎎의 2배가 넘는다.

이런	이런/MMD
수치는	수치/NNG+는/JX
세계보건기구(WHO)	세계보건기구/NNP+(/SS+WHO/SL+)/SS
등이	등/NNB+이/JKS
권장하는	권장/NNG+하/XSV+는/ETM
나트륨	나트륨/NNG
최대	최대/NNG
섭취	섭취/NNG
권고량인	권고/NNG+량/NNG+이/VCP+ㄴ/ETM
2000㎎의	2000/SN+㎎/SW+의/JKG
2배가	2/SN+배/NNG+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000036.218.8.4
복지부 관계자는 “2020년까지 나트륨 섭취량을 20%이상 낮추겠다는 목표로 패밀리레스토랑이나 고속도로휴게소 등에서의 나트륨 함량 표시를 의무화하고 나트륨 줄이기 참여 건강 음식점 지정을 확대할 방침”이라며 “특히 청소년의 나트륨 섭취를 줄이기 위해 저나트륨 메뉴를 제공하는 학교 급식을 확대할 계획”이라고 말했다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“2020년까지	“/SS+2020/SN+년/NNB+까지/JX
나트륨	나트륨/NNG
섭취량을	섭취량/NNG+을/JKO
20%이상	20/SN+%/SW+이상/NNG
낮추겠다는	낮추/VV+겠/EP+다는/ETM
목표로	목표/NNG+로/JKB
패밀리레스토랑이나	패밀리레스토랑/NNG+이나/JC
고속도로휴게소	고속/NNG+도로/NNG+휴게소/NNG
등에서의	등/NNB+에서/JKB+의/JKG
함량	함량/NNG
표시를	표시/NNG+를/JKO
의무화하고	의무/NNG+화/XSN+하/XSV+고/EC
줄이기	줄이/VV+기/ETN
참여	참여/NNG
건강	건강/NNG
음식점	음식점/NNG
지정을	지정/NNG+을/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침”이라며	방침/NNG+”/SS+이/VCP+라며/EC
“특히	“/SS+특히/MAG
청소년의	청소년/NNG+의/JKG
섭취를	섭취/NNG+를/JKO
위해	위하/VV+아/EC
저나트륨	저/XPN+나트륨/NNG
메뉴를	메뉴/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
학교	학교/NNG
급식을	급식/NNG+을/JKO
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


