# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.348
metadata : {}


# id : NWRW1800000028.348.1.1
한미FTA ‘손학규호’ 정체성 첫 시험대

한미FTA	한미/NNP+FTA/SL
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.348.6.3
미국이 섬유·자동차·쇠고기 등의 추가 양보를 압박하는 상황에서 공연히 판을 열어줬다가 원안만도 못한 결과물을 들고 올 수 있기 때문이다.

미국이	미국/NNP+이/JKS
섬유·자동차·쇠고기	섬유/NNG+·/SP+자동차/NNG+·/SP+쇠고기/NNG
등의	등/NNB+의/JKG
추가	추가/NNG
양보를	양보/NNG+를/JKO
압박하는	압박/NNG+하/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
공연히	공연히/MAG
판을	판/NNG+을/JKO
열어줬다가	열/VV+어/EC+주/VX+었/EP+다가/EC
원안만도	원안/NNG+만/JX+도/JX
못한	못/MAG+하/XSA+ㄴ/ETM
결과물을	결과물/NNG+을/JKO
들고	들/VV+고/EC
올	오/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.348.6.4
신중론자들은 재협상에 미온적인 태도가 ‘원안 비준 찬성론’으로 읽힐 수 있다는 점을 우려한다.

신중론자들은	신중론자/NNG+들/XSN+은/JX
재협상에	재/XPN+협상/NNG+에/JKB
미온적인	미온/NNG+적/XSN+이/VCP+ㄴ/ETM
태도가	태도/NNG+가/JKS
‘원안	‘/SS+원안/NNG
비준	비준/NNG
찬성론’으로	찬성/NNG+론/XSN+’/SS+으로/JKB
읽힐	읽히/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
우려한다.	우려/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.348.6.5
이 경우 당내 ‘진보파’로부터 정체성 시비에 시달리게 될 공산이 크다.

이	이/MMD
경우	경우/NNG
당내	당내/NNG
‘진보파’로부터	‘/SS+진보파/NNG+’/SS+로부터/JKB
정체성	정체/NNG+성/XSN
시비에	시비/NNG+에/JKB
시달리게	시달리/VV+게/EC
될	되/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000028.348.7.1
다른 야당의 태도도 변수다.

다른	다른/MMD
야당의	야당/NNG+의/JKG
태도도	태도/NNG+도/JX
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.348.7.2
이날 이정희 민주노동당 대표는 조기비준 반대와 추가협상 거부 방침을 밝히면서 야5당 대표 회담과 시민사회가 함께하는 비상시국회의를 제안했다.

이날	이날/NNG
이정희	이정희/NNP
민주노동당	민주노동당/NNP
대표는	대표/NNG+는/JX
조기비준	조기/NNG+비준/NNG
반대와	반대/NNG+와/JC
추가협상	추가/NNG+협상/NNG
거부	거부/NNG
방침을	방침/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
야5당	야/NNG+5/SN+당/NNG
대표	대표/NNG
회담과	회담/NNG+과/JC
시민사회가	시민/NNG+사회/NNG+가/JKS
함께하는	함께/MAG+하/XSV+는/ETM
비상시국회의를	비상시국/NNG+회의/NNG+를/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.348.7.3
민노당은 전면 재협상론에서 더 나아간 ‘비준 거부-협정 폐기’가 공식 입장이다.

민노당은	민노당/NNP+은/JX
전면	전면/NNG
재협상론에서	재/XPN+협상/NNG+론/XSN+에서/JKB
더	더/MAG
나아간	나아가/VV+ㄴ/ETM
‘비준	‘/SS+비준/NNG
거부-협정	거부/NNG+-/SO+협정/NNG
폐기’가	폐기/NNG+’/SS+가/JKS
공식	공식/NNG
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.348.7.4
당의 진보색을 강화하고 야권연대를 진전시켜 2012년 공동집권의 토대를 닦겠다고 약속했던 민주당 지도부로선 고민이 깊어질 수밖에 없는 대목이다.

당의	당/NNG+의/JKG
진보색을	진보색/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
야권연대를	야권/NNG+연대/NNG+를/JKO
진전시켜	진전/NNG+시키/XSV+어/EC
2012년	2012/SN+년/NNB
공동집권의	공동/NNG+집권/NNG+의/JKG
토대를	토대/NNG+를/JKO
닦겠다고	닦/VV+겠/EP+다고/EC
약속했던	약속/NNG+하/XSV+았/EP+던/ETM
민주당	민주당/NNP
지도부로선	지도부/NNG+로서/JKB+ㄴ/JX
고민이	고민/NNG+이/JKS
깊어질	깊어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


