# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.114
metadata : {}


# id : NWRW1800000049.114.1.1
“지질한 삶 속에서도 순수함 잃지 않는 인간군상 그렸어요”

“지질한	“/SS+지질하/VA+ㄴ/ETM
그만큼 문단의 호응이 컸단 얘기다.

그만큼	그만큼/MAG
문단의	문단/NNG+의/JKG
호응이	호응/NNG+이/JKS
컸단	크/VA+었/EP+단/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.114.3.4
김 씨는 올해 ‘젊은작가상’ 대상을 수상하는 등 최근 집중적인 관심을 받아 왔다.

김	김/NNP
씨는	씨/NNB+는/JX
올해	올해/NNG
‘젊은작가상’	‘/SS+젊/VA+은/ETM+작가상/NNG+’/SS
대상을	대상/NNG+을/JKO
수상하는	수상/NNG+하/XSV+는/ETM
등	등/NNB
최근	최근/MAG
집중적인	집중/NNG+적/XSN+이/VCP+ㄴ/ETM
관심을	관심/NNG+을/JKO
받아	받/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.114.3.5
‘30대 젊은 작가라면 실험적일 것’이라는 편견과 달리 전통적인 서사로 무장했다는 점도 차별적이다.

‘30대	‘/SS+30/SN+대/NNB
젊은	젊/VA+은/ETM
작가라면	작가/NNG+이/VCP+라면/EC
실험적일	실험/NNG+적/XSN+이/VCP+ㄹ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
편견과	편견/NNG+과/JKB
달리	달리/MAG
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
서사로	서사/NNG+로/JKB
무장했다는	무장/NNG+하/XSV+았/EP+다는/ETM
점도	점/NNG+도/JX
차별적이다.	차별/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000049.114.4.1
15일 만난 작가에게 “소설 분위기가 구질구질하다”는 얘기부터 했다.

15일	15/SN+일/NNB
만난	만나/VV+ㄴ/ETM
작가에게	작가/NNG+에게/JKB
“소설	“/SS+소설/NNG
분위기가	분위기/NNG+가/JKS
구질구질하다”는	구질구질/MAG+하/XSA+다/EF+”/SS+는/ETM
얘기부터	얘기/NNG+부터/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.114.4.2
작가는 웃음을 터뜨렸다.

작가는	작가/NNG+는/JX
웃음을	웃음/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.114.4.3
그러더니 되물었다.

그러더니	그러/VV+더니/EC
되물었다.	되묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.114.4.4
“이 사회의 대부분은 그렇지 않을까요?”

“이	“/SS+이/MMD
사회의	사회/NNG+의/JKG
대부분은	대/XPN+부분/NNG+은/JX
그렇지	그렇/VA+지/EC
않을까요?”	않/VX+을까/EF+요/JX+?/SF+”/SS


# id : NWRW1800000049.114.4.5
표제작 ‘너무 한낮의 연애’에선 직장에서 좌천된 뒤 대학 시절 연애했던 여자를 찾아가는 회사원, ‘조중균의 세계’에선 어린 입사 동기와 경쟁을 벌여야 하는 회사원이 나온다.

표제작	표제작/NNG
‘너무	‘/SS+너무/MAG
한낮의	한/XPN+낮/NNG+의/JKG
연애’에선	연애/NNG+’/SS+에서/JKB+ㄴ/JX
직장에서	직장/NNG+에서/JKB
좌천된	좌천/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
대학	대학/NNG
시절	시절/NNG
연애했던	연애/NNG+하/XSV+았/EP+던/ETM
여자를	여자/NNG+를/JKO
찾아가는	찾아가/VV+는/ETM
회사원,	회사원/NNG+,/SP
‘조중균의	‘/SS+조중균/NNP+의/JKG
세계’에선	세계/NNG+’/SS+에서/JKB+ㄴ/JX
어린	어리/VA+ㄴ/ETM
입사	입사/NNG
동기와	동기/NNG+와/JKB
경쟁을	경쟁/NNG+을/JKO
벌여야	벌이/VV+어야/EC
하는	하/VX+는/ETM
회사원이	회사원/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.114.4.6
‘고양이는 어떻게 단련되는가’의 ‘모 과장’의 처세술은 ‘고양이처럼 네 발을 모두 몸체 밑에 말아 넣고 그냥 있음으로써’ 살아남는 것이다.

‘고양이는	‘/SS+고양이/NNG+는/JX
어떻게	어떻/VA+게/EC
단련되는가’의	단련/NNG+되/XSV+는가/EF+’/SS+의/JKG
‘모	‘/SS+모/NP
과장’의	과장/NNG+’/SS+의/JKG
처세술은	처세술/NNG+은/JX
‘고양이처럼	‘/SS+고양이/NNG+처럼/JKB
네	너/NP+의/JKG
발을	발/NNG+을/JKO
모두	모두/MAG
몸체	몸체/NNG
밑에	밑/NNG+에/JKB
말아	말/VV+아/EC
넣고	넣/VV+고/EC
그냥	그냥/MAG
있음으로써’	있/VA+음/ETN+으로써/JKB+’/SS
살아남는	살아남/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.114.4.7
빚쟁이를 피해 숨으면서 휴가 간다고 여기는 가족(‘보통의 시절’), 항의하는 고객 앞에서 비굴하게 사과하는 마트 직원(‘고기’) 등도 그렇다.

빚쟁이를	빚/NNG+쟁이/XSN+를/JKO
피해	피하/VV+아/EC
숨으면서	숨/VV+으면서/EC
휴가	휴가/NNG
간다고	가/VV+ㄴ다고/EC
여기는	여기/VV+는/ETM
가족(‘보통의	가족/NNG+(/SS+‘/SS+보통/NNG+의/JKG
시절’),	시절/NNG+’/SS+)/SS+,/SP
항의하는	항의/NNG+하/XSV+는/ETM
고객	고객/NNG
앞에서	앞/NNG+에서/JKB
비굴하게	비굴/NNG+하/XSA+게/EC
사과하는	사과/NNG+하/XSV+는/ETM
마트	마트/NNG
직원(‘고기’)	직원/NNG+(/SS+‘/SS+고기/NNP+’/SS+)/SS
등도	등/NNB+도/JX
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000049.114.5.1
김 씨는 “내 소설의 등장인물들을 ‘루저’로 부르는 건 맞지 않는 것 같다”면서 “사회의 평가 기준을 착실하게 따르지 않거나 그렇지 못한 사람들이라도 삶의 정당성을 갖고 있다는 걸 보여 주고 싶었다”고 말했다.

김	김/NNP
씨는	씨/NNB+는/JX
“내	“/SS+나/NP+의/JKG
소설의	소설/NNG+의/JKG
등장인물들을	등장인물/NNG+들/XSN+을/JKO
‘루저’로	‘/SS+루저/NNG+’/SS+로/JKB
부르는	부르/VV+는/ETM
건	거/NNB+ㄴ/JX
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
것	것/NNB
같다”면서	같/VA+다/EF+”/SS+면서/EC
“사회의	“/SS+사회/NNG+의/JKG
평가	평가/NNG
기준을	기준/NNG+을/JKO
착실하게	착실하/VA+게/EC
따르지	따르/VV+지/EC
않거나	않/VX+거나/EC
그렇지	그렇/VA+지/EC
못한	못하/VX+ㄴ/ETM
사람들이라도	사람/NNG+들/XSN+이/VCP+라도/EC
삶의	삶/NNG+의/JKG
정당성을	정당성/NNG+을/JKO
갖고	갖/VV+고/EC
있다는	있/VX+다는/ETM
걸	거/NNB+ㄹ/JKO
보여	보이/VV+어/EC
주고	주/VX+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.114.6.1
김 씨 소설 속 인물들은 지질한 삶을 살아가는 듯하지만 꺼지지 않는 순수함이 있다.

김	김/NNP
씨	씨/NNB
소설	소설/NNG
속	속/NNG
인물들은	인물/NNG+들/XSN+은/JX
지질한	지질하/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살아가는	살아가/VV+는/ETM
듯하지만	듯/NNB+하/XSA+지만/EC
꺼지지	꺼지/VV+지/EC
않는	않/VX+는/ETM
순수함이	순수/NNG+하/XSA+ㅁ/ETN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.114.6.2
김 씨도 회사에서 7년여 근무했지만 작가의 꿈을 거둔 적이 없었다.

김	김/NNP
씨도	씨/NNB+도/JX
회사에서	회사/NNG+에서/JKB
7년여	7/SN+년/NNB+여/XSN
근무했지만	근무/NNG+하/XSV+았/EP+지만/EC
작가의	작가/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.114.6.3
부모가 맞벌이여서 어렸을 적부터 외로움과 고립감을 느꼈던 그는 글쓰기를 통해 비슷한 상실감을 겪는 사람들과 공통의 감정을 나누고 싶었다고 했다.

부모가	부모/NNG+가/JKS
맞벌이여서	맞벌이/NNG+이/VCP+어서/EC
어렸을	어리/VA+었/EP+을/ETM
적부터	적/NNB+부터/JX
외로움과	외로움/NNG+과/JC
고립감을	고립감/NNG+을/JKO
느꼈던	느끼/VV+었/EP+던/ETM
그는	그/NP+는/JX
글쓰기를	글쓰기/NNG+를/JKO
통해	통하/VV+아/EC
비슷한	비슷하/VA+ㄴ/ETM
상실감을	상실감/NNG+을/JKO
겪는	겪/VV+는/ETM
사람들과	사람/NNG+들/XSN+과/JKB
공통의	공통/NNG+의/JKG
감정을	감정/NNG+을/JKO
나누고	나누/VV+고/EC
싶었다고	싶/VX+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.114.7.1
그는 “주변 또래들을 보면 일반 기업을 다니면서도 불안정한 근무 여건에 공무원이 되고 싶어 하고, 학원 강사를 하면서 학원을 차려야 하나 다른 길을 찾아야 하나 고민하고, 안정적이라는 교사가 되고서도 방학이면 짐을 싸서 여행을 떠난다”며 “그래도 우리는 갈등을 포기하는 세대가 아니다”라고 했다.

그는	그/NP+는/JX
“주변	“/SS+주변/NNG
또래들을	또래/NNG+들/XSN+을/JKO
보면	보/VV+면/EC
일반	일반/NNG
기업을	기업/NNG+을/JKO
다니면서도	다니/VV+면서/EC+도/JX
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
근무	근무/NNG
여건에	여건/NNG+에/JKB
공무원이	공무원/NNG+이/JKC
되고	되/VV+고/EC
싶어	싶/VX+어/EC
하고,	하/VX+고/EC+,/SP
학원	학원/NNG
강사를	강사/NNG+를/JKO
하면서	하/VV+면서/EC
학원을	학원/NNG+을/JKO
차려야	차리/VV+어야/EC
하나	하/VX+나/EC
다른	다른/MMD
길을	길/NNG+을/JKO
찾아야	찾/VV+아야/EC
고민하고,	고민/NNG+하/XSV+고/EC+,/SP
안정적이라는	안정/NNG+적/XSN+이/VCP+라는/ETM
교사가	교사/NNG+가/JKC
되고서도	되/VV+고서/EC+도/JX
방학이면	방학/NNG+이/VCP+면/EC
짐을	짐/NNG+을/JKO
싸서	싸/VV+아서/EC
여행을	여행/NNG+을/JKO
떠난다”며	떠나/VV+ㄴ다/EF+”/SS+며/EC
“그래도	“/SS+그러/VV+어도/EC
우리는	우리/NP+는/JX
갈등을	갈등/NNG+을/JKO
포기하는	포기/NNG+하/XSV+는/ETM
세대가	세대/NNG+가/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.114.8.1
어떻게 살 것인가 고민하면서도 그 생활과 타협하려고 하지 않는다는 것이다.

어떻게	어떻/VA+게/EC
살	살/VV+ㄹ/ETM
것인가	것/NNB+이/VCP+ㄴ가/EF
고민하면서도	고민/NNG+하/XSV+면서/EC+도/JX
그	그/MMD
생활과	생활/NNG+과/JKB
타협하려고	타협/NNG+하/XSV+려고/EC
하지	하/VX+지/EC
않는다는	않/VX+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.114.9.1
“그런 마음도 소설로 옮겨진다면 의미가 있지 않을까”라고 작가는 자신의 작품에 의미를 부여했다.

“그런	“/SS+그런/MMD
마음도	마음/NNG+도/JX
소설로	소설/NNG+로/JKB
옮겨진다면	옮기/VV+어/EC+지/VX+ㄴ다면/EC
의미가	의미/NNG+가/JKS
있지	있/VA+지/EC
않을까”라고	않/VX+을까/EF+”/SS+라고/JKQ
작가는	작가/NNG+는/JX
자신의	자신/NNG+의/JKG
작품에	작품/NNG+에/JKB
의미를	의미/NNG+를/JKO
부여했다.	부여/NNG+하/XSV+았/EP+다/EF+./SF


