# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.343
metadata : {}


# id : NWRW1800000044.343.1.1
“원자력 방호법 처리 안돼 유감”…박대통령 뒤늦게 국회 탓

“원자력	“/SS+원자력/NNG
핵안보	핵/NNG+안보/NNG
정상회의	정상/NNG+회의/NNG
때	때/NNG
‘핵테러	‘/SS+핵/NNG+테러/NNG
억제	억제/NNG
협약’과	협약/NNG+’/SS+과/JC
‘핵물질방호협약’	‘/SS+핵물질/NNG+방호/NNG+협약/NNG+’/SS
등이	등/NNB+이/JKS
2014년까지	2014/SN+년/NNB+까지/JX
발효되도록	발효/NNG+되/XSV+도록/EC
노력한다는	노력/NNG+하/XSV+ㄴ다는/ETM
‘서울	‘/SS+서울/NNP
코뮈니케’	코뮈니케/NNG+’/SS
이행을	이행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
이	이/MMD
협약이	협약/NNG+이/JKS
발효되려면	발효/NNG+되/XSV+려면/EC
국내에서는	국내/NNG+에서/JKB+는/JX
우선	우선/MAG
원자력방호방재법이	원자력/NNG+방호/NNG+방재/NNG+법/NNG+이/JKS
국회를	국회/NNG+를/JKO
통과해야	통과/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.343.9.2
박 대통령은 24~25일 네덜란드 헤이그에서 열리는 핵안보 정상회의에서 특별 연설을 할 예정인데, 그 전에 법안을 처리해 대통령에게 힘을 실어달라고 국회에 촉구한 것이다.

박	박/NNP
대통령은	대통령/NNG+은/JX
24~25일	24/SN+~/SO+25/SN+일/NNB
네덜란드	네덜란드/NNP
헤이그에서	헤이그/NNP+에서/JKB
열리는	열리/VV+는/ETM
핵안보	핵/NNG+안보/NNG
정상회의에서	정상/NNG+회의/NNG+에서/JKB
특별	특별/NNG
연설을	연설/NNG+을/JKO
할	하/VV+ㄹ/ETM
예정인데,	예정/NNG+이/VCP+ㄴ데/EC+,/SP
그	그/MMD
전에	전/NNG+에/JKB
법안을	법안/NNG+을/JKO
처리해	처리/NNG+하/XSV+아/EC
대통령에게	대통령/NNG+에게/JKB
힘을	힘/NNG+을/JKO
실어달라고	싣/VV+어/EC+달/VX+라고/EC
국회에	국회/NNG+에/JKB
촉구한	촉구/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.343.10.1
새누리당도 원자력방호방재법 처리를 명분 삼아 단독으로 본회의 소집을 요구하며 공세에 나섰다.

새누리당도	새누리당/NNP+도/JX
원자력방호방재법	원자력/NNG+방호/NNG+방재/NNG+법/NNG
처리를	처리/NNG+를/JKO
명분	명분/NNG
삼아	삼/VV+아/EC
단독으로	단독/NNG+으로/JKB
본회의	본회의/NNG
소집을	소집/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
공세에	공세/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.343.10.2
박대출 새누리당 대변인은 “핵안보 정상회의 참석 때까지 관련법이 통과되지 않으면 2012년 핵안보 정상회의를 개최하고 두 협약을 비준했던 대한민국으로서는 국가적인 신뢰를 잃고 핵범죄 방지를 위한 국제적 연대에 역할과 책임을 할 수 없는 지경에 이르게 된다”며 야당을 압박했다.

박대출	박대출/NNP
새누리당	새누리당/NNP
대변인은	대변인/NNG+은/JX
“핵안보	“/SS+핵/NNG+안보/NNG
정상회의	정상/NNG+회의/NNG
참석	참석/NNG
때까지	때/NNG+까지/JX
관련법이	관련/NNG+법/NNG+이/JKS
통과되지	통과/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
2012년	2012/SN+년/NNB
핵안보	핵/NNG+안보/NNG
정상회의를	정상/NNG+회의/NNG+를/JKO
개최하고	개최/NNG+하/XSV+고/EC
두	두/MMN
협약을	협약/NNG+을/JKO
비준했던	비준/NNG+하/XSV+았/EP+던/ETM
대한민국으로서는	대한민국/NNP+으로서/JKB+는/JX
국가적인	국가/NNG+적/XSN+이/VCP+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
잃고	잃/VV+고/EC
핵범죄	핵/NNG+범죄/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
국제적	국제/NNG+적/XSN
연대에	연대/NNG+에/JKB
역할과	역할/NNG+과/JC
책임을	책임/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
지경에	지경/NNB+에/JKB
이르게	이르/VV+게/EC
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
야당을	야당/NNG+을/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.343.11.1
박 대통령과 새누리당이 핵안보 정상회의가 일주일도 남지 않은 시점에서 원자력방호방재법의 처리를 거론하고 나선 데에는 ‘국제적 약속’이자 ‘외교적 신뢰’ 문제가 걸린 이번 법안 처리를 고리로, 정부가 요구한 이른바 민생 관련 법안 처리를 늦추고 있는 야당을 압박하려는 의도도 있는 것으로 보인다.

박	박/NNP
대통령과	대통령/NNG+과/JC
새누리당이	새누리당/NNP+이/JKS
핵안보	핵/NNG+안보/NNG
정상회의가	정상/NNG+회의/NNG+가/JKS
일주일도	일주일/NNG+도/JX
남지	남/VV+지/EC
않은	않/VX+은/ETM
시점에서	시점/NNG+에서/JKB
원자력방호방재법의	원자력/NNG+방호/NNG+방재/NNG+법/NNG+의/JKG
처리를	처리/NNG+를/JKO
거론하고	거론/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
‘국제적	‘/SS+국제/NNG+적/XSN
약속’이자	약속/NNG+’/SS+이/VCP+자/EC
‘외교적	‘/SS+외교/NNG+적/XSN
신뢰’	신뢰/NNG+’/SS
문제가	문제/NNG+가/JKS
걸린	걸리/VV+ㄴ/ETM
이번	이번/NNG
법안	법안/NNG
고리로,	고리/NNG+로/JKB+,/SP
정부가	정부/NNG+가/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
이른바	이른바/MAG
민생	민생/NNG
관련	관련/NNG
늦추고	늦추/VV+고/EC
있는	있/VA+는/ETM
야당을	야당/NNG+을/JKO
압박하려는	압박/NNG+하/XSV+려는/ETM
의도도	의도/NNG+도/JX
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.343.11.2
박 대통령이 작심하고 “정치가 국민에게 피해를 주어서는 안 된다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
작심하고	작심/NNG+하/XSV+고/EC
“정치가	“/SS+정치/NNG+가/JKS
국민에게	국민/NNG+에게/JKB
피해를	피해/NNG+를/JKO
주어서는	주/VV+어서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.343.11.3
국민이 원하는 ‘새정치’는 무엇보다 국익과 국민을 최우선에 놓는 정치일 것”이라고 비판한 것도 같은 맥락이다.

국민이	국민/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
‘새정치’는	‘/SS+새/MMA+정치/NNG+’/SS+는/JX
무엇보다	무엇/NP+보다/JKB
국익과	국익/NNG+과/JC
국민을	국민/NNG+을/JKO
최우선에	최/XPN+우선/NNG+에/JKB
놓는	놓/VV+는/ETM
정치일	정치/NNG+이/VCP+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판한	비판/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
같은	같/VA+은/ETM
맥락이다.	맥락/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.343.11.4
박 대통령은 내친김에 “한-미 방위비분담협정의 국회 비준이 지연되고 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
내친김에	내친김/NNG+에/JKB
“한-미	“/SS+한-미/NNP
방위비분담협정의	방위비/NNG+분담/NNG+협정/NNG+의/JKG
국회	국회/NNG
비준이	비준/NNG+이/JKS
지연되고	지연/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.343.11.5
잘못하면 주한미군에 근무하는 우리 근로자들의 급여도 줄 수가 없다”고 강조하기도 했다.

잘못하면	잘못/MAG+하/XSV+면/EC
주한미군에	주한/NNG+미군/NNG+에/JKB
근무하는	근무/NNG+하/XSV+는/ETM
우리	우리/NP
근로자들의	근로자/NNG+들/XSN+의/JKG
급여도	급여/NNG+도/JX
줄	주/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
강조하기도	강조/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.343.11.6
다음달 버락 오바마 미국 대통령의 방한을 앞두고 국회가 협조를 해달라는 주문인 셈이다.

다음달	다음/NNG+달/NNG
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
방한을	방한/NNG+을/JKO
앞두고	앞두/VV+고/EC
국회가	국회/NNG+가/JKS
협조를	협조/NNG+를/JKO
해달라는	하/VV+아/EC+달/VX+라는/ETM
주문인	주문/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.343.12.1
민주당은 그간 중점 처리법안에도 포함되지 않았던 원자력방호방재법과 관련해 박 대통령과 여당이 갑자기 처리를 압박하는 것에 대해 황당하다는 반응을 보이며 “원자력방호방재법 처리 지연의 책임은 정부와 새누리당에 있다”고 반발했다.

민주당은	민주당/NNP+은/JX
그간	그/NP+간/XSN
중점	중점/NNG
처리법안에도	처리/NNG+법안/NNG+에/JKB+도/JX
포함되지	포함/NNG+되/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
원자력방호방재법과	원자력/NNG+방호/NNG+방재/NNG+법/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
박	박/NNP
대통령과	대통령/NNG+과/JC
여당이	여당/NNG+이/JKS
갑자기	갑자기/MAG
처리를	처리/NNG+를/JKO
압박하는	압박/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
황당하다는	황당하/VA+다는/ETM
반응을	반응/NNG+을/JKO
보이며	보이/VV+며/EC
“원자력방호방재법	“/SS+원자력/NNG+방호/NNG+방재/NNG+법/NNG
처리	처리/NNG
지연의	지연/NNG+의/JKG
책임은	책임/NNG+은/JX
정부와	정부/NNG+와/JC
새누리당에	새누리당/NNP+에/JKB
있다”고	있/VA+다/EF+”/SS+고/JKQ
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.343.12.2
한정애 민주당 대변인은 “박 대통령이 뒤늦게 ‘발등의 불’을 끄기 위해 나선 것은 결국 정부와 여당의 아마추어 국정운영 실력을 보여주는 것”이라며 “새누리당도 방송법과 기초노령연금법 등 민생법안을 함께 다루려는 진정성부터 보여달라”고 반박했다.

한정애	한정애/NNP
민주당	민주당/NNP
대변인은	대변인/NNG+은/JX
“박	“/SS+박/NNP
대통령이	대통령/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
‘발등의	‘/SS+발등/NNG+의/JKG
불’을	불/NNG+’/SS+을/JKO
끄기	끄/VV+기/ETN
위해	위하/VV+아/EC
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
결국	결국/MAG
정부와	정부/NNG+와/JC
여당의	여당/NNG+의/JKG
아마추어	아마추어/NNG
국정운영	국정/NNG+운영/NNG
실력을	실력/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“새누리당도	“/SS+새누리당/NNP+도/JX
방송법과	방송법/NNG+과/JC
기초노령연금법	기초/NNG+노령/NNG+연금법/NNG
등	등/NNB
민생법안을	민생/NNG+법안/NNG+을/JKO
함께	함께/MAG
다루려는	다루/VV+려는/ETM
진정성부터	진정/NNG+성/XSN+부터/JX
보여달라”고	보이/VV+어/EC+달/VX+라/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.343.12.3
정성호 민주당 원내수석부대표도 이날 원내대책회의에서 “지금껏 뭐하다가 국회 휴회기간 중에 느닷없이 원자력방호방재법을 들고나와 국가망신 운운하며 난리법석을 치며 으름장 놓고 겁박하는 것인지 새누리당의 혹세무민에 어이가 없다”고 비판했다.

정성호	정성호/NNP
민주당	민주당/NNP
원내수석부대표도	원내/NNG+수석/NNG+부대표/NNG+도/JX
이날	이날/NNG
원내대책회의에서	원내/NNG+대책/NNG+회의/NNG+에서/JKB
“지금껏	“/SS+지금껏/MAG
뭐하다가	뭐/NP+하/VV+다가/EC
국회	국회/NNG
휴회기간	휴회/NNG+기간/NNG
중에	중/NNB+에/JKB
느닷없이	느닷없이/MAG
원자력방호방재법을	원자력/NNG+방호/NNG+방재/NNG+법/NNG+을/JKO
들고나와	들고나오/VV+아/EC
국가망신	국가/NNG+망신/NNG
운운하며	운운/NNG+하/XSV+며/EC
난리법석을	난리/NNG+법석/NNG+을/JKO
치며	치/VV+며/EC
으름장	으름장/NNG
놓고	놓/VV+고/EC
겁박하는	겁박/NNG+하/XSV+는/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
새누리당의	새누리당/NNP+의/JKG
혹세무민에	혹세무민/NNG+에/JKB
어이가	어이/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


