# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.362
metadata : {}


# id : NWRW1800000038.362.1.1
[NEWS & VIEW] 청와대 "개성공단, 유고(유고슬라비아·Yugoslavia) 모델化 막겠다"

[NEWS	[/SS+NEWS/SL
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.362.6.1
정부는 북한이 개성공단을 자의적으로 운영하는 것을 막기 위해 '시설 봉인' 조치를 검토해왔다.

정부는	정부/NNG+는/JX
북한이	북한/NNP+이/JKS
개성공단을	개성공단/NNP+을/JKO
자의적으로	자의/NNG+적/XSN+으로/JKB
운영하는	운영/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
'시설	'/SS+시설/NNG
봉인'	봉인/NNG+'/SS
조치를	조치/NNG+를/JKO
검토해왔다.	검토/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.362.6.2
이 속에는 단전·단수도 포함되는 것으로 알려져 있다.

이	이/MMD
속에는	속/NNG+에/JKB+는/JX
단전·단수도	단전/NNG+·/SP+단수/NNG+도/JX
포함되는	포함/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.362.6.3
현재 개성공단에서 쓰는 전기와 공업용수는 남측에서 공급하고 있다.

현재	현재/MAG
개성공단에서	개성공단/NNP+에서/JKB
쓰는	쓰/VV+는/ETM
전기와	전기/NNG+와/JC
공업용수는	공업용수/NNG+는/JX
남측에서	남측/NNG+에서/JKB
공급하고	공급/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.362.6.4
정부 관계자는 "단전·단수 외에도 다양한 조치들을 구상 중"이라고 했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"단전·단수	"/SS+단전/NNG+·/SP+단수/NNG
외에도	외/NNB+에/JKB+도/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
조치들을	조치/NNG+들/XSN+을/JKO
구상	구상/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.362.7.1
이와 관련, 청와대 관계자는 "북한이 아직 박근혜 대통령을 잘 모르는 것 같다"고 했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"북한이	"/SS+북한/NNP+이/JKS
아직	아직/MAG
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
잘	잘/MAG
모르는	모르/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.362.7.2
이 관계자는 "개성공단 문제는 적당히 타협하지 않을 것"이라고 했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"개성공단	"/SS+개성공단/NNP
문제는	문제/NNG+는/JX
적당히	적당히/MAG
타협하지	타협/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


