# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.5
metadata : {}


# id : NWRW1800000040.5.1.1
CJ, 이관훈·김철하 대표 사장 승진

CJ,	CJ/SL+,/SP
성장	성장/NNG
가속화를	가속/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
사업에서	사업/NNG+에서/JKB
성과를	성과/NNG+를/JKO
내고	내/VV+고/EC
있는	있/VA+는/ETM
인재들을	인재/NNG+들/XSN+을/JKO
적극	적극/NNG
발굴하고,	발굴/NNG+하/XSV+고/EC+,/SP
역량	역량/NNG
국내	국내/NNG
인재를	인재/NNG+를/JKO
해외로	해외/NNG+로/JKB
전진	전진/NNG
배치했다”고	배치/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


