# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.106
metadata : {}


# id : NWRW1800000029.106.1.1
[김정일 사망]외국계 투자전문가들 진단 “한국 증시, 北보다 유럽위기가 더 큰 변수”

[김정일	[/SS+김정일/NNP
사망	사망/NNG
소식이	소식/NNG+이/JKS
알려진	알려지/VV+ㄴ/ETM
직후	직후/NNG
중국이	중국/NNP+이/JKS
김정은을	김정은/NNP+을/JKO
후계자로	후계자/NNG+로/JKB
인정했다는	인정/NNG+하/XSV+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.106.9.5
권구훈 골드만삭스 한국담당 이코노미스트도 “김 위원장의 건강 상태는 오랫동안 알려져 있었기 때문에 그의 사망 이후 상황을 주변국들이 충분히 준비한 상태”라고 했다.

권구훈	권구훈/NNP
골드만삭스	골드만삭스/NNP
한국담당	한국/NNP+담당/NNG
이코노미스트도	이코노미스트/NNG+도/JX
“김	“/SS+김/NNP
위원장의	위원장/NNG+의/JKG
건강	건강/NNG
상태는	상태/NNG+는/JX
오랫동안	오랫동안/NNG
알려져	알려지/VV+어/EC
있었기	있/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
그의	그/NP+의/JKG
사망	사망/NNG
이후	이후/NNG
상황을	상황/NNG+을/JKO
주변국들이	주변국/NNG+들/XSN+이/JKS
충분히	충분히/MAG
준비한	준비/NNG+하/XSV+ㄴ/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.10.1
북한 이슈와 한국 경제의 직접 관련성이 작다는 분석도 많았다.

북한	북한/NNP
이슈와	이슈/NNG+와/JC
한국	한국/NNP
경제의	경제/NNG+의/JKG
직접	직접/MAG
관련성이	관련/NNG+성/XSN+이/JKS
작다는	작/VA+다는/ETM
분석도	분석/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.106.10.2
송기석 뱅크오브아메리카 메릴린치 전무는 “역사적으로 북한 이슈와 한국 금융시장의 상관성이 낮았다”고 설명했다.

송기석	송기석/NNP
뱅크오브아메리카	뱅크오브아메리카/NNP
메릴린치	메릴린치/NNP
전무는	전무/NNG+는/JX
“역사적으로	“/SS+역사/NNG+적/XSN+으로/JKB
북한	북한/NNP
이슈와	이슈/NNG+와/JC
한국	한국/NNP
금융시장의	금융/NNG+시장/NNG+의/JKG
상관성이	상관/NNG+성/XSN+이/JKS
낮았다”고	낮/VA+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.10.3
남북한 교역 규모가 10억 달러에 불과한 점도 이번 사태가 한국 경제에 미칠 영향이 작을 요인으로 꼽혔다.

남북한	남북한/NNP
교역	교역/NNG
규모가	규모/NNG+가/JKS
10억	10/SN+억/NR
달러에	달러/NNB+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
점도	점/NNG+도/JX
이번	이번/NNG
사태가	사태/NNG+가/JKS
한국	한국/NNP
경제에	경제/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
영향이	영향/NNG+이/JKS
작을	작/VA+을/ETM
요인으로	요인/NNG+으로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.106.11.1
○ 조심스러운 기대감도 엿보여

○	○/SW
조심스러운	조심/NNG+스럽/XSA+ㄴ/ETM
기대감도	기대감/NNG+도/JX
엿보여	엿보이/VV+어/EF


# id : NWRW1800000029.106.12.1
메타 대표는 “몇 년 전부터 김정일 사망은 예고된 사안이라는 점에서 이번 일을 돌발사태로만 볼 게 아니다”며 “북한이 개방이나 체제 개편에 나서는 계기가 될 수도 있다”고 말했다.

메타	메타/NNP
대표는	대표/NNG+는/JX
“몇	“/SS+몇/NR
년	년/NNB
전부터	전/NNG+부터/JX
김정일	김정일/NNP
사망은	사망/NNG+은/JX
예고된	예고/NNG+되/XSV+ㄴ/ETM
사안이라는	사안/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
이번	이번/NNG
일을	일/NNG+을/JKO
돌발사태로만	돌발/NNG+사태/NNG+로/JKB+만/JX
볼	보/VV+ㄹ/ETM
게	거/NNB+이/JKC
아니다”며	아니/VCN+다/EF+”/SS+며/EC
“북한이	“/SS+북한/NNP+이/JKS
개방이나	개방/NNG+이나/JC
체제	체제/NNG
개편에	개편/NNG+에/JKB
나서는	나서/VV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.12.2
정 대표도 “김정은으로 순조롭게 권력이 넘어가면서 남북 관계가 부드러워진다면, 외국인 투자가 입장에서 한국 주식의 가치는 되레 뛰는 것”이라고 기대감을 나타냈다.

정	정/NNP
대표도	대표/NNG+도/JX
“김정은으로	“/SS+김정은/NNP+으로/JKB
순조롭게	순조/NNG+롭/XSA+게/EC
권력이	권력/NNG+이/JKS
넘어가면서	넘어가/VV+면서/EC
남북	남북/NNP
관계가	관계/NNG+가/JKS
부드러워진다면,	부드럽/VA+어/EC+지/VX+ㄴ다면/EC+,/SP
외국인	외국인/NNG
투자가	투자가/NNG
입장에서	입장/NNG+에서/JKB
한국	한국/NNP
주식의	주식/NNG+의/JKG
가치는	가치/NNG+는/JX
되레	되레/MAG
뛰는	뛰/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
기대감을	기대감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.106.12.3
외국인 투자가들의 향후 한국 투자 전략은 대체로 변화가 없을 것 같다.

외국인	외국인/NNG
투자가들의	투자가/NNG+들/XSN+의/JKG
향후	향후/NNG
한국	한국/NNP
투자	투자/NNG
전략은	전략/NNG+은/JX
대체로	대체로/MAG
변화가	변화/NNG+가/JKS
없을	없/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000029.106.12.4
선진국 경제가 휘청거리는 상황에서 신흥국 시장을 놓칠 수 없고, 신흥국에서는 한국 주식이 가장 저평가돼 있다는 시각이 우세하기 때문이다.

선진국	선진국/NNG
경제가	경제/NNG+가/JKS
휘청거리는	휘청거리/VV+는/ETM
상황에서	상황/NNG+에서/JKB
신흥국	신흥국/NNG
시장을	시장/NNG+을/JKO
놓칠	놓치/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
신흥국에서는	신흥국/NNG+에서/JKB+는/JX
한국	한국/NNP
주식이	주식/NNG+이/JKS
가장	가장/MAG
저평가돼	저/XPN+평가/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
시각이	시각/NNG+이/JKS
우세하기	우세/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.106.13.1
○ “권력승계 과정은 지켜봐야”

○	○/SW
“권력승계	“/SS+권력/NNG+승계/NNG
과정은	과정/NNG+은/JX
지켜봐야”	지켜보/VV+아야/EC+”/SS


# id : NWRW1800000029.106.14.1
외국계 투자은행(IB)들은 김 위원장의 사망 영향을 제한적으로 평가하면서도 권력승계 과정은 주시할 필요가 있다고 경계했다.

외국계	외국/NNG+계/XSN
투자은행(IB)들은	투자/NNG+은행/NNG+(/SS+IB/SL+)/SS+들/XSN+은/JX
김	김/NNP
위원장의	위원장/NNG+의/JKG
사망	사망/NNG
영향을	영향/NNG+을/JKO
제한적으로	제한/NNG+적/XSN+으로/JKB
평가하면서도	평가/NNG+하/XSV+면서/EC+도/JX
권력승계	권력/NNG+승계/NNG
과정은	과정/NNG+은/JX
주시할	주시/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
경계했다.	경계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.14.2
이 과정이 어떻게 풀리느냐에 따라 악재가 불거질 수 있다는 얘기다.

이	이/MMD
과정이	과정/NNG+이/JKS
어떻게	어떻/VA+게/EC
풀리느냐에	풀리/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
악재가	악재/NNG+가/JKS
불거질	불거지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.106.14.3
프랑스계인 BNP파리바는 “새 지도자가 권력 강화를 위해 국내 문제에 전념하겠지만 내부의 권력투쟁이나 외부관계가 악화하면 상황은 달라질 수 있다”고 봤다.

프랑스계인	프랑스/NNP+계/XSN+이/VCP+ㄴ/ETM
BNP파리바는	BNP/SL+파리바/NNP+는/JX
“새	“/SS+새/MMA
지도자가	지도자/NNG+가/JKS
권력	권력/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
국내	국내/NNG
문제에	문제/NNG+에/JKB
전념하겠지만	전념/NNG+하/XSV+겠/EP+지만/EC
내부의	내부/NNG+의/JKG
권력투쟁이나	권력/NNG+투쟁/NNG+이나/JC
외부관계가	외부/NNG+관계/NNG+가/JKS
악화하면	악화/NNG+하/XSV+면/EC
상황은	상황/NNG+은/JX
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.106.14.4
금융위원회 측은 “19일 외국인 매도는 대부분 유럽계 자금이었고, 이는 김 위원장의 사망보다는 유럽 재정위기에 따른 매도”라며 “유동성 확보에 나선 유럽계 이외의 외국인은 한국시장에서 재투자 기회를 엿보고 있다”고 분석했다.

금융위원회	금융/NNG+위원회/NNG
측은	측/NNB+은/JX
“19일	“/SS+19/SN+일/NNB
외국인	외국인/NNG
매도는	매도/NNG+는/JX
대부분	대/XPN+부분/NNG
유럽계	유럽/NNP+계/XSN
자금이었고,	자금/NNG+이/VCP+었/EP+고/EC+,/SP
이는	이/NP+는/JX
김	김/NNP
위원장의	위원장/NNG+의/JKG
사망보다는	사망/NNG+보다/JKB+는/JX
유럽	유럽/NNP
재정위기에	재정/NNG+위기/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
매도”라며	매도/NNG+”/SS+이/VCP+라며/EC
“유동성	“/SS+유동/NNG+성/XSN
확보에	확보/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이외의	이외/NNG+의/JKG
외국인은	외국인/NNG+은/JX
한국시장에서	한국/NNP+시장/NNG+에서/JKB
재투자	재/XPN+투자/NNG
기회를	기회/NNG+를/JKO
엿보고	엿보/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


