# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.160
metadata : {}


# id : NWRW1800000041.160.1.1
[책의 향기/글로벌 북 카페]경제성장률 한계 부닥친 시진핑 체제… “과거가 비정상이고 현재가 정상” 최면

[책의	[/SS+책/NNG+의/JKG
권력’이라는	권력/NNG+’/SS+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.7.1
성장률이 한계에 부딪친 상황에서 바통을 넘겨받은 시진핑 체제는 사고의 전환을 시도하고 있다.

성장률이	성장/NNG+률/XSN+이/JKS
한계에	한계/NNG+에/JKB
부딪친	부딪치/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
바통을	바통/NNG+을/JKO
넘겨받은	넘겨받/VV+은/ETM
시진핑	시진핑/NNP
체제는	체제/NNG+는/JX
사고의	사고/NNG+의/JKG
전환을	전환/NNG+을/JKO
시도하고	시도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.160.7.2
국민에게 과거가 비정상이고 현재가 정상이라는 최면을 거는 것.

국민에게	국민/NNG+에게/JKB
과거가	과거/NNG+가/JKS
비정상이고	비/XPN+정상/NNG+이/VCP+고/EC
현재가	현재/NNG+가/JKS
정상이라는	정상/NNG+이/VCP+라는/ETM
최면을	최면/NNG+을/JKO
거는	걸/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.160.7.3
이참에 구조조정을 통한 체질개선을 해보겠다는 복안도 깔려 있다.

이참에	이참/NNG+에/JKB
구조조정을	구조/NNG+조정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
체질개선을	체질/NNG+개선/NNG+을/JKO
해보겠다는	하/VV+아/EC+보/VX+겠/EP+다는/ETM
복안도	복안/NNG+도/JX
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.160.7.4
여기서 나온 개념이 신창타이다.

여기서	여기/NP+서/JKB
나온	나오/VV+ㄴ/ETM
개념이	개념/NNG+이/JKS
신창타이다.	신창타이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.8.1
후수리(胡舒立) 중산(中山)대 교수는 “(후진타오 집권기인) 2003년 이후 중국은 국내총생산(GDP) 증가율이 떨어지는 것을 막기 위해 고정자산 투자를 늘리고 통화 공급을 확대했다.

후수리(胡舒立)	후수리/NNP+(/SS+胡舒立/SH+)/SS
중산(中山)대	중산/NNP+(/SS+中山/SH+)/SS+대/NNG
교수는	교수/NNG+는/JX
“(후진타오	“/SS+(/SS+후진타오/NNP
집권기인)	집권기/NNG+이/VCP+ㄴ/ETM+)/SS
2003년	2003/SN+년/NNB
이후	이후/NNG
중국은	중국/NNP+은/JX
국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
증가율이	증가/NNG+율/XSN+이/JKS
떨어지는	떨어지/VV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
고정자산	고정/NNG+자산/NNG
투자를	투자/NNG+를/JKO
늘리고	늘리/VV+고/EC
통화	통화/NNG
공급을	공급/NNG+을/JKO
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.160.8.2
이 때문에 10% 이상의 성장률을 기록한 적도 있었다.

이	이/MMD
때문에	때문/NNB+에/JKB
10%	10/SN+%/SW
이상의	이상/NNG+의/JKG
성장률을	성장/NNG+률/XSN+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.160.8.3
하지만 이는 비정상이었다”고 진단한다.

하지만	하지만/MAJ
이는	이/NP+는/JX
비정상이었다”고	비/XPN+정상/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
진단한다.	진단/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.160.9.1
다음 과제는 ‘어떻게’이다.

다음	다음/NNG
과제는	과제/NNG+는/JX
‘어떻게’이다.	‘/SS+어떻/VA+게/EC+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.9.2
경제라는 밥그릇을 깨지 않으면서 성장률 하락폭을 최대한 줄일 수 있는 방법론이 필요하다.

경제라는	경제/NNG+이/VCP+라는/ETM
밥그릇을	밥그릇/NNG+을/JKO
깨지	깨/VV+지/EC
않으면서	않/VX+으면서/EC
성장률	성장/NNG+률/XSN
하락폭을	하락/NNG+폭/NNG+을/JKO
최대한	최대한/MAG
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법론이	방법/NNG+론/XSN+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.160.9.3
우징롄(吳敬璉) 국무원 발전연구중심 연구원은 “(자원 배분의 최적화를 위해) 실효성 없는 투자를 중단하려면 ‘강시 기업(도산 직전 기업)’에 대한 수혈을 멈추고, 나랏돈으로 정부의 부채를 갚아 버려 시스템적 위기가 발생하지 않도록 해야 한다”고 주장한다.

우징롄(吳敬璉)	우징롄/NNP+(/SS+吳敬璉/SH+)/SS
국무원	국무원/NNG
발전연구중심	발전/NNG+연구/NNG+중심/NNG
연구원은	연구원/NNG+은/JX
“(자원	“/SS+(/SS+자원/NNG
배분의	배분/NNG+의/JKG
최적화를	최적/NNG+화/XSN+를/JKO
위해)	위하/VV+아/EC+)/SS
실효성	실효/NNG+성/XSN
없는	없/VA+는/ETM
투자를	투자/NNG+를/JKO
중단하려면	중단/NNG+하/XSV+려면/EC
‘강시	‘/SS+강시/NNG
기업(도산	기업/NNG+(/SS+도산/NNG
직전	직전/NNG
기업)’에	기업/NNG+)/SS+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
수혈을	수혈/NNG+을/JKO
멈추고,	멈추/VV+고/EC+,/SP
나랏돈으로	나랏돈/NNG+으로/JKB
정부의	정부/NNG+의/JKG
부채를	부채/NNG+를/JKO
갚아	갚/VV+아/EC
버려	버리/VX+어/EC
시스템적	시스템/NNG+적/XSN
위기가	위기/NNG+가/JKS
발생하지	발생/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
해야	하/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.160.9.4
부실한 민간 기업은 퇴출시키되 부실한 지방 정부는 재정 투입으로 건전화해야 한다는 것이다.

부실한	부실/NNG+하/XSA+ㄴ/ETM
민간	민간/NNG
기업은	기업/NNG+은/JX
퇴출시키되	퇴출/NNG+시키/XSV+되/EC
지방	지방/NNG
정부는	정부/NNG+는/JX
재정	재정/NNG
투입으로	투입/NNG+으로/JKB
건전화해야	건전/NNG+화/XSN+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.10.1
어찌 보면 당연하고 원론적인 대안이다.

어찌	어찌/MAG
보면	보/VV+면/EC
당연하고	당연/NNG+하/XSA+고/EC
원론적인	원론/NNG+적/XSN+이/VCP+ㄴ/ETM
대안이다.	대안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.10.2
하지만 많은 나라가 위기 극복 과정에서 이런 원칙을 지켜내지 못했다.

하지만	하지만/MAJ
많은	많/VA+은/ETM
나라가	나라/NNG+가/JKS
위기	위기/NNG
극복	극복/NNG
과정에서	과정/NNG+에서/JKB
이런	이런/MMD
원칙을	원칙/NNG+을/JKO
지켜내지	지키/VV+어/EC+내/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.160.10.3
전환기의 고통 때문이다.

전환기의	전환기/NNG+의/JKG
고통	고통/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.10.4
시 주석이 신창타이를 처음 언급하면서 “전략적 평상심을 유지해야 한다”고 말한 것도 이를 염두에 둔 것이다.

시	시/NNP
주석이	주석/NNG+이/JKS
신창타이를	신창타이/NNG+를/JKO
처음	처음/NNG
언급하면서	언급/NNG+하/XSV+면서/EC
“전략적	“/SS+전략/NNG+적/XSN
평상심을	평상심/NNG+을/JKO
유지해야	유지/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이를	이/NP+를/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.160.10.5
저우치런(周其仁) 베이징(北京)대 국가발전연구원 교수는 “연 14% 성장에 길들여진 국민이 7%대 성장 시대를 맞게 되면 공황 상태에 빠져 즉각적인 부양책을 요구한다”며 “정부가 이런 요구를 어떻게 통제하느냐가 관건”이라고 말했다.

저우치런(周其仁)	저우치런/NNP+(/SS+周其仁/SH+)/SS
베이징(北京)대	베이징/NNP+(/SS+北京/SH+)/SS+대/NNG
국가발전연구원	국가발전연구원/NNP
교수는	교수/NNG+는/JX
“연	“/SS+연/NNG
14%	14/SN+%/SW
성장에	성장/NNG+에/JKB
길들여진	길들이/VV+어/EC+지/VX+ㄴ/ETM
국민이	국민/NNG+이/JKS
7%대	7/SN+%/SW+대/XSN
성장	성장/NNG
시대를	시대/NNG+를/JKO
맞게	맞/VV+게/EC
되면	되/VV+면/EC
공황	공황/NNG
상태에	상태/NNG+에/JKB
빠져	빠지/VV+어/EC
즉각적인	즉각/MAG+적/XSN+이/VCP+ㄴ/ETM
부양책을	부양책/NNG+을/JKO
요구한다”며	요구/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“정부가	“/SS+정부/NNG+가/JKS
이런	이런/MMD
요구를	요구/NNG+를/JKO
어떻게	어떻/VA+게/EC
통제하느냐가	통제/NNG+하/XSV+느냐/EF+가/JKS
관건”이라고	관건/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


