# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.55
metadata : {}


# id : NWRW1800000046.55.1.1
[생생 ART] 세계 미술계를 쥐락펴락, 알 마야사 카타르 공주·알 카시미 UAE 샤르자 공주

[생생	[/SS+생생/XR
중심에	중심/NNG+에/JKB
두	두/MMN
'아랍	'/SS+아랍/NNP
공주'가	공주/NNG+'/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.55.4.2
카타르 알 마야사(32) 공주와 아랍에미리트연합(UAE) 샤르자 후르 알 카시미(35) 공주다.

카타르	카타르/NNP
알	알/NNP
마야사(32)	마야사/NNP+(/SS+32/SN+)/SS
공주와	공주/NNG+와/JC
아랍에미리트연합(UAE)	아랍에미리트연합/NNP+(/SS+UAE/SL+)/SS
샤르자	샤르자/NNP
후르	후르/NNP
카시미(35)	카시미/NNP+(/SS+35/SN+)/SS
공주다.	공주/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.55.4.3
30대 또래인 둘은 최근 몇 년 사이 세계 미술계를 쥐락펴락하는 VIP 리스트에 빠지지 않는다.

30대	30/SN+대/NNB
또래인	또래/NNG+이/VCP+ㄴ/ETM
둘은	둘/NR+은/JX
최근	최근/NNG
몇	몇/NR
년	년/NNB
사이	사이/NNG
세계	세계/NNG
미술계를	미술/NNG+계/XSN+를/JKO
쥐락펴락하는	쥐락펴락/MAG+하/XSV+는/ETM
VIP	VIP/SL
리스트에	리스트/NNG+에/JKB
빠지지	빠지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.55.4.4
카타르 공주는 2013년·2014년 '아트 리뷰' 선정 '예술계 파워 100인' 중 각각 1위와 13위를, 샤르자 공주는 2년 연속 48위를 차지했다.

카타르	카타르/NNP
공주는	공주/NNG+는/JX
2013년·2014년	2013/SN+년/NNB+·/SP+2014/SN+년/NNB
'아트	'/SS+아트/NNG
리뷰'	리뷰/NNG+'/SS
선정	선정/NNG
'예술계	'/SS+예술/NNG+계/XSN
파워	파워/NNG
100인'	100/SN+인/NNG+'/SS
중	중/NNB
각각	각각/MAG
1위와	1/SN+위/NNB+와/JC
13위를,	13/SN+위/NNB+를/JKO+,/SP
샤르자	샤르자/NNP
2년	2/SN+년/NNB
연속	연속/NNG
48위를	48/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.55.5.1
국왕 여동생(카타르 공주)과 국왕 딸(샤르자 공주)이라는 지위에서 오는 '절대 권력', 오일 머니로 쌓은 '재력'을 바탕으로 자국의 문화 산업은 물론이고 현대미술계에 영향을 미친다는 점에서 둘은 비슷하다.

국왕	국왕/NNG
여동생(카타르	여동생/NNG+(/SS+카타르/NNP
공주)과	공주/NNG+)/SS+과/JC
딸(샤르자	딸/NNG+(/SS+샤르자/NNP
공주)이라는	공주/NNG+)/SS+이/VCP+라는/ETM
지위에서	지위/NNG+에서/JKB
오는	오/VV+는/ETM
'절대	'/SS+절대/NNG
권력',	권력/NNG+'/SS+,/SP
오일	오일/NNG
머니로	머니/NNG+로/JKB
쌓은	쌓/VV+은/ETM
'재력'을	'/SS+재력/NNG+'/SS+을/JKO
바탕으로	바탕/NNG+으로/JKB
자국의	자국/NNG+의/JKG
문화	문화/NNG
산업은	산업/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
현대미술계에	현대/NNG+미술/NNG+계/XSN+에/JKB
영향을	영향/NNG+을/JKO
미친다는	미치/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
둘은	둘/NR+은/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000046.55.5.2
서구식 교육을 통해 예술을 보는 심미안(審美眼)을 기른 것도 닮은꼴.

서구식	서구식/NNG
교육을	교육/NNG+을/JKO
통해	통하/VV+아/EC
예술을	예술/NNG+을/JKO
보는	보/VV+는/ETM
심미안(審美眼)을	심미안/NNG+(/SS+審美眼/SH+)/SS+을/JKO
기른	기르/VV+ㄴ/ETM
것도	것/NNB+도/JX
닮은꼴.	닮은꼴/NNG+./SF


# id : NWRW1800000046.55.5.3
알 마야사 공주는 듀크대, 컬럼비아대 대학원을 거친 미국 유학파이고, 알 카시미 공주는 런던 슬레이드(Slade) 아트 스쿨, 왕립예술대에서 수학한 영국 유학파다.

알	알/NNP
마야사	마야사/NNP
공주는	공주/NNG+는/JX
듀크대,	듀크대/NNP+,/SP
컬럼비아대	컬럼비아대/NNP
대학원을	대학원/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
미국	미국/NNP
유학파이고,	유학파/NNG+이/VCP+고/EC+,/SP
카시미	카시미/NNP
런던	런던/NNP
슬레이드(Slade)	슬레이드/NNP+(/SS+Slade/SL+)/SS
아트	아트/NNP
스쿨,	스쿨/NNP+,/SP
왕립예술대에서	왕립예술대/NNP+에서/JKB
수학한	수학/NNG+하/XSV+ㄴ/ETM
영국	영국/NNP
유학파다.	유학파/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.55.6.1
화려한 외모로 전형적인 '아랍 공주' 이미지인 알 마야사 공주는 고가 미술품을 그러모으는 미술 시장 '큰손'형.

화려한	화려하/VA+ㄴ/ETM
외모로	외모/NNG+로/JKB
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
'아랍	'/SS+아랍/NNP
공주'	공주/NNG+'/SS
이미지인	이미지/NNG+이/VCP+ㄴ/ETM
알	알/NNP
마야사	마야사/NNP
공주는	공주/NNG+는/JX
고가	고가/NNG
미술품을	미술품/NNG+을/JKO
그러모으는	그러모으/VV+는/ETM
미술	미술/NNG
시장	시장/NNG
'큰손'형.	'/SS+큰손/NNG+'/SS+형/XSN+./SF


# id : NWRW1800000046.55.6.2
카타르가 중동의 문화 허브를 목표로 2005년 만든 카타르박물관위원회(QMA) 의장이다.

카타르가	카타르/NNP+가/JKS
중동의	중동/NNP+의/JKG
문화	문화/NNG
허브를	허브/NNG+를/JKO
목표로	목표/NNG+로/JKB
2005년	2005/SN+년/NNB
만든	만들/VV+ㄴ/ETM
카타르박물관위원회(QMA)	카타르박물관위원회/NNP+(/SS+QMA/SL+)/SS
의장이다.	의장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.55.6.3
QMA 산하 아랍현대미술관, 아랍박물관, 카타르국립박물관 등을 총괄한다.

QMA	QMA/SL
산하	산하/NNG
아랍현대미술관,	아랍현대미술관/NNP+,/SP
아랍박물관,	아랍박물관/NNP+,/SP
카타르국립박물관	카타르국립박물관/NNP
등을	등/NNB+을/JKO
총괄한다.	총괄/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.55.6.4
연간 10억달러(약 1조800억원)에 가까운 예산을 쏟아 부어 미술관을 채울 작품을 사들이고 있다.

연간	연간/NNG
10억달러(약	10/SN+억/NR+달러/NNB+(/SS+약/MMA
1조800억원)에	1/SN+조/NR+800/SN+억/NR+원/NNB+)/SS+에/JKB
가까운	가깝/VA+ㄴ/ETM
예산을	예산/NNG+을/JKO
쏟아	쏟/VV+아/EC
부어	붓/VV+어/EC
미술관을	미술관/NNG+을/JKO
채울	채우/VV+ㄹ/ETM
작품을	작품/NNG+을/JKO
사들이고	사들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.55.6.5
지난 2월 스위스 바젤에서 열린 비공개 경매에서 사상 최고가를 기록한 고갱의 '언제 결혼하니?'(3억달러), 그 이전까지 최고 낙찰가 기록을 갖고 있던 폴 세잔의 '카드 놀이를 하는 사람'(2011년, 2억5000만달러) 모두 이 공주가 구입한 걸로 알려져 있다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
스위스	스위스/NNP
바젤에서	바젤/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
비공개	비/XPN+공개/NNG
경매에서	경매/NNG+에서/JKB
사상	사상/NNG
최고가를	최고/NNG+가/XSN+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
고갱의	고갱/NNP+의/JKG
'언제	'/SS+언제/MAG
결혼하니?'(3억달러),	결혼/NNG+하/XSV+니/EF+?/SF+'/SS+(/SS+3/SN+억/NR+달러/NNB+)/SS+,/SP
그	그/MMD
이전까지	이전/NNG+까지/JX
최고	최고/NNG
낙찰가	낙찰/NNG+가/XSN
기록을	기록/NNG+을/JKO
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
폴	폴/NNP
세잔의	세잔/NNP+의/JKG
'카드	'/SS+카드/NNG
놀이를	놀이/NNG+를/JKO
하는	하/VV+는/ETM
사람'(2011년,	사람/NNG+'/SS+(/SS+2011/SN+년/NNB+,/SP
2억5000만달러)	2/SN+억/NR+5000/SN+만/NR+달러/NNB+)/SS
모두	모두/MAG
이	이/MMD
공주가	공주/NNG+가/JKS
구입한	구입/NNG+하/XSV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.55.6.6
데미안 허스트, 프랜시스 베이컨, 앤디 워홀 등도 구입 목록에 있다.

데미안	데미안/NNP
허스트,	허스트/NNP+,/SP
프랜시스	프랜시스/NNP
베이컨,	베이컨/NNP+,/SP
앤디	앤디/NNP
워홀	워홀/NNP
등도	등/NNB+도/JX
구입	구입/NNG
목록에	목록/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.55.7.1
수더분한 스타일의 알 카시미 샤르자 공주는 '비엔날레형 실력자'다.

수더분한	수더분하/VA+ㄴ/ETM
스타일의	스타일/NNG+의/JKG
알	알/NNP
카시미	카시미/NNP
샤르자	샤르자/NNP
공주는	공주/NNG+는/JX
'비엔날레형	'/SS+비엔날레/NNG+형/XSN
실력자'다.	실력자/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.55.7.2
대학에서 정치학, 문학을 전공한 알 마야사 공주와 달리 미술과 전시 기획을 전공했다.

대학에서	대학/NNG+에서/JKB
정치학,	정치학/NNG+,/SP
문학을	문학/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
알	알/NNP
마야사	마야사/NNP
공주와	공주/NNG+와/JKB
달리	달리/MAG
미술과	미술/NNG+과/JC
전시	전시/NNG
기획을	기획/NNG+을/JKO
전공했다.	전공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.55.7.3
작가로도 활동한다.

작가로도	작가/NNG+로/JKB+도/JX
활동한다.	활동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.55.7.4
2003년부터 샤르자예술재단을 이끌며 샤르자 비엔날레를 중동을 대표하는 미술 행사로 키워냈다.

2003년부터	2003/SN+년/NNB+부터/JX
샤르자예술재단을	샤르자/NNP+예술/NNG+재단/NNG+을/JKO
이끌며	이끌/VV+며/EC
샤르자	샤르자/NNP
비엔날레를	비엔날레/NNG+를/JKO
중동을	중동/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
미술	미술/NNG
행사로	행사/NNG+로/JKB
키워냈다.	키우/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.55.7.5
다음 달 열리는 베네치아 비엔날레에 UAE 국가관 총괄 기획자로 선정될 만큼 실력을 입증받았다.

다음	다음/NNG
달	달/NNG
열리는	열리/VV+는/ETM
베네치아	베네치아/NNP
비엔날레에	비엔날레/NNG+에/JKB
UAE	UAE/SL
국가관	국가관/NNG
총괄	총괄/NNG
기획자로	기획자/NNG+로/JKB
선정될	선정/NNG+되/XSV+ㄹ/ETM
만큼	만큼/NNB
실력을	실력/NNG+을/JKO
입증받았다.	입증/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.55.7.6
좋은 선구안으로 미술 시장 주요 흐름을 파악해 소리 소문 없이 작품을 사는 스타일.

좋은	좋/VA+은/ETM
선구안으로	선구안/NNG+으로/JKB
미술	미술/NNG
시장	시장/NNG
주요	주요/NNG
흐름을	흐름/NNG+을/JKO
파악해	파악/NNG+하/XSV+아/EC
소리	소리/NNG
소문	소문/NNG
없이	없이/MAG
작품을	작품/NNG+을/JKO
사는	살/VV+는/ETM
스타일.	스타일/NNG+./SF


# id : NWRW1800000046.55.7.7
최근엔 한국 단색화 붐을 읽고 정창섭 작품을 샀다고 한다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
한국	한국/NNP
단색화	단색화/NNG
붐을	붐/NNG+을/JKO
읽고	읽/VV+고/EC
정창섭	정창섭/NNP
작품을	작품/NNG+을/JKO
샀다고	사/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.55.8.1
지도층의 신분으로 해외에서 경험한 선진 문화·예술을 개인의 호사(豪奢) 취미가 아니라 사회의 문화 자산으로 활용하는 이들의 노력은 우리 사회에도 시사하는 바가 크다.

지도층의	지도/NNG+층/XSN+의/JKG
신분으로	신분/NNG+으로/JKB
해외에서	해외/NNG+에서/JKB
경험한	경험/NNG+하/XSV+ㄴ/ETM
선진	선진/NNG
문화·예술을	문화/NNG+·/SP+예술/NNG+을/JKO
개인의	개인/NNG+의/JKG
호사(豪奢)	호사/NNG+(/SS+豪奢/SH+)/SS
취미가	취미/NNG+가/JKC
아니라	아니/VCN+라/EC
사회의	사회/NNG+의/JKG
문화	문화/NNG
자산으로	자산/NNG+으로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
이들의	이/NNB+들/XSN+의/JKG
노력은	노력/NNG+은/JX
우리	우리/NP
사회에도	사회/NNG+에/JKB+도/JX
시사하는	시사/NNG+하/XSV+는/ETM
바가	바/NNB+가/JKS
크다.	크/VA+다/EF+./SF


