# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.86
metadata : {}


# id : NWRW1800000032.86.1.1
“잡스, 생부 모른채 여러번 만났다”

“잡스,	“/SS+잡스/NNP+,/SP
“몸이 (수술로) 열리는 것을 원치 않았고, 그 원칙을 지키고 싶었다”는 것이다.

“몸이	“/SS+몸/NNG+이/JKS
(수술로)	(/SS+수술/NNG+로/JKB+)/SS
열리는	열리/VV+는/ETM
것을	것/NNB+을/JKO
원치	원/NNG+하/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
그	그/MMD
원칙을	원칙/NNG+을/JKO
지키고	지키/VV+고/EC
싶었다”는	싶/VX+었/EP+다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.86.11.1
전기에는 잘 알려지지 않았던 잡스의 어린 시절 얘기와 애플에 얽힌 얘기들도 나온다.

전기에는	전기/NNG+에/JKB+는/JX
잘	잘/MAG
알려지지	알려지/VV+지/EC
않았던	않/VX+았/EP+던/ETM
잡스의	잡스/NNP+의/JKG
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
얘기와	얘기/NNG+와/JC
애플에	애플/NNP+에/JKB
얽힌	얽히/VV+ㄴ/ETM
얘기들도	얘기/NNG+들/XSN+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.86.11.2
잡스는 어린 시절, 학교에서 ‘왕따’를 당하기도 했고, 13살엔 미국 사진 주간지 <라이프>의 표지에서 굶주린 어린이의 사진을 본 뒤 신의 존재에 대한 회의감으로 교회에 발길을 끊었다고 한다.

잡스는	잡스/NNP+는/JX
어린	어리/VA+ㄴ/ETM
시절,	시절/NNG+,/SP
학교에서	학교/NNG+에서/JKB
‘왕따’를	‘/SS+왕따/NNG+’/SS+를/JKO
당하기도	당하/VV+기/ETN+도/JX
했고,	하/VX+았/EP+고/EC+,/SP
13살엔	13/SN+살/NNB+에/JKB+ㄴ/JX
미국	미국/NNP
사진	사진/NNG
주간지	주간지/NNG
<라이프>의	</SS+라이프/NNP+>/SS+의/JKG
표지에서	표지/NNG+에서/JKB
굶주린	굶주리/VV+ㄴ/ETM
어린이의	어린이/NNG+의/JKG
사진을	사진/NNG+을/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
신의	신/NNG+의/JKG
존재에	존재/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
회의감으로	회의감/NNG+으로/JKB
교회에	교회/NNG+에/JKB
발길을	발길/NNG+을/JKO
끊었다고	끊/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.86.12.1
10대 땐 일정 기간 과일과 채소를 한 종류만 먹는 기이한 식이요법을 쓰기도 했는데, ‘애플’이란 회사 이름도 이 ‘과일 다이어트’에서 나온 것이라고 아이작슨은 전했다.

10대	10/SN+대/NNB
땐	때/NNG+ㄴ/JX
일정	일정/NNG
기간	기간/NNG
과일과	과일/NNG+과/JC
채소를	채소/NNG+를/JKO
한	한/MMN
종류만	종류/NNG+만/JX
먹는	먹/VV+는/ETM
기이한	기이하/VA+ㄴ/ETM
식이요법을	식이/NNG+요법/NNG+을/JKO
쓰기도	쓰/VV+기/ETN+도/JX
했는데,	하/VX+았/EP+는데/EC+,/SP
‘애플’이란	‘/SS+애플/NNP+’/SS+이/VCP+란/ETM
회사	회사/NNG
이름도	이름/NNG+도/JX
이	이/MMD
‘과일	‘/SS+과일/NNG
다이어트’에서	다이어트/NNG+’/SS+에서/JKB
나온	나오/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
아이작슨은	아이작슨/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.12.2
1976년 과일 다이어트를 하던 잡스가 사과농장에서 막 돌아온 직후 애플이라는 단어가 “재미있고 영감을 주지만, 위협적이지 않다”고 느껴져 같은 해 회사를 설립할 때 애플로 이름을 지었다는 것이다.

1976년	1976/SN+년/NNB
과일	과일/NNG
다이어트를	다이어트/NNG+를/JKO
하던	하/VV+던/ETM
잡스가	잡스/NNP+가/JKS
사과농장에서	사과/NNG+농장/NNG+에서/JKB
막	막/MAG
돌아온	돌아오/VV+ㄴ/ETM
직후	직후/NNG
애플이라는	애플/NNP+이/VCP+라는/ETM
단어가	단어/NNG+가/JKS
“재미있고	“/SS+재미있/VA+고/EC
영감을	영감/NNG+을/JKO
주지만,	주/VV+지만/EC+,/SP
위협적이지	위협/NNG+적/XSN+이/VCP+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
느껴져	느끼/VV+어/EC+지/VX+어/EC
같은	같/VA+은/ETM
해	해/NNG
회사를	회사/NNG+를/JKO
설립할	설립/NNG+하/XSV+ㄹ/ETM
때	때/NNG
애플로	애플/NNP+로/JKB
이름을	이름/NNG+을/JKO
지었다는	짓/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.86.13.1
잡스는 애플에서 쫓겨난 뒤, 애플이 점점 쇠락해가는 것을 지켜보며 화가 났다는 사실도 털어놨다.

잡스는	잡스/NNP+는/JX
애플에서	애플/NNP+에서/JKB
쫓겨난	쫓겨나/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
애플이	애플/NNP+이/JKS
점점	점점/MAG
쇠락해가는	쇠락/NNG+하/XSV+아/EC+가/VX+는/ETM
것을	것/NNB+을/JKO
지켜보며	지켜보/VV+며/EC
화가	화/NNG+가/JKS
났다는	나/VV+았/EP+다는/ETM
사실도	사실/NNG+도/JX
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.13.2
그는 당시 애플에 들어간 사람들은 부패한 가치를 지닌 사람들로, 오직 자신을 위해 돈을 벌고 이익을 남기는 것을 최우선으로 했다고 경멸했다.

그는	그/NP+는/JX
당시	당시/NNG
애플에	애플/NNP+에/JKB
들어간	들어가/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
부패한	부패/NNG+하/XSV+ㄴ/ETM
가치를	가치/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
사람들로,	사람/NNG+들/XSN+로/JKB+,/SP
오직	오직/MAG
자신을	자신/NNG+을/JKO
위해	위하/VV+아/EC
돈을	돈/NNG+을/JKO
벌고	벌/VV+고/EC
이익을	이익/NNG+을/JKO
남기는	남기/VV+는/ETM
것을	것/NNB+을/JKO
최우선으로	최/XPN+우선/NNG+으로/JKB
했다고	하/VV+았/EP+다고/EC
경멸했다.	경멸/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.86.13.3
잡스는 조너선 아이브 애플 디자인 부사장을 ‘영혼의 파트너’로 꼽으며, 자신을 제외하고 애플에서 가장 실행력이 뛰어난 사람으로 꼽기도 했다.

잡스는	잡스/NNP+는/JX
조너선	조너선/NNP
아이브	아이브/NNP
애플	애플/NNP
디자인	디자인/NNG
부사장을	부사장/NNG+을/JKO
‘영혼의	‘/SS+영혼/NNG+의/JKG
파트너’로	파트너/NNG+’/SS+로/JKB
꼽으며,	꼽/VV+으며/EC+,/SP
자신을	자신/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
애플에서	애플/NNP+에서/JKB
가장	가장/MAG
실행력이	실행력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
사람으로	사람/NNG+으로/JKB
꼽기도	꼽/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.86.14.1
이런 잡스의 인터뷰가 담긴 녹음테이프는 23일 아이작슨의 인터뷰와 함께 <시비에스>에서 일부 공개될 예정이다.

이런	이런/MMD
잡스의	잡스/NNP+의/JKG
인터뷰가	인터뷰/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
녹음테이프는	녹음테이프/NNG+는/JX
23일	23/SN+일/NNB
아이작슨의	아이작슨/NNP+의/JKG
인터뷰와	인터뷰/NNG+와/JKB
함께	함께/MAG
<시비에스>에서	</SS+시비에스/NNP+>/SS+에서/JKB
일부	일부/NNG
공개될	공개/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


