# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.230
metadata : {}


# id : NWRW1800000022.230.1.1
[충청] '토바우' 명품화 위한 사료공장 완공 전국 최대 하루 400t 생산

[충청]	[/SS+충청/NNP+]/SS
14개	14/SN+개/NNB
축협으로	축협/NNP+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
토바우조합장운영협의회가	토바우조합장운영협의회/NNP+가/JKS
토바우를	토바우/NNP+를/JKO
국내	국내/NNG
최고	최고/NNG
한우	한우/NNG
브랜드로	브랜드/NNG+로/JKB
육성하기	육성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
모두	모두/MAG
132억원을	132/SN+억/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
건립했다.	건립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.230.5.1
2만5446㎡의 터에 연면적 6470㎡인 이 공장은 국내 최대 규모인 하루 평균 400t의 사료를 생산할 수 있다.

2만5446㎡의	2/SN+만/NR+5446/SN+㎡/SW+의/JKG
터에	터/NNG+에/JKB
연면적	연면적/NNG
6470㎡인	6470/SN+㎡/SW+이/VCP+ㄴ/ETM
이	이/MMD
공장은	공장/NNG+은/JX
국내	국내/NNG
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
하루	하루/NNG
평균	평균/NNG
400t의	400/SN+t/SW+의/JKG
사료를	사료/NNG+를/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.230.5.2
이는 하루 4만마리에게 줄 수 있는 양이다.

이는	이/NP+는/JX
하루	하루/NNG
4만마리에게	4/SN+만/NR+마리/NNB+에게/JKB
줄	주/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
양이다.	양/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.230.5.3
하루 200t을 추가 생산할 수 있는 예비 증설라인도 갖추고 있다.

하루	하루/NNG
200t을	200/SN+t/SW+을/JKO
추가	추가/NNG
생산할	생산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
예비	예비/NNG
증설라인도	증설/NNG+라인/NNG+도/JX
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.230.5.4
특히 사료원료의 80% 이상을 수입산에 의존하는 기존 배합사료와 달리 순수하게 국내에서 생산되는 청보리와 호맥 등을 이용해 제조, 수입대체 효과도 기대된다.

특히	특히/MAG
사료원료의	사료/NNG+원료/NNG+의/JKG
80%	80/SN+%/SW
이상을	이상/NNG+을/JKO
수입산에	수입/NNG+산/XSN+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
기존	기존/NNG
배합사료와	배합/NNG+사료/NNG+와/JKB
달리	달리/MAG
순수하게	순수/NNG+하/XSA+게/EC
국내에서	국내/NNG+에서/JKB
생산되는	생산/NNG+되/XSV+는/ETM
청보리와	청보리/NNG+와/JC
호맥	호맥/NNG
등을	등/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
제조,	제조/NNG+,/SP
수입대체	수입/NNG+대체/NNG
효과도	효과/NNG+도/JX
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.230.6.1
정창현 운영협의회의장은 "토바우의 경쟁력을 높이려면 생산농가에 저렴하면서도 질 좋은 사료를 안정적으로 공급하는 게 시급하다는 판단에 따른 것"이라고 말했다.

정창현	정창현/NNP
운영협의회의장은	운영/NNG+협의회/NNG+의장/NNG+은/JX
"토바우의	"/SS+토바우/NNP+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높이려면	높이/VV+려면/EC
생산농가에	생산/NNG+농가/NNG+에/JKB
저렴하면서도	저렴하/VA+면서/EC+도/JX
질	질/NNG
좋은	좋/VA+은/ETM
사료를	사료/NNG+를/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
공급하는	공급/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
시급하다는	시급하/VA+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.230.7.1
'충남의 토박이 한우'란 뜻의 토바우는 2005년 10월부터 시판 중인 한우고기 광역브랜드이다.

'충남의	'/SS+충남/NNP+의/JKG
토박이	토박이/NNG
한우'란	한우/NNG+'/SS+이/VCP+란/ETM
뜻의	뜻/NNG+의/JKG
토바우는	토바우/NNP+는/JX
2005년	2005/SN+년/NNB
10월부터	10/SN+월/NNB+부터/JX
시판	시판/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
한우고기	한우/NNG+고기/NNG
광역브랜드이다.	광역/NNG+브랜드/NNG+이/VCP+다/EF+./SF


