# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.147
metadata : {}


# id : NWRW1800000046.147.1.1
"착륙高度 너무 낮아… 2년전 참사(美샌프란시스코공항 사고) 되풀이할 뻔"

"착륙高度	"/SS+착륙/NNG+高度/SH
이번 히로시마공항 사고에서는 탑승자 81명 중 27명(승객 25명·승무원 2명)이 타박상 등 경상을 입어 병원 진료를 받은 것으로 최종 집계됐다.

이번	이번/NNG
히로시마공항	히로시마공항/NNP
사고에서는	사고/NNG+에서/JKB+는/JX
탑승자	탑승자/NNG
81명	81/SN+명/NNB
중	중/NNB
27명(승객	27/SN+명/NNB+(/SS+승객/NNG
25명·승무원	25/SN+명/NNB+·/SP+승무원/NNG
2명)이	2/SN+명/NNB+)/SS+이/JKS
타박상	타박상/NNG
등	등/NNB
경상을	경상/NNG+을/JKO
입어	입/VV+어/EC
병원	병원/NNG
진료를	진료/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
최종	최종/NNG
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.147.5.1
사고가 난 아시아나항공 여객기는 14일 오후 6시 34분 인천공항을 출발해 8시 5분쯤 히로시마공항 활주로에 진입했다.

사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
아시아나항공	아시아나항공/NNP
여객기는	여객기/NNG+는/JX
14일	14/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
34분	34/SN+분/NNB
인천공항을	인천공항/NNP+을/JKO
출발해	출발/NNG+하/XSV+아/EC
8시	8/SN+시/NNB
5분쯤	5/SN+분/NNB+쯤/XSN
히로시마공항	히로시마공항/NNP
활주로에	활주로/NNG+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.5.2
당시 히로시마공항 일대는 비가 내리고 안개가 껴 착륙하기 직전엔 공항 시정 거리가 500m 아래로 뚝 떨어졌다.

당시	당시/NNG
히로시마공항	히로시마공항/NNP
일대는	일대/NNG+는/JX
비가	비/NNG+가/JKS
내리고	내리/VV+고/EC
안개가	안개/NNG+가/JKS
껴	끼/VV+어/EC
착륙하기	착륙/NNG+하/XSV+기/ETN
직전엔	직전/NNG+에/JKB+ㄴ/JX
공항	공항/NNG
시정	시정/NNG
거리가	거리/NNG+가/JKS
500m	500/SN+m/SW
아래로	아래/NNG+로/JKB
뚝	뚝/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.147.5.3
더구나 활주로 방향인 서쪽에서 동쪽으로 항공기를 미는 '뒷바람'이 불어, 일본 관제탑은 평소와는 달리 역방향(동→서쪽 방향)으로 진입하라고 지시했다.

더구나	더구나/MAG
활주로	활주로/NNG
방향인	방향/NNG+이/VCP+ㄴ/ETM
서쪽에서	서쪽/NNG+에서/JKB
동쪽으로	동쪽/NNG+으로/JKB
항공기를	항공기/NNG+를/JKO
미는	밀/VV+는/ETM
'뒷바람'이	'/SS+뒷바람/NNG+'/SS+이/JKS
불어,	불/VV+어/EC+,/SP
일본	일본/NNP
관제탑은	관제탑/NNG+은/JX
평소와는	평소/NNG+와/JKB+는/JX
달리	달리/MAG
역방향(동→서쪽	역방향/NNG+(/SS+동/NNG+→/SW+서쪽/NNG
방향)으로	방향/NNG+)/SS+으로/JKB
진입하라고	진입/NNG+하/XSV+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.5.4
이 때문에 기장은 자동 착륙 대신 수동 착륙을 시도했다.

이	이/NP
때문에	때문/NNB+에/JKB
기장은	기장/NNG+은/JX
자동	자동/NNG
착륙	착륙/NNG
대신	대신/NNG
수동	수동/NNG
착륙을	착륙/NNG+을/JKO
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.5.5
이 같은 상황에서 여객기는 비정상적으로 낮은 고도로 비행했으며, 바퀴가 활주로 앞에 있는 6.4m 높이 무선설비와 부딪쳤다고 일본 언론은 전했다.

이	이/NP
같은	같/VA+은/ETM
상황에서	상황/NNG+에서/JKB
여객기는	여객기/NNG+는/JX
비정상적으로	비/XPN+정상/NNG+적/XSN+으로/JKB
낮은	낮/VA+은/ETM
고도로	고도/NNG+로/JKB
비행했으며,	비행/NNG+하/XSV+았/EP+으며/EC+,/SP
바퀴가	바퀴/NNG+가/JKS
활주로	활주로/NNG
앞에	앞/NNG+에/JKB
있는	있/VA+는/ETM
6.4m	6/SN+./SP+4/SN+m/SW
높이	높이/MAG
무선설비와	무선/NNG+설비/NNG+와/JKB
부딪쳤다고	부딪치/VV+었/EP+다고/EC
일본	일본/NNP
언론은	언론/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.5.6
여객기는 결국 활주로를 남쪽으로 벗어나 오던 방향과 역방향으로 멈춰 섰다.

여객기는	여객기/NNG+는/JX
결국	결국/MAG
활주로를	활주로/NNG+를/JKO
남쪽으로	남쪽/NNG+으로/JKB
벗어나	벗어나/VV+아/EC
오던	오/VX+던/ETM
방향과	방향/NNG+과/JC
역방향으로	역방향/NNG+으로/JKB
멈춰	멈추/VV+어/EC
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.147.5.7
사고 여객기는 수평 꼬리와 양쪽 날개, 왼쪽 주요 바퀴 다리가 부서진 상태다.

사고	사고/NNG
여객기는	여객기/NNG+는/JX
수평	수평/NNG
꼬리와	꼬리/NNG+와/JC
양쪽	양쪽/NNG
날개,	날개/NNG+,/SP
왼쪽	왼쪽/NNG
주요	주요/NNG
바퀴	바퀴/NNG
다리가	다리/NNG+가/JKS
부서진	부서지/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.147.6.1
여객기가 멈춰 설 때까지 여객기 안에선 상당한 혼란이 벌어진 것으로 보인다고 마이니치신문은 보도했다.

여객기가	여객기/NNG+가/JKS
멈춰	멈추/VV+어/EC
설	서/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
여객기	여객기/NNG
안에선	안/NNG+에서/JKB+ㄴ/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
혼란이	혼란/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
마이니치신문은	마이니치신문/NNP+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.6.2
사고 당시 기체와 활주로 사이에 "불꽃이 튀었다"는 목격담이 이어졌다.

사고	사고/NNG
당시	당시/NNG
기체와	기체/NNG+와/JC
활주로	활주로/NNG
사이에	사이/NNG+에/JKB
"불꽃이	"/SS+불꽃/NNG+이/JKS
튀었다"는	튀/VV+었/EP+다/EF+"/SS+는/ETM
목격담이	목격담/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.147.6.3
여객기에서 탈출한 한 승객은 "승무원이 여객기 중앙에 있는 비상구가 열리지 않자 냉정함을 잃은 모습이었다"면서 "'이제 안 될지도 모른다'고 생각했는데, (다른 승무원이) '후방으로 피하라'고 외쳤다"고 말했다.

여객기에서	여객기/NNG+에서/JKB
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
한	한/MMN
승객은	승객/NNG+은/JX
"승무원이	"/SS+승무원/NNG+이/JKS
여객기	여객기/NNG
중앙에	중앙/NNG+에/JKB
있는	있/VA+는/ETM
비상구가	비상구/NNG+가/JKS
열리지	열리/VV+지/EC
않자	않/VX+자/EC
냉정함을	냉정/NNG+하/XSA+ㅁ/ETN+을/JKO
잃은	잃/VV+은/ETM
모습이었다"면서	모습/NNG+이/VCP+었/EP+다/EF+"/SS+면서/EC
"'이제	"/SS+'/SS+이제/MAG
안	안/MAG
될지도	되/VV+ㄹ지/EC+도/JX
모른다'고	모르/VV+ㄴ다/EF+'/SS+고/JKQ
생각했는데,	생각/NNG+하/XSV+았/EP+는데/EC+,/SP
(다른	(/SS+다른/MMD
승무원이)	승무원/NNG+이/JKS+)/SS
'후방으로	'/SS+후방/NNG+으로/JKB
피하라'고	피하/VV+라/EF+'/SS+고/JKQ
외쳤다"고	외치/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.6.4
아시아나항공은 "1분 안에 81명을 모두 무사히 대피시켰다"고 말했다.

아시아나항공은	아시아나항공/NNP+은/JX
"1분	"/SS+1/SN+분/NNB
안에	안/NNG+에/JKB
81명을	81/SN+명/NNB+을/JKO
모두	모두/MAG
무사히	무사히/MAG
대피시켰다"고	대피/NNG+시키/XSV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.7.1
일본 정부는 정확한 사고 경위를 파악하는 데 주력하고 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
정확한	정확/NNG+하/XSA+ㄴ/ETM
사고	사고/NNG
경위를	경위/NNG+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
데	데/NNB
주력하고	주력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.147.7.2
조종사 실수 여부와 함께 공항의 정밀계기착륙장치(ILS)가 제대로 작동했는지도 조사 중이다.

조종사	조종사/NNG
실수	실수/NNG
여부와	여부/NNG+와/JKB
함께	함께/MAG
공항의	공항/NNG+의/JKG
정밀계기착륙장치(ILS)가	정밀/NNG+계기/NNG+착륙/NNG+장치/NNG+(/SS+ILS/SL+)/SS+가/JKS
제대로	제대로/MAG
작동했는지도	작동/NNG+하/XSV+았/EP+는지/EF+도/JX
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.147.7.3
아시아나항공은 이날 새벽 사고 수습을 위해 특별기를 일본에 보냈다.

아시아나항공은	아시아나항공/NNP+은/JX
이날	이날/NNG
새벽	새벽/NNG
사고	사고/NNG
수습을	수습/NNG+을/JKO
위해	위하/VV+아/EC
특별기를	특별기/NNG+를/JKO
일본에	일본/NNP+에/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.147.7.4
아시아나항공 직원 37명과 항공·철도사고조사위 조사관 6명, 국토교통부 항공안전감독관 2명 등 45명이 탔다.

아시아나항공	아시아나항공/NNP
직원	직원/NNG
37명과	37/SN+명/NNB+과/JC
항공·철도사고조사위	항공/NNG+·/SP+철도/NNG+사고/NNG+조사위/NNG
조사관	조사관/NNG
6명,	6/SN+명/NNB+,/SP
국토교통부	국토/NNG+교통부/NNG
항공안전감독관	항공/NNG+안전/NNG+감독관/NNG
2명	2/SN+명/NNB
등	등/NNB
45명이	45/SN+명/NNB+이/JKS
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.147.7.5
아시아나항공은 "탑승객과 국민 여러분께 심려를 끼친 데 사과드린다"고 밝혔다.

아시아나항공은	아시아나항공/NNP+은/JX
"탑승객과	"/SS+탑승객/NNG+과/JC
국민	국민/NNG
여러분께	여러분/NP+께/JKB
심려를	심려/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
데	데/NNB
사과드린다"고	사과/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.147.7.6
국토부는 긴급 안전 대책 점검회의를 열고 국내 항공사들에 "안전에 최우선 가치를 둬야 한다. 최고경영자(CEO)가 직접 관심을 갖고 챙겨 달라"고 당부했다.

국토부는	국토부/NNG+는/JX
긴급	긴급/NNG
안전	안전/NNG
대책	대책/NNG
점검회의를	점검/NNG+회의/NNG+를/JKO
열고	열/VV+고/EC
국내	국내/NNG
항공사들에	항공사/NNG+들/XSN+에/JKB
"안전에	"/SS+안전/NNG+에/JKB
최우선	최/XPN+우선/NNG
가치를	가치/NNG+를/JKO
둬야	두/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF
최고경영자(CEO)가	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+가/JKS
직접	직접/MAG
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
챙겨	챙기/VV+어/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


