# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.397
metadata : {}


# id : NWRW1800000029.397.1.1
민주 ‘12월 통합의결-1월 全大’ 합의

민주	민주/NNP
당헌	당헌/NNG
당규에	당규/NNG+에/JKB
맞는다”며	맞/VV+는다/EF+”/SS+며/EC
“(신	“/SS+(/SS+신/NNP
고문의)	고문/NNG+의/JKG+)/SS
중재안이	중재안/NNG+이/JKS
(그전에	(/SS+그전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
양측	양측/NNG
주장에)	주장/NNG+에/JKB+)/SS
근접된	근접/NNG+되/XSV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
중재안에	중재안/NNG+에/JKB
따르더라도	따르/VV+더라도/EC
수임기구는	수임/NNG+기구/NNG+는/JX
통합의	통합/NNG+의/JKG
부속기관	부속/NNG+기관/NNG
역할밖에	역할/NNG+밖에/JX
못하기	못하/VX+기/ETN
때문에	때문/NNB+에/JKB
(당헌당규상)	(/SS+당헌/NNG+당규/NNG+상/XSN+)/SS
문제가	문제/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


