# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.409
metadata : {}


# id : NWRW1800000046.409.1.1
[No-show 사라진 양심 '예약 부도'](제2부-6) "한국인들은 RSVP 안해"… 美서 눈총받는 교포들

[No-show	[/SS+No/SL+-/SO+show/SL
보냈지만	보내/VV+었/EP+지만/EC
답장을	답장/NNG+을/JKO
거의	거의/MAG
받지	받/VV+지/EC
못하자	못하/VX+자/EC
답답한	답답하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
글이었다.	글/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.409.4.1
북미나 유럽·일본 등 선진국에서는 결혼식이나 파티 등을 여는 주최 측이 발송하는 초대장 끝에 'RSVP'란 단어가 빠지지 않는다.

북미나	북미/NNP+나/JC
유럽·일본	유럽/NNP+·/SP+일본/NNP
등	등/NNB
선진국에서는	선진국/NNG+에서/JKB+는/JX
결혼식이나	결혼식/NNG+이나/JC
파티	파티/NNG
등을	등/NNB+을/JKO
여는	열/VV+는/ETM
주최	주최/NNG
측이	측/NNB+이/JKS
발송하는	발송/NNG+하/XSV+는/ETM
초대장	초대장/NNG
끝에	끝/NNG+에/JKB
'RSVP'란	'/SS+RSVP/SL+'/SS+이/VCP+란/ETM
단어가	단어/NNG+가/JKS
빠지지	빠지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.409.4.2
프랑스어 'R?pondez s'il vous pla?t(회답해주시기 바랍니다)'의 앞글자를 딴 RSVP는 행사에 참석할지 되도록 답해 달라는 뜻이다.

프랑스어	프랑스어/NNP
'R?pondez	'/SS+R/SL+?/NA+pondez/SL
s'il	s/SL+'/SS+il/SL
vous	vous/SL
pla?t(회답해주시기	pla/SL+?/NA+t/SL+(/SS+회답/NNG+하/XSV+아/EC+주/VX+시/EP+기/ETN
바랍니다)'의	바라/VV+ㅂ니다/EF+)/SS+'/SS+의/JKG
앞글자를	앞/NNG+글자/NNG+를/JKO
딴	따/VV+ㄴ/ETM
RSVP는	RSVP/SL+는/JX
행사에	행사/NNG+에/JKB
참석할지	참석/NNG+하/XSV+ㄹ지/EF
되도록	되/VV+도록/EC
답해	답/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.409.4.3
실제 선진국에선 초청장을 받으면 반드시 참석 여부에 대한 답을 주는 게 에티켓이다.

실제	실제/NNG
선진국에선	선진국/NNG+에서/JKB+ㄴ/JX
초청장을	초청장/NNG+을/JKO
받으면	받/VV+으면/EC
반드시	반드시/MAG
참석	참석/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
답을	답/NNG+을/JKO
주는	주/VV+는/ETM
게	거/NNB+이/JKS
에티켓이다.	에티켓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.409.5.1
정씨는 본지 통화에서 "처음엔 초청을 받고도 답을 하지 않는 것이 동서양의 문화 차이 때문 아닌가 생각했는데 그게 아니었다"고 말했다.

정씨는	정/NNP+씨/NNB+는/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"처음엔	"/SS+처음/NNG+에/JKB+ㄴ/JX
초청을	초청/NNG+을/JKO
받고도	받/VV+고/EC+도/JX
답을	답/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
동서양의	동서양/NNG+의/JKG
문화	문화/NNG
차이	차이/NNG
때문	때문/NNB
아닌가	아니/VCN+ㄴ가/EF
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
그게	그거/NP+이/JKC
아니었다"고	아니/VCN+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.409.5.2
정씨는 초청장에 대한 답장이 없자 일일이 전화로 결혼식 참석 여부를 물었다고 한다.

정씨는	정/NNP+씨/NNB+는/JX
초청장에	초청장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
답장이	답장/NNG+이/JKS
없자	없/VA+자/EC
일일이	일일이/MAG
전화로	전화/NNG+로/JKB
결혼식	결혼식/NNG
참석	참석/NNG
여부를	여부/NNG+를/JKO
물었다고	묻/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.409.5.3
하지만 '참석하겠다'고 답해놓고 결혼식장에 오지 않은 사람이 10명이 넘었다.

하지만	하지만/MAJ
'참석하겠다'고	'/SS+참석/NNG+하/XSV+겠/EP+다/EF+'/SS+고/JKQ
답해놓고	답/NNG+하/XSV+아/EC+놓/VX+고/EC
결혼식장에	결혼식장/NNG+에/JKB
오지	오/VV+지/EC
않은	않/VX+은/ETM
사람이	사람/NNG+이/JKS
10명이	10/SN+명/NNB+이/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.409.5.4
그는 "초청을 받고 참석 여부를 알려주지 않는 것도 문제지만, 참석하겠다고 해놓고 안 나타나는 것이 더 문제"라며 "미국에 사는 한국 교포 중에 이런 행동으로 눈총을 받는 경우가 많다"고 했다.

그는	그/NP+는/JX
"초청을	"/SS+초청/NNG+을/JKO
받고	받/VV+고/EC
참석	참석/NNG
여부를	여부/NNG+를/JKO
알려주지	알리/VV+어/EC+주/VX+지/EC
않는	않/VX+는/ETM
것도	것/NNB+도/JX
문제지만,	문제/NNG+이/VCP+지만/EC+,/SP
참석하겠다고	참석/NNG+하/XSV+겠/EP+다고/EC
해놓고	하/VV+아/EC+놓/VX+고/EC
안	안/MAG
나타나는	나타나/VV+는/ETM
것이	것/NNB+이/JKS
더	더/MAG
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
"미국에	"/SS+미국/NNP+에/JKB
사는	살/VV+는/ETM
한국	한국/NNP
교포	교포/NNG
중에	중/NNB+에/JKB
이런	이런/MMD
행동으로	행동/NNG+으로/JKB
눈총을	눈총/NNG+을/JKO
받는	받/VV+는/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.409.6.1
3년 전 서울에 유학 온 미국인 레이먼드(42)씨는 "작년과 올해 외국인 친구들과 연극 공연을 하게 돼 한국인 지인들에게 초대장을 보내면서 참석 여부를 알려달라는 추신을 달았는데, 아무도 답장을 하지 않더라"며 "공연장 좌석이 한정돼 있어 참석 인원을 파악하려는 건데, 한국인들은 좀체 참석 여부를 알려주지 않으니 난감하더라"고 했다.

3년	3/SN+년/NNB
전	전/NNG
서울에	서울/NNP+에/JKB
유학	유학/NNG
온	오/VV+ㄴ/ETM
미국인	미국인/NNG
레이먼드(42)씨는	레이먼드/NNP+(/SS+42/SN+)/SS+씨/NNB+는/JX
"작년과	"/SS+작년/NNG+과/JC
올해	올해/NNG
외국인	외국인/NNG
친구들과	친구/NNG+들/XSN+과/JKB
연극	연극/NNG
공연을	공연/NNG+을/JKO
하게	하/VV+게/EC
돼	되/VV+어/EC
한국인	한국인/NNG
지인들에게	지인/NNG+들/XSN+에게/JKB
초대장을	초대장/NNG+을/JKO
보내면서	보내/VV+면서/EC
참석	참석/NNG
여부를	여부/NNG+를/JKO
알려달라는	알리/VV+어/EC+달/VX+라는/ETM
추신을	추신/NNG+을/JKO
달았는데,	달/VV+았/EP+는데/EC+,/SP
아무도	아무/NP+도/JX
답장을	답장/NNG+을/JKO
하지	하/VV+지/EC
않더라"며	않/VX+더라/EF+"/SS+며/EC
"공연장	"/SS+공연장/NNG
좌석이	좌석/NNG+이/JKS
한정돼	한정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
인원을	인원/NNG+을/JKO
파악하려는	파악/NNG+하/XSV+려는/ETM
건데,	거/NNB+이/VCP+ㄴ데/EC+,/SP
한국인들은	한국인/NNG+들/XSN+은/JX
좀체	좀체/MAG
알려주지	알리/VV+어/EC+주/VX+지/EC
않으니	않/VX+으니/EC
난감하더라"고	난감하/VA+더라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.409.6.2
한국에서 10년째 사는 일본인 이노우에(여·42)씨도 "일본에서 결혼식 피로연에 참석하려면 RSVP에 답장을 하는 게 필수"라며 "청첩장에 동봉돼 있는 회신 엽서에 이름과 주소를 적어 신랑·신부 측에 보내야만 피로연에 참석할 수 있다"고 했다.

한국에서	한국/NNP+에서/JKB
10년째	10/SN+년/NNB+째/XSN
사는	살/VV+는/ETM
일본인	일본인/NNG
이노우에(여·42)씨도	이노우에/NNP+(/SS+여/NNG+·/SP+42/SN+)/SS+씨/NNB+도/JX
"일본에서	"/SS+일본/NNP+에서/JKB
결혼식	결혼식/NNG
피로연에	피로연/NNG+에/JKB
참석하려면	참석/NNG+하/XSV+려면/EC
RSVP에	RSVP/SL+에/JKB
답장을	답장/NNG+을/JKO
하는	하/VV+는/ETM
게	거/NNB+이/JKS
필수"라며	필수/NNG+"/SS+이/VCP+라며/EC
"청첩장에	"/SS+청첩장/NNG+에/JKB
동봉돼	동봉/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
회신	회신/NNG
엽서에	엽서/NNG+에/JKB
이름과	이름/NNG+과/JC
주소를	주소/NNG+를/JKO
적어	적/VV+어/EC
신랑·신부	신랑/NNG+·/SP+신부/NNG
측에	측/NNB+에/JKB
보내야만	보내/VV+어야/EC+만/JX
참석할	참석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


