# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.305
metadata : {}


# id : NWRW1800000029.305.1.1
[특파원 칼럼/구자룡]美서 자세 낮춘 후 주석의 속내는

[특파원	[/SS+특파원/NNG
커질	커지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.10.1
격월간 포린 폴리시(FP) 최근호는 ‘늑대 소년 우화’가 중국에 대한 경각심을 높이는 가장 적절한 비유가 될 수 있다고 소개했다.

격월간	격월간/NNG
포린	포린/NNP
폴리시(FP)	폴리시/NNP+(/SS+FP/SL+)/SS
최근호는	최근/NNG+호/NNB+는/JX
‘늑대	‘/SS+늑대/NNG
소년	소년/NNG
우화’가	우화/NNG+’/SS+가/JKS
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
경각심을	경각심/NNG+을/JKO
높이는	높이/VV+는/ETM
가장	가장/MAG
적절한	적절하/VA+ㄴ/ETM
비유가	비유/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.10.2
소련과 일본은 늑대 소년의 외침과 달리 오지 않았지만 ‘중국은 진짜 늑대’라는 것.

소련과	소련/NNP+과/JC
일본은	일본/NNP+은/JX
늑대	늑대/NNG
소년의	소년/NNG+의/JKG
외침과	외침/NNG+과/JKB
달리	달리/MAG
오지	오/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
‘중국은	‘/SS+중국/NNP+은/JX
진짜	진짜/NNG
늑대’라는	늑대/NNG+’/SS+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.305.10.3
‘중국이 세계를 지배하면’을 쓴 마틴 자크 교수는 “중국인은 시간은 우리 편이라고 생각하며 장기적으로 바라본다”고 말했다.

‘중국이	‘/SS+중국/NNP+이/JKS
세계를	세계/NNG+를/JKO
지배하면’을	지배/NNG+하/XSV+면/EC+’/SS+을/JKO
쓴	쓰/VV+ㄴ/ETM
마틴	마틴/NNP
자크	자크/NNP
교수는	교수/NNG+는/JX
“중국인은	“/SS+중국인/NNG+은/JX
시간은	시간/NNG+은/JX
우리	우리/NP
편이라고	편/NNB+이/VCP+라고/EC
생각하며	생각/NNG+하/XSV+며/EC
장기적으로	장기/NNG+적/XSN+으로/JKB
바라본다”고	바라보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.11.1
후 주석이 이번 미국 방문에서 중국의 인권 문제 등을 수긍하며 비교적 낮은 자세를 보인 속내를 알 수는 없다.

후	후/NNP
주석이	주석/NNG+이/JKS
이번	이번/NNG
미국	미국/NNP
방문에서	방문/NNG+에서/JKB
중국의	중국/NNP+의/JKG
인권	인권/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
수긍하며	수긍/NNG+하/XSV+며/EC
비교적	비교/NNG+적/XSN
낮은	낮/VA+은/ETM
자세를	자세/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
속내를	속내/NNG+를/JKO
알	알/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.305.11.2
다만 미국과 원만한 관계를 통해 중국이 더욱 실력을 쌓은 후 미래 지도자가 미국을 방문했을 때도 이번처럼 ‘훈계’를 할 수 있을지 두고 보겠다는 마음이 있지는 않을까.

다만	다만/MAG
미국과	미국/NNP+과/JKB
원만한	원만하/VA+ㄴ/ETM
관계를	관계/NNG+를/JKO
통해	통하/VV+아/EC
중국이	중국/NNP+이/JKS
더욱	더욱/MAG
실력을	실력/NNG+을/JKO
쌓은	쌓/VV+은/ETM
후	후/NNG
미래	미래/NNG
지도자가	지도자/NNG+가/JKS
미국을	미국/NNP+을/JKO
방문했을	방문/NNG+하/XSV+았/EP+을/ETM
때도	때/NNG+도/JX
이번처럼	이번/NNG+처럼/JKB
‘훈계’를	‘/SS+훈계/NNG+’/SS+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
두고	두/VV+고/EC
보겠다는	보/VX+겠/EP+다는/ETM
마음이	마음/NNG+이/JKS
있지는	있/VA+지/EC+는/JX
않을까.	않/VX+을까/EF+./SF


