# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.139
metadata : {}


# id : NWRW1800000036.139.1.1
열두살 소년의 세상에서 가장 슬픈 이별

열두살	열두/MMN+살/NNB
안	안/MAG
가서	가/VV+아서/EC
세상을	세상/NNG+을/JKO
떠난다.	떠나/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.139.6.1
다행히도 삐삐와 삐아는 무럭무럭 자랐고, 어린 주영이도 다시 친구들과 뛰어놀고 싶은 마음이 생겨났다.

다행히도	다행히/MAG+도/JX
삐삐와	삐삐/NNP+와/JC
삐아는	삐아/NNP+는/JX
무럭무럭	무럭무럭/MAG
자랐고,	자라/VV+았/EP+고/EC+,/SP
어린	어리/VA+ㄴ/ETM
주영이도	주영이/NNP+도/JX
다시	다시/MAG
친구들과	친구/NNG+들/XSN+과/JKB
뛰어놀고	뛰어놀/VV+고/EC
싶은	싶/VX+은/ETM
마음이	마음/NNG+이/JKS
생겨났다.	생겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.139.6.2
궁리 끝에 친구들과 당번을 정해 노루들을 돌보기로 했다.

궁리	궁리/NNG
끝에	끝/NNG+에/JKB
친구들과	친구/NNG+들/XSN+과/JKB
당번을	당번/NNG+을/JKO
정해	정하/VV+아/EC
노루들을	노루/NNG+들/XSN+을/JKO
돌보기로	돌보/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.139.6.3
그런데 어느날 집에 돌아와보니 아이들이 우유를 너무 많이 줘서 탈이 난 삐아가 죽고 말았다.

그런데	그런데/MAJ
어느날	어느/MMD+날/NNG
집에	집/NNG+에/JKB
돌아와보니	돌아오/VV+아/EC+보/VX+니/EC
아이들이	아이/NNG+들/XSN+이/JKS
우유를	우유/NNG+를/JKO
너무	너무/MAG
많이	많이/MAG
줘서	주/VV+어서/EC
탈이	탈/NNG+이/JKS
난	나/VV+ㄴ/ETM
삐아가	삐아/NNP+가/JKS
죽고	죽/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.139.6.4
“우리가 개울로 놀러 가지만 않았어도, 놀러 가서 고기잡이를 하지 말고 미역만 감고 왔어도, 우유 끓이고 전지분유 담은 통을 부엌에 두지만 않았어도”라는 죄책감과 후회로 눈물이 쏟아졌다.

“우리가	“/SS+우리/NP+가/JKS
개울로	개울/NNG+로/JKB
놀러	놀/VV+러/EC
가지만	가/VV+지/EC+만/JX
않았어도,	않/VX+았/EP+어도/EC+,/SP
가서	가/VV+아서/EC
고기잡이를	고기잡이/NNG+를/JKO
하지	하/VV+지/EC
말고	말/VX+고/EC
미역만	미역/NNG+만/JX
감고	감/VV+고/EC
왔어도,	오/VV+았/EP+어도/EC+,/SP
우유	우유/NNG
끓이고	끓이/VV+고/EC
전지분유	전지분유/NNG
담은	담/VV+은/ETM
통을	통/NNG+을/JKO
부엌에	부엌/NNG+에/JKB
두지만	두/VV+지/EC+만/JX
않았어도”라는	않/VX+았/EP+어도/EC+”/SS+이/VCP+라는/ETM
죄책감과	죄책감/NNG+과/JC
후회로	후회/NNG+로/JKB
눈물이	눈물/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.139.6.5
홀로 남게 된 삐삐를 정성껏 돌보지만 온기 남은 아궁이 속에서 잠을 자던 삐삐마저 어느날 아궁이 안쪽 구들로 들어가버린다.

홀로	홀로/MAG
남게	남/VV+게/EC
된	되/VV+ㄴ/ETM
삐삐를	삐삐/NNP+를/JKO
정성껏	정성껏/MAG
돌보지만	돌보/VV+지만/EC
온기	온기/NNG
남은	남/VV+은/ETM
아궁이	아궁이/NNG
속에서	속/NNG+에서/JKB
잠을	잠/NNG+을/JKO
자던	자/VV+던/ETM
삐삐마저	삐삐/NNP+마저/JX
어느날	어느/MMD+날/NNG
안쪽	안쪽/NNG
구들로	구들/NNG+로/JKB
들어가버린다.	들어가/VV+아/EC+버리/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.139.7.1
삐삐가 구들 안에 갇히게 되자 아버지는 놀랍게도 방구들을 뜯어내자고 한다.

삐삐가	삐삐/NNP+가/JKS
구들	구들/NNG
안에	안/NNG+에/JKB
갇히게	갇히/VV+게/EC
되자	되/VV+자/EC
아버지는	아버지/NNG+는/JX
놀랍게도	놀랍/VA+게/EC+도/JX
방구들을	방구들/NNG+을/JKO
뜯어내자고	뜯어내/VV+자고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.139.7.2
처음에는 노루 한마리 제대로 못 키운다고 아들을 야단치기만 하던 아버지마저 꺼져가는 여린 생명을 구하기 위해 집안 전체를 뒤흔들 생각까지 하게 된 것이다.

처음에는	처음/NNG+에/JKB+는/JX
노루	노루/NNG
한마리	한/MMN+마리/NNB
제대로	제대로/MAG
못	못/MAG
키운다고	키우/VV+ㄴ다고/EC
아들을	아들/NNG+을/JKO
야단치기만	야단치/VV+기/ETN+만/JX
하던	하/VV+던/ETM
아버지마저	아버지/NNG+마저/JX
꺼져가는	꺼지/VV+어/EC+가/VX+는/ETM
여린	여리/VA+ㄴ/ETM
생명을	생명/NNG+을/JKO
구하기	구하/VV+기/ETN
위해	위하/VV+아/EC
집안	집안/NNG
전체를	전체/NNG+를/JKO
뒤흔들	뒤흔들/VV+ㄹ/ETM
생각까지	생각/NNG+까지/JX
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.7.3
생명이란 이런 거다.

생명이란	생명/NNG+이란/JX
이런	이런/MMD
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.7.4
정붙이기 전에는 한갓 산짐승에 불과했지만 곁으로 와 눈빛을 나누면서 그 생명을 구하기 위해 온 가족이 나서는 진짜 가족이 된 것이다.

정붙이기	정붙이/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
한갓	한갓/MAG
산짐승에	산짐승/NNG+에/JKB
불과했지만	불과/MAG+하/XSA+았/EP+지만/EC
곁으로	곁/NNG+으로/JKB
와	오/VV+아/EC
눈빛을	눈빛/NNG+을/JKO
나누면서	나누/VV+면서/EC
그	그/MMD
생명을	생명/NNG+을/JKO
구하기	구하/VV+기/ETN
위해	위하/VV+아/EC
온	온/MMN
가족이	가족/NNG+이/JKC
나서는	나서/VV+는/ETM
진짜	진짜/NNG
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.8.1
‘파랑새와 새매’도 어린 시절 식구처럼 어루만지며 키우던 두 마리의 새를 가슴 아프게 떠나 보내는 이야기다.

‘파랑새와	‘/SS+파랑새/NNG+와/JC
새매’도	새매/NNG+’/SS+도/JX
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
식구처럼	식구/NNG+처럼/JKB
어루만지며	어루만지/VV+며/EC
키우던	키우/VV+던/ETM
두	두/MMN
마리의	마리/NNB+의/JKG
새를	새/NNG+를/JKO
가슴	가슴/NNG
아프게	아프/VA+게/EC
떠나	떠나/VV+아/EC
보내는	보내/VV+는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.8.2
작가는 ‘지금도 생각하면 눈물이 나는 이야기’라는 이 두 개의 동화를 쓰면서도 많은 눈물을 흘렸다고 한다.

작가는	작가/NNG+는/JX
‘지금도	‘/SS+지금/NNG+도/JX
생각하면	생각/NNG+하/XSV+면/EC
눈물이	눈물/NNG+이/JKS
나는	나/VV+는/ETM
이야기’라는	이야기/NNG+’/SS+이/VCP+라는/ETM
이	이/MMD
두	두/MMN
개의	개/NNB+의/JKG
동화를	동화/NNG+를/JKO
쓰면서도	쓰/VV+면서/EC+도/JX
많은	많/VA+은/ETM
눈물을	눈물/NNG+을/JKO
흘렸다고	흘리/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.139.8.3
열두살의 소년이 귀한 생명을 떠나보내면서 겪은 아픔을 바라보는 어른 독자의 가슴도 저릿하다.

열두살의	열두/MMN+살/NNB+의/JKG
소년이	소년/NNG+이/JKS
귀한	귀하/VA+ㄴ/ETM
생명을	생명/NNG+을/JKO
떠나보내면서	떠나보내/VV+면서/EC
겪은	겪/VV+은/ETM
아픔을	아픔/NNG+을/JKO
바라보는	바라보/VV+는/ETM
어른	어른/NNG
독자의	독자/NNG+의/JKG
가슴도	가슴/NNG+도/JX
저릿하다.	저릿하/VA+다/EF+./SF


# id : NWRW1800000036.139.9.1
늘어나는 애완동물 수만큼이나 쉽게 버려지는 유기동물도 많은 요즘이다.

늘어나는	늘어나/VV+는/ETM
애완동물	애완동물/NNG
수만큼이나	수/NNG+만큼/JKB+이나/JX
쉽게	쉽/VA+게/EC
버려지는	버리/VV+어/EC+지/VX+는/ETM
유기동물도	유기/NNG+동물/NNG+도/JX
많은	많/VA+은/ETM
요즘이다.	요즘/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.9.2
받고 싶은 선물로 강아지나 고양이를 원하는 아이들에게 당장 기쁜 선물을 해주기 전에 이 책을 읽히면 장난감과 비교할 수 없는 생명의 가치를 알려주는 데 도움이 될 것 같다.

받고	받/VV+고/EC
싶은	싶/VX+은/ETM
선물로	선물/NNG+로/JKB
강아지나	강아지/NNG+나/JC
고양이를	고양이/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
당장	당장/NNG
기쁜	기쁘/VA+ㄴ/ETM
선물을	선물/NNG+을/JKO
해주기	하/VV+아/EC+주/VX+기/ETN
전에	전/NNG+에/JKB
이	이/MMD
책을	책/NNG+을/JKO
읽히면	읽히/VV+면/EC
장난감과	장난감/NNG+과/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
생명의	생명/NNG+의/JKG
가치를	가치/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000036.139.9.3
섬세하고 따스한 삽화도 읽는 이의 마음을 다독여준다.

섬세하고	섬세하/VA+고/EC
따스한	따스하/VA+ㄴ/ETM
삽화도	삽화/NNG+도/JX
읽는	읽/VV+는/ETM
이의	이/NNB+의/JKG
마음을	마음/NNG+을/JKO
다독여준다.	다독이/VV+어/EC+주/VX+ㄴ다/EF+./SF


