# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.96
metadata : {}


# id : NWRW1800000032.96.1.1
재일한국인들 ‘일 국수주의’ 발끈

재일한국인들	재일/NNG+한국인/NNG+들/XSN
“헌금을	“/SS+헌금/NNG+을/JKO
분은	분/NNB+은/JX
38년	38/SN+년/NNB
전부터	전/NNG+부터/JX
일본에	일본/NNP+에/JKB
살아온	살아오/VV+ㄴ/ETM
특별영주자로	특별/NNG+영주자/NNG+로/JKB
일본인이나	일본인/NNG+이나/JX
다름없다”며	다름없/VA+다/EF+”/SS+며/EC
“정당의	“/SS+정당/NNG+의/JKG
당원이면	당원/NNG+이/VCP+면/EC
외국인도	외국인/NNG+도/JX
헌금을	헌금/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
단지	단지/MAG
당원이	당원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
외국인이	외국인/NNG+이/JKS
했다고	하/VV+았/EP+다고/EC
이렇게까지	이렇/VA+게/EC+까지/JX
소란스러운	소란/NNG+스럽/XSA+ㄴ/ETM
것은	것/NNB+은/JX
이해하기	이해/NNG+하/XSV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.96.7.2
그는 “자민당이 권력을 잃은 뒤 더욱 위축돼, 외국인에게 적대적이 돼가고 있다”고 우려했다.

그는	그/NP+는/JX
“자민당이	“/SS+자민당/NNP+이/JKS
권력을	권력/NNG+을/JKO
잃은	잃/VV+은/ETM
뒤	뒤/NNG
더욱	더욱/MAG
위축돼,	위축/NNG+되/XSV+어/EC+,/SP
외국인에게	외국인/NNG+에게/JKB
적대적이	적대/NNG+적/XSN+이/JKC
돼가고	되/VV+어/EC+가/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.96.7.3
실제 자민당은 외국인의 지방참정권 부여법안을 강하게 반대했고, 일부 의원들은 외국인이 일본에 땅을 사는 것에 대해서도 위험하다며 규제를 부르짖고 있다.

실제	실제/NNG
자민당은	자민당/NNP+은/JX
외국인의	외국인/NNG+의/JKG
지방참정권	지방/NNG+참정/NNG+권/XSN
부여법안을	부여/NNG+법안/NNG+을/JKO
강하게	강하/VA+게/EC
반대했고,	반대/NNG+하/XSV+았/EP+고/EC+,/SP
일부	일부/NNG
의원들은	의원/NNG+들/XSN+은/JX
외국인이	외국인/NNG+이/JKS
일본에	일본/NNP+에/JKB
땅을	땅/NNG+을/JKO
사는	살/VV+는/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
위험하다며	위험/NNG+하/XSA+다며/EC
규제를	규제/NNG+를/JKO
부르짖고	부르짖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.96.8.1
일본 안에서도 외국인 헌금에 대한 과도한 단죄 분위기를 경계하는 목소리가 없지는 않다.

일본	일본/NNP
안에서도	안/NNG+에서/JKB+도/JX
외국인	외국인/NNG
헌금에	헌금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과도한	과도/NNG+하/XSA+ㄴ/ETM
단죄	단죄/NNG
분위기를	분위기/NNG+를/JKO
경계하는	경계/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
없지는	없/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000032.96.8.2
은 8일 사설에서 “이번 일로 국익을 운운하면서, (마에하라 외상에게) ‘외교문제가 발생했을 때 어느 나라 편에 설 것이냐’고 묻는 식으로 비판하는 게 과연 적절한 것이냐”고 지적했다.

은	은/JX
8일	8/SN+일/NNB
사설에서	사설/NNG+에서/JKB
“이번	“/SS+이번/NNG
일로	일/NNG+로/JKB
국익을	국익/NNG+을/JKO
운운하면서,	운운/NNG+하/XSV+면서/EC+,/SP
(마에하라	(/SS+마에하라/NNP
외상에게)	외상/NNG+에게/JKB+)/SS
‘외교문제가	‘/SS+외교/NNG+문제/NNG+가/JKS
발생했을	발생/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
어느	어느/MMD
나라	나라/NNG
편에	편/NNG+에/JKB
설	서/VV+ㄹ/ETM
것이냐’고	것/NNB+이/VCP+냐/EF+’/SS+고/JKQ
묻는	묻/VV+는/ETM
식으로	식/NNB+으로/JKB
비판하는	비판/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
과연	과연/MAG
적절한	적절하/VA+ㄴ/ETM
것이냐”고	것/NNB+이/VCP+냐/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


