# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.1
metadata : {}


# id : NWRW1800000030.1.1.1
매출 150조, 주가 100만원 삼성전자 한꺼번에 넘었다

매출	매출/NNG
6000만대의	6000/SN+만/NR+대/NNB+의/JKG
스마트폰을	스마트폰/NNG+을/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.1.6.1
LCD사업부는 하반기 패널가격 하락으로 어려움을 겪었지만 LED(발광다이오드)·3D(입체) 패널 등 프리미엄 제품 판매가 호조를 보여 1조9900억원의 영업이익을 올리며 선방했다.

LCD사업부는	LCD/SL+사업부/NNG+는/JX
하반기	하반기/NNG
패널가격	패널/NNG+가격/NNG
하락으로	하락/NNG+으로/JKB
어려움을	어려움/NNG+을/JKO
겪었지만	겪/VV+었/EP+지만/EC
LED(발광다이오드)·3D(입체)	LED/SL+(/SS+발광/NNG+다이오드/NNG+)/SS+·/SP+3/SN+D/SL+(/SS+입체/NNG+)/SS
패널	패널/NNG
등	등/NNB
프리미엄	프리미엄/NNG
제품	제품/NNG
판매가	판매/NNG+가/JKS
호조를	호조/NNG+를/JKO
보여	보이/VV+어/EC
1조9900억원의	1/SN+조/NR+9900/SN+억/NR+원/NNB+의/JKG
영업이익을	영업/NNG+이익/NNG+을/JKO
올리며	올리/VV+며/EC
선방했다.	선방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.7.1
디지털미디어 부문(TV·생활가전)에서는 TV가 5년 연속 세계 1위를 유지했지만 생활가전사업부의 적자 등으로 큰 이익을 내지 못했다.

디지털미디어	디지털/NNG+미디어/NNG
부문(TV·생활가전)에서는	부문/NNG+(/SS+TV/SL+·/SP+생활/NNG+가전/NNG+)/SS+에서/JKB+는/JX
TV가	TV/SL+가/JKS
5년	5/SN+년/NNB
연속	연속/NNG
세계	세계/NNG
1위를	1/SN+위/NNB+를/JKO
유지했지만	유지/NNG+하/XSV+았/EP+지만/EC
생활가전사업부의	생활/NNG+가전/NNG+사업부/NNG+의/JKG
적자	적자/NNG
등으로	등/NNB+으로/JKB
큰	크/VA+ㄴ/ETM
이익을	이익/NNG+을/JKO
내지	내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.1.7.2
영업이익이 4900억원이었다.

영업이익이	영업/NNG+이익/NNG+이/JKS
4900억원이었다.	4900/SN+억/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.1.8.1
삼성전자는 올해 반도체 10조3000조원(메모리 5조8000억원, 시스템LSI 4조2000억원), LCD 4조1000억원 등 총 23조원을 투자할 예정이다.

삼성전자는	삼성전자/NNP+는/JX
올해	올해/NNG
반도체	반도체/NNG
10조3000조원(메모리	10/SN+조/NR+3000/SN+조/NR+원/NNB+(/SS+메모리/NNG
5조8000억원,	5/SN+조/NR+8000/SN+억/NR+원/NNB+,/SP
시스템LSI	시스템/NNG+LSI/SL
4조2000억원),	4/SN+조/NR+2000/SN+억/NR+원/NNB+)/SS+,/SP
LCD	LCD/SL
4조1000억원	4/SN+조/NR+1000/SN+억/NR+원/NNB
등	등/NNB
총	총/MMA
23조원을	23/SN+조/NR+원/NNB+을/JKO
투자할	투자/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.1.8.2
지난해에 투자 규모는 21조6000억원이었다.

지난해에	지난해/NNG+에/JKB
투자	투자/NNG
규모는	규모/NNG+는/JX
21조6000억원이었다.	21/SN+조/NR+6000/SN+억/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


