# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.91
metadata : {}


# id : NWRW1800000056.91.1.1
미 국방수권법 상원통과…아태지역 무기판매 증대 요청

미	미/NNP
동맹국들에	동맹국/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
무기	무기/NNG
판매	판매/NNG
증대	증대/NNG
△동맹국들과의	△/SW+동맹국/NNG+들/XSN+과/JKB+의/JKG
군사	군사/NNG
협력	협력/NNG
및	및/MAG
훈련,	훈련/NNG+,/SP
통합	통합/NNG
방어	방어/NNG
확대	확대/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
포함하라고	포함/NNG+하/XSV+라고/EC
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.91.5.1
또한 △재래식 및 핵무기를 함께 장착할 수 있는 이중 능력 전략기 등 전략무기 배치 방안 및 훈련 계획 △아태 지역의 미사일 방어 능력, 중장거리 타격 자산을 포함한 미국 핵심 군사 자산의 전개 증가를 요청했다.

또한	또한/MAG
△재래식	△/SW+재래식/NNG
및	및/MAG
핵무기를	핵무기/NNG+를/JKO
함께	함께/MAG
장착할	장착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이중	이중/NNG
능력	능력/NNG
전략기	전략기/NNG
등	등/NNB
전략무기	전략/NNG+무기/NNG
배치	배치/NNG
방안	방안/NNG
훈련	훈련/NNG
계획	계획/NNG
△아태	△/SW+아태/NNP
지역의	지역/NNG+의/JKG
미사일	미사일/NNG
방어	방어/NNG
능력,	능력/NNG+,/SP
중장거리	중장거리/NNG
타격	타격/NNG
자산을	자산/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
핵심	핵심/NNG
군사	군사/NNG
자산의	자산/NNG+의/JKG
전개	전개/NNG
증가를	증가/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.91.6.1
한반도 고고도미사일방어체계(THAAD·사드) 배치 등을 비롯해 역내 동맹국 방위에 대한 미국의 공약을 재확인하고 ‘핵우산’을 포함한 미국의 모든 방어 능력을 통해 보장하는 기존의 확장 억지 제공을 재확인하는 내용도 있다.

한반도	한반도/NNP
고고도미사일방어체계(THAAD·사드)	고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+(/SS+THAAD/SL+·/SP+사드/NNG+)/SS
배치	배치/NNG
등을	등/NNB+을/JKO
비롯해	비롯하/VV+아/EC
역내	역내/NNG
동맹국	동맹국/NNG
방위에	방위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
공약을	공약/NNG+을/JKO
재확인하고	재/XPN+확인/NNG+하/XSV+고/EC
‘핵우산’을	‘/SS+핵우산/NNG+’/SS+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
방어	방어/NNG
능력을	능력/NNG+을/JKO
통해	통하/VV+아/EC
보장하는	보장/NNG+하/XSV+는/ETM
기존의	기존/NNG+의/JKG
확장	확장/NNG
억지	억지/NNG
제공을	제공/NNG+을/JKO
재확인하는	재/XPN+확인/NNG+하/XSV+는/ETM
내용도	내용/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.91.7.1
이번 법안에는 한때 거론됐던 잠수함 발사 크루즈 핵미사일의 아태 지역 재배치 방안은 빠졌다.

이번	이번/NNG
법안에는	법안/NNG+에/JKB+는/JX
한때	한때/MAG
거론됐던	거론/NNG+되/XSV+었/EP+던/ETM
잠수함	잠수함/NNG
발사	발사/NNG
크루즈	크루즈/NNG
핵미사일의	핵미사일/NNG+의/JKG
아태	아태/NNP
지역	지역/NNG
재배치	재/XPN+배치/NNG
방안은	방안/NNG+은/JX
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.91.7.2
또한 대북 제재와 관련한 구체적 요구 사항도 제외됐다.

또한	또한/MAG
대북	대북/NNG
제재와	제재/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
구체적	구체/NNG+적/XSN
요구	요구/NNG
사항도	사항/NNG+도/JX
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.91.7.3
이는 하원과 달리, 현재의 대북제재법만으로도 충분하다는 상원 쪽 분위기를 반영한 것으로 풀이된다.

이는	이/NP+는/JX
하원과	하원/NNG+과/JKB
달리,	달리/MAG+,/SP
현재의	현재/NNG+의/JKG
대북제재법만으로도	대북/NNG+제재법/NNG+만/JX+으로/JKB+도/JX
충분하다는	충분하/VA+다는/ETM
상원	상원/NNG
쪽	쪽/NNB
분위기를	분위기/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.91.8.1
하원에선 이미 지난 7월 국방수권법안이 통과돼, 상원과 하원의 조율 과정을 거친다.

하원에선	하원/NNG+에서/JKB+ㄴ/JX
이미	이미/MAG
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
국방수권법안이	국방/NNG+수권/NNG+법안/NNG+이/JKS
통과돼,	통과/NNG+되/XSV+어/EC+,/SP
상원과	상원/NNG+과/JC
하원의	하원/NNG+의/JKG
조율	조율/NNG
과정을	과정/NNG+을/JKO
거친다.	거치/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.91.8.2
다만 상·하원의 아태 지역 관련 법안 내용은 거의 유사하고, 북한뿐 아니라 대 중국 군사적 압박을 강화하는 내용이 많아 역내 긴장이 고조될 가능성이 있다.

다만	다만/MAG
상·하원의	상·하원/NNG+의/JKG
아태	아태/NNP
지역	지역/NNG
관련	관련/NNG
법안	법안/NNG
내용은	내용/NNG+은/JX
거의	거의/MAG
유사하고,	유사/NNG+하/XSA+고/EC+,/SP
북한뿐	북한/NNP+뿐/JX
아니라	아니/VCN+라/EC
대	대/NA
중국	중국/NNP
군사적	군사/NNG+적/XSN
압박을	압박/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
많아	많/VA+아/EC
역내	역내/NNG
긴장이	긴장/NNG+이/JKS
고조될	고조/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


