# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.225
metadata : {}


# id : NWRW1800000053.225.1.1
박상훈 ‘돌풍’… 빨간 물방울 셔츠 입다

박상훈	박상훈/NNP
지난해 리우 올림픽 옴니엄(단거리와 중거리 6개 세부 종목의 합산 점수로 메달 색을 가리는 종목)에 출전했지만 세부 종목 포인트 레이스에서 영국 선수와 부딪쳐 쓰러지는 바람에 원하는 성적을 거두지는 못했다.

지난해	지난해/NNG
리우	리우/NNP
올림픽	올림픽/NNG
옴니엄(단거리와	옴니엄/NNG+(/SS+단거리/NNG+와/JC
중거리	중거리/NNG
6개	6/SN+개/NNB
세부	세부/NNG
종목의	종목/NNG+의/JKG
합산	합산/NNG
점수로	점수/NNG+로/JKB
메달	메달/NNG
색을	색/NNG+을/JKO
가리는	가리/VV+는/ETM
종목)에	종목/NNG+)/SS+에/JKB
출전했지만	출전/NNG+하/XSV+았/EP+지만/EC
종목	종목/NNG
포인트	포인트/NNG
레이스에서	레이스/NNG+에서/JKB
영국	영국/NNP
선수와	선수/NNG+와/JKB
부딪쳐	부딪치/VV+어/EC
쓰러지는	쓰러지/VV+는/ETM
바람에	바람/NNB+에/JKB
원하는	원/NNG+하/XSV+는/ETM
성적을	성적/NNG+을/JKO
거두지는	거두/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.225.7.4
당시 영국 선수가 고의로 충돌을 유발했다는 논란이 일기도 했다.

당시	당시/NNG
영국	영국/NNP
선수가	선수/NNG+가/JKS
고의로	고의/NNG+로/JKB
충돌을	충돌/NNG+을/JKO
유발했다는	유발/NNG+하/XSV+았/EP+다는/ETM
논란이	논란/NNG+이/JKS
일기도	일/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.225.8.1
스피드가 장점인 박상훈의 산악왕 등극은 전문가들도 예상하지 못한 이변이다.

스피드가	스피드/NNG+가/JKS
장점인	장점/NNG+이/VCP+ㄴ/ETM
박상훈의	박상훈/NNP+의/JKG
산악왕	산악/NNG+왕/NNG
등극은	등극/NNG+은/JX
전문가들도	전문가/NNG+들/XSN+도/JX
예상하지	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
이변이다.	이변/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.225.8.2
박상훈은 “어떤 저지든 하나는 꼭 받아 팀을 후원해주는 수티스미스 한덕현 대표에게 선물하고 싶었다”고 말했다.

박상훈은	박상훈/NNP+은/JX
“어떤	“/SS+어떤/MMD
저지든	저지/NNG+든/JX
하나는	하나/NR+는/JX
꼭	꼭/MAG
받아	받/VV+아/EC
팀을	팀/NNG+을/JKO
후원해주는	후원/NNG+하/XSV+아/EC+주/VX+는/ETM
수티스미스	수티스미스/NNP
한덕현	한덕현/NNP
대표에게	대표/NNG+에게/JKB
선물하고	선물/NNG+하/XSV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.225.8.3
사이클에 애정이 많은 한 대표의 사무실에 최근 화재가 발생해 보관하고 있던 각종 저지들이 모두 불에 타서 없어졌다는 것.

사이클에	사이클/NNG+에/JKB
애정이	애정/NNG+이/JKS
많은	많/VA+은/ETM
한	한/NNP
대표의	대표/NNG+의/JKG
사무실에	사무실/NNG+에/JKB
최근	최근/NNG
화재가	화재/NNG+가/JKS
발생해	발생/NNG+하/XSV+아/EC
보관하고	보관/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
각종	각종/NNG
저지들이	저지/NNG+들/XSN+이/JKS
모두	모두/MAG
불에	불/NNG+에/JKB
타서	타/VV+아서/EC
없어졌다는	없어지/VV+었/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000053.225.8.4
박상훈은 “처음으로 저지를 입게 돼 기쁘지만 아직 갈 길이 멀다. 컨디션이 좋은 만큼 개인종합에서도 상위권을 노리겠다”고 말했다.

박상훈은	박상훈/NNP+은/JX
“처음으로	“/SS+처음/NNG+으로/JKB
저지를	저지/NNG+를/JKO
입게	입/VV+게/EC
돼	되/VV+어/EC
기쁘지만	기쁘/VA+지만/EC
아직	아직/MAG
갈	가/VV+ㄹ/ETM
길이	길/NNG+이/JKS
멀다.	멀/VA+다/EF+./SF
컨디션이	컨디션/NNG+이/JKS
좋은	좋/VA+은/ETM
만큼	만큼/NNB
개인종합에서도	개인/NNG+종합/NNG+에서/JKB+도/JX
상위권을	상위/NNG+권/XSN+을/JKO
노리겠다”고	노리/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.225.9.1
제1구간 개인종합 우승은 지난해도 1구간에서 1위를 했던 스페인의 혼 아베라스투리 이사가(팀 일본 유쿄·5시간24분43초)에게 돌아갔다.

제1구간	제/XPN+1/SN+구간/NNG
개인종합	개인/NNG+종합/NNG
우승은	우승/NNG+은/JX
지난해도	지난해/NNG+도/JX
1구간에서	1/SN+구간/NNG+에서/JKB
1위를	1/SN+위/NNB+를/JKO
했던	하/VV+았/EP+던/ETM
스페인의	스페인/NNP+의/JKG
혼	혼/NNP
아베라스투리	아베라스투리/NNP
이사가(팀	이사가/NNP+(/SS+팀/NNG
일본	일본/NNP
유쿄·5시간24분43초)에게	유쿄/NNP+·/SP+5/SN+시간/NNB+24/SN+분/NNB+43/SN+초/NNB+)/SS+에게/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.225.9.2
한국의 박경호(금산인삼첼로)는 3위를 차지해 개최국의 체면을 세웠다.

한국의	한국/NNP+의/JKG
박경호(금산인삼첼로)는	박경호/NNP+(/SS+금산인삼첼로/NNP+)/SS+는/JX
3위를	3/SN+위/NNB+를/JKO
차지해	차지/NNG+하/XSV+아/EC
개최국의	개최국/NNG+의/JKG
체면을	체면/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.225.9.3
TDK는 국민체육진흥공단 유튜브 채널을 통해 전 경기가 생중계되며, TDK 홈페이지와 네이버TV를 통해서도 시청할 수 있다.

TDK는	TDK/SL+는/JX
국민체육진흥공단	국민체육진흥공단/NNP
유튜브	유튜브/NNP
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
전	전/MMN
경기가	경기/NNG+가/JKS
생중계되며,	생/XPN+중계/NNG+되/XSV+며/EC+,/SP
TDK	TDK/SL
홈페이지와	홈페이지/NNG+와/JC
네이버TV를	네이버TV/NNP+를/JKO
통해서도	통하/VV+아서/EC+도/JX
시청할	시청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.225.10.1
(도움말: 김성주 객원 해설위원·전 대한자전거연맹 사무국장)

(도움말:	(/SS+도움말/NNG+:/SP
김성주	김성주/NNP
객원	객원/NNG
해설위원·전	해설/NNG+위원/NNG+·/SP+전/MMD
대한자전거연맹	대한자전거연맹/NNP
사무국장)	사무국장/NNG+)/SS


# id : NWRW1800000053.225.11.1
※잇단 산악코스 2구간, 힘조절 필요

※잇단	※/SW+잇달/VV+ㄴ/ETM
산악코스	산악/NNG+코스/NNG
2구간,	2/SN+구간/NNG+,/SP
힘조절	힘/NNG+조절/NNG
필요	필요/NNG


# id : NWRW1800000053.225.12.1
40km 지점부터 크고 작은 언덕과 고개들이 줄지어 있다.

40km	40/SN+km/SW
지점부터	지점/NNG+부터/JX
크고	크/VA+고/EC
작은	작/VA+은/ETM
언덕과	언덕/NNG+과/JC
고개들이	고개/NNG+들/XSN+이/JKS
줄지어	줄짓/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.225.12.2
전날 장거리(216.9km)를 달린 선수들에게는 큰 부담이다.

전날	전날/NNG
장거리(216.9km)를	장거리/NNG+(/SS+216/SN+./SP+9/SN+km/SW+)/SS+를/JKO
달린	달리/VV+ㄴ/ETM
선수들에게는	선수/NNG+들/XSN+에게/JKB+는/JX
큰	크/VA+ㄴ/ETM
부담이다.	부담/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.225.12.3
특히 산악구간이 2개나 포함돼 있어 힘 조절을 신중하게 해야 한다.

특히	특히/MAG
산악구간이	산악/NNG+구간/NNG+이/JKS
2개나	2/SN+개/NNB+나/JX
포함돼	포함/NNG+되/XSV+어/EC
있어	있/VX+어/EC
힘	힘/NNG
조절을	조절/NNG+을/JKO
신중하게	신중/NNG+하/XSA+게/EC
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.225.12.4
첫날 좋은 기록을 세운 선수들의 수성 전략과 이에 맞서는 추격자들의 두뇌 싸움이 볼만할 듯하다.

첫날	첫날/NNG
좋은	좋/VA+은/ETM
기록을	기록/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
수성	수성/NNG
전략과	전략/NNG+과/JC
이에	이/NP+에/JKB
맞서는	맞서/VV+는/ETM
추격자들의	추격자/NNG+들/XSN+의/JKG
두뇌	두뇌/NNG
싸움이	싸움/NNG+이/JKS
볼만할	보/VV+ㄹ/ETM+만/NNB+하/XSA+ㄹ/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000053.225.12.5
레이스 초반부터 팀플레이를 통한 자리 다툼이 치열할 것으로 전망된다.

레이스	레이스/NNG
초반부터	초반/NNG+부터/JX
팀플레이를	팀플레이/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
자리	자리/NNG
다툼이	다툼/NNG+이/JKS
치열할	치열/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.225.12.6
중위권 선수들이 이런 상황을 역이용해 힘을 비축해 둔다면 의외로 쉽게 경기를 풀어나갈 수도 있다.

중위권	중위/NNG+권/XSN
선수들이	선수/NNG+들/XSN+이/JKS
이런	이런/MMD
상황을	상황/NNG+을/JKO
역이용해	역이용/NNG+하/XSV+아/EC
힘을	힘/NNG+을/JKO
비축해	비축/NNG+하/XSV+아/EC
둔다면	두/VX+ㄴ다면/EC
의외로	의외로/MAG
쉽게	쉽/VA+게/EC
경기를	경기/NNG+를/JKO
풀어나갈	풀/VV+어/EC+나가/VX+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.225.12.7
박상훈의 레드 폴카 닷 저지를 지켜주기 위한 서울시청의 전략도 관전 포인트다.

박상훈의	박상훈/NNP+의/JKG
레드	레드/NNG
폴카	폴카/NNG
닷	닷/NNG
저지를	저지/NNG+를/JKO
지켜주기	지키/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
서울시청의	서울시청/NNP+의/JKG
전략도	전략/NNG+도/JX
관전	관전/NNG
포인트다.	포인트/NNG+이/VCP+다/EF+./SF


