# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.39
metadata : {}


# id : NWRW1800000048.39.1.1
대우조선, STX프랑스 인수 검토 유보

대우조선,	대우조선/NNP+,/SP
지지부진했다.	지지부진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.39.4.4
이에 따라 산업은행이 에스티엑스프랑스 지분 매입을 대우조선해양에 제안한 사실이 알려지자, 조선업계에서는 재무 상황이 어려운 회사에 무리한 부담을 준다는 비판이 일었다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
산업은행이	산업은행/NNP+이/JKS
에스티엑스프랑스	에스티엑스프랑스/NNP
지분	지분/NNG
매입을	매입/NNG+을/JKO
대우조선해양에	대우조선해양/NNP+에/JKB
제안한	제안/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
알려지자,	알려지/VV+자/EC+,/SP
조선업계에서는	조선업/NNG+계/XSN+에서/JKB+는/JX
재무	재무/NNG
상황이	상황/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
회사에	회사/NNG+에/JKB
무리한	무리/NNG+하/XSA+ㄴ/ETM
부담을	부담/NNG+을/JKO
준다는	주/VV+ㄴ다는/ETM
비판이	비판/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.39.5.1
에스티엑스프랑스는 고부가가치 선박인 크루즈(유람선) 제작 기술을 보유한 조선소이다.

에스티엑스프랑스는	에스티엑스프랑스/NNP+는/JX
고부가가치	고/XPN+부가/NNG+가치/NNG
선박인	선박/NNG+이/VCP+ㄴ/ETM
크루즈(유람선)	크루즈/NNG+(/SS+유람선/NNG+)/SS
제작	제작/NNG
기술을	기술/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
조선소이다.	조선소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.39.5.2
정 사장은 “크루즈는 이용하는 주체가 사람이고 (승객들이 크루즈여행을 향유하는) 문화가 중요하다”면서 “이제까지 서유럽 승객들이 많았으나, 5~10년 뒤 동아시아 승객이 주류가 되는 순간 유럽 조선소가 크루즈를 제대로 만들기 어려워지므로 언젠가 대우조선해양이 가야할 분야인 건 분명하다”고 덧붙였다.

정	정/NNP
사장은	사장/NNG+은/JX
“크루즈는	“/SS+크루즈/NNG+는/JX
이용하는	이용/NNG+하/XSV+는/ETM
주체가	주체/NNG+가/JKS
사람이고	사람/NNG+이/VCP+고/EC
(승객들이	(/SS+승객/NNG+들/XSN+이/JKS
크루즈여행을	크루즈/NNG+여행/NNG+을/JKO
향유하는)	향유/NNG+하/XSV+는/ETM+)/SS
문화가	문화/NNG+가/JKS
중요하다”면서	중요/NNG+하/XSA+다/EF+”/SS+면서/EC
“이제까지	“/SS+이제/NNG+까지/JX
서유럽	서유럽/NNP
승객들이	승객/NNG+들/XSN+이/JKS
많았으나,	많/VA+았/EP+으나/EC+,/SP
5~10년	5/SN+~/SO+10/SN+년/NNB
뒤	뒤/NNG
동아시아	동아시아/NNP
승객이	승객/NNG+이/JKS
주류가	주류/NNG+가/JKC
되는	되/VV+는/ETM
순간	순간/NNG
유럽	유럽/NNP
조선소가	조선소/NNG+가/JKS
크루즈를	크루즈/NNG+를/JKO
제대로	제대로/MAG
만들기	만들/VV+기/ETN
어려워지므로	어렵/VA+어/EC+지/VX+므로/EC
언젠가	언젠가/MAG
대우조선해양이	대우조선해양/NNP+이/JKS
가야할	가/VV+아야/EC+하/VX+ㄹ/ETM
분야인	분야/NNG+이/VCP+ㄴ/ETM
건	거/NNB+ㄴ/JX
분명하다”고	분명/MAG+하/XSA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.39.6.1
이날 정 사장은 조선해양 중심으로 내실을 다지겠다며, 주력 사업과 무관한 자회사는 정리할 방침이라고 밝혔다.

이날	이날/NNG
정	정/NNP
사장은	사장/NNG+은/JX
조선해양	조선/NNG+해양/NNG
중심으로	중심/NNG+으로/JKB
내실을	내실/NNG+을/JKO
다지겠다며,	다지/VV+겠/EP+다며/EC+,/SP
주력	주력/NNG
사업과	사업/NNG+과/JKB
무관한	무관하/VA+ㄴ/ETM
자회사는	자회사/NNG+는/JX
정리할	정리/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.39.6.2
이에 따라 풍력발전 자회사인 드윈드 매각을 검토하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
풍력발전	풍력/NNG+발전/NNG
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
드윈드	드윈드/NNP
매각을	매각/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


