# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.116
metadata : {}


# id : NWRW1800000038.116.1.1
"대학 장학금 덕에 경찰 됐으니… 우리도 보탬 되고 싶어"

"대학	"/SS+대학/NNG
100만원을 기부한 조승찬(25)씨는 "학교로부터 받은 도움을 조금이나마 갚자는 생각에 기부하게 됐다"며 "앞으로 수사 분야나 교통사고 조사 분야의 경찰 전문가가 돼 억울한 시민이 생기지 않게 하고 싶다"고 했다.

100만원을	100/SN+만/NR+원/NNB+을/JKO
기부한	기부/NNG+하/XSV+ㄴ/ETM
조승찬(25)씨는	조승찬/NNP+(/SS+25/SN+)/SS+씨/NNB+는/JX
"학교로부터	"/SS+학교/NNG+로부터/JKB
받은	받/VV+은/ETM
도움을	도움/NNG+을/JKO
조금이나마	조금/NNG+이나마/JX
갚자는	갚/VV+자는/ETM
생각에	생각/NNG+에/JKB
기부하게	기부/NNG+하/XSV+게/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
수사	수사/NNG
분야나	분야/NNG+나/JC
교통사고	교통사고/NNG
조사	조사/NNG
분야의	분야/NNG+의/JKG
경찰	경찰/NNG
전문가가	전문가/NNG+가/JKC
돼	되/VV+어/EC
억울한	억울/NNG+하/XSA+ㄴ/ETM
시민이	시민/NNG+이/JKS
생기지	생기/VV+지/EC
않게	않/VX+게/EC
하고	하/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.116.6.1
이번에 기부한 학생 17명 중 8명은 제62기 간부후보생으로 최종 합격했다.

이번에	이번/NNG+에/JKB
기부한	기부/NNG+하/XSV+ㄴ/ETM
학생	학생/NNG
17명	17/SN+명/NNB
중	중/NNB
8명은	8/SN+명/NNB+은/JX
제62기	제/XPN+62/SN+기/NNG
간부후보생으로	간부/NNG+후보/NNG+생/XSN+으로/JKB
최종	최종/NNG
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.116.6.2
이들은 교육을 거쳐 내년 4월 경찰 간부로 임관할 예정이다.

이들은	이/NP+들/XSN+은/JX
교육을	교육/NNG+을/JKO
거쳐	거치/VV+어/EC
내년	내년/NNG
4월	4/SN+월/NNB
경찰	경찰/NNG
간부로	간부/NNG+로/JKB
임관할	임관/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.116.6.3
올해 간부후보생 경쟁률은 일반직 남성의 경우 28대1, 여성의 경우 36대1이었다.

올해	올해/NNG
간부후보생	간부/NNG+후보/NNG+생/XSN
경쟁률은	경쟁/NNG+률/XSN+은/JX
일반직	일반직/NNG
남성의	남성/NNG+의/JKG
경우	경우/NNG
28대1,	28/SN+대/NNB+1/SN+,/SP
여성의	여성/NNG+의/JKG
36대1이었다.	36/SN+대/NNB+1/SN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.116.6.4
최종 시험엔 불합격했지만 기부금을 낸 김동현(27)씨는 "나보다 어렵게 준비하는 후배들을 위해 선뜻 기부했다"며 "내년엔 꼭 합격해서 더 많이 기부할 것"이라고 말했다.

최종	최종/NNG
시험엔	시험/NNG+에/JKB+ㄴ/JX
불합격했지만	불/XPN+합격/NNG+하/XSV+았/EP+지만/EC
기부금을	기부금/NNG+을/JKO
낸	내/VV+ㄴ/ETM
김동현(27)씨는	김동현/NNP+(/SS+27/SN+)/SS+씨/NNB+는/JX
"나보다	"/SS+나/NP+보다/JKB
어렵게	어렵/VA+게/EC
준비하는	준비/NNG+하/XSV+는/ETM
후배들을	후배/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
선뜻	선뜻/MAG
기부했다"며	기부/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"내년엔	"/SS+내년/NNG+에/JKB+ㄴ/JX
꼭	꼭/MAG
합격해서	합격/NNG+하/XSV+아서/EC
더	더/MAG
많이	많이/MAG
기부할	기부/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


