# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.20
metadata : {}


# id : NWRW1800000052.20.1.1
깐깐해진 가계대출심사 ‘명암’…은행대출 1/4로…2금융권은 급증 ‘풍선효과

깐깐해진	깐깐하/VA+아/EC+지/VX+ㄴ/ETM
효과로	효과/NNG+로/JKB
증가세가	증가세/NNG+가/JKS
완연하게	완연하/VA+게/EC
꺾였다.	꺾이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.20.5.1
대신 제2금융권의 대출이 증가하는 추세다.

대신	대신/NNG
제2금융권의	제/XPN+2/SN+금융/NNG+권/XSN+의/JKG
대출이	대출/NNG+이/JKS
증가하는	증가/NNG+하/XSV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.20.5.2
지역농협을 이르는 상호금융과 저축은행 등을 포괄하는 비은행 예금취급기관의 가계대출 규모는 올 1분기에 전분기 대비 7조6천억원 늘어났다.

지역농협을	지역/NNG+농협/NNP+을/JKO
이르는	이르/VV+는/ETM
상호금융과	상호/NNG+금융/NNG+과/JC
저축은행	저축/NNG+은행/NNG
등을	등/NNB+을/JKO
포괄하는	포괄/NNG+하/XSV+는/ETM
비은행	비/XPN+은행/NNG
예금취급기관의	예금/NNG+취급/NNG+기관/NNG+의/JKG
가계대출	가계/NNG+대출/NNG
규모는	규모/NNG+는/JX
올	올/NNG
1분기에	1/SN+분기/NNG+에/JKB
전분기	전/MMD+분기/NNG
대비	대비/NNG
7조6천억원	7/SN+조/NR+6/SN+천억/NR+원/NNB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.20.5.3
이는 지난해 3·4분기 증가 규모가 각각 6조3천억원, 9조6천억원이었던 점을 고려하면, 증가세가 수그러들지 않고 있는 셈이다.

이는	이/NP+는/JX
지난해	지난해/NNG
3·4분기	3/SN+·/SP+4/SN+분기/NNG
증가	증가/NNG
규모가	규모/NNG+가/JKS
각각	각각/MAG
6조3천억원,	6/SN+조/NR+3/SN+천억/NR+원/NNB+,/SP
9조6천억원이었던	9/SN+조/NR+6/SN+천억/NR+원/NNB+이/VCP+었/EP+던/ETM
점을	점/NNG+을/JKO
고려하면,	고려/NNG+하/XSV+면/EC+,/SP
증가세가	증가세/NNG+가/JKS
수그러들지	수그러들/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.20.5.4
한은 이상용 금융통계팀장은 “평소 모니터링에서도 상호금융 등을 중심으로 풍선효과가 나타나고 있다”고 말했다.

한은	한은/NNP
이상용	이상용/NNP
금융통계팀장은	금융/NNG+통계/NNG+팀장/NNG+은/JX
“평소	“/SS+평소/NNG
모니터링에서도	모니터링/NNG+에서/JKB+도/JX
상호금융	상호/NNG+금융/NNG
등을	등/NNB+을/JKO
중심으로	중심/NNG+으로/JKB
풍선효과가	풍선/NNG+효과/NNG+가/JKS
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.20.6.1
풍선효과가 뚜렷해지자 금융당국은 이날 보험권에서도 7월부터 은행 수준의 가계대출 규제를 적용하겠다고 밝혔다.

풍선효과가	풍선/NNG+효과/NNG+가/JKS
뚜렷해지자	뚜렷하/VA+아/EC+지/VX+자/EC
금융당국은	금융/NNG+당국/NNG+은/JX
이날	이날/NNG
보험권에서도	보험/NNG+권/XSN+에서/JKB+도/JX
7월부터	7/SN+월/NNB+부터/JX
은행	은행/NNG
수준의	수준/NNG+의/JKG
가계대출	가계/NNG+대출/NNG
규제를	규제/NNG+를/JKO
적용하겠다고	적용/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.20.6.2
또 상호금융 업계엔 6월부터 ‘상호금융정책협의회’를 통해 주택담보대출 분할상환 비중 확대 방안을 마련하기로 했다.

또	또/MAG
상호금융	상호/NNG+금융/NNG
업계엔	업계/NNG+에/JKB+ㄴ/JX
6월부터	6/SN+월/NNB+부터/JX
‘상호금융정책협의회’를	‘/SS+상호/NNG+금융/NNG+정책/NNG+협의회/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
주택담보대출	주택/NNG+담보/NNG+대출/NNG
분할상환	분할/NNG+상환/NNG
비중	비중/NNG
확대	확대/NNG
방안을	방안/NNG+을/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


