# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.151
metadata : {}


# id : NWRW1800000046.151.1.1
50代 시민이 酒暴 붙잡아 기다렸는데… 출동한 경찰 황당 대응 "경찰이 뛰란 법 있냐… 경찰차가 택시냐"

50代	50/SN+代/SH
영등포경찰서	영등포경찰서/NNP
소속	소속/NNG
황모	황/NNP+모/NP
경위는	경위/NNG+는/JX
"경찰이	"/SS+경찰/NNG+이/JKS
꼭	꼭/MAG
뛰란	뛰/VV+란/ETM
법	법/NNB
있습니까?"라고	있/VA+습니까/EF+?/SF+"/SS+라고/JKQ
답했다고	답/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.151.4.3
여기까지는 마씨와 황 경위의 주장이 대략 일치한다.

여기까지는	여기/NP+까지/JX+는/JX
마씨와	마/NNP+씨/NNB+와/JC
황	황/NNP
경위의	경위/NNG+의/JKG
주장이	주장/NNG+이/JKS
대략	대략/MAG
일치한다.	일치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.151.5.1
하지만 이날 참고인 조사차 파출소로 동행한 마씨는 황 경위에게 부당한 대우를 받았다며 7일 경찰에 민원을 제기했다.

하지만	하지만/MAJ
이날	이날/NNG
참고인	참고인/NNG
조사차	조사차/NNG
파출소로	파출소/NNG+로/JKB
동행한	동행/NNG+하/XSV+ㄴ/ETM
마씨는	마/NNP+씨/NNB+는/JX
황	황/NNP
경위에게	경위/NNG+에게/JKB
부당한	부당/NNG+하/XSA+ㄴ/ETM
대우를	대우/NNG+를/JKO
받았다며	받/VV+았/EP+다며/EC
7일	7/SN+일/NNB
경찰에	경찰/NNG+에/JKB
민원을	민원/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.151.5.2
마씨는 당시 황 경위의 지시를 받은 경찰들에게 휴대전화를 강제로 뺏겼다고 주장했다.

마씨는	마/NNP+씨/NNB+는/JX
당시	당시/NNG
황	황/NNP
경위의	경위/NNG+의/JKG
지시를	지시/NNG+를/JKO
받은	받/VV+은/ETM
경찰들에게	경찰/NNG+들/XSN+에게/JKB
휴대전화를	휴대/NNG+전화/NNG+를/JKO
강제로	강제/NNG+로/JKB
뺏겼다고	뺏기/VV+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.151.5.3
마씨는 "(참고인 조사 후) '늦은 시간이라 지하철이 끊길 것 같은데 경찰차로 집까지 태워줄 수 있느냐'고 묻자 황 경위는 '경찰이 택시인 줄 아느냐'고 했다"며 "황 경위의 태도가 너무 강압적이어서 휴대전화로 대화 내용을 녹음하려 하자 황 경위가 '통신비밀보호법상 제3자가 있는 경우에 녹음하면 불법이다.

마씨는	마/NNP+씨/NNB+는/JX
"(참고인	"/SS+(/SS+참고인/NNG
조사	조사/NNG
후)	후/NNG+)/SS
'늦은	'/SS+늦/VA+은/ETM
시간이라	시간/NNG+이/VCP+라/EC
지하철이	지하철/NNG+이/JKS
끊길	끊기/VV+ㄹ/ETM
것	것/NNB
같은데	같/VA+은데/EC
경찰차로	경찰차/NNG+로/JKB
집까지	집/NNG+까지/JX
태워줄	태우/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있느냐'고	있/VA+느냐/EF+'/SS+고/JKQ
묻자	묻/VV+자/EC
황	황/NNP
경위는	경위/NNG+는/JX
'경찰이	'/SS+경찰/NNG+이/JKS
택시인	택시/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
아느냐'고	알/VV+느냐/EF+'/SS+고/JKQ
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"황	"/SS+황/NNP
경위의	경위/NNG+의/JKG
태도가	태도/NNG+가/JKS
너무	너무/MAG
강압적이어서	강압/NNG+적/XSN+이/VCP+어서/EC
휴대전화로	휴대/NNG+전화/NNG+로/JKB
대화	대화/NNG
내용을	내용/NNG+을/JKO
녹음하려	녹음/NNG+하/XSV+려/EC
하자	하/VX+자/EC
경위가	경위/NNG+가/JKS
'통신비밀보호법상	'/SS+통신/NNG+비밀/NNG+보호법/NNG+상/XSN
제3자가	제3자/NNG+가/JKS
있는	있/VA+는/ETM
경우에	경우/NNG+에/JKB
녹음하면	녹음/NNG+하/XSV+면/EC
불법이다.	불법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.151.5.4
현행범으로 체포하겠다'며 경찰관 2명을 시켜 내 휴대전화를 빼앗았다"고 주장했다.

현행범으로	현행범/NNG+으로/JKB
체포하겠다'며	체포/NNG+하/XSV+겠/EP+다/EF+'/SS+며/EC
경찰관	경찰관/NNG
2명을	2/SN+명/NNB+을/JKO
시켜	시키/VV+어/EC
내	나/NP+의/JKG
휴대전화를	휴대/NNG+전화/NNG+를/JKO
빼앗았다"고	빼앗/VV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.151.5.5
마씨와 참고인 조사를 함께 받은 시민 박모(49)씨도 경찰이 마씨 휴대전화를 빼앗아 녹음 여부를 확인했다고 주장했다.

마씨와	마/NNP+씨/NNB+와/JKB
참고인	참고인/NNG
조사를	조사/NNG+를/JKO
함께	함께/MAG
받은	받/VV+은/ETM
시민	시민/NNG
박모(49)씨도	박/NNP+모/NP+(/SS+49/SN+)/SS+씨/NNB+도/JX
경찰이	경찰/NNG+이/JKS
마씨	마/NNP+씨/NNB
휴대전화를	휴대/NNG+전화/NNG+를/JKO
빼앗아	빼앗/VV+아/EC
녹음	녹음/NNG
여부를	여부/NNG+를/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.151.6.1
반면 황 경위는 "마씨가 태워줄 수 있냐고 했을 때는 경찰도 바쁘다는 취지의 얘기를 한 것이고 휴대전화는 강제로 뺏은 게 아니라 마씨가 순순히 보여줬다"며 마씨 주장은 사실이 아니라고 말했다.

반면	반면/NNG
황	황/NNP
경위는	경위/NNG+는/JX
"마씨가	"/SS+마/NNP+씨/NNB+가/JKS
태워줄	태우/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있냐고	있/VA+냐고/EC
했을	하/VV+았/EP+을/ETM
때는	때/NNG+는/JX
경찰도	경찰/NNG+도/JX
바쁘다는	바쁘/VA+다는/ETM
취지의	취지/NNG+의/JKG
얘기를	얘기/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이고	것/NNB+이/VCP+고/EC
휴대전화는	휴대/NNG+전화/NNG+는/JX
강제로	강제/NNG+로/JKB
뺏은	뺏/VV+은/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
마씨가	마/NNP+씨/NNB+가/JKS
순순히	순순히/MAG
보여줬다"며	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS+며/EC
마씨	마/NNP+씨/NNB
주장은	주장/NNG+은/JX
사실이	사실/NNG+이/JKC
아니라고	아니/VCN+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.151.6.2
민원을 접수한 영등포경찰서 청문감사실은 "정확한 사실 관계를 파악해 조치할 예정"이라고 밝혔다.

민원을	민원/NNG+을/JKO
접수한	접수/NNG+하/XSV+ㄴ/ETM
영등포경찰서	영등포경찰서/NNP
청문감사실은	청문/NNG+감사실/NNG+은/JX
"정확한	"/SS+정확/NNG+하/XSA+ㄴ/ETM
사실	사실/NNG
관계를	관계/NNG+를/JKO
파악해	파악/NNG+하/XSV+아/EC
조치할	조치/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


