# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.18
metadata : {}


# id : NWRW1800000046.18.1.1
유리 공장 알바女, 세번 결혼 끝에 中 최고 女부자까지

유리	유리/NNG
새로운 '수퍼 리치' 가운데 가장 주목받는 인물은 중국 최고 여자 부자로 떠오른 저우췬페이(周群飛·45) 란쓰(藍思)과기 사장이다.

새로운	새롭/VA+ㄴ/ETM
'수퍼	'/SS+수퍼/NNG
리치'	리치/NNG+'/SS
가운데	가운데/NNG
가장	가장/MAG
주목받는	주목/NNG+받/XSV+는/ETM
인물은	인물/NNG+은/JX
중국	중국/NNP
최고	최고/NNG
여자	여자/NNG
부자로	부자/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
저우췬페이(周群飛·45)	저우췬페이/NNP+(/SS+周群飛/SH+·/SP+45/SN+)/SS
란쓰(藍思)과기	란쓰/NNP+(/SS+藍思/SH+)/SS+과기/NNP
사장이다.	사장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.18.4.2
그녀는 시계유리 공장 '알바녀'로 시작해 애플과 삼성에 휴대전화 터치스크린을 납품하는 '유리 여왕'으로 등극했다.

그녀는	그녀/NP+는/JX
시계유리	시계/NNG+유리/NNG
공장	공장/NNG
'알바녀'로	'/SS+알바녀/NNG+'/SS+로/JKB
시작해	시작/NNG+하/XSV+아/EC
애플과	애플/NNP+과/JC
삼성에	삼성/NNP+에/JKB
휴대전화	휴대/NNG+전화/NNG
터치스크린을	터치스크린/NNG+을/JKO
납품하는	납품/NNG+하/XSV+는/ETM
'유리	'/SS+유리/NNG
여왕'으로	여왕/NNG+'/SS+으로/JKB
등극했다.	등극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.4.3
란쓰과기는 지난달 18일 중국판 나스닥인 '촹예반(創業版)'에 상장된 이후 16일 연속 상한가를 기록했고, 회사 주식 90% 이상을 보유한 저우췬페이의 재산은 109억달러(약 12조원)로 불어났다.

란쓰과기는	란쓰과기/NNP+는/JX
지난달	지난달/NNG
18일	18/SN+일/NNB
중국판	중국판/NNG
나스닥인	나스닥/NNP+이/VCP+ㄴ/ETM
'촹예반(創業版)'에	'/SS+촹예반/NNG+(/SS+創業版/SH+)/SS+'/SS+에/JKB
상장된	상장/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
16일	16/SN+일/NNB
연속	연속/NNG
상한가를	상한/NNG+가/XSN+를/JKO
기록했고,	기록/NNG+하/XSV+았/EP+고/EC+,/SP
회사	회사/NNG
주식	주식/NNG
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
저우췬페이의	저우췬페이/NNP+의/JKG
재산은	재산/NNG+은/JX
109억달러(약	109/SN+억/NR+달러/NNB+(/SS+약/MMA
12조원)로	12/SN+조/NR+원/NNB+)/SS+로/JKB
불어났다.	불어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.4.4
그러나 그녀의 성공 신화 뒤에는 '샤오싼(小三·첩) 출신'이라는 루머가 끊임없이 따라붙고 있다.

그러나	그러나/MAJ
그녀의	그녀/NP+의/JKG
성공	성공/NNG
신화	신화/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
'샤오싼(小三·첩)	'/SS+샤오싼/NNG+(/SS+小三/SH+·/SP+첩/NNG+)/SS
출신'이라는	출신/NNG+'/SS+이/VCP+라는/ETM
루머가	루머/NNG+가/JKS
끊임없이	끊임없이/MAG
따라붙고	따라붙/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.18.4.5
세 번 결혼한 저우췬페이의 개인사를 살펴볼 때 전(前)남편의 지원과 그녀의 배신이 성공 열쇠였다는 소문이 떠도는 것이다.

세	세/MMN
번	번/NNB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
저우췬페이의	저우췬페이/NNP+의/JKG
개인사를	개인사/NNG+를/JKO
살펴볼	살펴보/VV+ㄹ/ETM
때	때/NNG
전(前)남편의	전/MMD+(/SS+前/SH+)/SS+남편/NNG+의/JKG
지원과	지원/NNG+과/JC
그녀의	그녀/NP+의/JKG
배신이	배신/NNG+이/JKS
성공	성공/NNG
열쇠였다는	열쇠/NNG+이/VCP+었/EP+다는/ETM
소문이	소문/NNG+이/JKS
떠도는	떠돌/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.18.4.6
저우췬페이는 최근 인터뷰에서 "나는 첩이었던 적이 없다"며 펄쩍 뛰었지만 그녀의 결혼과 이혼, 성공 과정은 베일에 가려진 부분이 많다.

저우췬페이는	저우췬페이/NNP+는/JX
최근	최근/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"나는	"/SS+나/NP+는/JX
첩이었던	첩/NNG+이/VCP+었/EP+던/ETM
적이	적/NNB+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
펄쩍	펄쩍/MAG
뛰었지만	뛰/VV+었/EP+지만/EC
그녀의	그녀/NP+의/JKG
결혼과	결혼/NNG+과/JC
이혼,	이혼/NNG+,/SP
성공	성공/NNG
과정은	과정/NNG+은/JX
베일에	베일/NNG+에/JKB
가려진	가려지/VV+ㄴ/ETM
부분이	부분/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.18.5.1
저우 사장은 1970년 후난(湖南)성 시골에서 3녀 중 막내로 태어났다.

저우	저우/NNP
사장은	사장/NNG+은/JX
1970년	1970/SN+년/NNB
후난(湖南)성	후난/NNP+(/SS+湖南/SH+)/SS+성/NNG
시골에서	시골/NNG+에서/JKB
3녀	3/SN+녀/NNG
중	중/NNB
막내로	막내/NNG+로/JKB
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.5.2
출생 직전 아버지는 폭발 사고로 눈과 손가락을 잃었고, 가난에 지친 어머니는 그녀가 5세 때 자살했다.

출생	출생/NNG
직전	직전/NNG
아버지는	아버지/NNG+는/JX
폭발	폭발/NNG
사고로	사고/NNG+로/JKB
눈과	눈/NNG+과/JC
손가락을	손가락/NNG+을/JKO
잃었고,	잃/VV+었/EP+고/EC+,/SP
가난에	가난/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
어머니는	어머니/NNG+는/JX
그녀가	그녀/NP+가/JKS
5세	5/SN+세/NNB
때	때/NNG
자살했다.	자살/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.5.3
중학교 2학년을 중퇴한 저우췬페이는 광둥성 선전(深?)의 시계유리 공장인 아오야(澳亞)광학에서 일했다.

중학교	중학교/NNG
2학년을	2/SN+학년/NNG+을/JKO
중퇴한	중퇴/NNG+하/XSV+ㄴ/ETM
저우췬페이는	저우췬페이/NNP+는/JX
광둥성	광둥성/NNP
선전(深?)의	선전/NNP+(/SS+深/SH+?/SF+)/SS+의/JKG
시계유리	시계/NNG+유리/NNG
공장인	공장/NNG+이/VCP+ㄴ/ETM
아오야(澳亞)광학에서	아오야/NNP+(/SS+澳亞/SH+)/SS+광학/NNG+에서/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.5.4
그녀는 야간학교에 다니며 회계·컴퓨터·세관 관련 자격증을 차례로 땄다.

그녀는	그녀/NP+는/JX
야간학교에	야간/NNG+학교/NNG+에/JKB
다니며	다니/VV+며/EC
회계·컴퓨터·세관	회계/NNG+·/SP+컴퓨터/NNG+·/SP+세관/NNG
관련	관련/NNG
자격증을	자격증/NNG+을/JKO
차례로	차례/NNG+로/JKB
땄다.	따/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.5.5
저우췬페이는 공장에서도 능력을 인정받았다.

저우췬페이는	저우췬페이/NNP+는/JX
공장에서도	공장/NNG+에서/JKB+도/JX
능력을	능력/NNG+을/JKO
인정받았다.	인정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.5.6
1990년 공장 증설을 책임지며 사장에게 "성공하면 월급은 알아서 주시고, 실패하면 평생 아르바이트를 하겠다"고 말했다.

1990년	1990/SN+년/NNB
공장	공장/NNG
증설을	증설/NNG+을/JKO
책임지며	책임지/VV+며/EC
사장에게	사장/NNG+에게/JKB
"성공하면	"/SS+성공/NNG+하/XSV+면/EC
월급은	월급/NNG+은/JX
알아서	알/VV+아서/EC
주시고,	주/VV+시/EP+고/EC+,/SP
실패하면	실패/NNG+하/XSV+면/EC
평생	평생/NNG
아르바이트를	아르바이트/NNG+를/JKO
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.6.1
1994년 그녀의 첫 결혼 상대는 다니던 아오야광학의 양다청(楊達成) 사장이었다.

1994년	1994/SN+년/NNB
그녀의	그녀/NP+의/JKG
첫	첫/MMN
결혼	결혼/NNG
상대는	상대/NNG+는/JX
다니던	다니/VV+던/ETM
아오야광학의	아오야광학/NNP+의/JKG
양다청(楊達成)	양다청/NNP+(/SS+楊達成/SH+)/SS
사장이었다.	사장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.18.6.2
당시 17세 연상과 결혼하면서 '첩' 논란이 불거졌지만, 남편은 이미 이혼한 상태였다고 한다.

당시	당시/NNG
17세	17/SN+세/NNB
연상과	연상/NNG+과/JKB
결혼하면서	결혼/NNG+하/XSV+면서/EC
'첩'	'/SS+첩/NNG+'/SS
논란이	논란/NNG+이/JKS
불거졌지만,	불거지/VV+었/EP+지만/EC+,/SP
남편은	남편/NNG+은/JX
이미	이미/MAG
이혼한	이혼/NNG+하/XSV+ㄴ/ETM
상태였다고	상태/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.18.6.3
그 무렵 저우췬페이는 조그만 인쇄 공장을 따로 차렸다.

그	그/MMD
무렵	무렵/NNB
저우췬페이는	저우췬페이/NNP+는/JX
조그만	조그맣/VA+ㄴ/ETM
인쇄	인쇄/NNG
공장을	공장/NNG+을/JKO
따로	따로/MAG
차렸다.	차리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.18.6.4
그러나 저우췬페이는 첫 번째 남편과 이혼하고, 보언(伯恩)광학의 리진취안(李金泉) 사장과 재혼했다.

그러나	그러나/MAJ
저우췬페이는	저우췬페이/NNP+는/JX
첫	첫/MMN
번째	번/NNB+째/XSN
남편과	남편/NNG+과/JKB
이혼하고,	이혼/NNG+하/XSV+고/EC+,/SP
보언(伯恩)광학의	보언/NNP+(/SS+伯恩/SH+)/SS+광학/NNG+의/JKG
리진취안(李金泉)	리진취안/NNP+(/SS+李金泉/SH+)/SS
사장과	사장/NNG+과/JKB
재혼했다.	재혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.6.5
이혼·재혼 시점과 이유 등은 알려지지 않았다.

이혼·재혼	이혼/NNG+·/SP+재혼/NNG
시점과	시점/NNG+과/JC
이유	이유/NNG
등은	등/NNB+은/JX
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.18.6.6
현재 보언광학은 저우췬페이 회사(란쓰과기)의 최대 라이벌이다.

현재	현재/MAG
보언광학은	보언광학/NNP+은/JX
저우췬페이	저우췬페이/NNP
회사(란쓰과기)의	회사/NNG+(/SS+란쓰과기/NNP+)/SS+의/JKG
최대	최대/NNG
라이벌이다.	라이벌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.18.6.7
이 때문에 저우 사장이 보언광학의 기술자를 빼내 란쓰과기를 키웠다는 소문이 나돈다.

이	이/MMD
때문에	때문/NNB+에/JKB
저우	저우/NNP
사장이	사장/NNG+이/JKS
보언광학의	보언광학/NNP+의/JKG
기술자를	기술자/NNG+를/JKO
빼내	빼내/VV+어/EC
란쓰과기를	란쓰과기/NNP+를/JKO
키웠다는	키우/VV+었/EP+다는/ETM
소문이	소문/NNG+이/JKS
나돈다.	나돌/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.18.6.8
현재 남편인 정쥔룽(鄭俊龍)과는 2008년 결혼식을 올렸다.

현재	현재/MAG
남편인	남편/NNG+이/VCP+ㄴ/ETM
정쥔룽(鄭俊龍)과는	정쥔룽/NNP+(/SS+鄭俊龍/SH+)/SS+과/JKB+는/JX
2008년	2008/SN+년/NNB
결혼식을	결혼식/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.18.6.9
한 살 연하인 정쥔룽이 두 번째 남편의 운전기사였다는 중국 보도가 있다.

한	한/MMN
살	살/NNB
연하인	연하/NNG+이/VCP+ㄴ/ETM
정쥔룽이	정쥔룽/NNP+이/JKS
두	두/MMN
번째	번/NNB+째/XSN
남편의	남편/NNG+의/JKG
운전기사였다는	운전기사/NNG+이/VCP+었/EP+다는/ETM
중국	중국/NNP
보도가	보도/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.18.6.10
저우췬페이는 2003년 란쓰과기를 세워 지난해 약 145억위안(약 2조6000억원)의 매출을 올렸다.

저우췬페이는	저우췬페이/NNP+는/JX
2003년	2003/SN+년/NNB
란쓰과기를	란쓰과기/NNP+를/JKO
세워	세우/VV+어/EC
지난해	지난해/NNG
약	약/MMA
145억위안(약	145/SN+억/NR+위안/NNB+(/SS+약/MMA
2조6000억원)의	2/SN+조/NR+6000/SN+억/NR+원/NNB+)/SS+의/JKG
매출을	매출/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.18.6.11
란쓰과기는 애플을 상대로 매출의 47%를 올렸기 때문에 아이폰이 많이 팔릴수록 수익이 커지는 구조다.

란쓰과기는	란쓰과기/NNP+는/JX
애플을	애플/NNP+을/JKO
상대로	상대/NNG+로/JKB
매출의	매출/NNG+의/JKG
47%를	47/SN+%/SW+를/JKO
올렸기	올리/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
아이폰이	아이폰/NNP+이/JKS
많이	많이/MAG
팔릴수록	팔리/VV+ㄹ수록/EC
수익이	수익/NNG+이/JKS
커지는	커지/VV+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.18.7.1
SCMP는 이날 "저우췬페이 외에 온라인 교육업체인 취안퉁자오위(全通敎育)의 천츠창(陳熾昌·44) 회장과 전기·부동산업체인 완마(萬馬)그룹의 장더성(張德生·66) 회장, 게임카드업체인 야오지푸커(姚記撲克)의 야오원천(姚文琛·64) 사장 등이 새로 '10억달러 클럽'에 들어갔다"고 전했다.

SCMP는	SCMP/SL+는/JX
이날	이날/NNG
"저우췬페이	"/SS+저우췬페이/NNP
외에	외/NNB+에/JKB
온라인	온라인/NNG
교육업체인	교육업체/NNG+이/VCP+ㄴ/ETM
취안퉁자오위(全通敎育)의	취안퉁자오위/NNP+(/SS+全通敎育/SH+)/SS+의/JKG
천츠창(陳熾昌·44)	천츠창/NNP+(/SS+陳熾昌/SH+·/SP+44/SN+)/SS
회장과	회장/NNG+과/JC
전기·부동산업체인	전기/NNG+·/SP+부동산업체/NNG+이/VCP+ㄴ/ETM
완마(萬馬)그룹의	완마/NNP+(/SS+萬馬/SH+)/SS+그룹/NNG+의/JKG
장더성(張德生·66)	장더성/NNP+(/SS+張德生/SH+·/SP+66/SN+)/SS
회장,	회장/NNG+,/SP
게임카드업체인	게임/NNG+카드업체/NNG+이/VCP+ㄴ/ETM
야오지푸커(姚記撲克)의	야오지푸커/NNP+(/SS+姚記撲克/SH+)/SS+의/JKG
야오원천(姚文琛·64)	야오원천/NNP+(/SS+姚文琛/SH+·/SP+64/SN+)/SS
사장	사장/NNG
등이	등/NNB+이/JKS
새로	새로/MAG
'10억달러	'/SS+10/SN+억/NR+달러/NNB
클럽'에	클럽/NNG+'/SS+에/JKB
들어갔다"고	들어가/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


