# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.432
metadata : {}


# id : NWRW1800000032.432.1.1
월성원전 1호기 재가동…환경단체 “수명연장 속셈”

월성원전	월성원전/NNP
한국수력원자력	한국수력원자력/NNP
월성원자력본부는	월성원자력본부/NNP+는/JX
18일	18/SN+일/NNB
0시36분께	0/SN+시/NNB+36/SN+분/NNB+께/XSN
월성	월성/NNP
1호기가	1/SN+호기/NNB+가/JKS
2년3개월	2/SN+년/NNB+3/SN+개월/NNB
만에	만/NNB+에/JKB
재가동에	재/XPN+가동/NNG+에/JKB
들어가	들어가/VV+아/EC
오전	오전/NNG
7시께부터	7/SN+시/NNB+께/XSN+부터/JX
출력	출력/NNG
100%로	100/SN+%/SW+로/JKB
가동하고	가동/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.432.5.2
한수원은 “일본 후쿠시마 원전 사고의 후속 조처인 수소제거 설비를 설치하는 등 안전성을 증진시켰다”며 “통상적인 계획 예방정비일 뿐 계속운전과는 관련이 없다”고 밝혔다.

한수원은	한수원/NNP+은/JX
“일본	“/SS+일본/NNP
후쿠시마	후쿠시마/NNP
원전	원전/NNG
사고의	사고/NNG+의/JKG
후속	후속/NNG
조처인	조처/NNG+이/VCP+ㄴ/ETM
수소제거	수소/NNG+제거/NNG
설비를	설비/NNG+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
등	등/NNB
안전성을	안전/NNG+성/XSN+을/JKO
증진시켰다”며	증진/NNG+시키/XSV+었/EP+다/EF+”/SS+며/EC
“통상적인	“/SS+통상/NNG+적/XSN+이/VCP+ㄴ/ETM
계획	계획/NNG
예방정비일	예방/NNG+정비/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
계속운전과는	계속/NNG+운전/NNG+과/JKB+는/JX
관련이	관련/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.432.6.1
월성 원전 1호기는 안전성을 높여야 한다는 주기적 안전평가 결과에 따라 2009년 4월 가동을 멈추고 예산 3400억원을 들여 압력관 교체 등 핵심 부품을 갈았다.

월성	월성/NNP
원전	원전/NNG
1호기는	1/SN+호기/NNB+는/JX
안전성을	안전/NNG+성/XSN+을/JKO
높여야	높이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주기적	주기/NNG+적/XSN
안전평가	안전/NNG+평가/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
가동을	가동/NNG+을/JKO
멈추고	멈추/VV+고/EC
예산	예산/NNG
3400억원을	3400/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
압력관	압력/NNG+관/NNG
교체	교체/NNG
등	등/NNB
핵심	핵심/NNG
부품을	부품/NNG+을/JKO
갈았다.	갈/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.432.6.2
교육과학기술부로부터 ‘격납건물 안에 수소폭발을 방지하는 수소제거설비를 갖추라’는 요구를 받아, 최근 전기가 필요 없는 수소제거 설비 21대를 갖췄다.

교육과학기술부로부터	교육/NNG+과학/NNG+기술부/NNG+로부터/JKB
‘격납건물	‘/SS+격납/NNG+건물/NNG
안에	안/NNG+에/JKB
수소폭발을	수소/NNG+폭발/NNG+을/JKO
방지하는	방지/NNG+하/XSV+는/ETM
수소제거설비를	수소/NNG+제거/NNG+설비/NNG+를/JKO
갖추라’는	갖추/VV+라/EF+’/SS+는/ETM
요구를	요구/NNG+를/JKO
받아,	받/VV+아/EC+,/SP
최근	최근/MAG
전기가	전기/NNG+가/JKS
필요	필요/NNG
없는	없/VA+는/ETM
수소제거	수소/NNG+제거/NNG
설비	설비/NNG
21대를	21/SN+대/NNB+를/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.432.6.3
한수원은 “원자력법에 근거한 교과부의 안전성 검사 결과 전혀 문제가 없는 것으로 나왔다”며 발전소 가동의 안전성을 강조하고 있다.

한수원은	한수원/NNP+은/JX
“원자력법에	“/SS+원자력법/NNG+에/JKB
근거한	근거/NNG+하/XSV+ㄴ/ETM
교과부의	교과부/NNG+의/JKG
안전성	안전/NNG+성/XSN
검사	검사/NNG
결과	결과/NNG
전혀	전혀/MAG
문제가	문제/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
나왔다”며	나오/VV+았/EP+다/EF+”/SS+며/EC
발전소	발전소/NNG
가동의	가동/NNG+의/JKG
안전성을	안전/NNG+성/XSN+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.432.7.1
이에 대해 환경단체들은 “내년 11월 설계수명이 끝나는 월성 1호기를 수천억원을 들여 고쳐서 재사용하는 것은 수명을 연장해 계속운전을 하려는 것”이라며 재가동 중단을 촉구했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
환경단체들은	환경/NNG+단체/NNG+들/XSN+은/JX
“내년	“/SS+내년/NNG
11월	11/SN+월/NNB
설계수명이	설계/NNG+수명/NNG+이/JKS
끝나는	끝나/VV+는/ETM
월성	월성/NNP
1호기를	1/SN+호기/NNB+를/JKO
수천억원을	수천억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
고쳐서	고치/VV+어서/EC
재사용하는	재/XPN+사용/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
수명을	수명/NNG+을/JKO
연장해	연장/NNG+하/XSV+아/EC
계속운전을	계속/NNG+운전/NNG+을/JKO
하려는	하/VV+려는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
재가동	재/XPN+가동/NNG
중단을	중단/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.432.7.2
이상홍 경주핵안전연대 활동가는 “수소제거 설비를 갖췄다고는 하지만 압력용기 노후화에 따른 위험이나 지진에 대비한 안전성은 여전히 확보되지 않은 상태에서 재가동에 들어간 것”이라고 지적했다.

이상홍	이상홍/NNP
경주핵안전연대	경주핵안전연대/NNP
활동가는	활동가/NNG+는/JX
“수소제거	“/SS+수소/NNG+제거/NNG
설비를	설비/NNG+를/JKO
갖췄다고는	갖추/VV+었/EP+다고/EC+는/JX
하지만	하/VX+지만/EC
압력용기	압력/NNG+용기/NNG
노후화에	노후/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
위험이나	위험/NNG+이나/JC
지진에	지진/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
안전성은	안전/NNG+성/XSN+은/JX
여전히	여전히/MAG
확보되지	확보/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
재가동에	재/XPN+가동/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.432.8.1
그는 또 “한여름 전력수요가 최고를 기록할 때도 우리나라 예비전력이 4%대로 충분하다”며 “전력 수급에 차질을 빚지 않으려고 월성 1호기를 재가동한다는 한수원 쪽의 논리도 맞지 않다”고 주장했다.

그는	그/NP+는/JX
또	또/MAG
“한여름	“/SS+한/XPN+여름/NNG
전력수요가	전력/NNG+수요/NNG+가/JKS
최고를	최고/NNG+를/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
우리나라	우리나라/NNG
예비전력이	예비/NNG+전력/NNG+이/JKS
4%대로	4/SN+%/SW+대/XSN+로/JKB
충분하다”며	충분하/VA+다/EF+”/SS+며/EC
“전력	“/SS+전력/NNG
수급에	수급/NNG+에/JKB
차질을	차질/NNG+을/JKO
빚지	빚/VV+지/EC
않으려고	않/VX+으려고/EC
월성	월성/NNP
1호기를	1/SN+호기/NNB+를/JKO
재가동한다는	재/XPN+가동/NNG+하/XSV+ㄴ다는/ETM
한수원	한수원/NNP
쪽의	쪽/NNB+의/JKG
논리도	논리/NNG+도/JX
맞지	맞/VV+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.432.9.1
한수원은 내년 수명이 끝나는 월성 1호기를 10년 더 운전을 연장하기 위해 2009년 12월 안전성평가보고서를 교과부에 낸 상태다.

한수원은	한수원/NNP+은/JX
내년	내년/NNG
수명이	수명/NNG+이/JKS
끝나는	끝나/VV+는/ETM
월성	월성/NNP
1호기를	1/SN+호기/NNB+를/JKO
10년	10/SN+년/NNB
더	더/MAG
운전을	운전/NNG+을/JKO
연장하기	연장/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2009년	2009/SN+년/NNB
12월	12/SN+월/NNB
안전성평가보고서를	안전/NNG+성/XSN+평가/NNG+보고서/NNG+를/JKO
교과부에	교과부/NNG+에/JKB
낸	내/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


