# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.345
metadata : {}


# id : NWRW1800000021.345.1.1
[뉴스 분석]사실로 드러난 ‘남북정상회담’ 비밀 접촉

[뉴스	[/SS+뉴스/NNG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000021.345.5.2
이 대통령은 그동안 남북관계에서 투명성과 국민적 합의를 누누이 강조해 왔기 때문이다.

이	이/NNP
대통령은	대통령/NNG+은/JX
그동안	그동안/NNG
남북관계에서	남북/NNP+관계/NNG+에서/JKB
투명성과	투명/NNG+성/XSN+과/JKB
국민적	국민/NNG+적/XSN
합의를	합의/NNG+를/JKO
누누이	누누이/MAG
강조해	강조/NNG+하/XSV+아/EC
왔기	오/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.345.5.3
이 대통령은 후보 시절인 2007년 4월 헌정회를 예방해 “국민의 합의 없이 투명하지 않은 어떤 회담도 국민의 신뢰를 받을 수 없다”고 말했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
후보	후보/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
헌정회를	헌정회/NNP+를/JKO
예방해	예방/NNG+하/XSV+아/EC
“국민의	“/SS+국민/NNG+의/JKG
합의	합의/NNG
없이	없이/MAG
투명하지	투명/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
어떤	어떤/MMD
회담도	회담/NNG+도/JX
국민의	국민/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.345.5.4
당선 뒤인 지난해 3월 26일에도 “국민 뜻에 반하는 대북 협상은 없다. 남북 간 문제는 매우 투명하고 국제사회에서 인정하는 룰 위에서 준비를 하게 될 것”이라고 말했다.

당선	당선/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
3월	3/SN+월/NNB
26일에도	26/SN+일/NNB+에/JKB+도/JX
“국민	“/SS+국민/NNG
뜻에	뜻/NNG+에/JKB
반하는	반하/VV+는/ETM
대북	대북/NNG
협상은	협상/NNG+은/JX
없다.	없/VA+다/EF+./SF
남북	남북/NNP
간	간/NNB
문제는	문제/NNG+는/JX
매우	매우/MAG
투명하고	투명/NNG+하/XSA+고/EC
국제사회에서	국제/NNG+사회/NNG+에서/JKB
인정하는	인정/NNG+하/XSV+는/ETM
룰	룰/NNG
위에서	위/NNG+에서/JKB
준비를	준비/NNG+를/JKO
하게	하/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.345.6.1
이번 접촉의 전후 과정은 그간 정부가 밝혀온 원칙을 무색하게 만들었다.

이번	이번/NNG
접촉의	접촉/NNG+의/JKG
전후	전후/NNG
과정은	과정/NNG+은/JX
그간	그/NP+간/XSN
정부가	정부/NNG+가/JKS
밝혀온	밝히/VV+어/EC+오/VX+ㄴ/ETM
원칙을	원칙/NNG+을/JKO
무색하게	무색하/VA+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.345.6.2
남측 대표는 당국자가 아닌 이 대통령과 친분이 깊은 정치인 또는 민간 인사인 것으로 알려졌다.

남측	남측/NNG
대표는	대표/NNG+는/JX
당국자가	당국자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
이	이/NNP
대통령과	대통령/NNG+과/JKB
친분이	친분/NNG+이/JKS
깊은	깊/VA+은/ETM
정치인	정치인/NNG
또는	또는/MAG
민간	민간/NNG
인사인	인사/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.345.6.3
김대중, 노무현 정부 시절 사용되던 비선(秘線)과 다를 게 없다.

김대중,	김대중/NNP+,/SP
노무현	노무현/NNP
정부	정부/NNG
시절	시절/NNG
사용되던	사용/NNG+되/XSV+던/ETM
비선(秘線)과	비선/NNG+(/SS+秘線/SH+)/SS+과/JKB
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.345.6.4
또 정부 당국자들은 접촉 사실에 대해 ‘모르쇠’로 일관했다.

또	또/MAG
정부	정부/NNG
당국자들은	당국자/NNG+들/XSN+은/JX
접촉	접촉/NNG
사실에	사실/NNG+에/JKB
대해	대하/VV+아/EC
‘모르쇠’로	‘/SS+모르쇠/NNG+’/SS+로/JKB
일관했다.	일관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.345.6.5
주무 책임자인 김성환 대통령외교안보수석비서관과 현인택 통일부 장관은 23일까지도 “아는 것이 없다”고 일관했다.

주무	주무/NNG
책임자인	책임자/NNG+이/VCP+ㄴ/ETM
김성환	김성환/NNP
대통령외교안보수석비서관과	대통령/NNG+외교/NNG+안보/NNG+수석/NNG+비서관/NNG+과/JC
현인택	현인택/NNP
통일부	통일부/NNG
장관은	장관/NNG+은/JX
23일까지도	23/SN+일/NNB+까지/JX+도/JX
“아는	“/SS+알/VV+는/ETM
것이	것/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
일관했다.	일관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.345.6.6
한 대북 전문가는 “이 대통령이 진짜 비선을 동원했거나, 아니면 당국자들이 국민에게 거짓말을 한 것”이라고 꼬집었다.

한	하/VV+ㄴ/ETM
대북	대북/NNG
전문가는	전문가/NNG+는/JX
“이	“/SS+이/NNP
대통령이	대통령/NNG+이/JKS
진짜	진짜/NNG
비선을	비선/NNG+을/JKO
동원했거나,	동원/NNG+하/XSV+았/EP+거나/EC+,/SP
아니면	아니/VCN+면/EC
당국자들이	당국자/NNG+들/XSN+이/JKS
국민에게	국민/NNG+에게/JKB
거짓말을	거짓말/NNG+을/JKO
것”이라고	것/NNB+”/SS+이라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.345.7.1
이에 대해 청와대 내부에서는 “남북 관계의 특수성을 감안해야 한다” “낮은 단계의 실무 접촉까지 다 공개해야 하는 건 아니다”라는 반론이 나온다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
청와대	청와대/NNP
내부에서는	내부/NNG+에서/JKB+는/JX
“남북	“/SS+남북/NNP
관계의	관계/NNG+의/JKG
특수성을	특수/NNG+성/XSN+을/JKO
감안해야	감안/NNG+하/XSV+아야/EC
한다”	하/VX+ㄴ다/EF+”/SS
“낮은	“/SS+낮/VA+은/ETM
단계의	단계/NNG+의/JKG
실무	실무/NNG
접촉까지	접촉/NNG+까지/JX
다	다/MAG
공개해야	공개/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
건	거/NNB+ㄴ/JX
아니다”라는	아니/VCN+다/EF+”/SS+라는/ETM
반론이	반론/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.345.7.2
그러나 이 시점에 정상회담이 필요한지에 국민적 합의가 이뤄진 것도 아닌 상태에서 원칙을 어기면서까지 정상회담을 추진할 필요가 있느냐는 비난을 피하기는 힘들다.

그러나	그러나/MAJ
이	이/MMD
시점에	시점/NNG+에/JKB
정상회담이	정상/NNG+회담/NNG+이/JKS
필요한지에	필요/NNG+하/XSA+ㄴ지/EC+에/JKB
국민적	국민/NNG+적/XSN
합의가	합의/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
것도	것/NNB+도/JX
아닌	아니/VCN+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
원칙을	원칙/NNG+을/JKO
어기면서까지	어기/VV+면서/EC+까지/JX
정상회담을	정상/NNG+회담/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있느냐는	있/VA+느냐는/ETM
비난을	비난/NNG+을/JKO
피하기는	피하/VV+기/ETN+는/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000021.345.8.1
한 외교안보 전문가는 “남한의 새 정부가 출범하면 1, 2년 동안 비방과 무력시위를 한 뒤 정상회담을 미끼로 손을 내밀고 경제적 지원을 요청하는 것은 북한의 오랜 생존 수법으로, 남한의 권력자들은 인기 관리와 정권 연장 등 국내 정치적 목적을 위해 북한이 내미는 손을 잡아왔다”며 “현 정부는 정치쇼를 하듯이 정상회담을 하지는 않을 것이라고 강조하고 있으나 자칫 과거의 잘못된 패턴에 빠지는 것은 아닌지 우려스럽다”고 말했다.

한	하/VV+ㄴ/ETM
외교안보	외교/NNG+안보/NNG
전문가는	전문가/NNG+는/JX
“남한의	“/SS+남한/NNP+의/JKG
새	새/MMA
정부가	정부/NNG+가/JKS
출범하면	출범/NNG+하/XSV+면/EC
1,	1/SN+,/SP
2년	2/SN+년/NNB
동안	동안/NNG
비방과	비방/NNG+과/JC
무력시위를	무력시위/NNG+를/JKO
뒤	뒤/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
미끼로	미끼/NNG+로/JKB
손을	손/NNG+을/JKO
내밀고	내밀/VV+고/EC
경제적	경제/NNG+적/XSN
지원을	지원/NNG+을/JKO
요청하는	요청/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
북한의	북한/NNP+의/JKG
오랜	오랜/MMA
생존	생존/NNG
수법으로,	수법/NNG+으로/JKB+,/SP
남한의	남한/NNP+의/JKG
권력자들은	권력자/NNG+들/XSN+은/JX
인기	인기/NNG
관리와	관리/NNG+와/JC
정권	정권/NNG
연장	연장/NNG
등	등/NNB
국내	국내/NNG
정치적	정치/NNG+적/XSN
목적을	목적/NNG+을/JKO
위해	위하/VV+아/EC
북한이	북한/NNP+이/JKS
내미는	내밀/VV+는/ETM
잡아왔다”며	잡/VV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“현	“/SS+현/MMD
정부는	정부/NNG+는/JX
정치쇼를	정치/NNG+쇼/NNG+를/JKO
하듯이	하/VV+듯이/EC
하지는	하/VV+지/EC+는/JX
않을	않/VX+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
강조하고	강조/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
자칫	자칫/MAG
과거의	과거/NNG+의/JKG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
패턴에	패턴/NNG+에/JKB
빠지는	빠지/VV+는/ETM
아닌지	아니/VCN+ㄴ지/EC
우려스럽다”고	우려/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


