# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.21
metadata : {}


# id : NWRW1800000045.21.1.1
[화제의 분양현장]광교 프리미엄을 누리는 마지막 투자처 오피스텔

[화제의	[/SS+화제/NNG+의/JKG
1679만	1679/SN+만/NR
원으로	원/NNB+으로/JKB
2년	2/SN+년/NNB
전(2013년	전/NNG+(/SS+2013/SN+년/NNB
6월,	6/SN+월/NNB+,/SP
1424만	1424/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
17.91%	17/SN+./SP+91/SN+%/SW
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.21.4.2
이는 경기도 전체 상승률 5.5%보다 높은 것인 데다 판교(8.24%), 동탄(2.9%) 등 수도권 다른 신도시보다도 높다.

이는	이/NP+는/JX
경기도	경기도/NNP
전체	전체/NNG
상승률	상승/NNG+률/XSN
5.5%보다	5/SN+./SP+5/SN+%/SW+보다/JKB
높은	높/VA+은/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
판교(8.24%),	판교/NNP+(/SS+8/SN+./SP+24/SN+%/SW+)/SS+,/SP
동탄(2.9%)	동탄/NNP+(/SS+2/SN+./SP+9/SN+%/SW+)/SS
등	등/NNB
수도권	수도/NNG+권/XSN
다른	다른/MMD
신도시보다도	신/XPN+도시/NNG+보다/JKB+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000045.21.5.1
저금리 시대의 대한 수익형 오피스텔

저금리	저/XPN+금리/NNG
시대의	시대/NNG+의/JKG
대한	대하/VV+ㄴ/ETM
수익형	수익/NNG+형/XSN
오피스텔	오피스텔/NNG


# id : NWRW1800000045.21.6.1
기준금리가 연 1%대로 저금리 기조가 장기화되면서 적은 자본금으로 투자가 가능한 수익형 부동산 상품인 오피스텔에 수요자들의 관심이 늘고 있다.

기준금리가	기준/NNG+금리/NNG+가/JKS
연	연/NNG
1%대로	1/SN+%/SW+대/XSN+로/JKB
저금리	저/XPN+금리/NNG
기조가	기조/NNG+가/JKS
장기화되면서	장기/NNG+화/XSN+되/XSV+면서/EC
적은	적/VA+은/ETM
자본금으로	자본금/NNG+으로/JKB
투자가	투자/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
수익형	수익/NNG+형/XSN
부동산	부동산/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
오피스텔에	오피스텔/NNG+에/JKB
수요자들의	수요자/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.21.6.2
국민은행에 따르면, 수도권 오피스텔 연평균 임대 수익률은 평균 5∼6%대로 은행에 예금하는 것보다 오피스텔에 투자하는 것이 2∼3배 높은 수익을 얻을 수 있다는 기대감 때문이다.

국민은행에	국민은행/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
수도권	수도/NNG+권/XSN
오피스텔	오피스텔/NNG
연평균	연평균/NNG
임대	임대/NNG
수익률은	수익/NNG+률/XSN+은/JX
평균	평균/NNG
5∼6%대로	5/SN+∼/SO+6/SN+%/SW+대/XSN+로/JKB
은행에	은행/NNG+에/JKB
예금하는	예금/NNG+하/XSV+는/ETM
것보다	것/NNB+보다/JKB
오피스텔에	오피스텔/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
2∼3배	2/SN+∼/SO+3/SN+배/NNG
높은	높/VA+은/ETM
수익을	수익/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
기대감	기대감/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.21.6.3
특히 광교의 경우, 초역세권과 복층 오피스텔의 희소성으로 안정적인 수익을 누릴 수 있을 것으로 전망되고 있다.

특히	특히/MAG
광교의	광교/NNP+의/JKG
경우,	경우/NNG+,/SP
초역세권과	초/XPN+역세권/NNG+과/JC
복층	복층/NNG
오피스텔의	오피스텔/NNG+의/JKG
희소성으로	희소/NNG+성/XSN+으로/JKB
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
수익을	수익/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
전망되고	전망/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.21.7.1
광교신도시는 신분당선 연장선 정자∼광교(12.8km) 구간이 착공됨에 따라 서울 강남까지 30분이면 갈 수 있다.

광교신도시는	광교신도시/NNP+는/JX
신분당선	신분당선/NNP
연장선	연장선/NNG
정자∼광교(12.8km)	정자/NNP+∼/SO+광교/NNP+(/SS+12/SN+./SP+8/SN+km/SW+)/SS
구간이	구간/NNG+이/JKS
착공됨에	착공/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
서울	서울/NNP
강남까지	강남/NNP+까지/JX
30분이면	30/SN+분/NNB+이/VCP+면/EC
갈	가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.21.7.2
6개 역 중 3개 역은 광교신시의 중심가인 경기도 청사, 대학가, 주택가를 관통하기 때문에 광교 교통망의 중심 역할을 도맡을것으로 전망된다.

6개	6/SN+개/NNB
역	역/NNG
중	중/NNB
3개	3/SN+개/NNB
역은	역/NNG+은/JX
광교신시의	광교/NNP+신/XPN+시/NNG+의/JKG
중심가인	중심가/NNG+이/VCP+ㄴ/ETM
경기도	경기도/NNP
청사,	청사/NNG+,/SP
대학가,	대학가/NNG+,/SP
주택가를	주택가/NNG+를/JKO
관통하기	관통/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
광교	광교/NNP
교통망의	교통망/NNG+의/JKG
중심	중심/NNG
역할을	역할/NNG+을/JKO
도맡을것으로	도맡/VV+을/ETM+것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.21.8.1
광교역은 2016년 초 개통 예정.

광교역은	광교역/NNP+은/JX
2016년	2016/SN+년/NNB
초	초/NNB
개통	개통/NNG
예정.	예정/NNG+./SF


# id : NWRW1800000045.21.8.2
아울러 광교신도시는 지하철 역사가 있는 역세권 800m 이내에 대부분의 주택과 편의시설이 입지하는 환경으로 조성해 지하철 편의성도 높다.

아울러	아울러/MAG
광교신도시는	광교신도시/NNP+는/JX
지하철	지하철/NNG
역사가	역사/NNG+가/JKS
있는	있/VA+는/ETM
역세권	역세권/NNG
800m	800/SN+m/SW
이내에	이내/NNG+에/JKB
대부분의	대/XPN+부분/NNG+의/JKG
주택과	주택/NNG+과/JC
편의시설이	편의/NNG+시설/NNG+이/JKS
입지하는	입지/NNG+하/XSV+는/ETM
환경으로	환경/NNG+으로/JKB
조성해	조성/NNG+하/XSV+아/EC
편의성도	편의/NNG+성/XSN+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000045.21.9.1
성남시 분당, 판교도 15분 거리.

성남시	성남시/NNP
분당,	분당/NNP+,/SP
판교도	판교/NNP+도/JX
15분	15/SN+분/NNB
거리.	거리/NNG+./SF


# id : NWRW1800000045.21.9.2
신분당선 연장선 2단계 광교∼호매실 구간은 경부철도축(화서역)과도 연계돼 전국적인 교통망 접근도 용이하다.

신분당선	신분당선/NNP
연장선	연장선/NNG
2단계	2/SN+단계/NNG
광교∼호매실	광교/NNP+∼/SO+호매실/NNP
구간은	구간/NNG+은/JX
경부철도축(화서역)과도	경부철도/NNP+축/NNG+(/SS+화서역/NNP+)/SS+과/JKB+도/JX
연계돼	연계/NNG+되/XSV+어/EC
전국적인	전국/NNG+적/XSN+이/VCP+ㄴ/ETM
교통망	교통망/NNG
접근도	접근/NNG+도/JX
용이하다.	용이하/VA+다/EF+./SF


# id : NWRW1800000045.21.9.3
그래서 신분당선 연장선의 최대 수혜지역은 광교라는 전문가 분석이 나오고 있다.

그래서	그래서/MAJ
신분당선	신분당선/NNP
연장선의	연장선/NNG+의/JKG
최대	최대/NNG
수혜지역은	수혜/NNG+지역/NNG+은/JX
광교라는	광교/NNP+이/VCP+라는/ETM
전문가	전문가/NNG
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.21.10.1
쾌적한 광교에 골드리치안 분양

쾌적한	쾌적하/VA+ㄴ/ETM
광교에	광교/NNP+에/JKB
골드리치안	골드리치안/NNP
분양	분양/NNG


# id : NWRW1800000045.21.11.1
특히 광교신도시는 ha당 53명으로, 분당의 199명, 고양시 일산의 175명, 안양시 평촌의 329명과 비교되지 않는 쾌적한 도시이다.

특히	특히/MAG
광교신도시는	광교신도시/NNP+는/JX
ha당	ha/SW+당/XSN
53명으로,	53/SN+명/NNB+으로/JKB+,/SP
분당의	분당/NNP+의/JKG
199명,	199/SN+명/NNB+,/SP
고양시	고양시/NNP
일산의	일산/NNP+의/JKG
175명,	175/SN+명/NNB+,/SP
안양시	안양시/NNP
평촌의	평촌/NNP+의/JKG
329명과	329/SN+명/NNB+과/JKB
비교되지	비교/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
쾌적한	쾌적하/VA+ㄴ/ETM
도시이다.	도시/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.21.11.2
이처럼 첨단 주거공간과 역사테마공원이 어우러지는 최고의 명품 도시에 ‘광교 골드리치안 오피스텔’이 상륙했다.

이처럼	이/NP+처럼/JKB
첨단	첨단/NNG
주거공간과	주거/NNG+공간/NNG+과/JC
역사테마공원이	역사/NNG+테마/NNG+공원/NNG+이/JKS
어우러지는	어우러지/VV+는/ETM
최고의	최고/NNG+의/JKG
명품	명품/NNG
도시에	도시/NNG+에/JKB
‘광교	‘/SS+광교/NNP
골드리치안	골드리치안/NNP
오피스텔’이	오피스텔/NNG+’/SS+이/JKS
상륙했다.	상륙/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.21.12.1
골든리치안 오피스텔은 복층형 오피스텔의 희소성 프리미엄을 가지고 있다.

골든리치안	골든리치안/NNP
오피스텔은	오피스텔/NNG+은/JX
복층형	복층/NNG+형/XSN
오피스텔의	오피스텔/NNG+의/JKG
희소성	희소/NNG+성/XSN
프리미엄을	프리미엄/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.21.12.2
시공 시부터 복층으로 공사된 골든리치안 오피스텔의 층고(방의 바닥면으로부터 위층 바닥 아래면까지의 높이)는 3.8m로, 광교의 다른 오피스텔에 비해 높은 편이다.

시공	시공/NNG
시부터	시/NNB+부터/JX
복층으로	복층/NNG+으로/JKB
공사된	공사/NNG+되/XSV+ㄴ/ETM
골든리치안	골든리치안/NNP
오피스텔의	오피스텔/NNG+의/JKG
층고(방의	층고/NNG+(/SS+방/NNG+의/JKG
바닥면으로부터	바닥면/NNG+으로부터/JKB
위층	위층/NNG
바닥	바닥/NNG
아래면까지의	아래/NNG+면/NNG+까지/JX+의/JKG
높이)는	높이/NNG+)/SS+는/JX
3.8m로,	3/SN+./SP+8/SN+m/SW+로/JKB+,/SP
광교의	광교/NNP+의/JKG
다른	다른/MMD
오피스텔에	오피스텔/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
높은	높/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.21.12.3
복층형 오피스텔은 원룸형 오피스텔에서 공간 분리가 가능해 공간 활용성이 뛰어나고, 서비스 면적이 넓은 장점이 있다.

복층형	복층/NNG+형/XSN
오피스텔은	오피스텔/NNG+은/JX
원룸형	원룸/NNG+형/XSN
오피스텔에서	오피스텔/NNG+에서/JKB
공간	공간/NNG
분리가	분리/NNG+가/JKS
가능해	가능/NNG+하/XSA+아/EC
활용성이	활용/NNG+성/XSN+이/JKS
뛰어나고,	뛰어나/VA+고/EC+,/SP
서비스	서비스/NNG
면적이	면적/NNG+이/JKS
넓은	넓/VA+은/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.21.13.1
복층형을 선택할 때는 주의해 봐야 할 요소가 있다.

복층형을	복층/NNG+형/XSN+을/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
주의해	주의/NNG+하/XSV+아/EC
봐야	보/VV+아야/EC
할	하/VX+ㄹ/ETM
요소가	요소/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.21.13.2
골든리치안 오피스텔처럼 처음부터 단층형이 아닌, 복층형으로 공사하여 높은 층고가 확보되어야 한다는 것.

골든리치안	골든리치안/NNP
오피스텔처럼	오피스텔/NNG+처럼/JKB
처음부터	처음/NNG+부터/JX
단층형이	단층/NNG+형/XSN+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
복층형으로	복층/NNG+형/XSN+으로/JKB
공사하여	공사/NNG+하/XSV+아/EC
높은	높/VA+은/ETM
층고가	층고/NNG+가/JKS
확보되어야	확보/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000045.21.13.3
기본적으로 복층형 구조는 일반 단층형 구조에 비해 천장이 높아야 효용적이다.

기본적으로	기본/NNG+적/XSN+으로/JKB
복층형	복층/NNG+형/XSN
구조는	구조/NNG+는/JX
일반	일반/NNG
단층형	단층/NNG+형/XSN
구조에	구조/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
천장이	천장/NNG+이/JKS
높아야	높/VA+아야/EC
효용적이다.	효용/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.21.14.1
일반 단층형을 복층형으로 개조할 경우 층고가 낮아 공간 활용성이 떨어지고 불편할 수 있다.

일반	일반/NNG
단층형을	단층/NNG+형/XSN+을/JKO
복층형으로	복층/NNG+형/XSN+으로/JKB
개조할	개조/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
층고가	층고/NNG+가/JKS
낮아	낮/VA+아/EC
공간	공간/NNG
활용성이	활용/NNG+성/XSN+이/JKS
떨어지고	떨어지/VV+고/EC
불편할	불편/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.21.14.2
단층형을 복층형이라고 허위 과장 광고를 하는 경우도 많다.

단층형을	단층/NNG+형/XSN+을/JKO
복층형이라고	복층/NNG+형/XSN+이/VCP+라고/EC
허위	허위/NNG
과장	과장/NNG
광고를	광고/NNG+를/JKO
하는	하/VV+는/ETM
경우도	경우/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000045.21.15.1
초역세권에 위치, 1분 걸으면 광교역

초역세권에	초/XPN+역세권/NNG+에/JKB
위치,	위치/NNG+,/SP
1분	1/SN+분/NNB
걸으면	걷/VV+으면/EC
광교역	광교역/NNP


# id : NWRW1800000045.21.16.1
수익형 부동산 투자에서 가장 중요한 것은 현장 위치이다.

수익형	수익/NNG+형/XSN
부동산	부동산/NNG
투자에서	투자/NNG+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
현장	현장/NNG
위치이다.	위치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.21.16.2
초역세권에 위치한 골든리치안 복층 오피스텔은 신분당선 개통 예정인 광교역 도보 1분 거리로 입지 프리미엄이 높다.

초역세권에	초/XPN+역세권/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
골든리치안	골든리치안/NNP
복층	복층/NNG
오피스텔은	오피스텔/NNG+은/JX
신분당선	신분당선/NNP
개통	개통/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
광교역	광교역/NNP
도보	도보/NNG
1분	1/SN+분/NNB
거리로	거리/NNG+로/JKB
입지	입지/NNG
프리미엄이	프리미엄/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000045.21.16.3
지상 4∼10층으로 구성되어 있는 오피스텔로 전용면적 21.12m², 복층 서비스면적 약 10m², 총 152실이다.

지상	지상/NNG
4∼10층으로	4/SN+∼/SO+10/SN+층/NNG+으로/JKB
구성되어	구성/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
오피스텔로	오피스텔/NNG+로/JKB
전용면적	전용/NNG+면적/NNG
21.12m²,	21/SN+./SF+12/SN+m²/SW+,/SP
복층	복층/NNG
서비스면적	서비스/NNG+면적/NNG
약	약/MMA
10m²,	10/SN+m²/SW+,/SP
총	총/MMA
152실이다.	152/SN+실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.21.17.1
또한 광교법조타운 길목에 위치한 골든리치안은 대규모 상권 형성의 중심축을 형성하며 법원, 대학, 테크노밸리 등 풍부한 임대 수요를 가지고 있다.

또한	또한/MAG
광교법조타운	광교법조타운/NNP
길목에	길목/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
골든리치안은	골든리치안/NNP+은/JX
대규모	대/XPN+규모/NNG
상권	상권/NNG
형성의	형성/NNG+의/JKG
중심축을	중심축/NNG+을/JKO
형성하며	형성/NNG+하/XSV+며/EC
법원,	법원/NNG+,/SP
대학,	대학/NNG+,/SP
테크노밸리	테크노밸리/NNG
등	등/NNB
풍부한	풍부하/VA+ㄴ/ETM
임대	임대/NNG
수요를	수요/NNG+를/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.21.17.2
또한 사통발달 편리한 교통과 서울 강남 30분대 진입의 프리미엄으로, 광교역을 통하여 강남까지 30분이면 출퇴근이 가능하다.

또한	또한/MAG
사통발달	사통/NNG+발달/NNG
편리한	편리/NNG+하/XSA+ㄴ/ETM
교통과	교통/NNG+과/JC
서울	서울/NNP
강남	강남/NNP
30분대	30/SN+분/NNB+대/XSN
진입의	진입/NNG+의/JKG
프리미엄으로,	프리미엄/NNG+으로/JKB+,/SP
광교역을	광교역/NNP+을/JKO
통하여	통하/VV+아/EC
강남까지	강남/NNP+까지/JX
30분이면	30/SN+분/NNB+이/VCP+면/EC
출퇴근이	출퇴근/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.21.18.1
문의 031-252-5700

문의	문의/NNG
031-252-5700	031/SN+-/SO+252/SN+-/SO+5700/SN


