# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.17
metadata : {}


# id : NWRW1800000038.17.1.1
美, 시리아 반군에 무기 지원 나설 듯

美,	美/SH+,/SP
시리아	시리아/NNP
사태를	사태/NNG+를/JKO
방치해서는	방치/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
여론이	여론/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.17.5.3
지난해 미 안보부처에서 무기 지원 필요성을 주장했을 때 버락 오바마 대통령은 "선거를 앞두고 중동에서 새로운 전쟁이 벌어지는 것은 부담스럽다"며 묵살했으나, 최근 들어 기류가 바뀐 것으로 알려졌다.

지난해	지난해/NNG
미	미/NNP
안보부처에서	안보/NNG+부처/NNG+에서/JKB
무기	무기/NNG
지원	지원/NNG
필요성을	필요/NNG+성/XSN+을/JKO
주장했을	주장/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
"선거를	"/SS+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
중동에서	중동/NNP+에서/JKB
새로운	새롭/VA+ㄴ/ETM
전쟁이	전쟁/NNG+이/JKS
벌어지는	벌어지/VV+는/ETM
것은	것/NNB+은/JX
부담스럽다"며	부담/NNG+스럽/XSA+다/EF+"/SS+며/EC
묵살했으나,	묵살/NNG+하/XSV+았/EP+으나/EC+,/SP
최근	최근/MAG
들어	들/VV+어/EC
기류가	기류/NNG+가/JKS
바뀐	바뀌/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.17.6.1
한편 사우디아라비아가 최근 시리아 반군에게 무기 지원을 시작한 것으로 알려졌는데, 이 역시 미국 등의 입장 변화와 관련이 있다는 해석이다.

한편	한편/MAG
사우디아라비아가	사우디아라비아/NNP+가/JKS
최근	최근/MAG
시리아	시리아/NNP
반군에게	반군/NNG+에게/JKB
무기	무기/NNG
지원을	지원/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌는데,	알려지/VV+었/EP+는데/EC+,/SP
이	이/NP
역시	역시/MAG
미국	미국/NNP
등의	등/NNB+의/JKG
입장	입장/NNG
변화와	변화/NNG+와/JKB
관련이	관련/NNG+이/JKS
있다는	있/VA+다는/ETM
해석이다.	해석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.17.6.2
뉴욕타임스(NYT)는 "사우디가 지난해 12월부터 크로아티아 등 발칸반도 쪽에서 무기를 사들여 시리아 반군에게 공급을 하고 있다"고 전했다.

뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
"사우디가	"/SS+사우디/NNP+가/JKS
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
크로아티아	크로아티아/NNP
등	등/NNB
발칸반도	발칸반도/NNP
쪽에서	쪽/NNB+에서/JKB
무기를	무기/NNG+를/JKO
사들여	사들이/VV+어/EC
시리아	시리아/NNP
반군에게	반군/NNG+에게/JKB
공급을	공급/NNG+을/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.17.6.3
무반동총, 소총, 유탄 발사기, 기관총, 휴대용 로켓 등이 포함된 무기들은 1990년대 발칸전쟁 때 쓰였던 것으로 알려졌다.

무반동총,	무반동총/NNG+,/SP
소총,	소총/NNG+,/SP
유탄	유탄/NNG
발사기,	발사기/NNG+,/SP
기관총,	기관총/NNG+,/SP
휴대용	휴대/NNG+용/XSN
로켓	로켓/NNG
등이	등/NNB+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
무기들은	무기/NNG+들/XSN+은/JX
1990년대	1990/SN+년대/NNB
발칸전쟁	발칸/NNP+전쟁/NNG
때	때/NNG
쓰였던	쓰이/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.17.7.1
미 당국자들은 아직 사우디의 무기 지원과 미국의 관련성에 대한 일체의 언급을 하지 않고 있다.

미	미/NNP
당국자들은	당국자/NNG+들/XSN+은/JX
아직	아직/MAG
사우디의	사우디/NNP+의/JKG
무기	무기/NNG
지원과	지원/NNG+과/JKB
미국의	미국/NNP+의/JKG
관련성에	관련/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
일체의	일체/NNG+의/JKG
언급을	언급/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.17.7.2
하지만 NYT는 "'직접 개입'의 부담을 피하려는 미국이 배후에 있을 가능성이 높다는 분석이 나오고 있다"고 전했다.

하지만	하지만/MAJ
NYT는	NYT/SL+는/JX
"'직접	"/SS+'/SS+직접/MAG
개입'의	개입/NNG+'/SS+의/JKG
부담을	부담/NNG+을/JKO
피하려는	피하/VV+려는/ETM
미국이	미국/NNP+이/JKS
배후에	배후/NNG+에/JKB
있을	있/VA+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


