# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.32
metadata : {}


# id : NWRW1800000049.32.1.1
활짝 열린 中 색조화장품 시장

활짝	활짝/MAG
화장품	화장품/NNG
소비가	소비/NNG+가/JKS
늘어나는	늘어나/VV+는/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
중국	중국/NNP
본토에서도	본토/NNG+에서/JKB+도/JX
가격	가격/NNG
경쟁력	경쟁력/NNG
상승으로	상승/NNG+으로/JKB
매출이	매출/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.32.4.1
중국 당국은 그동안 색조 화장품과 향수를 사치 품목으로 보고 소비세 30%를 부과해 왔다.

중국	중국/NNP
당국은	당국/NNG+은/JX
그동안	그동안/NNG
색조	색조/NNG
화장품과	화장품/NNG+과/JC
향수를	향수/NNG+를/JKO
사치	사치/NNG
품목으로	품목/NNG+으로/JKB
보고	보/VV+고/EC
소비세	소비세/NNG
30%를	30/SN+%/SW+를/JKO
부과해	부과/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.32.4.2
이 때문에 그동안 한국 업체들은 색조 화장품과 향수를 중국에 판매할 때 소비세, 관세, 증치세(부가가치세)를 포함해 수입원가의 71%에 이르는 세금을 내야 했다.

이	이/MMD
때문에	때문/NNB+에/JKB
그동안	그동안/NNG
한국	한국/NNP
업체들은	업체/NNG+들/XSN+은/JX
색조	색조/NNG
화장품과	화장품/NNG+과/JC
향수를	향수/NNG+를/JKO
중국에	중국/NNP+에/JKB
판매할	판매/NNG+하/XSV+ㄹ/ETM
때	때/NNG
소비세,	소비세/NNG+,/SP
관세,	관세/NNG+,/SP
증치세(부가가치세)를	증치세/NNG+(/SS+부가/NNG+가치세/NNG+)/SS+를/JKO
포함해	포함/NNG+하/XSV+아/EC
수입원가의	수입/NNG+원가/NNG+의/JKG
71%에	71/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
세금을	세금/NNG+을/JKO
내야	내/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.32.4.3
하지만 이번 조치로 소비세가 없어지면서 국내 업체들이 중국 정부에 내야 하는 세금(중저가 화장품 기준)은 수입원가의 최대 19%대로 낮아졌다.

하지만	하지만/MAJ
이번	이번/NNG
조치로	조치/NNG+로/JKB
소비세가	소비세/NNG+가/JKS
없어지면서	없어지/VV+면서/EC
국내	국내/NNG
업체들이	업체/NNG+들/XSN+이/JKS
중국	중국/NNP
정부에	정부/NNG+에/JKB
내야	내/VV+어야/EC
하는	하/VX+는/ETM
세금(중저가	세금/NNG+(/SS+중저가/NNG
화장품	화장품/NNG
기준)은	기준/NNG+)/SS+은/JX
수입원가의	수입/NNG+원가/NNG+의/JKG
최대	최대/NNG
19%대로	19/SN+%/SW+대/XSN+로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.32.5.1
한국의 화장품 업계는 연평균 10% 이상씩 증가해 온 중국 색조 화장품 시장이 이번 일을 계기로 더욱 커질 것으로 기대하고 있다.

한국의	한국/NNP+의/JKG
화장품	화장품/NNG
업계는	업계/NNG+는/JX
연평균	연평균/NNG
10%	10/SN+%/SW
이상씩	이상/NNG+씩/XSN
증가해	증가/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
중국	중국/NNP
색조	색조/NNG
시장이	시장/NNG+이/JKS
이번	이번/NNG
일을	일/NNG+을/JKO
계기로	계기/NNG+로/JKB
더욱	더욱/MAG
커질	커지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.32.5.2
소비세 폐지로 가격이 내리면 색조 화장품 수요가 더 빠르게 늘어날 것으로 예상되기 때문이다.

소비세	소비세/NNG
폐지로	폐지/NNG+로/JKB
가격이	가격/NNG+이/JKS
내리면	내리/VV+면/EC
색조	색조/NNG
화장품	화장품/NNG
수요가	수요/NNG+가/JKS
더	더/MAG
빠르게	빠르/VA+게/EC
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되기	예상/NNG+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.32.5.3
17일 글로벌 시장조사기관 유로모니터에 따르면 지난해 중국 색조 화장품 시장 규모는 전년 대비 10.9% 성장한 40억3070만 달러(약 4조5922억 원)였다.

17일	17/SN+일/NNB
글로벌	글로벌/NNG
시장조사기관	시장/NNG+조사/NNG+기관/NNG
유로모니터에	유로모니터/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
중국	중국/NNP
색조	색조/NNG
화장품	화장품/NNG
시장	시장/NNG
규모는	규모/NNG+는/JX
전년	전년/NNG
대비	대비/NNG
10.9%	10/SN+./SP+9/SN+%/SW
성장한	성장/NNG+하/XSV+ㄴ/ETM
40억3070만	40/SN+억/NR+3070/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
4조5922억	4/SN+조/NR+5922/SN+억/NR
원)였다.	원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.32.5.4
2009년 21억6480만 달러에서 6년 새 갑절 수준으로 성장한 것이다.

2009년	2009/SN+년/NNB
21억6480만	21/SN+억/NR+6480/SN+만/NR
달러에서	달러/NNB+에서/JKB
6년	6/SN+년/NNB
새	새/NNG
갑절	갑절/NNG
수준으로	수준/NNG+으로/JKB
성장한	성장/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.32.6.1
특히 중국 소비자에게 인기가 많은 한국산 BB크림, CC크림, ‘에어쿠션’ 등도 색조 화장품으로 분류되기 때문에 이 제품들의 수출이 더 늘어날 것으로 보인다.

특히	특히/MAG
중국	중국/NNP
소비자에게	소비자/NNG+에게/JKB
인기가	인기/NNG+가/JKS
많은	많/VA+은/ETM
한국산	한국/NNP+산/XSN
BB크림,	BB/SL+크림/NNG+,/SP
CC크림,	CC/SL+크림/NNG+,/SP
‘에어쿠션’	‘/SS+에어쿠션/NNG+’/SS
등도	등/NNB+도/JX
색조	색조/NNG
화장품으로	화장품/NNG+으로/JKB
분류되기	분류/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
이	이/MMD
제품들의	제품/NNG+들/XSN+의/JKG
수출이	수출/NNG+이/JKS
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.32.6.2
지난해 기준 중국으로 수출된 한국산 화장품 1조2000억 원어치 물량의 40∼50%가 색조 화장품이었으며 이 가운데 대다수가 BB·CC크림 등이었다.

지난해	지난해/NNG
기준	기준/NNG
중국으로	중국/NNP+으로/JKB
수출된	수출/NNG+되/XSV+ㄴ/ETM
한국산	한국/NNP+산/XSN
화장품	화장품/NNG
1조2000억	1/SN+조/NR+2000/SN+억/NR
원어치	원/NNB+어치/XSN
물량의	물량/NNG+의/JKG
40∼50%가	40/SN+∼/SO+50/SN+%/SW+가/JKS
색조	색조/NNG
화장품이었으며	화장품/NNG+이/VCP+었/EP+으며/EC
이	이/MMD
가운데	가운데/NNG
대다수가	대/XPN+다수/NNG+가/JKS
BB·CC크림	BB/SL+·/SP+CC/SL+크림/NNG
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.32.6.3
업계 관계자는 “기초화장품 시장은 로레알 등 글로벌 업체들의 점유율이 높지만, 색조 화장품의 경우 최근 급격하게 수요가 늘고 있어 한국 업체의 성장 가능성이 높은 편이다”라고 말했다.

업계	업계/NNG
관계자는	관계자/NNG+는/JX
“기초화장품	“/SS+기초화장품/NNG
시장은	시장/NNG+은/JX
로레알	로레알/NNP
등	등/NNB
글로벌	글로벌/NNG
업체들의	업체/NNG+들/XSN+의/JKG
점유율이	점유/NNG+율/XSN+이/JKS
높지만,	높/VA+지만/EC+,/SP
색조	색조/NNG
화장품의	화장품/NNG+의/JKG
경우	경우/NNG
최근	최근/MAG
급격하게	급격하/VA+게/EC
수요가	수요/NNG+가/JKS
늘고	늘/VV+고/EC
있어	있/VX+어/EC
한국	한국/NNP
업체의	업체/NNG+의/JKG
성장	성장/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
편이다”라고	편/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.32.7.1
한국 화장품 업체들은 중국 색조 화장품 시장이 앞으로 더욱 성장할 것으로 보고 관련 사업을 강화하고 있는 추세다.

한국	한국/NNP
화장품	화장품/NNG
업체들은	업체/NNG+들/XSN+은/JX
중국	중국/NNP
색조	색조/NNG
시장이	시장/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
더욱	더욱/MAG
성장할	성장/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
관련	관련/NNG
사업을	사업/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.32.8.1
아모레퍼시픽은 메이크업 전문 브랜드인 에뛰드 하우스의 중국 사업을 확장할 계획이다.

아모레퍼시픽은	아모레퍼시픽/NNP+은/JX
메이크업	메이크업/NNG
전문	전문/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
에뛰드	에뛰드/NNP
하우스의	하우스/NNP+의/JKG
중국	중국/NNP
사업을	사업/NNG+을/JKO
확장할	확장/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.32.8.2
에뛰드 하우스는 10대 후반에서 20대 초반의 젊은 여성들을 대상으로 한 메이크업 브랜드로, 2013년 중국에 첫 론칭 이후 현재 41개 매장을 운영 중이다.

에뛰드	에뛰드/NNP
하우스는	하우스/NNP+는/JX
10대	10/SN+대/NNB
후반에서	후반/NNG+에서/JKB
20대	20/SN+대/NNB
초반의	초반/NNG+의/JKG
젊은	젊/VA+은/ETM
여성들을	여성/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
메이크업	메이크업/NNG
브랜드로,	브랜드/NNG+로/JKB+,/SP
2013년	2013/SN+년/NNB
중국에	중국/NNP+에/JKB
첫	첫/MMN
론칭	론칭/NNG
이후	이후/NNG
현재	현재/MAG
41개	41/SN+개/NNB
매장을	매장/NNG+을/JKO
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.32.8.3
아모레퍼시픽은 앞으로 에뛰드 하우스 매장을 내년까지 100개로 늘린다는 계획이다.

아모레퍼시픽은	아모레퍼시픽/NNP+은/JX
앞으로	앞/NNG+으로/JKB
에뛰드	에뛰드/NNP
하우스	하우스/NNP
매장을	매장/NNG+을/JKO
내년까지	내년/NNG+까지/JX
100개로	100/SN+개/NNB+로/JKB
늘린다는	늘리/VV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.32.8.4
LG생활건강 역시 지난해 색조화장품 전문 생산업체 제니스를 인수하는 등 색조 화장품 사업을 강화해 나가고 있다.

LG생활건강	LG생활건강/NNP
역시	역시/MAG
지난해	지난해/NNG
색조화장품	색조/NNG+화장품/NNG
전문	전문/NNG
생산업체	생산업체/NNG
제니스를	제니스/NNP+를/JKO
인수하는	인수/NNG+하/XSV+는/ETM
등	등/NNB
색조	색조/NNG
화장품	화장품/NNG
사업을	사업/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
나가고	나가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.32.8.5
공정이 까다로운 립스틱, 파우더 생산에 강점을 지닌 제니스의 특성을 살려 색조 전문 브랜드인 VDL의 중국 진출도 저울질하고 있다.

공정이	공정/NNG+이/JKS
까다로운	까다롭/VA+ㄴ/ETM
립스틱,	립스틱/NNG+,/SP
파우더	파우더/NNG
생산에	생산/NNG+에/JKB
강점을	강점/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
제니스의	제니스/NNP+의/JKG
특성을	특성/NNG+을/JKO
살려	살리/VV+어/EC
색조	색조/NNG
전문	전문/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
VDL의	VDL/SL+의/JKG
중국	중국/NNP
진출도	진출/NNG+도/JX
저울질하고	저울/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.32.9.1
화장품 연구개발생산(ODM) 업체인 코스맥스는 중국 상하이에 색조 화장품 전문 공장을 짓고 내년 1월부터 본격 생산에 착수한다.

화장품	화장품/NNG
연구개발생산(ODM)	연구/NNG+개발/NNG+생산/NNG+(/SS+ODM/SL+)/SS
업체인	업체/NNG+이/VCP+ㄴ/ETM
코스맥스는	코스맥스/NNP+는/JX
중국	중국/NNP
상하이에	상하이/NNP+에/JKB
색조	색조/NNG
전문	전문/NNG
공장을	공장/NNG+을/JKO
짓고	짓/VV+고/EC
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
본격	본격/NNG
생산에	생산/NNG+에/JKB
착수한다.	착수/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.32.9.2
이곳에서 연간 2억여 개의 화장품을 생산할 것으로 보인다.

이곳에서	이곳/NP+에서/JKB
연간	연간/NNG
2억여	2/SN+억/NR+여/XSN
개의	개/NNB+의/JKG
화장품을	화장품/NNG+을/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


