# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.360
metadata : {}


# id : NWRW1800000037.360.1.1
“승진 노리고 민주당에 심리전단 직원 정보 제공”… 공모한 정모 씨의 정보유출 전말

“승진	“/SS+승진/NNG
얻을	얻/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
생각에	생각/NNG+에/JKB
심리전단	심리전단/NNG
직원들의	직원/NNG+들/XSN+의/JKG
활동	활동/NNG
정보를	정보/NNG+를/JKO
김	김/NNP
씨에게	씨/NNB+에게/JKB
넘기기로	넘기/VV+기/ETN+로/JKB
마음먹었다고	마음먹/VV+었/EP+다고/EC
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.360.4.6
정 씨는 심리전단 직원들의 주거, 출근 정보 등을 김 씨에게 넘겨줬다.

정	정/NNP
씨는	씨/NNB+는/JX
심리전단	심리전단/NNG
직원들의	직원/NNG+들/XSN+의/JKG
주거,	주거/NNG+,/SP
출근	출근/NNG
정보	정보/NNG
등을	등/NNB+을/JKO
김	김/NNP
씨에게	씨/NNB+에게/JKB
넘겨줬다.	넘겨주/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.360.5.1
여직원 댓글 사건이 터진 후 실시된 국정원 내부감찰에서 정 씨는 기밀을 유출한 사실이 적발돼 올해 2월 5일 파면이 결정됐다.

여직원	여직원/NNG
댓글	댓글/NNG
사건이	사건/NNG+이/JKS
터진	터지/VV+ㄴ/ETM
후	후/NNG
실시된	실시/NNG+되/XSV+ㄴ/ETM
국정원	국정원/NNG
내부감찰에서	내부/NNG+감찰/NNG+에서/JKB
정	정/NNP
씨는	씨/NNB+는/JX
기밀을	기밀/NNG+을/JKO
유출한	유출/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
적발돼	적발/NNG+되/XSV+어/EC
올해	올해/NNG
2월	2/SN+월/NNB
5일	5/SN+일/NNB
파면이	파면/NNG+이/JKS
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.360.5.2
그러자 정 씨는 2월 6, 7일까지 국정원 사무실에서 컴퓨터로 내부 전산망에 접속했다.

그러자	그러/VV+자/EC
정	정/NNP
씨는	씨/NNB+는/JX
2월	2/SN+월/NNB
6,	6/SN+,/SP
7일까지	7/SN+일/NNB+까지/JX
국정원	국정원/NNG
사무실에서	사무실/NNG+에서/JKB
컴퓨터로	컴퓨터/NNG+로/JKB
내부	내부/NNG
전산망에	전산망/NNG+에/JKB
접속했다.	접속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.360.5.3
국정원이 파면결정 직후 정 씨의 내부전산망 접속 자격을 차단하지 않은 것은 국정원의 보안관리 태세가 얼마나 허술한지를 보여준다.

국정원이	국정원/NNG+이/JKS
파면결정	파면/NNG+결정/NNG
직후	직후/NNG
정	정/NNP
씨의	씨/NNB+의/JKG
내부전산망	내부/NNG+전산망/NNG
접속	접속/NNG
자격을	자격/NNG+을/JKO
차단하지	차단/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
국정원의	국정원/NNG+의/JKG
보안관리	보안/NNG+관리/NNG
태세가	태세/NNG+가/JKS
얼마나	얼마나/MAG
허술한지를	허술하/VA+ㄴ지/EF+를/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.360.6.1
정 씨는 ‘원장님 지시·강조 말씀’이라는 제목의 게시자료 전체 54건 중 42건을 열람해 손으로 메모했다.

정	정/NNP
씨는	씨/NNB+는/JX
‘원장님	‘/SS+원장/NNG+님/XSN
지시·강조	지시/NNG+·/SP+강조/NNG
말씀’이라는	말씀/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
게시자료	게시/NNG+자료/NNG
전체	전체/NNG
54건	54/SN+건/NNB
중	중/NNB
42건을	42/SN+건/NNB+을/JKO
열람해	열람/NNG+하/XSV+아/EC
손으로	손/NNG+으로/JKB
메모했다.	메모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.360.6.2
이 자료에는 국정원 부서장 회의에서 오간 국정원 주요 활동, 경과 등의 내용이 포함돼 있는데 정 씨가 원장의 지시내용 이외에 이런 내용도 베껴 썼는지는 확인되지 않는다.

이	이/MMD
자료에는	자료/NNG+에/JKB+는/JX
국정원	국정원/NNG
부서장	부서장/NNG
회의에서	회의/NNG+에서/JKB
오간	오가/VV+ㄴ/ETM
주요	주요/NNG
활동,	활동/NNG+,/SP
경과	경과/NNG
등의	등/NNB+의/JKG
내용이	내용/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있는데	있/VX+는데/EC
정	정/NNP
씨가	씨/NNB+가/JKS
원장의	원장/NNG+의/JKG
지시내용	지시/NNG+내용/NNG
이외에	이외/NNG+에/JKB
이런	이런/MMD
내용도	내용/NNG+도/JX
베껴	베끼/VV+어/EC
썼는지는	쓰/VV+었/EP+는지/EF+는/JX
확인되지	확인/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


