# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.213
metadata : {}


# id : NWRW1800000049.213.1.1
음주운전-벌점초과 등으로 작년 버스기사 408명 면허취소

음주운전-벌점초과	음주/NNG+운전/NNG+-/SO+벌점/NNG+초과/NNG
사례는	사례/NNG+는/JX
58명,	58/SN+명/NNB+,/SP
적성검사를	적성/NNG+검사/NNG+를/JKO
통과하지	통과/NNG+하/XSV+지/EC
못했거나	못하/VX+았/EP+거나/EC
갱신하지	갱신/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
운전사도	운전사/NNG+도/JX
49명이다.	49/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.213.4.5
전문가들은 전체 버스 운전사 15만여 명 가운데 적성검사 등에서 제대로 걸러지지 않은 부적격 운전사는 이보다 훨씬 많을 것으로 보고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
전체	전체/NNG
버스	버스/NNG
운전사	운전사/NNG
15만여	15/SN+만/NR+여/XSN
명	명/NNB
가운데	가운데/NNG
적성검사	적성/NNG+검사/NNG
등에서	등/NNB+에서/JKB
제대로	제대로/MAG
걸러지지	거르/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
부적격	부/XPN+적격/NNG
운전사는	운전사/NNG+는/JX
이보다	이/NP+보다/JKB
훨씬	훨씬/MAG
많을	많/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.213.4.6
문제는 운전이 미숙하거나 사고 전력이 있어도 대형 버스를 운전하는 데 별다른 제약이 없다는 점이다.

문제는	문제/NNG+는/JX
운전이	운전/NNG+이/JKS
미숙하거나	미숙/NNG+하/XSA+거나/EC
사고	사고/NNG
전력이	전력/NNG+이/JKS
있어도	있/VA+어도/EC
대형	대형/NNG
버스를	버스/NNG+를/JKO
운전하는	운전/NNG+하/XSV+는/ETM
데	데/NNB
별다른	별다르/VA+ㄴ/ETM
제약이	제약/NNG+이/JKS
없다는	없/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.213.4.7
현행 버스 운전 자격시험은 필기시험을 치른 뒤 사흘 동안 교육을 겸한 실기 테스트만 통과하면 된다.

현행	현행/NNG
버스	버스/NNG
운전	운전/NNG
자격시험은	자격시험/NNG+은/JX
필기시험을	필기시험/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
뒤	뒤/NNG
사흘	사흘/NNG
동안	동안/NNG
교육을	교육/NNG+을/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
실기	실기/NNG
테스트만	테스트/NNG+만/JX
통과하면	통과/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.213.4.8
합격률은 90% 이상이다.

합격률은	합격/NNG+률/XSN+은/JX
90%	90/SN+%/SW
이상이다.	이상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.213.4.9
교통사고를 내도 ‘전치 8주 이상 인명 사고’가 아니면 안전교육조차 받지 않는다.

교통사고를	교통사고/NNG+를/JKO
내도	내/VV+어도/EC
‘전치	‘/SS+전치/NNG
8주	8/SN+주/NNB
이상	이상/NNG
인명	인명/NNG
사고’가	사고/NNG+’/SS+가/JKC
아니면	아니/VCN+면/EC
안전교육조차	안전/NNG+교육/NNG+조차/JX
받지	받/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.213.4.10
생계형 운전사가 많다는 이유에서다.

생계형	생계/NNG+형/XSN
운전사가	운전사/NNG+가/JKS
많다는	많/VA+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000049.213.5.1
하승우 교통안전공단 교육개발처 교수는 “독일은 3개월 이상의 소양 교육과 테스트를 거쳐 면허를 딴 뒤 5년마다 15일짜리 교육을 받고 면허를 갱신해야 한다”라며 “우리도 지금보다 철저히 버스 운전사 면허 관리를 해야 한다”라고 말했다.

하승우	하승우/NNP
교통안전공단	교통안전공단/NNP
교육개발처	교육/NNG+개발처/NNG
교수는	교수/NNG+는/JX
“독일은	“/SS+독일/NNP+은/JX
3개월	3/SN+개월/NNB
이상의	이상/NNG+의/JKG
소양	소양/NNG
교육과	교육/NNG+과/JC
테스트를	테스트/NNG+를/JKO
거쳐	거치/VV+어/EC
면허를	면허/NNG+를/JKO
딴	따/VV+ㄴ/ETM
뒤	뒤/NNG
5년마다	5/SN+년/NNB+마다/JX
15일짜리	15/SN+일/NNB+짜리/XSN
교육을	교육/NNG+을/JKO
받고	받/VV+고/EC
갱신해야	갱신/NNG+하/XSV+아야/EC
한다”라며	하/VX+ㄴ다/EF+”/SS+이/VCP+라며/EC
“우리도	“/SS+우리/NP+도/JX
지금보다	지금/NNG+보다/JKB
철저히	철저히/MAG
버스	버스/NNG
운전사	운전사/NNG
면허	면허/NNG
관리를	관리/NNG+를/JKO
해야	하/VV+아야/EC
한다”라고	하/VX+ㄴ다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


