# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.219
metadata : {}


# id : NWRW1800000033.219.1.1
악마에 홀린 순간 악몽이 시작됐다… 승부조작으로 징계 받은 선수들 그 이후

악마에	악마/NNG+에/JKB
이적동의서를	이적/NNG+동의서/NNG+를/JKO
받아	받/VV+아/EC
해외로	해외/NNG+로/JKB
나갈	나가/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.219.4.4
FIFA가 선수의 ‘직업 선택의 자유’를 자국 협회의 징계보다 우선시했기 때문이다.

FIFA가	FIFA/SL+가/JKS
선수의	선수/NNG+의/JKG
‘직업	‘/SS+직업/NNG
선택의	선택/NNG+의/JKG
자유’를	자유/NNG+’/SS+를/JKO
자국	자국/NNG
협회의	협회/NNG+의/JKG
징계보다	징계/NNG+보다/JKB
우선시했기	우선/NNG+시/XSN+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.219.5.1
그렇다면 정상급 선수인 야구 박현준이나 배구 박준범도 해외 진출이 가능할까.

그렇다면	그렇/VA+다면/EC
정상급	정상급/NNG
선수인	선수/NNG+이/VCP+ㄴ/ETM
야구	야구/NNG
박현준이나	박현준/NNP+이나/JC
배구	배구/NNG
박준범도	박준범/NNP+도/JX
해외	해외/NNG
진출이	진출/NNG+이/JKS
가능할까.	가능/NNG+하/XSA+ㄹ까/EF+./SF


# id : NWRW1800000033.219.6.1
프로야구의 경우 KBO와 협정을 맺은 미국 일본 대만에서는 뛸 수 없다.

프로야구의	프로/NNG+야구/NNG+의/JKG
경우	경우/NNG
KBO와	KBO/SL+와/JKB
협정을	협정/NNG+을/JKO
맺은	맺/VV+은/ETM
미국	미국/NNP
일본	일본/NNP
대만에서는	대만/NNP+에서/JKB+는/JX
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.219.6.2
국내 선수가 미국 일본 대만에 진출하려면 이 국가들이 KBO에 신분조회를 요청하는데 아예 선수 명단에 없기 때문이다.

국내	국내/NNG
선수가	선수/NNG+가/JKS
미국	미국/NNP
일본	일본/NNP
대만에	대만/NNP+에/JKB
진출하려면	진출/NNG+하/XSV+려면/EC
이	이/MMD
국가들이	국가/NNG+들/XSN+이/JKS
KBO에	KBO/SL+에/JKB
신분조회를	신분/NNG+조회/NNG+를/JKO
요청하는데	요청/NNG+하/XSV+는데/EC
아예	아예/MAG
선수	선수/NNG
명단에	명단/NNG+에/JKB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.219.6.3
프로야구는 각국 기구가 독립적인 시스템으로 운영돼 FIFA가 주도하는 축구와는 다르다.

프로야구는	프로/NNG+야구/NNG+는/JX
각국	각국/NNG
기구가	기구/NNG+가/JKS
독립적인	독립/NNG+적/XSN+이/VCP+ㄴ/ETM
시스템으로	시스템/NNG+으로/JKB
운영돼	운영/NNG+되/XSV+어/EC
FIFA가	FIFA/SL+가/JKS
주도하는	주도/NNG+하/XSV+는/ETM
축구와는	축구/NNG+와/JKB+는/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000033.219.6.4
하지만 중국이나 중남미 등 협정을 맺지 않은 국가나 해외 독립리그에서 뛰는 건 막을 방법이 없다.

하지만	하지만/MAJ
중국이나	중국/NNP+이나/JC
중남미	중남미/NNP
등	등/NNB
협정을	협정/NNG+을/JKO
맺지	맺/VV+지/EC
않은	않/VX+은/ETM
국가나	국가/NNG+나/JC
해외	해외/NNG
독립리그에서	독립/NNG+리그/NNG+에서/JKB
뛰는	뛰/VV+는/ETM
건	거/NNB+ㄴ/JX
막을	막/VV+을/ETM
방법이	방법/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.219.6.5
배구의 경우 해외진출이 가능할지 아직 알 수 없다.

배구의	배구/NNG+의/JKG
경우	경우/NNG
해외진출이	해외/NNG+진출/NNG+이/JKS
가능할지	가능/NNG+하/XSA+ㄹ지/EC
아직	아직/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.219.6.6
해외 이적 승인 여부를 결정하는 대한배구협회가 국제 이적동의서 발급을 거부한다 해도 국제배구연맹(FIVB)이 어떤 결정을 내릴지 모르기 때문이다.

해외	해외/NNG
이적	이적/NNG
승인	승인/NNG
여부를	여부/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
대한배구협회가	대한배구협회/NNP+가/JKS
국제	국제/NNG
이적동의서	이적/NNG+동의서/NNG
발급을	발급/NNG+을/JKO
거부한다	거부/NNG+하/XSV+ㄴ다/EF
해도	하/VV+아도/EC
국제배구연맹(FIVB)이	국제배구연맹/NNP+(/SS+FIVB/SL+)/SS+이/JKS
어떤	어떤/MMD
결정을	결정/NNG+을/JKO
내릴지	내리/VV+ㄹ지/EC
모르기	모르/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.219.7.1
4대 프로스포츠 종목은 아니지만 젊은층에 큰 영향을 끼치는 e스포츠의 경우 징계를 받은 선수가 관련 분야에서 버젓이 활동하기도 한다.

4대	4/SN+대/NNG
프로스포츠	프로/NNG+스포츠/NNG
종목은	종목/NNG+은/JX
아니지만	아니/VCN+지만/EC
젊은층에	젊/VA+은/ETM+층/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼치는	끼치/VV+는/ETM
e스포츠의	e/SL+스포츠/NNG+의/JKG
경우	경우/NNG
징계를	징계/NNG+를/JKO
받은	받/VV+은/ETM
선수가	선수/NNG+가/JKS
관련	관련/NNG
분야에서	분야/NNG+에서/JKB
버젓이	버젓이/MAG
활동하기도	활동/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.219.7.2
스타크래프트 정상급 프로게이머였던 마재윤은 2010년 승부 조작이 적발돼 한국e스포츠협회로부터 영구 제명됐고 징역 1년, 집행유예 2년을 선고받았다.

스타크래프트	스타크래프트/NNP
정상급	정상급/NNG
프로게이머였던	프로/NNG+게이머/NNG+이/VCP+었/EP+던/ETM
마재윤은	마재윤/NNP+은/JX
2010년	2010/SN+년/NNB
승부	승부/NNG
조작이	조작/NNG+이/JKS
적발돼	적발/NNG+되/XSV+어/EC
한국e스포츠협회로부터	한국e스포츠협회/NNP+로부터/JKB
영구	영구/NNG
제명됐고	제명/NNG+되/XSV+었/EP+고/EC
징역	징역/NNG
1년,	1/SN+년/NNB+,/SP
집행유예	집행/NNG+유예/NNG
2년을	2/SN+년/NNB+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.219.7.3
하지만 그는 최근 인터넷 개인방송을 통해 적지 않은 수입을 올리고 있다.

하지만	하지만/MAJ
그는	그/NP+는/JX
최근	최근/NNG
인터넷	인터넷/NNG
개인방송을	개인/NNG+방송/NNG+을/JKO
통해	통하/VV+아/EC
적지	적/VA+지/EC
않은	않/VX+은/ETM
수입을	수입/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.219.7.4
온라인게임은 혼자라도 인터넷을 통해 자신의 경기를 보여줄 수 있다는 점을 이용했다.

온라인게임은	온라인/NNG+게임/NNG+은/JX
혼자라도	혼자/NNG+이/VCP+라도/EC
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
자신의	자신/NNG+의/JKG
경기를	경기/NNG+를/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
이용했다.	이용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.219.7.5
그의 개인방송국은 컴퓨터업체의 후원까지 받을 정도로 번창하고 있다.

그의	그/NP+의/JKG
개인방송국은	개인/NNG+방송국/NNG+은/JX
컴퓨터업체의	컴퓨터업체/NNG+의/JKG
후원까지	후원/NNG+까지/JX
받을	받/VV+을/ETM
정도로	정도/NNG+로/JKB
번창하고	번창/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.219.7.6
유료 회원만 5000명이 넘는다.

유료	유료/NNG
회원만	회원/NNG+만/JX
5000명이	5000/SN+명/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000033.219.7.7
승부 조작에 연루된 또 다른 게이머 박찬수도 최근 인터넷 개인방송을 시작했다.

승부	승부/NNG
조작에	조작/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
또	또/MAG
다른	다른/MMD
게이머	게이머/NNG
박찬수도	박찬수/NNP+도/JX
최근	최근/NNG
인터넷	인터넷/NNG
개인방송을	개인/NNG+방송/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.219.8.1
한순간의 실수로 화려한 스타에서 인생의 내리막길을 걷게 된 선수들도 있다.

한순간의	한순간/NNG+의/JKG
실수로	실수/NNG+로/JKB
화려한	화려하/VA+ㄴ/ETM
스타에서	스타/NNG+에서/JKB
인생의	인생/NNG+의/JKG
내리막길을	내리막길/NNG+을/JKO
걷게	걷/VV+게/EC
된	되/VV+ㄴ/ETM
선수들도	선수/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.219.8.2
프로농구 양경민이 대표적인 사례다.

프로농구	프로/NNG+농구/NNG
양경민이	양경민/NNP+이/JKS
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.219.8.3
그는 승부 조작은 아니었지만 법으로 금지된 스포츠토토를 대리 구매한 사실이 드러나 2006년 한국농구연맹(KBL)으로부터 36경기 출전 정지와 벌금 300만 원, 그리고 법원에서 100만 원의 벌금형을 받았고, 얼마 뒤 코트를 떠나 현재는 유흥업소 종업원으로 일하고 있다.

그는	그/NP+는/JX
승부	승부/NNG
조작은	조작/NNG+은/JX
아니었지만	아니/VCN+었/EP+지만/EC
법으로	법/NNG+으로/JKB
금지된	금지/NNG+되/XSV+ㄴ/ETM
스포츠토토를	스포츠토토/NNP+를/JKO
대리	대리/NNG
구매한	구매/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
2006년	2006/SN+년/NNB
한국농구연맹(KBL)으로부터	한국농구연맹/NNP+(/SS+KBL/SL+)/SS+으로부터/JKB
36경기	36/SN+경기/NNG
출전	출전/NNG
정지와	정지/NNG+와/JC
벌금	벌금/NNG
300만	300/SN+만/NR
원,	원/NNB+,/SP
그리고	그리고/MAJ
법원에서	법원/NNG+에서/JKB
100만	100/SN+만/NR
원의	원/NNB+의/JKG
벌금형을	벌금형/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
얼마	얼마/NNG
뒤	뒤/NNG
코트를	코트/NNG+를/JKO
떠나	떠나/VV+아/EC
현재는	현재/NNG+는/JX
유흥업소	유흥업소/NNG
종업원으로	종업원/NNG+으로/JKB
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


