# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.60
metadata : {}


# id : NWRW1800000041.60.1.1
“부디 그들을 돌려주오” 네덜란드 검은 물결

“부디	“/SS+부디/MAG
혜택을	혜택/NNG+을/JKO
주고	주/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
“네덜란드의	“/SS+네덜란드/NNP+의/JKG
받아	받/VV+아/EC
만든	만들/VV+ㄴ/ETM
미사일이	미사일/NNG+이/JKS
국민을	국민/NNG+을/JKO
죽이는	죽이/VV+는/ETM
데	데/NNB
사용됐다”는	사용/NNG+되/XSV+었/EP+다/EF+”/SS+는/ETM
말이	말/NNG+이/JKS
흘러나왔다.	흘러나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.60.8.1
빌럼 알렉산더르 국왕은 21일 희생자 유가족들을 만나 “많은 이들이 ‘최소한 사랑하는 이들과 품위 있는 작별을 하고 싶다’고 말한다.

빌럼	빌럼/NNP
알렉산더르	알렉산더르/NNP
국왕은	국왕/NNG+은/JX
21일	21/SN+일/NNB
희생자	희생자/NNG
유가족들을	유가족/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
“많은	“/SS+많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
‘최소한	‘/SS+최소한/NNG
사랑하는	사랑/NNG+하/XSV+는/ETM
이들과	이/NNB+들/XSN+과/JKB
품위	품위/NNG
있는	있/VA+는/ETM
작별을	작별/NNG+을/JKO
하고	하/VV+고/EC
싶다’고	싶/VX+다/EF+’/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.60.8.2
그 좌절과 아픔을 잘 이해한다”고 위로했다.

그	그/MMD
좌절과	좌절/NNG+과/JC
아픔을	아픔/NNG+을/JKO
잘	잘/MAG
이해한다”고	이해/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
위로했다.	위로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.60.9.1
한편 네덜란드에서는 일상적 삶이 계속되고 있다고 뉴욕타임스(NYT)가 전했다.

한편	한편/MAG
네덜란드에서는	네덜란드/NNP+에서/JKB+는/JX
일상적	일상/NNG+적/XSN
삶이	삶/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.60.9.2
로테르담 음악축제인 ‘크레이지 섹시 쿨 페스티벌’이 19일 열리는 등 여러 곳에서 주말 축제가 예정대로 진행됐다.

로테르담	로테르담/NNP
음악축제인	음악/NNG+축제/NNG+이/VCP+ㄴ/ETM
‘크레이지	‘/SS+크레이지/NNG
섹시	섹시/NNG
쿨	쿨/NNG
페스티벌’이	페스티벌/NNG+’/SS+이/JKS
19일	19/SN+일/NNB
열리는	열리/VV+는/ETM
등	등/NNB
여러	여러/MMN
곳에서	곳/NNG+에서/JKB
주말	주말/NNG
축제가	축제/NNG+가/JKS
예정대로	예정/NNG+대로/JX
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.60.9.3
NYT는 “국제사법재판소가 있는 네덜란드는 법치주의 전통이 강해 일단 감정을 자제했다가 사건 전모가 명확해진 뒤에 행동에 나설 것”이라고 분석했다.

NYT는	NYT/SL+는/JX
“국제사법재판소가	“/SS+국제/NNG+사법/NNG+재판소/NNG+가/JKS
있는	있/VA+는/ETM
네덜란드는	네덜란드/NNP+는/JX
법치주의	법치주의/NNG
전통이	전통/NNG+이/JKS
강해	강하/VA+아/EC
일단	일단/MAG
감정을	감정/NNG+을/JKO
자제했다가	자제/NNG+하/XSV+았/EP+다가/EC
사건	사건/NNG
전모가	전모/NNG+가/JKS
명확해진	명확하/VA+아/EC+지/VX+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
행동에	행동/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.60.10.1
희생자 유가족의 직접적인 반응을 언론에서 찾아볼 수도 없다.

희생자	희생자/NNG
유가족의	유가족/NNG+의/JKG
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
반응을	반응/NNG+을/JKO
언론에서	언론/NNG+에서/JKB
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수도	수/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.60.10.2
워싱턴포스트(WP)는 “우크라이나 현장의 끔찍한 소식이 전해졌지만 유족들의 반응은 ‘침묵’에 가깝다”며 “이는 정부의 ‘철통 보안’ 때문”이라고 전했다.

워싱턴포스트(WP)는	워싱턴포스트/NNP+(/SS+WP/SL+)/SS+는/JX
“우크라이나	“/SS+우크라이나/NNP
현장의	현장/NNG+의/JKG
끔찍한	끔찍하/VA+ㄴ/ETM
소식이	소식/NNG+이/JKS
전해졌지만	전하/VV+아/EC+지/VX+었/EP+지만/EC
유족들의	유족/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
‘침묵’에	‘/SS+침묵/NNG+’/SS+에/JKB
가깝다”며	가깝/VA+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
정부의	정부/NNG+의/JKG
‘철통	‘/SS+철통/NNG
보안’	보안/NNG+’/SS
때문”이라고	때문/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


