# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.155
metadata : {}


# id : NWRW1800000030.155.1.1
파워블로거도 세금 매긴다

파워블로거도	파워/NNG+블로거/NNG+도/JX
제품이	제품/NNG+이/JKS
기준치	기준/NNG+치/XSN
이상의	이상/NNG+의/JKG
오존이	오존/NNG+이/JKS
검출됐다.	검출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.155.3.3
현씨의 명성을 믿고 살균세척기를 공동구매한 소비자들이 집단 환불을 요구하고 나섰지만, 현씨와 업체는 환불에 난색을 표명해 공동구매한 소비자들이 큰 피해를 보게 됐다.

현씨의	현/NNP+씨/NNB+의/JKG
명성을	명성/NNG+을/JKO
믿고	믿/VV+고/EC
살균세척기를	살균/NNG+세척기/NNG+를/JKO
공동구매한	공동/NNG+구매/NNG+하/XSV+ㄴ/ETM
소비자들이	소비자/NNG+들/XSN+이/JKS
집단	집단/NNG
환불을	환불/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
나섰지만,	나서/VV+었/EP+지만/EC+,/SP
현씨와	현/NNP+씨/NNB+와/JC
업체는	업체/NNG+는/JX
환불에	환불/NNG+에/JKB
난색을	난색/NNG+을/JKO
표명해	표명/NNG+하/XSV+아/EC
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
보게	보/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.155.3.4
공동구매로 팔린 살균세척기만 3000대에 이르는 것으로 알려졌다.

공동구매로	공동/NNG+구매/NNG+로/JKB
팔린	팔리/VV+ㄴ/ETM
살균세척기만	살균/NNG+세척기/NNG+만/JX
3000대에	3000/SN+대/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.155.3.5
특히 이 과정에서 현씨가 업체로부터 대당 7만원씩 총 2억원 이상의 수수료를 받기로 했다는 사실이 드러나 구매자들의 불만이 터져 나왔다.

특히	특히/MAG
이	이/MMD
과정에서	과정/NNG+에서/JKB
현씨가	현/NNP+씨/NNB+가/JKS
업체로부터	업체/NNG+로부터/JKB
대당	대/NNB+당/XSN
7만원씩	7/SN+만/NR+원/NNB+씩/XSN
총	총/MMA
2억원	2/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
수수료를	수수료/NNG+를/JKO
받기로	받/VV+기/ETN+로/JKB
했다는	하/VV+았/EP+다는/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
구매자들의	구매자/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
터져	터지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.155.4.1
이처럼 유명 파워블로거(개인 홈페이지 운영자)들로 인한 소비자 피해가 적지 않게 발생하고 이들이 벌어들인 돈에 대해 세금도 제대로 내지 않아 국세청이 파워블로거들을 세원관리대상에 포함해 집중 관리하기로 했다.

이처럼	이/NP+처럼/JKB
유명	유명/NNG
파워블로거(개인	파워/NNG+블로거/NNG+(/SS+개인/NNG
홈페이지	홈페이지/NNG
운영자)들로	운영자/NNG+)/SS+들/XSN+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
소비자	소비자/NNG
피해가	피해/NNG+가/JKS
적지	적/VA+지/EC
않게	않/VX+게/EC
발생하고	발생/NNG+하/XSV+고/EC
이들이	이/NP+들/XSN+이/JKS
벌어들인	벌어들이/VV+ㄴ/ETM
돈에	돈/NNG+에/JKB
대해	대하/VV+아/EC
세금도	세금/NNG+도/JX
제대로	제대로/MAG
내지	내/VV+지/EC
않아	않/VX+아/EC
국세청이	국세청/NNG+이/JKS
파워블로거들을	파워/NNG+블로거/NNG+들/XSN+을/JKO
세원관리대상에	세원/NNG+관리/NNG+대상/NNG+에/JKB
포함해	포함/NNG+하/XSV+아/EC
집중	집중/NNG
관리하기로	관리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.155.5.1
국세청 관계자는 5일 "최근 파워블로거와 인터넷카페 개설자 등이 전자상거래를 통한 공동구매를 하면서 일부 소비자들이 피해를 봤다는 민원이 잇따르고 있다"며 "공정거래위원회와 네이버 등 포탈업체와 협조해 세원 관리를 강화하는 방안을 연내에 마련할 예정"이라고 말했다.

국세청	국세청/NNG
관계자는	관계자/NNG+는/JX
5일	5/SN+일/NNB
"최근	"/SS+최근/MAG
파워블로거와	파워/NNG+블로거/NNG+와/JC
인터넷카페	인터넷/NNG+카페/NNG
개설자	개설자/NNG
등이	등/NNB+이/JKS
전자상거래를	전자/NNG+상거래/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
공동구매를	공동/NNG+구매/NNG+를/JKO
하면서	하/VV+면서/EC
일부	일부/NNG
소비자들이	소비자/NNG+들/XSN+이/JKS
피해를	피해/NNG+를/JKO
봤다는	보/VV+았/EP+다는/ETM
민원이	민원/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"공정거래위원회와	"/SS+공정/NNG+거래/NNG+위원회/NNG+와/JC
네이버	네이버/NNP
등	등/NNB
포탈업체와	포탈/NNG+업체/NNG+와/JKB
협조해	협조/NNG+하/XSV+아/EC
세원	세원/NNG
관리를	관리/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
연내에	연내/NNG+에/JKB
마련할	마련/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.155.6.1
최근 인터넷에서 막강한 영향력을 가진 일부 파워블로거들은 사업자등록도 하지 않고 특정 제품에 대해 업체들로부터 돈을 받고 홍보성 후기(後記)를 남기거나, 업체로부터 수수료를 받고 공동구매하는 방식으로 검증되지 않은 상품을 팔아 피해자들을 양산하고 있다.

최근	최근/MAG
인터넷에서	인터넷/NNG+에서/JKB
막강한	막강/NNG+하/XSA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
일부	일부/NNG
파워블로거들은	파워/NNG+블로거/NNG+들/XSN+은/JX
사업자등록도	사업자/NNG+등록/NNG+도/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
특정	특정/NNG
제품에	제품/NNG+에/JKB
대해	대하/VV+아/EC
업체들로부터	업체/NNG+들/XSN+로부터/JKB
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
홍보성	홍보/NNG+성/XSN
후기(後記)를	후기/NNG+(/SS+後記/SH+)/SS+를/JKO
남기거나,	남기/VV+거나/EC+,/SP
업체로부터	업체/NNG+로부터/JKB
수수료를	수수료/NNG+를/JKO
공동구매하는	공동/NNG+구매/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
검증되지	검증/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상품을	상품/NNG+을/JKO
팔아	팔/VV+아/EC
피해자들을	피해자/NNG+들/XSN+을/JKO
양산하고	양산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.155.7.1
이에 국세청은 상업용 카페 홈페이지에 사업용계좌번호 표시를 의무화시키는 내용으로 '전자상거래 등에서의 소비자 보호에 관한 법률'을 개정해 달라고 법 소관 부처인 공정거래위원회에 요청한 상태다.

이에	이/NP+에/JKB
국세청은	국세청/NNG+은/JX
상업용	상업/NNG+용/XSN
카페	카페/NNG
홈페이지에	홈페이지/NNG+에/JKB
사업용계좌번호	사업/NNG+용/XSN+계좌/NNG+번호/NNG
표시를	표시/NNG+를/JKO
의무화시키는	의무/NNG+화/XSN+시키/XSV+는/ETM
내용으로	내용/NNG+으로/JKB
'전자상거래	'/SS+전자/NNG+상거래/NNG
등에서의	등/NNB+에서/JKB+의/JKG
소비자	소비자/NNG
보호에	보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률'을	법률/NNG+'/SS+을/JKO
개정해	개정/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
법	법/NNG
소관	소관/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
공정거래위원회에	공정/NNG+거래/NNG+위원회/NNG+에/JKB
요청한	요청/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


