# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.151
metadata : {}


# id : NWRW1800000030.151.1.1
한국이 인신매매국?… 황당한 美 국무부 보고서

한국이	한국/NNP+이/JKS
고리로	고리/NNG+로/JKB
성매매	성매매/NNG
피해	피하/VV+아/EC
여성들과	여성/NNG+들/XSN+과/JC
노동자들이	노동자/NNG+들/XSN+이/JKS
속박되고	속박/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.8.1
외국인 여성뿐만 아니라 한국 여성 역시 국내는 물론 미국, 캐나다, 일본, 호주 등지에서도 강제 매춘에 시달린다고 했다.

외국인	외국인/NNG
여성뿐만	여성/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
한국	한국/NNP
여성	여성/NNG
역시	역시/MAG
국내는	국내/NNG+는/JX
물론	물론/MAG
미국,	미국/NNP+,/SP
캐나다,	캐나다/NNP+,/SP
일본,	일본/NNP+,/SP
호주	호주/NNP
등지에서도	등지/NNB+에서/JKB+도/JX
강제	강제/NNG
매춘에	매춘/NNG+에/JKB
시달린다고	시달리/VV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.8.2
한국 남성들은 여전히 동남아나 태평양 섬 지역 '미성년자 섹스 관광'의 고객들이라고 이 보고서는 지적했다.

한국	한국/NNP
남성들은	남성/NNG+들/XSN+은/JX
여전히	여전히/MAG
동남아나	동남아/NNP+나/JX
태평양	태평양/NNP
섬	섬/NNG
지역	지역/NNG
'미성년자	'/SS+미성년자/NNG
섹스	섹스/NNG
관광'의	관광/NNG+'/SS+의/JKG
고객들이라고	고객/NNG+들/XSN+이/VCP+라고/EC
이	이/MMD
보고서는	보고서/NNG+는/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.9.1
여성가족부 관계자는 그러나 "2004년 성매매특별법 재정 이후 성매매업소 밀집지역을 중심으로 꾸준한 단속을 벌여 성매매업소가 지속적으로 감소하고 있으며, 상담소·쉼터 등 전국 지원 시설을 통해 성매매 피해자들을 보호하고 있다"고 말했다.

여성가족부	여성/NNG+가족부/NNG
관계자는	관계자/NNG+는/JX
그러나	그러나/MAJ
"2004년	"/SS+2004/SN+년/NNB
성매매특별법	성매매/NNG+특별법/NNG
재정	재정/NNG
이후	이후/NNG
성매매업소	성매매업소/NNG
밀집지역을	밀집/NNG+지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
꾸준한	꾸준하/VA+ㄴ/ETM
단속을	단속/NNG+을/JKO
벌여	벌이/VV+어/EC
성매매업소가	성매매업소/NNG+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
감소하고	감소/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
상담소·쉼터	상담소/NNG+·/SP+쉼터/NNG
등	등/NNB
전국	전국/NNG
지원	지원/NNG
시설을	시설/NNG+을/JKO
통해	통하/VV+아/EC
성매매	성매매/NNG
피해자들을	피해자/NNG+들/XSN+을/JKO
보호하고	보호/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.9.2
이 관계자는 "이 보고서는 인신매매에 대한 경각심을 주기 위해 발표하는 것으로, 미국·영국 등 선진국 역시 비슷한 톤으로 성매매 문제 등을 지적받는다"며 "한국이 특별히 문제가 심각한 것은 아니다"고 반박했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"이	"/SS+이/MMD
보고서는	보고서/NNG+는/JX
인신매매에	인신매매/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경각심을	경각심/NNG+을/JKO
주기	주/VV+기/ETN
위해	위하/VV+아/EC
발표하는	발표/NNG+하/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
미국·영국	미국/NNP+·/SP+영국/NNP
등	등/NNB
선진국	선진국/NNG
역시	역시/MAG
비슷한	비슷하/VA+ㄴ/ETM
톤으로	톤/NNG+으로/JKB
성매매	성매매/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
지적받는다"며	지적/NNG+받/XSV+는다/EF+"/SS+며/EC
"한국이	"/SS+한국/NNP+이/JKS
특별히	특별히/MAG
문제가	문제/NNG+가/JKS
심각한	심각하/VA+ㄴ/ETM
것은	것/NNB+은/JX
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.10.1
◆"정부의 솜방망이 처벌도 문제"

◆"정부의	◆/SW+"/SS+정부/NNG+의/JKG
솜방망이	솜방망이/NNG
처벌도	처벌/NNG+도/JX
문제"	문제/NNG+"/SS


# id : NWRW1800000030.151.11.1
한국 정부가 인신매매를 막기 위한 상당한 노력을 기울이고 있다는 점은 보고서도 인정했다.

한국	한국/NNP
정부가	정부/NNG+가/JKS
인신매매를	인신매매/NNG+를/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
상당한	상당/NNG+하/XSA+ㄴ/ETM
노력을	노력/NNG+을/JKO
기울이고	기울이/VV+고/EC
있다는	있/VX+다는/ETM
점은	점/NNG+은/JX
보고서도	보고서/NNG+도/JX
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.11.2
하지만 법 집행이나 처벌이 적극적으로 이뤄지지 않고 있다고 지적했다.

하지만	하지만/MAJ
법	법/NNG
집행이나	집행/NNG+이나/JC
처벌이	처벌/NNG+이/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
이뤄지지	이뤄지/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.11.3
예를 들어 '성매매알선법'을 근거로 한국 정부는 지난해 40건을 수사했지만 실제 유죄 판결을 받은 것은 6건에 불과했고 그나마 2건은 벌금형에 그쳤다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
'성매매알선법'을	'/SS+성매매/NNG+알선/NNG+법/NNG+'/SS+을/JKO
근거로	근거/NNG+로/JKB
한국	한국/NNP
정부는	정부/NNG+는/JX
지난해	지난해/NNG
40건을	40/SN+건/NNB+을/JKO
수사했지만	수사/NNG+하/XSV+았/EP+지만/EC
실제	실제/NNG
유죄	유죄/NNG
판결을	판결/NNG+을/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
6건에	6/SN+건/NNB+에/JKB
불과했고	불과/MAG+하/XSA+았/EP+고/EC
그나마	그나마/MAG
2건은	2/SN+건/NNB+은/JX
벌금형에	벌금형/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.151.11.4
북한은 미얀마(버마), 이란, 리비아, 쿠바 등 22개 국가와 함께 인신매매 방지를 위한 최소한의 기준도 충족하지 못하는 최악 등급(3등급) 국가로 분류됐다.

북한은	북한/NNP+은/JX
미얀마(버마),	미얀마/NNP+(/SS+버마/NNP+)/SS+,/SP
이란,	이란/NNP+,/SP
리비아,	리비아/NNP+,/SP
쿠바	쿠바/NNP
등	등/NNB
22개	22/SN+개/NNB
국가와	국가/NNG+와/JKB
함께	함께/MAG
인신매매	인신매매/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
기준도	기준/NNG+도/JX
충족하지	충족/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
최악	최악/NNG
등급(3등급)	등급/NNG+(/SS+3/SN+등급/NNG+)/SS
국가로	국가/NNG+로/JKB
분류됐다.	분류/NNG+되/XSV+었/EP+다/EF+./SF


