# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.236
metadata : {}


# id : NWRW1800000026.236.1.1
200억 장학사업에 세금폭탄은 부당;법원 "구원장학재단 기부 뜻 명백… 140억 증여세 부과는 잘못" 판결

200억	200/SN+억/NR
주식	주식/NNG
90%와	90/SN+%/SW+와/JC
현금을	현금/NNG+을/JKO
합해	합/NNG+하/XSV+아/EC
약	약/MMA
210억원을	210/SN+억/NR+원/NNB+을/JKO
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.5.2
주식 전부를 주려 했지만, 대학측이 황씨를 배려해 10%는 거절했다.

주식	주식/NNG
전부를	전부/NNG+를/JKO
주려	주/VV+려/EC
했지만,	하/VX+았/EP+지만/EC+,/SP
대학측이	대학/NNG+측/NNB+이/JKS
황씨를	황/NNP+씨/NNB+를/JKO
배려해	배려/NNG+하/XSV+아/EC
10%는	10/SN+%/SW+는/JX
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.6.1
당초 장학재단을 만들거나 이사장을 맡을 뜻은 없었다.

당초	당초/NNG
장학재단을	장학/NNG+재단/NNG+을/JKO
만들거나	만들/VV+거나/EC
이사장을	이사장/NNG+을/JKO
맡을	맡/VV+을/ETM
뜻은	뜻/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.236.6.2
하지만 당시 현행법은 학교의 수익사업을 금지하고 있었다.

하지만	하지만/MAJ
당시	당시/NNG
현행법은	현행법/NNG+은/JX
학교의	학교/NNG+의/JKG
수익사업을	수익/NNG+사업/NNG+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.236.6.3
아주대는 고민 끝에 기부받은 주식으로 장학재단을 설립하고, 얼마 후 그 운용을 황씨에게 부탁했다.

아주대는	아주대/NNP+는/JX
고민	고민/NNG
끝에	끝/NNG+에/JKB
기부받은	기부/NNG+받/XSV+은/ETM
주식으로	주식/NNG+으로/JKB
장학재단을	장학/NNG+재단/NNG+을/JKO
설립하고,	설립/NNG+하/XSV+고/EC+,/SP
얼마	얼마/NNG
후	후/NNG
그	그/MMD
운용을	운용/NNG+을/JKO
황씨에게	황/NNP+씨/NNB+에게/JKB
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.7.1
"기부하면 모든 일에서 손 떼고 편하게 살 줄 알았는데….

"기부하면	"/SS+기부/NNG+하/XSV+면/EC
모든	모든/MMN
일에서	일/NNG+에서/JKB
손	손/NNG
떼고	떼/VV+고/EC
편하게	편하/VA+게/EC
살	살/VV+ㄹ/ETM
줄	줄/NNB
알았는데….	알/VV+았/EP+는데/EC+…/SE+./SF


# id : NWRW1800000026.236.7.2
장학사업도 의외로 품이 많이 들더군요."

장학사업도	장학/NNG+사업/NNG+도/JX
의외로	의외로/MAG
품이	품/NNG+이/JKS
많이	많이/MAG
들더군요."	들/VV+더군/EF+요/JX+./SF+"/SS


# id : NWRW1800000026.236.8.1
첫해 아주대 학생 1명에게 장학금을 줬던 재단은 황씨가 관리를 맡으면서 기틀을 잡아갔다.

첫해	첫해/NNG
아주대	아주대/NNP
학생	학생/NNG
1명에게	1/SN+명/NNB+에게/JKB
장학금을	장학금/NNG+을/JKO
줬던	주/VV+었/EP+던/ETM
재단은	재단/NNG+은/JX
황씨가	황/NNP+씨/NNB+가/JKS
관리를	관리/NNG+를/JKO
맡으면서	맡/VV+으면서/EC
기틀을	기틀/NNG+을/JKO
잡아갔다.	잡아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.8.2
현재까지 선발한 장학생은 1456명, 지급한 장학금은 22억6200만원에 달한다.

현재까지	현재/NNG+까지/JX
선발한	선발/NNG+하/XSV+ㄴ/ETM
장학생은	장학/NNG+생/XSN+은/JX
1456명,	1456/SN+명/NNB+,/SP
지급한	지급/NNG+하/XSV+ㄴ/ETM
장학금은	장학금/NNG+은/JX
22억6200만원에	22/SN+억/NR+6200/SN+만/NR+원/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.236.8.3
교수·연구원에게 연구비를 지원하고 대학발전기금도 내놓아 사회에 환원한 현금 총액은 87억원이 넘는다.

교수·연구원에게	교수/NNG+·/SP+연구원/NNG+에게/JKB
연구비를	연구비/NNG+를/JKO
지원하고	지원/NNG+하/XSV+고/EC
대학발전기금도	대학/NNG+발전/NNG+기금/NNG+도/JX
내놓아	내놓/VV+아/EC
사회에	사회/NNG+에/JKB
환원한	환원/NNG+하/XSV+ㄴ/ETM
현금	현금/NNG
총액은	총액/NNG+은/JX
87억원이	87/SN+억/NR+원/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000026.236.9.1
문제는 2008년 3월 수원세무서가 재단 세무조사를 실시하면서 불거졌다.

문제는	문제/NNG+는/JX
2008년	2008/SN+년/NNB
3월	3/SN+월/NNB
수원세무서가	수원세무서/NNP+가/JKS
재단	재단/NNG
세무조사를	세무/NNG+조사/NNG+를/JKO
실시하면서	실시/NNG+하/XSV+면서/EC
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.236.9.2
6개월 후 재단에 '증여세와 자진신고를 하지 않은 데 대한 가산금까지 140억여원을 내라'는 통지서가 날아들었다.

6개월	6/SN+개월/NNB
후	후/NNG
재단에	재단/NNG+에/JKB
'증여세와	'/SS+증여세/NNG+와/JC
자진신고를	자진/NNG+신고/NNG+를/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
가산금까지	가산금/NNG+까지/JX
140억여원을	140/SN+억/NR+여/XSN+원/NNB+을/JKO
내라'는	내/VV+어라/EF+'/SS+는/ETM
통지서가	통지서/NNG+가/JKS
날아들었다.	날아들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.236.9.3
기업이 편법으로 재산 빼돌리는 것을 막기 위해 회사 주식 5% 이상을 기부하면 증여세를 부과하도록 규정한 세법을 장학재단에 적용한 것이다.

기업이	기업/NNG+이/JKS
편법으로	편법/NNG+으로/JKB
재산	재산/NNG
빼돌리는	빼돌리/VV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
회사	회사/NNG
주식	주식/NNG
5%	5/SN+%/SW
이상을	이상/NNG+을/JKO
기부하면	기부/NNG+하/XSV+면/EC
증여세를	증여세/NNG+를/JKO
부과하도록	부과/NNG+하/XSV+도록/EC
규정한	규정/NNG+하/XSV+ㄴ/ETM
세법을	세법/NNG+을/JKO
장학재단에	장학/NNG+재단/NNG+에/JKB
적용한	적용/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.236.10.1
좋은 일하려다가 세금폭탄 맞은 사연이 알려지면서 세상은 들끓었다.

좋은	좋/VA+은/ETM
일하려다가	일/NNG+하/XSV+려다가/EC
세금폭탄	세금/NNG+폭탄/NNG
맞은	맞/VV+은/ETM
사연이	사연/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
세상은	세상/NNG+은/JX
들끓었다.	들끓/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.236.10.2
그래도 세무당국은 꿈쩍하지 않았다.

그래도	그러/VV+어도/EC
세무당국은	세무/NNG+당국/NNG+은/JX
꿈쩍하지	꿈쩍/MAG+하/XSA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.236.10.3
증여세를 철회해 달라고 감사원에 심사청구를 했지만 "재단의 장학활동을 위한 기부행위는 인정되나 현행법상 증여세 부과가 적법한 절차라 구제하기 어렵다"며 기각당했다.

증여세를	증여세/NNG+를/JKO
철회해	철회/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
감사원에	감사원/NNG+에/JKB
심사청구를	심사/NNG+청구/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
"재단의	"/SS+재단/NNG+의/JKG
장학활동을	장학/NNG+활동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기부행위는	기부/NNG+행위/NNG+는/JX
인정되나	인정/NNG+되/XSV+나/EC
현행법상	현행법/NNG+상/XSN
증여세	증여세/NNG
부과가	부과/NNG+가/JKS
적법한	적법/NNG+하/XSA+ㄴ/ETM
절차라	절차/NNG+이/VCP+라/EC
구제하기	구제/NNG+하/XSV+기/ETN
어렵다"며	어렵/VA+다/EF+"/SS+며/EC
기각당했다.	기각/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.11.1
황씨는 "대한민국이 어떻기에 기부행위에 세금을 받나, 나라망신이라 생각했다"며 한탄했다.

황씨는	황/NNP+씨/NNB+는/JX
"대한민국이	"/SS+대한민국/NNP+이/JKS
어떻기에	어떻/VA+기에/EC
기부행위에	기부/NNG+행위/NNG+에/JKB
세금을	세금/NNG+을/JKO
받나,	받/VV+나/EF+,/SP
나라망신이라	나라/NNG+망신/NNG+이/VCP+라/EC
생각했다"며	생각/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
한탄했다.	한탄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.11.2
감사원 심사청구가 기각되자, 국세청은 재단 자산을 압류했다.

감사원	감사원/NNG
심사청구가	심사/NNG+청구/NNG+가/JKS
기각되자,	기각/NNG+되/XSV+자/EC+,/SP
국세청은	국세청/NNG+은/JX
재단	재단/NNG
자산을	자산/NNG+을/JKO
압류했다.	압류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.11.3
작년 10월엔 장학생들에게 줄 현금마저 수원세무서가 가압류했다.

작년	작년/NNG
10월엔	10/SN+월/NNB+에/JKB+ㄴ/JX
장학생들에게	장학/NNG+생/XSN+들/XSN+에게/JKB
줄	주/VV+ㄹ/ETM
현금마저	현금/NNG+마저/JX
수원세무서가	수원세무서/NNP+가/JKS
가압류했다.	가/XPN+압류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.11.4
황씨와 재단은 결국 행정소송을 제기했다.

황씨와	황/NNP+씨/NNB+와/JC
재단은	재단/NNG+은/JX
결국	결국/MAG
행정소송을	행정/NNG+소송/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.11.5
"내가 물러서면 기부문화가 위축된다는 사명감에 끝까지 싸우려고 생각했습니다."

"내가	"/SS+내/NP+가/JKS
물러서면	물러서/VV+면/EC
기부문화가	기부/NNG+문화/NNG+가/JKS
위축된다는	위축/NNG+되/XSV+ㄴ다는/ETM
사명감에	사명감/NNG+에/JKB
끝까지	끝/NNG+까지/JX
싸우려고	싸우/VV+려고/EC
생각했습니다."	생각/NNG+하/XSV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000026.236.12.1
7개월간의 심리 끝에 수원지법은 "이 사건 장학재단은 지주회사를 만들어 경제력을 집중하려거나 경제력을 세습하려고 하는 것으로 볼 수 없다"며 "헌법정신에 비춰보더라도 '증여세 부과처분'은 부당하다"고 판결했다.

7개월간의	7/SN+개월/NNB+간/XSN+의/JKG
심리	심리/NNG
끝에	끝/NNG+에/JKB
수원지법은	수원지법/NNP+은/JX
"이	"/SS+이/MMD
사건	사건/NNG
장학재단은	장학/NNG+재단/NNG+은/JX
지주회사를	지주/NNG+회사/NNG+를/JKO
만들어	만들/VV+어/EC
경제력을	경제력/NNG+을/JKO
집중하려거나	집중/NNG+하/XSV+려거나/EC
세습하려고	세습/NNG+하/XSV+려고/EC
하는	하/VX+는/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"헌법정신에	"/SS+헌법/NNG+정신/NNG+에/JKB
비춰보더라도	비추/VV+어/EC+보/VX+더라도/EC
'증여세	'/SS+증여세/NNG
부과처분'은	부과/NNG+처분/NNG+'/SS+은/JX
부당하다"고	부당/NNG+하/XSA+다/EF+"/SS+고/JKQ
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.12.2
황씨가 주식을 기부할 뜻이 명백했고 장학재단의 최초 발기인에 관여하지 않았던 점, 나머지 주식 10%도 기부하려 했으나 아주대가 관리 어려움을 이유로 거절한 점, 기부한 돈 대부분이 장학사업에 사용되고 있다는 점 등도 인정했다.

황씨가	황/NNP+씨/NNB+가/JKS
주식을	주식/NNG+을/JKO
기부할	기부/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
명백했고	명백하/VA+았/EP+고/EC
장학재단의	장학/NNG+재단/NNG+의/JKG
최초	최초/NNG
발기인에	발기인/NNG+에/JKB
관여하지	관여/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
점,	점/NNG+,/SP
나머지	나머지/NNG
주식	주식/NNG
10%도	10/SN+%/SW+도/JX
기부하려	기부/NNG+하/XSV+려/EC
했으나	하/VX+았/EP+으나/EC
아주대가	아주대/NNP+가/JKS
관리	관리/NNG
어려움을	어려움/NNG+을/JKO
이유로	이유/NNG+로/JKB
거절한	거절/NNG+하/XSV+ㄴ/ETM
기부한	기부/NNG+하/XSV+ㄴ/ETM
돈	돈/NNG
대부분이	대/XPN+부분/NNG+이/JKS
장학사업에	장학/NNG+사업/NNG+에/JKB
사용되고	사용/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
점	점/NNG
등도	등/NNB+도/JX
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.13.1
황씨는 "아이들이 공부 마치고 사회의 기둥이 되는 것을 보는 것이 소원"이라고 말했다.

황씨는	황/NNP+씨/NNB+는/JX
"아이들이	"/SS+아이/NNG+들/XSN+이/JKS
공부	공부/NNG
마치고	마치/VV+고/EC
사회의	사회/NNG+의/JKG
기둥이	기둥/NNG+이/JKC
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
보는	보/VV+는/ETM
것이	것/NNB+이/JKS
소원"이라고	소원/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.14.1
이에대해 수원세무서 측은 "이번 판결에 대해 항소할지 여부를 아직 결정하지 못했다"고 말했다.

이에대해	이/NP+에/JKB+대하/VV+아/EC
수원세무서	수원세무서/NNP
측은	측/NNB+은/JX
"이번	"/SS+이번/NNG
판결에	판결/NNG+에/JKB
대해	대하/VV+아/EC
항소할지	항소/NNG+하/XSV+ㄹ지/EC
여부를	여부/NNG+를/JKO
아직	아직/MAG
결정하지	결정/NNG+하/XSV+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


