# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.125
metadata : {}


# id : NWRW1800000029.125.1.1
세계인구 70억시대 성큼… 10억명 굶주림 고통

세계인구	세계/NNG+인구/NNG
부족과	부족/NNG+과/JC
기아,	기아/NNG+,/SP
질병을	질병/NNG+을/JKO
초래해	초래/NNG+하/XSV+아/EC
인류가	인류/NNG+가/JKS
멸망의	멸망/NNG+의/JKG
길로	길/NNG+로/JKB
접어들	접어들/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
비관론이	비관/NNG+론/XSN+이/JKS
현실화되지는	현실/NNG+화/XSN+되/XSV+지/EC+는/JX
않을	않/VX+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.125.8.2
인구가 늘고 있기는 하지만 의학기술의 발달에 따른 질병의 정복과 식량 증산, 청결한 식수의 공급 등으로 인구 폭발에 따른 부작용이 심각하지 않다는 것이다.

인구가	인구/NNG+가/JKS
늘고	늘/VV+고/EC
있기는	있/VX+기/ETN+는/JX
하지만	하/VX+지만/EC
의학기술의	의학/NNG+기술/NNG+의/JKG
발달에	발달/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
질병의	질병/NNG+의/JKG
정복과	정복/NNG+과/JC
식량	식량/NNG
증산,	증산/NNG+,/SP
청결한	청결/NNG+하/XSA+ㄴ/ETM
식수의	식수/NNG+의/JKG
공급	공급/NNG
등으로	등/NNB+으로/JKB
인구	인구/NNG
폭발에	폭발/NNG+에/JKB
부작용이	부작용/NNG+이/JKS
심각하지	심각하/VA+지/EC
않다는	않/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.125.8.3
또 선진국을 중심으로 출산율이 떨어지면서 인구 증가율이 점차 둔화되는 것도 인구 폭발을 지연시키는 요소로 지적됐다.

또	또/MAG
선진국을	선진국/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
출산율이	출산/NNG+율/XSN+이/JKS
떨어지면서	떨어지/VV+면서/EC
인구	인구/NNG
증가율이	증가/NNG+율/XSN+이/JKS
점차	점차/MAG
둔화되는	둔화/NNG+되/XSV+는/ETM
것도	것/NNB+도/JX
폭발을	폭발/NNG+을/JKO
지연시키는	지연/NNG+시키/XSV+는/ETM
요소로	요소/NNG+로/JKB
지적됐다.	지적/NNG+되/XSV+었/EP+다/EF+./SF


