# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.76
metadata : {}


# id : NWRW1800000046.76.1.1
라면·여행·독서… 소설가의 삶을 말하다

라면·여행·독서…	라면/NNG+·/SP+여행/NNG+·/SP+독서/NNG+…/SE
원고지	원고지/NNG
400장	400/SN+장/NNB
분량의	분량/NNG+의/JKG
신작	신작/NNG
산문을	산문/NNG+을/JKO
비롯해	비롯하/VV+아/EC
절판된	절판/NNG+되/XSV+ㄴ/ETM
기존	기존/NNG
산문집에서	산문집/NNG+에서/JKB
고른	고르/VV+ㄴ/ETM
에세이들로	에세이/NNG+들/XSN+로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.76.4.2
이 책의 백미(白眉)는 '밥'을 주제로 한 제1부에 있다.

이	이/MMD
책의	책/NNG+의/JKG
백미(白眉)는	백미/NNG+(/SS+白眉/SH+)/SS+는/JX
'밥'을	'/SS+밥/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
제1부에	제/XPN+1/SN+부/NNB+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.76.4.3
책 제목이 된 '라면을 끓이며'는 라면, 짬뽕, 짜장면, 김밥처럼 허름한 식당에서 먹는 음식을 다룬다.

책	책/NNG
제목이	제목/NNG+이/JKC
된	되/VV+ㄴ/ETM
'라면을	'/SS+라면/NNG+을/JKO
끓이며'는	끓이/VV+며/EC+'/SS+는/JX
라면,	라면/NNG+,/SP
짬뽕,	짬뽕/NNG+,/SP
짜장면,	짜장면/NNG+,/SP
김밥처럼	김밥/NNG+처럼/JKB
허름한	허름하/VA+ㄴ/ETM
식당에서	식당/NNG+에서/JKB
먹는	먹/VV+는/ETM
음식을	음식/NNG+을/JKO
다룬다.	다루/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.76.5.1
김훈은 한국인의 라면 사랑을 관찰하며 '라면에 인이 박인 생존의 비애'를 뼈저리게 느낀다.

김훈은	김훈/NNP+은/JX
한국인의	한국인/NNG+의/JKG
라면	라면/NNG
사랑을	사랑/NNG+을/JKO
관찰하며	관찰/NNG+하/XSV+며/EC
'라면에	'/SS+라면/NNG+에/JKB
인이	인/NNG+이/JKS
박인	박이/VV+ㄴ/ETM
생존의	생존/NNG+의/JKG
비애'를	비애/NNG+'/SS+를/JKO
뼈저리게	뼈저리/VA+게/EC
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.76.5.2
1963년 처음 라면이 등장하자 배고픈 한국인은 라면을 '공손하게' 먹었다.

1963년	1963/SN+년/NNB
처음	처음/NNG
라면이	라면/NNG+이/JKS
등장하자	등장/NNG+하/XSV+자/EC
배고픈	배고프/VA+ㄴ/ETM
한국인은	한국인/NNG+은/JX
라면을	라면/NNG+을/JKO
'공손하게'	'/SS+공손하/VA+게/EC+'/SS
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.76.5.3
살림살이가 나아져도 라면 시장은 날이 갈수록 커졌다.

살림살이가	살림살이/NNG+가/JKS
나아져도	나아지/VV+어도/EC
라면	라면/NNG
시장은	시장/NNG+은/JX
날이	날/NNG+이/JKS
갈수록	가/VV+ㄹ수록/EC
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.76.5.4
김훈은 '라면은 한국인의 정서적 토양의 기층에 착근되었다'고 했다.

김훈은	김훈/NNP+은/JX
'라면은	'/SS+라면/NNG+은/JX
한국인의	한국인/NNG+의/JKG
정서적	정서/NNG+적/XSN
토양의	토양/NNG+의/JKG
기층에	기층/NNG+에/JKB
착근되었다'고	착근/NNG+되/XSV+었/EP+다/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.76.5.5
그는 라면 시장의 팽창 배후엔 '빈부 양극화와 인간 소외'가 있다고 했다.

그는	그/NP+는/JX
라면	라면/NNG
시장의	시장/NNG+의/JKG
팽창	팽창/NNG
배후엔	배후/NNG+에/JKB+ㄴ/JX
'빈부	'/SS+빈부/NNG
양극화와	양극/NNG+화/XSN+와/JC
인간	인간/NNG
소외'가	소외/NNG+'/SS+가/JKS
있다고	있/VA+다고/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.76.5.6
'있건 없건 간에 누구나 먹어야 하고, 한 번 먹어서 되는 일이 아니라 때가 되면 또다시, 기어이 먹어야 하므로' 라면은 어느덧 서민의 일용 양식이 된 것.

'있건	'/SS+있/VA+건/EC
없건	없/VA+건/EC
간에	간/NNB+에/JKB
누구나	누구/NP+나/JX
먹어야	먹/VV+어야/EC
하고,	하/VX+고/EC+,/SP
한	한/MMN
번	번/NNB
먹어서	먹/VV+어서/EC
되는	되/VV+는/ETM
일이	일/NNG+이/JKC
아니라	아니/VCN+라/EC
때가	때/NNG+가/JKC
되면	되/VV+면/EC
또다시,	또다시/MAG+,/SP
기어이	기어이/MAG
하므로'	하/VX+므로/EC+'/SS
라면은	라면/NNG+은/JX
어느덧	어느덧/MAG
서민의	서민/NNG+의/JKG
일용	일용/NNG
양식이	양식/NNG+이/JKC
된	되/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.76.5.7
김훈은 라면의 허위도 간파한다.

김훈은	김훈/NNP+은/JX
라면의	라면/NNG+의/JKG
허위도	허위/NNG+도/JX
간파한다.	간파/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.76.5.8
라면은 인공 상품인데, 라면 광고는 천연의 맛을 강조해 소비자를 유혹한다.

라면은	라면/NNG+은/JX
인공	인공/NNG
상품인데,	상품/NNG+이/VCP+ㄴ데/EC+,/SP
라면	라면/NNG
광고는	광고/NNG+는/JX
천연의	천연/NNG+의/JKG
맛을	맛/NNG+을/JKO
강조해	강조/NNG+하/XSV+아/EC
소비자를	소비자/NNG+를/JKO
유혹한다.	유혹/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.76.5.9
그러나 김훈은 라면을 끊지 못한다.

그러나	그러나/MAJ
김훈은	김훈/NNP+은/JX
라면을	라면/NNG+을/JKO
끊지	끊/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.76.5.10
그는 나름대로 라면 끓이는 비법을 깨쳤다고 한다.

그는	그/NP+는/JX
나름대로	나름/NNB+대로/JX
라면	라면/NNG
끓이는	끓이/VV+는/ETM
비법을	비법/NNG+을/JKO
깨쳤다고	깨치/VV+었/EP+다고/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.76.5.11
라면의 인공성을 줄이고 끓이는 사람의 개별성으로 천연의 맛을 꾸며낸다는 것.

라면의	라면/NNG+의/JKG
인공성을	인공/NNG+성/XSN+을/JKO
줄이고	줄이/VV+고/EC
끓이는	끓이/VV+는/ETM
사람의	사람/NNG+의/JKG
개별성으로	개별/NNG+성/XSN+으로/JKB
천연의	천연/NNG+의/JKG
맛을	맛/NNG+을/JKO
꾸며낸다는	꾸미/VV+어/EC+내/VX+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.76.5.12
그러나 그는 '그런 생각을 하면서 한눈을 팔다가 라면이 끓어 넘친 적이 한두 번이 아니다.

그러나	그러나/MAJ
그는	그/NP+는/JX
'그런	'/SS+그런/MMD
생각을	생각/NNG+을/JKO
하면서	하/VV+면서/EC
한눈을	한눈/NNG+을/JKO
팔다가	팔/VV+다가/EC
라면이	라면/NNG+이/JKS
끓어	끓/VV+어/EC
넘친	넘치/VV+ㄴ/ETM
적이	적/NNB+이/JKS
한두	한두/MMN
번이	번/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.76.5.13
라면의 길은 아직도 멀다'고 탄식했다.

라면의	라면/NNG+의/JKG
길은	길/NNG+은/JX
아직도	아직/MAG+도/JX
멀다'고	멀/VA+다/EF+'/SS+고/JKQ
탄식했다.	탄식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.76.6.1
배수아의 산문집은 세 차례에 걸친 몽골 여행을 담고 있다.

배수아의	배수아/NNP+의/JKG
산문집은	산문집/NNG+은/JX
세	세/MMN
차례에	차례/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
몽골	몽골/NNP
여행을	여행/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.76.6.2
배수아는 도저히 저항하지 못할 운명의 힘에 이끌려 몽골로 떠났다고 했다.

배수아는	배수아/NNP+는/JX
도저히	도저히/MAG
저항하지	저항/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
운명의	운명/NNG+의/JKG
힘에	힘/NNG+에/JKB
이끌려	이끌리/VV+어/EC
몽골로	몽골/NNP+로/JKB
떠났다고	떠나/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.76.6.3
그러나 배수아는 '이것은 여행기가 아니다'고 했다.

그러나	그러나/MAJ
배수아는	배수아/NNP+는/JX
'이것은	'/SS+이것/NP+은/JX
여행기가	여행기/NNG+가/JKC
아니다'고	아니/VCN+다/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.76.6.4
'여행이 아니라 나로부터의 도피'였고, 특별히 흥미로운 사건도 없었다는 것.

'여행이	'/SS+여행/NNG+이/JKC
아니라	아니/VCN+라/EC
나로부터의	나/NP+로부터/JKB+의/JKG
도피'였고,	도피/NNG+'/SS+이/VCP+었/EP+고/EC+,/SP
특별히	특별히/MAG
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
사건도	사건/NNG+도/JX
없었다는	없/VA+었/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.76.6.5
그러나 이 책을 펼치면 몽골 곳곳의 풍경 사진과 함께 작가가 대자연 속에서 얻은 단상이 쉼 없이 전개된다.

그러나	그러나/MAJ
이	이/MMD
책을	책/NNG+을/JKO
펼치면	펼치/VV+면/EC
몽골	몽골/NNP
곳곳의	곳곳/NNG+의/JKG
풍경	풍경/NNG
사진과	사진/NNG+과/JKB
함께	함께/MAG
작가가	작가/NNG+가/JKS
대자연	대/XPN+자연/NNG
속에서	속/NNG+에서/JKB
얻은	얻/VV+은/ETM
단상이	단상/NNG+이/JKS
쉼	쉬/VV+ㅁ/ETN
없이	없이/MAG
전개된다.	전개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.76.6.6
자연 속에서 사물은 사람의 오감을 활짝 열어주고, 전설은 사람의 상상력을 한없이 넓혀준다.

자연	자연/NNG
속에서	속/NNG+에서/JKB
사물은	사물/NNG+은/JX
사람의	사람/NNG+의/JKG
오감을	오감/NNG+을/JKO
활짝	활짝/MAG
열어주고,	열/VV+어/EC+주/VX+고/EC+,/SP
전설은	전설/NNG+은/JX
상상력을	상상력/NNG+을/JKO
한없이	한없이/MAG
넓혀준다.	넓히/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.76.6.7
배수아는 스스로를 이 책의 저자로 인식하지 않는다.

배수아는	배수아/NNP+는/JX
스스로를	스스로/NNG+를/JKO
이	이/MMD
책의	책/NNG+의/JKG
저자로	저자/NNG+로/JKB
인식하지	인식/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.76.6.8
'이해할 수 없는 말과 얼굴들로 이루어진 나의 또 다른 장소로 향하는 여행이자 동시에 한때 나의 육신을 이루었을지도 모르는 돌과 쇠를 찾아가는 여행'의 동반자로서 여행을 회상하기 때문이다.

'이해할	'/SS+이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
말과	말/NNG+과/JC
얼굴들로	얼굴/NNG+들/XSN+로/JKB
이루어진	이루어지/VV+ㄴ/ETM
나의	나/NP+의/JKG
또	또/MAG
다른	다른/MMD
장소로	장소/NNG+로/JKB
향하는	향하/VV+는/ETM
여행이자	여행/NNG+이/VCP+자/EC
동시에	동시/NNG+에/JKB
한때	한때/MAG
육신을	육신/NNG+을/JKO
이루었을지도	이루/VV+었/EP+을지/EC+도/JX
모르는	모르/VV+는/ETM
돌과	돌/NNG+과/JC
쇠를	쇠/NNG+를/JKO
찾아가는	찾아가/VV+는/ETM
여행'의	여행/NNG+'/SS+의/JKG
동반자로서	동반자/NNG+로서/JKB
여행을	여행/NNG+을/JKO
회상하기	회상/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.76.7.1
김탁환의 산문집은 독서 일기 모음집이다.

김탁환의	김탁환/NNP+의/JKG
산문집은	산문집/NNG+은/JX
독서	독서/NNG
일기	일기/NNG
모음집이다.	모음집/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.76.7.2
그는 원래 고전문학 연구자였다.

그는	그/NP+는/JX
원래	원래/MAG
고전문학	고전/NNG+문학/NNG
연구자였다.	연구자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.76.7.3
18세기 조선의 지식인들을 다룬 역사 소설도 써왔다.

18세기	18/SN+세기/NNG
조선의	조선/NNP+의/JKG
지식인들을	지식인/NNG+들/XSN+을/JKO
다룬	다루/VV+ㄴ/ETM
역사	역사/NNG
소설도	소설/NNG+도/JX
써왔다.	쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.76.7.4
그의 독서량은 고전과 현대를 아우르며 방대하다.

그의	그/NP+의/JKG
독서량은	독서량/NNG+은/JX
고전과	고전/NNG+과/JC
현대를	현대/NNG+를/JKO
아우르며	아우르/VV+며/EC
방대하다.	방대하/VA+다/EF+./SF


# id : NWRW1800000046.76.7.5
그에게 책 읽기는 곧 생활이다.

그에게	그/NP+에게/JKB
책	책/NNG
읽기는	읽/VV+기/ETN+는/JX
곧	곧/MAG
생활이다.	생활/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.76.7.6
그의 독서일기는 책의 핵심을 포착해 얻어낸 생각의 흐름을 간결하게 전개한 글로 꾸며졌다.

그의	그/NP+의/JKG
독서일기는	독서/NNG+일기/NNG+는/JX
책의	책/NNG+의/JKG
핵심을	핵심/NNG+을/JKO
포착해	포착/NNG+하/XSV+아/EC
얻어낸	얻/VV+어/EC+내/VX+ㄴ/ETM
생각의	생각/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
간결하게	간결하/VA+게/EC
전개한	전개/NNG+하/XSV+ㄴ/ETM
글로	글/NNG+로/JKB
꾸며졌다.	꾸미/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.76.7.7
이 책 제목은 조선시대 때 어느 선비가 소설을 좋아한 딸이 시집을 가게 되자 '임경업전'을 꼼꼼히 필사해서 전해줬다는 일화에서 따왔다.

이	이/MMD
책	책/NNG
제목은	제목/NNG+은/JX
조선시대	조선시대/NNG
때	때/NNG
어느	어느/MMD
선비가	선비/NNG+가/JKS
소설을	소설/NNG+을/JKO
좋아한	좋아하/VV+ㄴ/ETM
딸이	딸/NNG+이/JKS
시집을	시집/NNG+을/JKO
가게	가/VV+게/EC
되자	되/VV+자/EC
'임경업전'을	'/SS+임경업전/NNP+'/SS+을/JKO
꼼꼼히	꼼꼼히/MAG
필사해서	필사/NNG+하/XSV+아서/EC
전해줬다는	전하/VV+아/EC+주/VX+었/EP+다는/ETM
일화에서	일화/NNG+에서/JKB
따왔다.	따오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.76.7.8
그 필사본처럼 진정한 작가의 글은 사람과 사람을 잇는 매개가 돼야 한다.

그	그/MMD
필사본처럼	필사본/NNG+처럼/JKB
진정한	진정하/VA+ㄴ/ETM
작가의	작가/NNG+의/JKG
글은	글/NNG+은/JX
사람과	사람/NNG+과/JC
사람을	사람/NNG+을/JKO
잇는	잇/VV+는/ETM
매개가	매개/NNG+가/JKC
돼야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.76.7.9
김탁환은 "그냥 진실한 문장 하나를 써내려가면 돼"라고 한 헤밍웨이의 말을 되새기며 늘 설익은 기교에 부끄러워한다.

김탁환은	김탁환/NNP+은/JX
"그냥	"/SS+그냥/MAG
진실한	진실/NNG+하/XSA+ㄴ/ETM
문장	문장/NNG
하나를	하나/NR+를/JKO
써내려가면	쓰/VV+어/EC+내려가/VV+면/EC
돼"라고	되/VV+어/EC+"/SS+라고/JKQ
한	하/VV+ㄴ/ETM
헤밍웨이의	헤밍웨이/NNP+의/JKG
말을	말/NNG+을/JKO
되새기며	되새기/VV+며/EC
늘	늘/MAG
설익은	설익/VV+은/ETM
기교에	기교/NNG+에/JKB
부끄러워한다.	부끄러워하/VV+ㄴ다/EF+./SF


