# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.179
metadata : {}


# id : NWRW1800000049.179.1.1
수입차 개소세 환급거부?

수입차	수입차/NNG
6월	6/SN+월/NNB
말까지	말/NNB+까지/JX
연장하기로	연장/NNG+하/XSV+기/ETN+로/JKB
하자	하/VV+자/EC
소비자들은	소비자/NNG+들/XSN+은/JX
1월	1/SN+월/NNB
구입	구입/NNG
차량에	차량/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
환급을	환급/NNG+을/JKO
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.179.5.3
수입 차 업체들은 개소세 인하분을 차 가격에 미리 반영해 할인해 줬으므로 개소세를 환급해 달라는 소비자들의 요구에 대해 이중 환급에 해당한다고 주장했다.

수입	수입/NNG
차	차/NNG
업체들은	업체/NNG+들/XSN+은/JX
개소세	개소세/NNG
인하분을	인하/NNG+분/XSN+을/JKO
가격에	가격/NNG+에/JKB
미리	미리/MAG
반영해	반영/NNG+하/XSV+아/EC
할인해	할인/NNG+하/XSV+아/EC
줬으므로	주/VX+었/EP+으므로/EC
개소세를	개소세/NNG+를/JKO
환급해	환급/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
소비자들의	소비자/NNG+들/XSN+의/JKG
요구에	요구/NNG+에/JKB
대해	대하/VV+아/EC
이중	이/NP+중/NNB
환급에	환급/NNG+에/JKB
해당한다고	해당/NNG+하/XSV+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.179.6.1
하 변호사는 “수입 차 업체들이 통관가격을 공개하지 않아 소비자들이 개소세 인하분만큼 차 가격을 제대로 할인받고 샀는지 알 수 없는 만큼 과세 당국과 검찰이 조사해야 한다”며 “만약 문제가 있다면 이는 형법상 사기죄에 해당한다”고 덧붙였다.

하	하/NNP
변호사는	변호사/NNG+는/JX
“수입	“/SS+수입/NNG
차	차/NNG
업체들이	업체/NNG+들/XSN+이/JKS
통관가격을	통관/NNG+가격/NNG+을/JKO
공개하지	공개/NNG+하/XSV+지/EC
않아	않/VX+아/EC
소비자들이	소비자/NNG+들/XSN+이/JKS
개소세	개소세/NNG
인하분만큼	인하/NNG+분/XSN+만큼/JKB
가격을	가격/NNG+을/JKO
제대로	제대로/MAG
할인받고	할인/NNG+받/XSV+고/EC
샀는지	사/VV+았/EP+는지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
만큼	만큼/NNB
과세	과세/NNG
당국과	당국/NNG+과/JC
검찰이	검찰/NNG+이/JKS
조사해야	조사/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“만약	“/SS+만약/NNG
문제가	문제/NNG+가/JKS
있다면	있/VA+다면/EC
이는	이/NP+는/JX
형법상	형법/NNG+상/XSN
사기죄에	사기죄/NNG+에/JKB
해당한다”고	해당/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.179.7.1
개소세는 관세를 포함한 통관가격의 5%다.

개소세는	개소세/NNG+는/JX
관세를	관세/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
통관가격의	통관/NNG+가격/NNG+의/JKG
5%다.	5/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000049.179.7.2
여기에 교육세와 부가가치세를 더한 뒤 마진을 붙이면 소비자 판매 가격이 된다.

여기에	여기/NP+에/JKB
교육세와	교육세/NNG+와/JC
부가가치세를	부가/NNG+가치세/NNG+를/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
마진을	마진/NNG+을/JKO
붙이면	붙이/VV+면/EC
소비자	소비자/NNG
판매	판매/NNG
가격이	가격/NNG+이/JKS
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.179.7.3
수입 차 업체들은 통관가격을 공개하면 마진이 드러나는 만큼 가격 공개를 꺼려 왔다.

수입	수입/NNG
차	차/NNG
업체들은	업체/NNG+들/XSN+은/JX
통관가격을	통관/NNG+가격/NNG+을/JKO
공개하면	공개/NNG+하/XSV+면/EC
마진이	마진/NNG+이/JKS
드러나는	드러나/VV+는/ETM
만큼	만큼/NNB
가격	가격/NNG
공개를	공개/NNG+를/JKO
꺼려	꺼리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.179.8.1
한편 공정위는 일부 수입 차 업체들이 최근 개소세 인하 종료에 따른 인상폭을 자신들이 떠안았다는 식으로 내보낸 광고에 대해서도 허위 광고가 아닌지 조사할 것으로 알려졌다.

한편	한편/MAG
공정위는	공정위/NNG+는/JX
일부	일부/NNG
수입	수입/NNG
차	차/NNG
업체들이	업체/NNG+들/XSN+이/JKS
최근	최근/MAG
개소세	개소세/NNG
인하	인하/NNG
종료에	종료/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
인상폭을	인상/NNG+폭/NNG+을/JKO
자신들이	자신/NNG+들/XSN+이/JKS
떠안았다는	떠안/VV+았/EP+다는/ETM
식으로	식/NNB+으로/JKB
내보낸	내보내/VV+ㄴ/ETM
광고에	광고/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
허위	허위/NNG
광고가	광고/NNG+가/JKS
아닌지	아니/VCN+ㄴ지/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.179.8.2
공정위 관계자는 “공식 조사 방침은 정해지지 않았으나 거짓 광고로 문제가 됐는지 확인해 볼 필요가 있다”고 말했다.

공정위	공정위/NNG
관계자는	관계자/NNG+는/JX
“공식	“/SS+공식/NNG
조사	조사/NNG
방침은	방침/NNG+은/JX
정해지지	정하/VV+아/EC+지/VX+지/EC
않았으나	않/VX+았/EP+으나/EC
거짓	거짓/NNG
광고로	광고/NNG+로/JKB
문제가	문제/NNG+가/JKS
됐는지	되/VV+었/EP+는지/EC
확인해	확인/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


