# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.215
metadata : {}


# id : NWRW1800000040.215.1.1
물러난다던 최필립, 아직도 정수장학회 이사장

물러난다던	물러나/VV+ㄴ다던/ETM
시교육청	시/NNG+교육청/NNG
입장에서도	입장/NNG+에서/JKB+도/JX
시달리고	시달리/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.215.7.1
시민단체 등으로부터 동반퇴진 요구를 받고 있는 정수장학회 이사들도 진퇴와 관련해 아무런 움직임을 보이지 않고 있다.

시민단체	시민/NNG+단체/NNG
등으로부터	등/NNB+으로부터/JKB
동반퇴진	동반/NNG+퇴진/NNG
요구를	요구/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
정수장학회	정수장학회/NNP
이사들도	이사/NNG+들/XSN+도/JX
진퇴와	진퇴/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
아무런	아무런/MMD
움직임을	움직임/NNG+을/JKO
보이지	보이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.215.7.2
이창원 정수장학회 사무처장은 이와 관련한 <한겨레> 취재에 “바쁘다”며 응하지 않았다.

이창원	이창원/NNP
정수장학회	정수장학회/NNP
사무처장은	사무처장/NNG+은/JX
이와	이/NP+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
<한겨레>	</SS+한겨레/NNP+>/SS
취재에	취재/NNG+에/JKB
“바쁘다”며	“/SS+바쁘/VA+다/EF+”/SS+며/EC
응하지	응하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.215.7.3
이운경 정수장학회 감사는 “(이사회가 언제 열릴지에 대해) 통보가 오지 않았다”고 말했다.

이운경	이운경/NNP
정수장학회	정수장학회/NNP
감사는	감사/NNG+는/JX
“(이사회가	“/SS+(/SS+이사회/NNG+가/JKS
언제	언제/MAG
열릴지에	열리/VV+ㄹ지/EF+에/JKB
대해)	대하/VV+아/EC+)/SS
통보가	통보/NNG+가/JKS
오지	오/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.215.8.1
정수장학회는 지난해 대선을 앞두고 보유중인 <문화방송>(MBC)과 <부산일보> 주식을 매각해 부산·경남 지역 대학생들에게 장학금을 지원함으로써 박근혜 후보를 도우려 했다는 의혹을 산 바 있다.

정수장학회는	정수장학회/NNP+는/JX
지난해	지난해/NNG
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
보유중인	보유/NNG+중/NNB+이/VCP+ㄴ/ETM
<문화방송>(MBC)과	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS+과/JC
<부산일보>	</SS+부산일보/NNP+>/SS
주식을	주식/NNG+을/JKO
매각해	매각/NNG+하/XSV+아/EC
부산·경남	부산/NNP+·/SP+경남/NNP
지역	지역/NNG
대학생들에게	대학/NNG+생/XSN+들/XSN+에게/JKB
장학금을	장학금/NNG+을/JKO
지원함으로써	지원/NNG+하/XSV+ㅁ/ETN+으로써/JKB
박근혜	박근혜/NNP
후보를	후보/NNG+를/JKO
도우려	돕/VV+으려/EC
했다는	하/VX+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
산	사/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.215.8.2
이 일로 사퇴 압력을 받은 최필립 이사장은 박 대통령이 취임한 지난달 25일 사의를 밝혔다.

이	이/MMD
일로	일/NNG+로/JKB
사퇴	사퇴/NNG
압력을	압력/NNG+을/JKO
받은	받/VV+은/ETM
최필립	최필립/NNP
이사장은	이사장/NNG+은/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
취임한	취임/NNG+하/XSV+ㄴ/ETM
지난달	지난달/NNG
25일	25/SN+일/NNB
사의를	사의/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.215.8.3
당시 그는 “제가 이사장직을 지키고 있었던 것은 자칫 저의 행보가 정치권에 말려들어 본의 아니게 정치권에 누를 끼치게 될 것을 우려했기 때문이었다”고 설명했다.

당시	당시/NNG
그는	그/NP+는/JX
“제가	“/SS+제/NP+가/JKS
이사장직을	이사장/NNG+직/NNG+을/JKO
지키고	지키/VV+고/EC
있었던	있/VX+었/EP+던/ETM
것은	것/NNB+은/JX
자칫	자칫/MAG
저의	저/NP+의/JKG
행보가	행보/NNG+가/JKS
정치권에	정치/NNG+권/XSN+에/JKB
말려들어	말려들/VV+어/EC
본의	본의/NNG
아니게	아니/VCN+게/EC
누를	누/NNG+를/JKO
끼치게	끼치/VV+게/EC
될	되/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려했기	우려/NNG+하/XSV+았/EP+기/ETN
때문이었다”고	때문/NNB+이/VCP+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


