# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.386
metadata : {}


# id : NWRW1800000033.386.1.1
朴 “대선직후 여야 지도자 연석회의”, 文 “하우스푸어 집 사들여 공공임대”

朴	朴/SH
온	온/MMN
나라가	나라/NNG+가/JKS
갈라지는	갈라지/VV+는/ETM
모습을	모습/NNG+을/JKO
보며	보/VV+며/EC
큰	크/VA+ㄴ/ETM
걱정을	걱정/NNG+을/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.386.5.3
선거가 끝나면 국가와 국민을 위해 서로 화합하고 머리를 맞대야 한다”며 제안 배경을 밝혔다.

선거가	선거/NNG+가/JKS
끝나면	끝나/VV+면/EC
국가와	국가/NNG+와/JC
국민을	국민/NNG+을/JKO
위해	위하/VV+아/EC
서로	서로/MAG
화합하고	화합/NNG+하/XSV+고/EC
머리를	머리/NNG+를/JKO
맞대야	맞대/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
제안	제안/NNG
배경을	배경/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.386.6.1
국가지도자 연석회의의 대상과 안건에 대해 그는 “헌법과 자유민주주의를 부정하지 않는 야당의 지도자들과 민생 문제, 한반도 문제, 정치혁신, 국민통합을 의제로 머리를 맞대겠다”며 사실상 종북 의혹을 받고 있는 정치세력은 배제할 뜻임을 시사했다.

국가지도자	국가/NNG+지도자/NNG
연석회의의	연석회의/NNG+의/JKG
대상과	대상/NNG+과/JC
안건에	안건/NNG+에/JKB
대해	대하/VV+아/EC
그는	그/NP+는/JX
“헌법과	“/SS+헌법/NNG+과/JC
자유민주주의를	자유/NNG+민주주의/NNG+를/JKO
부정하지	부정/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
야당의	야당/NNG+의/JKG
지도자들과	지도자/NNG+들/XSN+과/JKB
민생	민생/NNG
문제,	문제/NNG+,/SP
한반도	한반도/NNP
정치혁신,	정치/NNG+혁신/NNG+,/SP
국민통합을	국민/NNG+통합/NNG+을/JKO
의제로	의제/NNG+로/JKB
머리를	머리/NNG+를/JKO
맞대겠다”며	맞대/VV+겠/EP+다/EF+”/SS+며/EC
사실상	사실/NNG+상/XSN
종북	종북/NNG
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
정치세력은	정치/NNG+세력/NNG+은/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
뜻임을	뜻/NNG+이/VCP+ㅁ/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.386.6.2
이어 “이를 통해 국민통합과 소통의 새로운 국정운영을 실천하겠다”고 강조했다.

이어	이어/MAG
“이를	“/SS+이/NP+를/JKO
통해	통하/VV+아/EC
국민통합과	국민/NNG+통합/NNG+과/JC
소통의	소통/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
국정운영을	국정/NNG+운영/NNG+을/JKO
실천하겠다”고	실천/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.386.7.1
문 후보는 16일 당선될 경우 한국토지주택공사(LH)로 하여금 내년에 6억 원 이하 국민주택(전용면적 85m² 이하) 5만 채를 매입해 공공임대주택으로 공급하도록 하겠다고 밝혔다.

문	문/NNP
후보는	후보/NNG+는/JX
16일	16/SN+일/NNB
당선될	당선/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
한국토지주택공사(LH)로	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+로/JKB
하여금	하여금/MAG
내년에	내년/NNG+에/JKB
6억	6/SN+억/NR
원	원/NNB
이하	이하/NNG
국민주택(전용면적	국민/NNG+주택/NNG+(/SS+전용/NNG+면적/NNG
85m²	85/SN+m²/SW
이하)	이하/NNG+)/SS
5만	5/SN+만/NR
채를	채/NNB+를/JKO
매입해	매입/NNG+하/XSV+아/EC
공공임대주택으로	공공/NNG+임대/NNG+주택/NNG+으로/JKB
공급하도록	공급/NNG+하/XSV+도록/EC
하겠다고	하/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.386.8.1
문 후보는 이날 서울 영등포 당사에서 기자회견을 열고 “(은행 대출금으로 인한) 하우스푸어의 가계부채와 렌트푸어의 높은 전월세 부담을 동시에 덜어드리겠다”며 이같이 밝혔다.

문	문/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
영등포	영등포/NNP
당사에서	당사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
“(은행	“/SS+(/SS+은행/NNG
대출금으로	대출금/NNG+으로/JKB
인한)	인/NNG+하/XSV+ㄴ/ETM+)/SS
하우스푸어의	하우스푸어/NNG+의/JKG
가계부채와	가계/NNG+부채/NNG+와/JC
렌트푸어의	렌트푸어/NNG+의/JKG
높은	높/VA+은/ETM
전월세	전월세/NNG
부담을	부담/NNG+을/JKO
동시에	동시/NNG+에/JKB
덜어드리겠다”며	덜/VV+어/EC+드리/VX+겠/EP+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.386.8.2
공시가격으로 매입하되 5년 후 원소유주에게 재매입 기회를 주고 매입한 주택은 전세 시세의 70∼80%로 저소득계층에 빌려주겠다는 구상이다.

공시가격으로	공시/NNG+가격/NNG+으로/JKB
매입하되	매입/NNG+하/XSV+되/EC
5년	5/SN+년/NNB
후	후/NNG
원소유주에게	원소유주/NNG+에게/JKB
재매입	재/XPN+매입/NNG
기회를	기회/NNG+를/JKO
주고	주/VV+고/EC
매입한	매입/NNG+하/XSV+ㄴ/ETM
주택은	주택/NNG+은/JX
전세	전세/NNG
시세의	시세/NNG+의/JKG
70∼80%로	70/SN+∼/SO+80/SN+%/SW+로/JKB
저소득계층에	저/XPN+소득/NNG+계층/NNG+에/JKB
빌려주겠다는	빌리/VV+어/EC+주/VX+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.386.8.3
문 후보는 “총 재원은 15조 원이 소요되나 이 중 50%는 전세자금으로 충당하고 나머지는 국민주택기금이 LH에 연 2%로 융자해 조달할 것”이라고 설명했다.

문	문/NNP
후보는	후보/NNG+는/JX
“총	“/SS+총/MMA
재원은	재원/NNG+은/JX
15조	15/SN+조/NR
원이	원/NNB+이/JKS
소요되나	소요/NNG+되/XSV+나/EC
이	이/MMD
중	중/NNB
50%는	50/SN+%/SW+는/JX
전세자금으로	전세/NNG+자금/NNG+으로/JKB
충당하고	충당/NNG+하/XSV+고/EC
나머지는	나머지/NNG+는/JX
국민주택기금이	국민/NNG+주택/NNG+기금/NNG+이/JKS
LH에	LH/SL+에/JKB
연	연/NNG
2%로	2/SN+%/SW+로/JKB
융자해	융자/NNG+하/XSV+아/EC
조달할	조달/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.386.9.1
또 주택거래 활성화를 위해 9억 원 이하 1주택 취득에 대해 내년 말까지 취득세를 1%로 인하하기로 했다.

또	또/MAG
주택거래	주택/NNG+거래/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
9억	9/SN+억/NR
원	원/NNB
이하	이하/NNG
1주택	1/SN+주택/NNG
취득에	취득/NNG+에/JKB
대해	대하/VV+아/EC
내년	내년/NNG
말까지	말/NNB+까지/JX
취득세를	취득세/NNG+를/JKO
1%로	1/SN+%/SW+로/JKB
인하하기로	인하/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.386.9.2
하우스푸어 주택 매입과 9억 원 이하 취득세 인하는 공약집에 포함되지 않았던 새 공약이다.

하우스푸어	하우스푸어/NNG
주택	주택/NNG
매입과	매입/NNG+과/JC
9억	9/SN+억/NR
원	원/NNB
이하	이하/NNG
취득세	취득세/NNG
인하는	인하/NNG+는/JX
공약집에	공약집/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
새	새/MMA
공약이다.	공약/NNG+이/VCP+다/EF+./SF


