# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.215
metadata : {}


# id : NWRW1800000033.215.1.1
헌옷 수거함도 ‘강남스타일’

헌옷	헌/MMA+옷/NNG
하치장을 직접 찾아 명품만 골라가는 ‘명품꾼’도 있다고 한다.

하치장을	하치장/NNG+을/JKO
직접	직접/MAG
찾아	찾/VV+아/EC
명품만	명품/NNG+만/JX
골라가는	고르/VV+아/EC+가/VX+는/ETM
‘명품꾼’도	‘/SS+명품/NNG+꾼/XSN+’/SS+도/JX
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.215.3.7
선택되지 못한 나머지 옷가지는 kg당 몇백 원 수준에 수출된다.

선택되지	선택/NNG+되/XSV+지/EC
못한	못하/VX+ㄴ/ETM
나머지	나머지/NNG
옷가지는	옷가지/NNG+는/JX
kg당	kg/SW+당/XSN
몇백	몇백/NR
원	원/NNB
수준에	수준/NNG+에/JKB
수출된다.	수출/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.215.4.1
기자도 직접 옷더미를 뒤졌더니 리바이스 게스 등 유명 브랜드 청바지와 명품 상표 구두 한 켤레를 쉽게 찾을 수 있었다.

기자도	기자/NNG+도/JX
직접	직접/MAG
옷더미를	옷/NNG+더미/NNG+를/JKO
뒤졌더니	뒤지/VV+었/EP+더니/EC
리바이스	리바이스/NNP
게스	게스/NNP
등	등/NNB
유명	유명/NNG
브랜드	브랜드/NNG
청바지와	청바지/NNG+와/JC
명품	명품/NNG
상표	상표/NNG
구두	구두/NNG
한	한/MMN
켤레를	켤레/NNB+를/JKO
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.215.4.2
‘신상’은 아니지만 해지거나 찢어진 곳 없이 새 옷처럼 말끔했다.

‘신상’은	‘/SS+신상/NNG+’/SS+은/JX
아니지만	아니/VCN+지만/EC
해지거나	해지/VV+거나/EC
찢어진	찢어지/VV+ㄴ/ETM
곳	곳/NNG
없이	없이/MAG
새	새/MMA
옷처럼	옷/NNG+처럼/JKB
말끔했다.	말끔하/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.215.4.3
하치장 업주 엄모 씨(56)는 “겨울이라 오늘은 옷이 없는 편인데 봄가을이나 이사철에는 물량이 쏟아져 나온다”며 “강남 아파트에서 나온 헌 옷은 바로 입고 거리로 나가도 촌스럽지 않다”고 말했다.

하치장	하치장/NNG
업주	업주/NNG
엄모	엄/NNP+모/NP
씨(56)는	씨/NNB+(/SS+56/SN+)/SS+는/JX
“겨울이라	“/SS+겨울/NNG+이/VCP+라/EC
오늘은	오늘/NNG+은/JX
옷이	옷/NNG+이/JKS
없는	없/VA+는/ETM
편인데	편/NNB+이/VCP+ㄴ데/EC
봄가을이나	봄가을/NNG+이나/JC
이사철에는	이사/NNG+철/NNG+에/JKB+는/JX
물량이	물량/NNG+이/JKS
쏟아져	쏟아지/VV+어/EC
나온다”며	나오/VV+ㄴ다/EF+”/SS+며/EC
“강남	“/SS+강남/NNP
아파트에서	아파트/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
헌	헌/MMA
옷은	옷/NNG+은/JX
바로	바로/MAG
입고	입/VV+고/EC
거리로	거리/NNG+로/JKB
나가도	나가/VV+아도/EC
촌스럽지	촌/NNG+스럽/XSA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.215.5.1
서울과 수도권 고물상에서는 강남의 고급 아파트 단지를 차지하려는 경쟁이 치열하다.

서울과	서울/NNP+과/JC
수도권	수도/NNG+권/XSN
고물상에서는	고물상/NNG+에서/JKB+는/JX
강남의	강남/NNP+의/JKG
고급	고급/NNG
아파트	아파트/NNG
단지를	단지/NNG+를/JKO
차지하려는	차지/NNG+하/XSV+려는/ETM
경쟁이	경쟁/NNG+이/JKS
치열하다.	치열/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.215.5.2
불황 속에도 그나마 ‘돈 되는’ 재활용품을 내놓는 곳이기 때문이다.

불황	불황/NNG
속에도	속/NNG+에/JKB+도/JX
그나마	그나마/MAG
‘돈	‘/SS+돈/NNG
되는’	되/VV+는/ETM+’/SS
재활용품을	재활용품/NNG+을/JKO
내놓는	내놓/VV+는/ETM
곳이기	곳/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.215.5.3
특히 헌 옷은 폐지나 고철과 달리 시세가 일정한 데다 전용 수거함에서 나오는 명품 ‘로또’까지 기대할 수 있어 인기다.

특히	특히/MAG
헌	헌/MMA
옷은	옷/NNG+은/JX
폐지나	폐지/NNG+나/JC
고철과	고철/NNG+과/JKB
달리	달리/MAG
시세가	시세/NNG+가/JKS
일정한	일정/NNG+하/XSA+ㄴ/ETM
데다	데/NNB+다/JX
전용	전용/NNG
수거함에서	수거함/NNG+에서/JKB
나오는	나오/VV+는/ETM
명품	명품/NNG
‘로또’까지	‘/SS+로또/NNG+’/SS+까지/JX
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
인기다.	인기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.215.5.4
중고가 100만 원이 훌쩍 넘는 밍크코트와 명품 가방, 수십만 원을 호가하는 양복이나 등산복이 수거함에서 종종 나온다고 한다.

중고가	중고/NNG+가/XSN
100만	100/SN+만/NR
원이	원/NNB+이/JKS
훌쩍	훌쩍/MAG
넘는	넘/VV+는/ETM
밍크코트와	밍크코트/NNG+와/JC
명품	명품/NNG
가방,	가방/NNG+,/SP
수십만	수십만/NR
원을	원/NNB+을/JKO
호가하는	호가/NNG+하/XSV+는/ETM
양복이나	양복/NNG+이나/JC
등산복이	등산복/NNG+이/JKS
수거함에서	수거함/NNG+에서/JKB
종종	종종/MAG
나온다고	나오/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.215.6.1
서울 강남의 한 고물상 직원 이모 씨(30)는 “강남에선 입은 흔적이 없는 새 옷도 매일 나오는데 비싼 값에 팔 수 있어 좋긴 하지만 한편으로 씁쓸하다”며 “남 주기 아까운 심리에서인지 칼자국을 낸 비싼 옷도 발견된다”고 전했다.

서울	서울/NNP
강남의	강남/NNP+의/JKG
한	한/MMN
고물상	고물상/NNG
직원	직원/NNG
이모	이/NNP+모/NP
씨(30)는	씨/NNB+(/SS+30/SN+)/SS+는/JX
“강남에선	“/SS+강남/NNP+에서/JKB+ㄴ/JX
입은	입/VV+은/ETM
흔적이	흔적/NNG+이/JKS
없는	없/VA+는/ETM
새	새/MMA
옷도	옷/NNG+도/JX
매일	매일/MAG
나오는데	나오/VV+는데/EC
비싼	비싸/VA+ㄴ/ETM
값에	값/NNG+에/JKB
팔	팔/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
좋긴	좋/VA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
한편으로	한편/NNG+으로/JKB
씁쓸하다”며	씁쓸하/VA+다/EF+”/SS+며/EC
“남	“/SS+남/NNG
주기	주/VV+기/ETN
아까운	아깝/VA+ㄴ/ETM
심리에서인지	심리/NNG+에서/JKB+이/VCP+ㄴ지/EC
칼자국을	칼자국/NNG+을/JKO
낸	내/VV+ㄴ/ETM
발견된다”고	발견/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.215.7.1
고물상 직원의 ‘라이벌’은 강남 아파트 가정부나 경비원.

고물상	고물상/NNG
직원의	직원/NNG+의/JKG
‘라이벌’은	‘/SS+라이벌/NNG+’/SS+은/JX
강남	강남/NNP
아파트	아파트/NNG
가정부나	가정부/NNG+나/JC
경비원.	경비원/NNG+./SF


# id : NWRW1800000033.215.7.2
일부 가정에선 옷가지를 직접 수거함에 넣지 않고 이들에게 처리를 부탁한다.

일부	일부/NNG
가정에선	가정/NNG+에서/JKB+ㄴ/JX
옷가지를	옷가지/NNG+를/JKO
직접	직접/MAG
수거함에	수거함/NNG+에/JKB
넣지	넣/VV+지/EC
않고	않/VX+고/EC
이들에게	이/NP+들/XSN+에게/JKB
처리를	처리/NNG+를/JKO
부탁한다.	부탁/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.215.7.3
그러면 이들은 비싼 옷을 골라낸 다음 고물상 업자를 조용히 불러 흥정을 시도하기도 한다.

그러면	그러면/MAJ
이들은	이/NP+들/XSN+은/JX
비싼	비싸/VA+ㄴ/ETM
옷을	옷/NNG+을/JKO
골라낸	골라내/VV+ㄴ/ETM
다음	다음/NNG
고물상	고물상/NNG
업자를	업자/NNG+를/JKO
조용히	조용히/MAG
불러	부르/VV+어/EC
흥정을	흥정/NNG+을/JKO
시도하기도	시도/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.215.8.1
헌 옷에서 나오는 부수입은 업계의 공공연한 비밀.

헌	헌/MMA
옷에서	옷/NNG+에서/JKB
나오는	나오/VV+는/ETM
부수입은	부수입/NNG+은/JX
업계의	업계/NNG+의/JKG
공공연한	공공연하/VA+ㄴ/ETM
비밀.	비밀/NNG+./SF


# id : NWRW1800000033.215.8.2
현금이나 금반지, 고급 시계, 상품권 등이 적지 않게 나온다.

현금이나	현금/NNG+이나/JC
금반지,	금반지/NNG+,/SP
고급	고급/NNG
시계,	시계/NNG+,/SP
상품권	상품/NNG+권/XSN
등이	등/NNB+이/JKS
적지	적/VA+지/EC
않게	않/VX+게/EC
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.215.8.3
고물상 업주 A 씨는 기자에게 직접 모은 금붙이가 담긴 주머니를 보여주기도 했다.

고물상	고물상/NNG
업주	업주/NNG
A	A/SL
씨는	씨/NNB+는/JX
기자에게	기자/NNG+에게/JKB
직접	직접/MAG
모은	모으/VV+ㄴ/ETM
금붙이가	금붙이/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
주머니를	주머니/NNG+를/JKO
보여주기도	보이/VV+어/EC+주/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.215.8.4
A 씨는 “강남 사람들이 질려서 버린 헌 옷이 우리에겐 ‘노다지’다”라며 “고물상 업주 중엔 고급 승용차를 몰며 강남에 사는 사람도 있다”고 귀띔했다.

A	A/SL
씨는	씨/NNB+는/JX
“강남	“/SS+강남/NNP
사람들이	사람/NNG+들/XSN+이/JKS
질려서	질리/VV+어서/EC
버린	버리/VV+ㄴ/ETM
헌	헌/MMA
옷이	옷/NNG+이/JKS
우리에겐	우리/NP+에게/JKB+ㄴ/JX
‘노다지’다”라며	‘/SS+노다지/NNG+’/SS+이/VCP+다/EF+”/SS+라며/EC
“고물상	“/SS+고물상/NNG
업주	업주/NNG
중엔	중/NNB+에/JKB+ㄴ/JX
고급	고급/NNG
승용차를	승용차/NNG+를/JKO
몰며	몰/VV+며/EC
강남에	강남/NNP+에/JKB
사는	살/VV+는/ETM
사람도	사람/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.215.9.1
아파트와 폐기물관리업체가 맺는 재활용품 수거 입찰 가격도 강남지역이 높다.

아파트와	아파트/NNG+와/JC
폐기물관리업체가	폐기물/NNG+관리/NNG+업체/NNG+가/JKS
맺는	맺/VV+는/ETM
재활용품	재활용품/NNG
수거	수거/NNG
입찰	입찰/NNG
가격도	가격/NNG+도/JX
강남지역이	강남지역/NNP+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000033.215.9.2
월 단위로 가구별 가격을 책정하는데 싼 곳이 1000원 수준인 데 비해 강남 고급 아파트는 7000∼8000원을 호가한다.

월	월/NNG
단위로	단위/NNG+로/JKB
가구별	가구/NNG+별/XSN
가격을	가격/NNG+을/JKO
책정하는데	책정/NNG+하/XSV+는데/EC
싼	싸/VA+ㄴ/ETM
곳이	곳/NNG+이/JKS
1000원	1000/SN+원/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
강남	강남/NNP
고급	고급/NNG
아파트는	아파트/NNG+는/JX
7000∼8000원을	7000/SN+∼/SO+8000/SN+원/NNB+을/JKO
호가한다.	호가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.215.9.3
한 대형 폐기물관리업체 B 부장은 “강남 아파트는 입찰가가 비싸도 질 좋은 헌 옷뿐 아니라 폐지도 2, 3배 많이 나와 돈벌이가 된다”며 “입주자 대표나 관리사무소 소장에게 현금과 상품권 제공에 술 접대까지 할 때도 있다”고 털어놨다.

한	한/MMN
대형	대형/NNG
폐기물관리업체	폐기물/NNG+관리/NNG+업체/NNG
B	B/SL
부장은	부장/NNG+은/JX
“강남	“/SS+강남/NNP
아파트는	아파트/NNG+는/JX
입찰가가	입찰/NNG+가/XSN+가/JKS
비싸도	비싸/VA+아도/EC
질	질/NNG
좋은	좋/VA+은/ETM
헌	헌/MMA
옷뿐	옷/NNG+뿐/JX
아니라	아니/VCN+라/EC
폐지도	폐지/NNG+도/JX
2,	2/SN+,/SP
3배	3/SN+배/NNG
많이	많이/MAG
나와	나오/VV+아/EC
돈벌이가	돈벌이/NNG+가/JKC
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“입주자	“/SS+입주자/NNG
대표나	대표/NNG+나/JC
관리사무소	관리/NNG+사무소/NNG
소장에게	소장/NNG+에게/JKB
현금과	현금/NNG+과/JC
상품권	상품/NNG+권/XSN
제공에	제공/NNG+에/JKB
술	술/NNG
접대까지	접대/NNG+까지/JX
할	하/VV+ㄹ/ETM
때도	때/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.215.10.1
이준형 민생행동연대 집행위원장은 “일부 몸집을 불린 업체들이 강남 아파트 계약을 독점하다시피 해 영세업체는 하청업체로 전락했다”며 “재활용품이 가난한 사람들의 오랜 생계수단인 만큼 정부의 보호대책이 필요하다”고 말했다.

이준형	이준형/NNP
민생행동연대	민생행동연대/NNP
집행위원장은	집행/NNG+위원장/NNG+은/JX
“일부	“/SS+일부/NNG
몸집을	몸집/NNG+을/JKO
불린	불리/VV+ㄴ/ETM
업체들이	업체/NNG+들/XSN+이/JKS
강남	강남/NNP
아파트	아파트/NNG
계약을	계약/NNG+을/JKO
독점하다시피	독점/NNG+하/XSV+다시피/EC
해	하/VX+아/EC
영세업체는	영세/NNG+업체/NNG+는/JX
하청업체로	하청/NNG+업체/NNG+로/JKB
전락했다”며	전락/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“재활용품이	“/SS+재활용품/NNG+이/JKS
가난한	가난/NNG+하/XSA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
오랜	오랜/MMA
생계수단인	생계/NNG+수단/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
정부의	정부/NNG+의/JKG
보호대책이	보호/NNG+대책/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


