# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.225
metadata : {}


# id : NWRW1800000025.225.1.1
LG, 상생지원금 7400억으로 증액

LG,	LG/SL+,/SP
LG는 주력 계열사 최고재무책임자(CFO) 협의 등을 거쳐 협력회사와 동반성장을 위한 ‘상생협력 5대 전략과제’를 확정해 다음 달부터 본격 추진한다고 12일 밝혔다.

LG는	LG/SL+는/JX
주력	주력/NNG
계열사	계열사/NNG
최고재무책임자(CFO)	최고/NNG+재무/NNG+책임자/NNG+(/SS+CFO/SL+)/SS
협의	협의/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
협력회사와	협력/NNG+회사/NNG+와/JKB
동반성장을	동반/NNG+성장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘상생협력	‘/SS+상생/NNG+협력/NNG
5대	5/SN+대/NNG
전략과제’를	전략/NNG+과제/NNG+’/SS+를/JKO
확정해	확정/NNG+하/XSV+아/EC
다음	다음/NNG
달부터	달/NNG+부터/JX
본격	본격/NNG
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.3.2
5대 전략과제는 △중장기 신사업 발굴 등 그린 파트너십 강화 △자금지원 및 결제조건 획기적 개선 △협력사 통한 장비 및 부품 소재 국산화 확대 △협력사의 장기적 자생력 확보 지원 △LG 협력회사 ‘상생고(相生鼓)’ 신설 등이다.

5대	5/SN+대/NNG
전략과제는	전략/NNG+과제/NNG+는/JX
△중장기	△/SW+중장기/NNG
신사업	신/XPN+사업/NNG
발굴	발굴/NNG
등	등/NNB
그린	그린/NNG
파트너십	파트너십/NNG
강화	강화/NNG
△자금지원	△/SW+자금/NNG+지원/NNG
및	및/MAG
결제조건	결제/NNG+조건/NNG
획기적	획기적/NNG
개선	개선/NNG
△협력사	△/SW+협력사/NNG
통한	통하/VV+ㄴ/ETM
장비	장비/NNG
부품	부품/NNG
소재	소재/NNG
국산화	국산/NNG+화/XSN
확대	확대/NNG
△협력사의	△/SW+협력사/NNG+의/JKG
장기적	장기/NNG+적/XSN
자생력	자생력/NNG
확보	확보/NNG
지원	지원/NNG
△LG	△/SW+LG/SL
협력회사	협력/NNG+회사/NNG
‘상생고(相生鼓)’	‘/SS+상생고/NNG+(/SS+相生鼓/SH+)/SS+’/SS
신설	신설/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.225.4.1
LG는 우선 태양전지, 전기자동차용 배터리, 스마트그리드 등 LG의 주력 신수종 사업에 협력회사를 참여시켜 파트너십을 강화한다.

LG는	LG/SL+는/JX
우선	우선/MAG
태양전지,	태양/NNG+전지/NNG+,/SP
전기자동차용	전기/NNG+자동차/NNG+용/XSN
배터리,	배터리/NNG+,/SP
스마트그리드	스마트/NNG+그리드/NNG
등	등/NNB
LG의	LG/SL+의/JKG
주력	주력/NNG
신수종	신/XPN+수종/NNG
사업에	사업/NNG+에/JKB
협력회사를	협력/NNG+회사/NNG+를/JKO
참여시켜	참여/NNG+시키/XSV+어/EC
파트너십을	파트너십/NNG+을/JKO
강화한다.	강화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.225.4.2
이를 위해 신사업 분야의 연구개발(R&D) 용역을 우수 중소기업에 발주하고, 중소기업이 활용할 수 있는 R&D 기금도 앞으로 5년간 1000억 원을 지원하기로 했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
신사업	신/XPN+사업/NNG
분야의	분야/NNG+의/JKG
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
용역을	용역/NNG+을/JKO
우수	우수/NNG
중소기업에	중소기업/NNG+에/JKB
발주하고,	발주/NNG+하/XSV+고/EC+,/SP
중소기업이	중소기업/NNG+이/JKS
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
R&D	R/SL+&/SW+D/SL
기금도	기금/NNG+도/JX
앞으로	앞/NNG+으로/JKB
5년간	5/SN+년/NNB+간/XSN
1000억	1000/SN+억/NR
원을	원/NNB+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.225.4.3
LG는 차세대 기술을 공동 개발할 협력회사를 올 12월에 선발할 계획이다.

LG는	LG/SL+는/JX
차세대	차세대/NNG
기술을	기술/NNG+을/JKO
공동	공동/NNG
개발할	개발/NNG+하/XSV+ㄹ/ETM
협력회사를	협력/NNG+회사/NNG+를/JKO
올	올/NNG
12월에	12/SN+월/NNB+에/JKB
선발할	선발/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.225.5.1
금융 지원 규모도 대폭 늘렸다.

금융	금융/NNG
지원	지원/NNG
규모도	규모/NNG+도/JX
대폭	대폭/MAG
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.5.2
LG가 1차 협력회사에 직접 무이자로 빌려주는 대출금을 지난해 140억 원에서 올해 700억 원 수준으로 늘렸다.

LG가	LG/SL+가/JKS
1차	1/SN+차/NNB
협력회사에	협력/NNG+회사/NNG+에/JKB
직접	직접/MAG
무이자로	무/XPN+이자/NNG+로/JKB
빌려주는	빌리/VV+어/EC+주/VX+는/ETM
대출금을	대출금/NNG+을/JKO
지난해	지난해/NNG
140억	140/SN+억/NR
원에서	원/NNB+에서/JKB
올해	올해/NNG
700억	700/SN+억/NR
원	원/NNB
수준으로	수준/NNG+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.5.3
2, 3차 협력회사도 저금리로 대출받을 수 있도록 연간 2500억 원 규모의 상생협력펀드를 9월 신설할 계획이다.

2,	2/SN+,/SP
3차	3/SN+차/NNB
협력회사도	협력/NNG+회사/NNG+도/JX
저금리로	저/XPN+금리/NNG+로/JKB
대출받을	대출/NNG+받/XSV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
연간	연간/NNG
2500억	2500/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
상생협력펀드를	상생/NNG+협력/NNG+펀드/NNG+를/JKO
9월	9/SN+월/NNB
신설할	신설/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.225.5.4
LG가 기존에 시행하던 4200억 원 규모의 펀드에 이번 추가분까지 더하면 협력회사에 대한 LG의 금융지원 규모는 연간 7400억 원으로 늘게 된다.

LG가	LG/SL+가/JKS
기존에	기존/NNG+에/JKB
시행하던	시행/NNG+하/XSV+던/ETM
4200억	4200/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
펀드에	펀드/NNG+에/JKB
이번	이번/NNG
추가분까지	추가/NNG+분/XSN+까지/JX
더하면	더/MAG+하/XSV+면/EC
협력회사에	협력/NNG+회사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
LG의	LG/SL+의/JKG
금융지원	금융/NNG+지원/NNG
규모는	규모/NNG+는/JX
연간	연간/NNG
7400억	7400/SN+억/NR
원으로	원/NNB+으로/JKB
늘게	늘/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.225.6.1
특히 대·중소기업 간 대표적 불공정 관행으로 꼽히던 대금지급 문제를 해결하기 위해 전자어음 등의 현금성 결제를 100% 현금 결제로 변경하기로 했다.

특히	특히/MAG
대·중소기업	대·중소기업/NNG
간	간/NNB
대표적	대표/NNG+적/XSN
불공정	불/XPN+공정/NNG
관행으로	관행/NNG+으로/JKB
꼽히던	꼽히/VV+던/ETM
대금지급	대금/NNG+지급/NNG
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
전자어음	전자/NNG+어음/NNG
등의	등/NNB+의/JKG
현금성	현금/NNG+성/XSN
결제를	결제/NNG+를/JKO
100%	100/SN+%/SW
현금	현금/NNG
결제로	결제/NNG+로/JKB
변경하기로	변경/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.225.6.2
LG 관계자는 “2, 3차 협력회사에 대한 1차 협력회사의 횡포를 막기 위해 1차 협력사를 평가할 때 2, 3차 협력사에 대한 결제조건도 평가요소에 포함시키기로 했다”고 덧붙였다.

LG	LG/SL
관계자는	관계자/NNG+는/JX
“2,	“/SS+2/SN+,/SP
3차	3/SN+차/NNB
협력회사에	협력/NNG+회사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
1차	1/SN+차/NNB
협력회사의	협력/NNG+회사/NNG+의/JKG
횡포를	횡포/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
협력사를	협력사/NNG+를/JKO
평가할	평가/NNG+하/XSV+ㄹ/ETM
때	때/NNG
2,	2/SN+,/SP
협력사에	협력사/NNG+에/JKB
결제조건도	결제/NNG+조건/NNG+도/JX
평가요소에	평가/NNG+요소/NNG+에/JKB
포함시키기로	포함/NNG+시키/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.7.1
또 협력회사와 공동 기술개발을 통해 부품 소재의 국산화도 추진하기로 했다.

또	또/MAG
협력회사와	협력/NNG+회사/NNG+와/JC
공동	공동/NNG
기술개발을	기술/NNG+개발/NNG+을/JKO
통해	통하/VV+아/EC
부품	부품/NNG
소재의	소재/NNG+의/JKG
국산화도	국산/NNG+화/XSN+도/JX
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.225.7.2
LG디스플레이는 다음 생산라인을 건설할 때 액정표시장치(LCD) 생산라인 장비의 국산화 비율을 현재 60%에서 80%로 확대한다는 계획을 세웠다.

LG디스플레이는	LG디스플레이/NNP+는/JX
다음	다음/NNG
생산라인을	생산/NNG+라인/NNG+을/JKO
건설할	건설/NNG+하/XSV+ㄹ/ETM
때	때/NNG
액정표시장치(LCD)	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS
생산라인	생산/NNG+라인/NNG
장비의	장비/NNG+의/JKG
국산화	국산/NNG+화/XSN
비율을	비율/NNG+을/JKO
현재	현재/MAG
60%에서	60/SN+%/SW+에서/JKB
80%로	80/SN+%/SW+로/JKB
확대한다는	확대/NNG+하/XSV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.8.1
이와 함께 협력회사가 자생력을 확보하도록 역량 강화를 위한 지원과 함께 협력회사의 고충 및 요청사항을 상시 모니터링하기 위한 온라인 전용 창구인 ‘상생고’를 마련해 불공정한 하도급 문제를 개선한다는 방침이다.

이와	이/NP+와/JKB
함께	함께/MAG
협력회사가	협력/NNG+회사/NNG+가/JKS
자생력을	자생력/NNG+을/JKO
확보하도록	확보/NNG+하/XSV+도록/EC
역량	역량/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
지원과	지원/NNG+과/JKB
협력회사의	협력/NNG+회사/NNG+의/JKG
고충	고충/NNG
및	및/MAG
요청사항을	요청/NNG+사항/NNG+을/JKO
상시	상시/NNG
모니터링하기	모니터링/NNG+하/XSV+기/ETN
온라인	온라인/NNG
전용	전용/NNG
창구인	창구/NNG+이/VCP+ㄴ/ETM
‘상생고’를	‘/SS+상생고/NNG+’/SS+를/JKO
마련해	마련/NNG+하/XSV+아/EC
불공정한	불/XPN+공정/NNG+하/XSA+ㄴ/ETM
하도급	하도급/NNG
문제를	문제/NNG+를/JKO
개선한다는	개선/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.225.9.1
■ 포스코도 상생협력 전담조직 구성… 성과 공유-현금결제 확대 등 협약 추진… 상생 프로그램 2∼4차 협력사도 적용

■	■/SW
포스코도	포스코/NNP+도/JX
상생협력	상생/NNG+협력/NNG
전담조직	전담/NNG+조직/NNG
구성…	구성/NNG+…/SE
성과	성과/NNG
공유-현금결제	공유/NNG+-/SO+현금/NNG+결제/NNG
확대	확대/NNG
등	등/NNB
협약	협약/NNG
추진…	추진/NNG+…/SE
상생	상생/NNG
프로그램	프로그램/NNG
2∼4차	2/SN+∼/SO+4/SN+차/NNB
협력사도	협력사/NNG+도/JX
적용	적용/NNG


# id : NWRW1800000025.225.10.1
포스코는 18일 서울 강남구 대치동 포스코센터에서 ‘포스코 패밀리 상생협력 및 공정거래 협약식’을 열고 ‘베네핏 셰어링(성과공유제)’ 및 현금결제 확대를 주 내용으로 하는 대·중소기업 상생방안을 발표할 예정이라고 12일 밝혔다.

포스코는	포스코/NNP+는/JX
18일	18/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
대치동	대치동/NNP
포스코센터에서	포스코센터/NNP+에서/JKB
‘포스코	‘/SS+포스코/NNP
패밀리	패밀리/NNG
상생협력	상생/NNG+협력/NNG
및	및/MAG
공정거래	공정/NNG+거래/NNG
협약식’을	협약식/NNG+’/SS+을/JKO
열고	열/VV+고/EC
‘베네핏	‘/SS+베네핏/NNG
셰어링(성과공유제)’	셰어링/NNG+(/SS+성과/NNG+공유/NNG+제/XSN+)/SS+’/SS
현금결제	현금/NNG+결제/NNG
확대를	확대/NNG+를/JKO
주	주/MMA
내용으로	내용/NNG+으로/JKB
하는	하/VV+는/ETM
대·중소기업	대·중소기업/NNG
상생방안을	상생/NNG+방안/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.10.2
그동안 1차 협력업체들을 대상으로 시행하던 각종 상생협력 프로그램을 2∼4차 협력업체에도 적용하겠다는 것.

그동안	그동안/NNG
1차	1/SN+차/NNB
협력업체들을	협력/NNG+업체/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
시행하던	시행/NNG+하/XSV+던/ETM
각종	각종/NNG
상생협력	상생/NNG+협력/NNG
프로그램을	프로그램/NNG+을/JKO
2∼4차	2/SN+∼/SO+4/SN+차/NNB
협력업체에도	협력/NNG+업체/NNG+에/JKB+도/JX
적용하겠다는	적용/NNG+하/XSV+겠/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.225.11.1
또 포스코는 그룹사의 상생협력과 공정거래 활동을 점검하고 독려하기 위해 12일 구매·외주·판매 등 관련 부서 임원과 계열사 구매담당 임원 등 39명이 참여하는 전담 조직을 새로 만들었다.

또	또/MAG
포스코는	포스코/NNP+는/JX
그룹사의	그룹사/NNG+의/JKG
상생협력과	상생/NNG+협력/NNG+과/JC
공정거래	공정/NNG+거래/NNG
활동을	활동/NNG+을/JKO
점검하고	점검/NNG+하/XSV+고/EC
독려하기	독려/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
12일	12/SN+일/NNB
구매·외주·판매	구매/NNG+·/SP+외주/NNG+·/SP+판매/NNG
등	등/NNB
관련	관련/NNG
부서	부서/NNG
임원과	임원/NNG+과/JC
계열사	계열사/NNG
구매담당	구매/NNG+담당/NNG
임원	임원/NNG
39명이	39/SN+명/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
전담	전담/NNG
조직을	조직/NNG+을/JKO
새로	새로/MAG
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.11.2
포스코 측은 “중소기업 관련 업무 프로세스와 지침, 거래 약관을 지속적으로 살펴 상생협력 활동이 2∼4차 협력업체로까지 파급되도록 모니터링하고 지원할 예정”이라고 설명했다.

포스코	포스코/NNP
측은	측/NNB+은/JX
“중소기업	“/SS+중소기업/NNG
관련	관련/NNG
업무	업무/NNG
프로세스와	프로세스/NNG+와/JKB
지침,	지침/NNG+,/SP
거래	거래/NNG
약관을	약관/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
살펴	살피/VV+어/EC
상생협력	상생/NNG+협력/NNG
활동이	활동/NNG+이/JKS
2∼4차	2/SN+∼/SO+4/SN+차/NNB
협력업체로까지	협력/NNG+업체/NNG+로/JKB+까지/JX
파급되도록	파급/NNG+되/XSV+도록/EC
모니터링하고	모니터링/NNG+하/XSV+고/EC
지원할	지원/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


