# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.244
metadata : {}


# id : NWRW1800000022.244.1.1
"우린 로열티 챙기는 强小기업";"R&D, 연구인력 확보 올인" 세계적인 기술력과 차별화된 틈새 품목 무기로 글로벌 기업서 로열티 받아

"우린	"/SS+우리/NP+ㄴ/JX
지난해	지난해/NNG
매출(238억원)	매출/NNG+(/SS+238/SN+억/NR+원/NNB+)/SS
가운데	가운데/NNG
20%	20/SN+%/SW
정도는	정도/NNG+는/JX
삼성전자·LG전자·모토로라	삼성전자/NNP+·/SP+LG전자/NNP+·/SP+모토로라/NNP
등으로부터	등/NNB+으로부터/JKB
받은	받/VV+은/ETM
로열티	로열티/NNG
수입이다.	수입/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.244.2.3
올 하반기에는 일본 교세라에 로열티를 받고 관련 기술을 공급할 예정이다.

올	올/NNG
하반기에는	하반기/NNG+에/JKB+는/JX
일본	일본/NNP
교세라에	교세라/NNP+에/JKB
로열티를	로열티/NNG+를/JKO
받고	받/VV+고/EC
관련	관련/NNG
기술을	기술/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.244.2.4
인프라웨어의 올해 로열티 수입은 작년보다 50% 이상 늘 전망이다.

인프라웨어의	인프라웨어/NNP+의/JKG
올해	올해/NNG
로열티	로열티/NNG
수입은	수입/NNG+은/JX
작년보다	작년/NNG+보다/JKB
50%	50/SN+%/SW
이상	이상/NNG
늘	늘/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.244.2.5
강관희 사장은 "1997년 설립 후 한 분야에 집중해 기술을 축적한 결과"라며 "IPTV 같은 새 영역에서도 좋은 성과가 나올 것"이라고 말했다.

강관희	강관희/NNP
사장은	사장/NNG+은/JX
"1997년	"/SS+1997/SN+년/NNB
설립	설립/NNG
후	후/NNG
한	한/MMN
분야에	분야/NNG+에/JKB
집중해	집중/NNG+하/XSV+아/EC
기술을	기술/NNG+을/JKO
축적한	축적/NNG+하/XSV+ㄴ/ETM
결과"라며	결과/NNG+"/SS+이/VCP+라며/EC
"IPTV	"/SS+IPTV/SL
같은	같/VA+은/ETM
새	새/MMA
영역에서도	영역/NNG+에서/JKB+도/JX
좋은	좋/VA+은/ETM
성과가	성과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.3.1
◆노키아·퀄컴 등 글로벌 회사로부터 로열티

◆노키아·퀄컴	◆/SW+노키아/NNP+·/SP+퀄컴/NNP
등	등/NNB
글로벌	글로벌/NNG
회사로부터	회사/NNG+로부터/JKB
로열티	로열티/NNG


# id : NWRW1800000022.244.4.1
세계적인 기술력과 차별화된 틈새 품목을 무기로 글로벌 기업들로부터 로열티 수입을 챙기는 알짜 중소기업들이 늘고 있다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
기술력과	기술력/NNG+과/JC
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
틈새	틈새/NNG
품목을	품목/NNG+을/JKO
무기로	무기/NNG+로/JKB
글로벌	글로벌/NNG
기업들로부터	기업/NNG+들/XSN+로부터/JKB
로열티	로열티/NNG
수입을	수입/NNG+을/JKO
챙기는	챙기/VV+는/ETM
알짜	알짜/NNG
중소기업들이	중소기업/NNG+들/XSN+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.244.4.2
우리나라 전체적으로는 특허기술 등 지적재산권 사용료로 해외에 지불하는 돈이 벌어들이는 것보다 더 많다.

우리나라	우리나라/NNG
전체적으로는	전체/NNG+적/XSN+으로/JKB+는/JX
특허기술	특허/NNG+기술/NNG
등	등/NNB
지적재산권	지/NNG+적/XSN+재산/NNG+권/XSN
사용료로	사용료/NNG+로/JKB
해외에	해외/NNG+에/JKB
지불하는	지불/NNG+하/XSV+는/ETM
돈이	돈/NNG+이/JKS
벌어들이는	벌어들이/VV+는/ETM
것보다	것/NNB+보다/JKB
더	더/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.244.4.3
하지만 로열티 수입 증가 속도가 빨라지고 있는 것은 탄탄한 기술력을 갖춘 중소기업들의 공헌이 크다고 전문가들은 말한다.

하지만	하지만/MAJ
로열티	로열티/NNG
수입	수입/NNG
증가	증가/NNG
속도가	속도/NNG+가/JKS
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
탄탄한	탄탄하/VA+ㄴ/ETM
기술력을	기술력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
중소기업들의	중소기업/NNG+들/XSN+의/JKG
공헌이	공헌/NNG+이/JKS
크다고	크/VA+다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.244.5.1
휴대전화용 그래픽 소프트웨어 기업인 네오엠텔은 미국의 세계적인 휴대전화 칩 제조업체 퀄컴으로부터 로열티를 받는 케이스이다.

휴대전화용	휴대/NNG+전화/NNG+용/XSN
그래픽	그래픽/NNG
소프트웨어	소프트웨어/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
네오엠텔은	네오엠텔/NNP+은/JX
미국의	미국/NNP+의/JKG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
휴대전화	휴대/NNG+전화/NNG
칩	칩/NNG
제조업체	제조업체/NNG
퀄컴으로부터	퀄컴/NNP+으로부터/JKB
로열티를	로열티/NNG+를/JKO
받는	받/VV+는/ETM
케이스이다.	케이스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.244.5.2
2003년부터 퀄컴에서 받은 로열티만 130억원.

2003년부터	2003/SN+년/NNB+부터/JX
퀄컴에서	퀄컴/NNP+에서/JKB
받은	받/VV+은/ETM
로열티만	로열티/NNG+만/JX
130억원.	130/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.244.5.3
네오엠텔은 1999년 휴대전화용 애니메이션 그래픽 기술을 세계 최초로 개발했다.

네오엠텔은	네오엠텔/NNP+은/JX
1999년	1999/SN+년/NNB
휴대전화용	휴대/NNG+전화/NNG+용/XSN
애니메이션	애니메이션/NNG
그래픽	그래픽/NNG
기술을	기술/NNG+을/JKO
세계	세계/NNG
최초로	최초/NNG+로/JKB
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.5.4
태국 이동통신회사 허치슨 등 10여곳의 글로벌 기업으로부터 벌어들이는 로열티는 이 회사 전체 매출의 70~80%에 달한다.

태국	태국/NNP
이동통신회사	이동/NNG+통신/NNG+회사/NNG
허치슨	허치슨/NNP
등	등/NNB
10여곳의	10/SN+여/XSN+곳/NNG+의/JKG
글로벌	글로벌/NNG
기업으로부터	기업/NNG+으로부터/JKB
벌어들이는	벌어들이/VV+는/ETM
로열티는	로열티/NNG+는/JX
이	이/MMD
회사	회사/NNG
전체	전체/NNG
매출의	매출/NNG+의/JKG
70~80%에	70/SN+~/SO+80/SN+%/SW+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.244.6.1
반도체·LCD 주요 부품 업체 에스앤에스텍은 올 5월 일본 웨이퍼(반도체의 원료가 되는 실리콘 덩어리를 얇게 잘라낸 원판) 회사와 2건의 특허 기술에 대해 로열티를 받고 사용권을 주는 내용의 계약을 맺었다.

반도체·LCD	반도체/NNG+·/SP+LCD/SL
주요	주요/NNG
부품	부품/NNG
업체	업체/NNG
에스앤에스텍은	에스앤에스텍/NNP+은/JX
올	올/NNG
5월	5/SN+월/NNB
일본	일본/NNP
웨이퍼(반도체의	웨이퍼/NNG+(/SS+반도체/NNG+의/JKG
원료가	원료/NNG+가/JKC
되는	되/VV+는/ETM
실리콘	실리콘/NNG
덩어리를	덩어리/NNG+를/JKO
얇게	얇/VA+게/EC
잘라낸	자르/VV+아/EC+내/VX+ㄴ/ETM
원판)	원판/NNG+)/SS
회사와	회사/NNG+와/JKB
2건의	2/SN+건/NNB+의/JKG
특허	특허/NNG
기술에	기술/NNG+에/JKB
대해	대하/VV+아/EC
로열티를	로열티/NNG+를/JKO
받고	받/VV+고/EC
사용권을	사용/NNG+권/XSN+을/JKO
주는	주/VV+는/ETM
내용의	내용/NNG+의/JKG
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.244.6.2
반도체나 TFT-LCD 패널에 회로 모양을 새겨 넣기 위해 쓰는 '포토 마스크'라는 부품과 이를 만드는 원재료인 '블랭크 마스크' 관련 기술로, 일본 회사들의 독무대였던 분야에서다.

반도체나	반도체/NNG+나/JC
TFT-LCD	TFT/SL+-/SO+LCD/SL
패널에	패널/NNG+에/JKB
회로	회로/NNG
모양을	모양/NNG+을/JKO
새겨	새기/VV+어/EC
넣기	넣/VV+기/ETN
위해	위하/VV+아/EC
쓰는	쓰/VV+는/ETM
'포토	'/SS+포토/NNG
마스크'라는	마스크/NNG+'/SS+이/VCP+라는/ETM
부품과	부품/NNG+과/JC
이를	이/NP+를/JKO
만드는	만들/VV+는/ETM
원재료인	원재료/NNG+이/VCP+ㄴ/ETM
'블랭크	'/SS+블랭크/NNG
마스크'	마스크/NNG+'/SS
관련	관련/NNG
기술로,	기술/NNG+로/JKB+,/SP
일본	일본/NNP
회사들의	회사/NNG+들/XSN+의/JKG
독무대였던	독무대/NNG+이/VCP+었/EP+던/ETM
분야에서다.	분야/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000022.244.6.3
회사 관계자는 "계약조건상 정확한 로열티 규모를 공개할 수는 없지만 일본 회사가 올리는 매출의 일정 금액을 받기 때문에 시장 상황에 따라 로열티 수입이 늘어난다"고 말했다.

회사	회사/NNG
관계자는	관계자/NNG+는/JX
"계약조건상	"/SS+계약/NNG+조건/NNG+상/XSN
정확한	정확/NNG+하/XSA+ㄴ/ETM
로열티	로열티/NNG
규모를	규모/NNG+를/JKO
공개할	공개/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
일본	일본/NNP
회사가	회사/NNG+가/JKS
올리는	올리/VV+는/ETM
매출의	매출/NNG+의/JKG
일정	일정/NNG
금액을	금액/NNG+을/JKO
받기	받/VV+기/ETN
때문에	때문/NNB+에/JKB
시장	시장/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
수입이	수입/NNG+이/JKS
늘어난다"고	늘어나/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.6.4
이 회사는 올해 매출을 작년보다 50억원 정도 늘어난 380억원으로 예상하고 있다.

이	이/MMD
회사는	회사/NNG+는/JX
올해	올해/NNG
매출을	매출/NNG+을/JKO
작년보다	작년/NNG+보다/JKB
50억원	50/SN+억/NR+원/NNB
정도	정도/NNG
늘어난	늘어나/VV+ㄴ/ETM
380억원으로	380/SN+억/NR+원/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.244.7.1
'히든 챔피언'의 저자인 헤르만 지몬 박사는 글로벌 강소기업의 성공 비결로 '집중'과 '세계화'를 꼽았다.

'히든	'/SS+히든/NNG
챔피언'의	챔피언/NNG+'/SS+의/JKG
저자인	저자/NNG+이/VCP+ㄴ/ETM
헤르만	헤르만/NNP
지몬	지몬/NNP
박사는	박사/NNG+는/JX
글로벌	글로벌/NNG
강소기업의	강소기업/NNG+의/JKG
성공	성공/NNG
비결로	비결/NNG+로/JKB
'집중'과	'/SS+집중/NNG+'/SS+과/JC
'세계화'를	'/SS+세계/NNG+화/XSN+'/SS+를/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.7.2
자신들이 가장 잘할 수 있는 일에 온 힘을 쏟으면서 과감하게 해외로 진출한다는 것이다.

자신들이	자신/NNG+들/XSN+이/JKS
가장	가장/MAG
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일에	일/NNG+에/JKB
온	온/MMN
힘을	힘/NNG+을/JKO
쏟으면서	쏟/VV+으면서/EC
과감하게	과감하/VA+게/EC
해외로	해외/NNG+로/JKB
진출한다는	진출/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.244.8.1
◆R&D 투자 많고 연구 인력 비중 높아

◆R&D	◆/SW+R/SL+&/SW+D/SL
투자	투자/NNG
많고	많/VA+고/EC
연구	연구/NNG
인력	인력/NNG
비중	비중/NNG
높아	높/VA+아/EF


# id : NWRW1800000022.244.9.1
해외 로열티를 받는 중소기업은 IT 분야 외에도 많다.

해외	해외/NNG
로열티를	로열티/NNG+를/JKO
받는	받/VV+는/ETM
중소기업은	중소기업/NNG+은/JX
IT	IT/SL
분야	분야/NNG
외에도	외/NNB+에/JKB+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.244.9.2
상업용 인쇄 및 산업용 필름 전문 업체 한진피앤씨는 지난달 일본 포장재 업체 다이나팩과 특허 기술 수출 계약을 체결했다.

상업용	상업/NNG+용/XSN
인쇄	인쇄/NNG
및	및/MAG
산업용	산업/NNG+용/XSN
필름	필름/NNG
전문	전문/NNG
업체	업체/NNG
한진피앤씨는	한진피앤씨/NNP+는/JX
지난달	지난달/NNG
일본	일본/NNP
포장재	포장재/NNG
다이나팩과	다이나팩/NNP+과/JKB
특허	특허/NNG
기술	기술/NNG
수출	수출/NNG
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.9.3
한진피앤씨가 수출하기로 한 '백타입 케이스'는 쇼핑백과 포장 상자를 하나로 합친 것으로, 세계 20여개국에 특허를 출원했다.

한진피앤씨가	한진피앤씨/NNP+가/JKS
수출하기로	수출/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
'백타입	'/SS+백타입/NNG
케이스'는	케이스/NNG+'/SS+는/JX
쇼핑백과	쇼핑백/NNG+과/JC
포장	포장/NNG
상자를	상자/NNG+를/JKO
하나로	하나/NR+로/JKB
합친	합치/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
세계	세계/NNG
20여개국에	20/SN+여/XSN+개국/NNB+에/JKB
특허를	특허/NNG+를/JKO
출원했다.	출원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.10.1
한진피앤씨는 이번 계약으로 다이나팩 매출의 5%를 로열티로 받기로 했다.

한진피앤씨는	한진피앤씨/NNP+는/JX
이번	이번/NNG
계약으로	계약/NNG+으로/JKB
다이나팩	다이나팩/NNP
매출의	매출/NNG+의/JKG
5%를	5/SN+%/SW+를/JKO
로열티로	로열티/NNG+로/JKB
받기로	받/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.10.2
윤주호 이사는 "올해는 로열티 수입이 6억원 정도로 예상되지만 내년부터는 판매 추이에 따라 로열티가 더 늘어날 것"이라고 말했다.

윤주호	윤주호/NNP
이사는	이사/NNG+는/JX
"올해는	"/SS+올해/NNG+는/JX
로열티	로열티/NNG
수입이	수입/NNG+이/JKS
6억원	6/SN+억/NR+원/NNB
정도로	정도/NNG+로/JKB
예상되지만	예상/NNG+되/XSV+지만/EC
내년부터는	내년/NNG+부터/JX+는/JX
판매	판매/NNG
추이에	추이/NNG+에/JKB
따라	따르/VV+아/EC
로열티가	로열티/NNG+가/JKS
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.11.1
이들 회사의 공통점은 R&D(연구·개발) 투자가 일반 중소기업보다 압도적으로 많고 연구 인력 비중이 높다는 것.

이들	이/NP+들/XSN
회사의	회사/NNG+의/JKG
공통점은	공통점/NNG+은/JX
R&D(연구·개발)	R/SL+&/SW+D/SL+(/SS+연구/NNG+·/SP+개발/NNG+)/SS
투자가	투자/NNG+가/JKS
일반	일반/NNG
중소기업보다	중소기업/NNG+보다/JKB
압도적으로	압도/NNG+적/XSN+으로/JKB
많고	많/VA+고/EC
연구	연구/NNG
인력	인력/NNG
비중이	비중/NNG+이/JKS
높다는	높/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.244.12.1
중소기업연구원 홍순영 부원장은 "독일·일본처럼 기술력이 뛰어난 작지만 강한 기업이 많이 나오려면 우수한 인재들이 중소 기업에 많이 갈 수 있도록 정부 차원의 다각적인 정책적 노력이 필요하다"고 말했다.

중소기업연구원	중소기업/NNG+연구원/NNG
홍순영	홍순영/NNP
부원장은	부원장/NNG+은/JX
"독일·일본처럼	"/SS+독일/NNP+·/SP+일본/NNP+처럼/JKB
기술력이	기술력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
작지만	작/VA+지만/EC
강한	강하/VA+ㄴ/ETM
기업이	기업/NNG+이/JKS
많이	많이/MAG
나오려면	나오/VV+려면/EC
우수한	우수/NNG+하/XSA+ㄴ/ETM
인재들이	인재/NNG+들/XSN+이/JKS
중소	중소/NNG
기업에	기업/NNG+에/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
정부	정부/NNG
차원의	차원/NNG+의/JKG
다각적인	다각/NNG+적/XSN+이/VCP+ㄴ/ETM
정책적	정책/NNG+적/XSN
노력이	노력/NNG+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.244.13.1
독일이 세계 최고의 수출 대국이 된 것은 세계 시장 점유율만 60~80%에 달하는 중소기업이 1000여개 정도 왕성하게 활동하고 있기 때문이다.

독일이	독일/NNP+이/JKS
세계	세계/NNG
최고의	최고/NNG+의/JKG
수출	수출/NNG
대국이	대국/NNG+이/JKC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
시장	시장/NNG
점유율만	점유/NNG+율/XSN+만/JX
60~80%에	60/SN+~/SO+80/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
중소기업이	중소기업/NNG+이/JKS
1000여개	1000/SN+여/XSN+개/NNB
정도	정도/NNG
왕성하게	왕성/NNG+하/XSA+게/EC
활동하고	활동/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


