# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.235
metadata : {}


# id : NWRW1800000041.235.1.1
[소치]눈여겨봅시다, 봅슬레이 크는 모습

[소치]눈여겨봅시다,	[/SS+소치/NNP+]/SS+눈여겨보/VV+ㅂ시다/EF+,/SP
차지하며	차지/NNG+하/XSV+며/EC
20위	20/SN+위/NNB
이내에	이내/NNG+에/JKB
주어진	주어지/VV+ㄴ/ETM
4차	4/SN+차/NNB
레이스	레이스/NNG
진출	진출/NNG
티켓을	티켓/NNG+을/JKO
따냈던	따내/VV+었/EP+던/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
한국에는	한국/NNP+에/JKB+는/JX
새로운	새롭/VA+ㄴ/ETM
역사였다.	역사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.235.3.8
4차 레이스에 오른 아시아 국가는 한국이 유일했다.

4차	4/SN+차/NNB
레이스에	레이스/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
아시아	아시아/NNP
국가는	국가/NNG+는/JX
한국이	한국/NNP+이/JKS
유일했다.	유일/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000041.235.4.1
원윤종, 서영우와 함께 이 종목에 나선 김동현(27)과 전정린(25·이상 강원도청)은 3차 레이스까지 2분53초27로 25위에 머물렀다.

원윤종,	원윤종/NNP+,/SP
서영우와	서영우/NNP+와/JKB
함께	함께/MAG
이	이/MMD
종목에	종목/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
김동현(27)과	김동현/NNP+(/SS+27/SN+)/SS+과/JC
전정린(25·이상	전정린/NNP+(/SS+25/SN+·/SP+이상/NNG
강원도청)은	강원도청/NNP+)/SS+은/JX
3차	3/SN+차/NNB
레이스까지	레이스/NNG+까지/JX
2분53초27로	2/SN+분/NNB+53/SN+초/NNB+27/SN+로/JKB
25위에	25/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.235.4.2
한국은 올림픽 무대를 처음 밟은 2010년 밴쿠버 올림픽 때는 4인승 봅슬레이에만 출전해 19위를 기록했다.

한국은	한국/NNP+은/JX
올림픽	올림픽/NNG
무대를	무대/NNG+를/JKO
처음	처음/NNG
밟은	밟/VV+은/ETM
2010년	2010/SN+년/NNB
밴쿠버	밴쿠버/NNP
때는	때/NNG+는/JX
4인승	4인승/NNG
봅슬레이에만	봅슬레이/NNG+에/JKB+만/JX
출전해	출전/NNG+하/XSV+아/EC
19위를	19/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.235.4.3
비록 세부 종목은 달라도 역대 최고 성적을 거둔 것이다.

비록	비록/MAG
세부	세부/NNG
종목은	종목/NNG+은/JX
달라도	다르/VA+아도/EC
역대	역대/NNG
최고	최고/NNG
성적을	성적/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.235.4.4
척박하기만 했던 국내 썰매는 4년 사이에 2개 조가 이 종목에 도전할 만큼 가파른 상승세를 탔다.

척박하기만	척박하/VA+기/ETN+만/JX
했던	하/VX+았/EP+던/ETM
국내	국내/NNG
썰매는	썰매/NNG+는/JX
4년	4/SN+년/NNB
사이에	사이/NNG+에/JKB
2개	2/SN+개/NNB
조가	조/NNG+가/JKS
이	이/MMD
종목에	종목/NNG+에/JKB
도전할	도전/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
가파른	가파르/VA+ㄴ/ETM
상승세를	상승세/NNG+를/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.235.4.5
원윤종은 “당초 15위 이내 진입을 목표로 삼았는데 아쉽다. 새로운 자신감을 얻었기에 다시 시작하겠다”고 말했다.

원윤종은	원윤종/NNP+은/JX
“당초	“/SS+당초/NNG
15위	15/SN+위/NNB
이내	이내/MAG
진입을	진입/NNG+을/JKO
목표로	목표/NNG+로/JKB
삼았는데	삼/VV+았/EP+는데/EC
아쉽다.	아쉽/VA+다/EF+./SF
새로운	새롭/VA+ㄴ/ETM
자신감을	자신감/NNG+을/JKO
얻었기에	얻/VV+었/EP+기에/EC
다시	다시/MAG
시작하겠다”고	시작/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.235.5.1
한국 썰매는 한때 훈련장도 없어 일본에서 선발전을 치르거나 달리기로 대표 선발을 하기도 했다.

한국	한국/NNP
썰매는	썰매/NNG+는/JX
한때	한때/MAG
훈련장도	훈련장/NNG+도/JX
없어	없/VA+어/EC
일본에서	일본/NNP+에서/JKB
선발전을	선발전/NNG+을/JKO
치르거나	치르/VV+거나/EC
달리기로	달리기/NNG+로/JKB
대표	대표/NNG
선발을	선발/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.235.5.2
해외 토픽에 나올 만한 열악한 현실이었다.

해외	해외/NNG
토픽에	토픽/NNG+에/JKB
나올	나오/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
열악한	열악하/VA+ㄴ/ETM
현실이었다.	현실/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.235.5.3
2010년 국내에 스타트 연습장이 생기면서 체계적인 훈련으로 썰매에서 가장 중요한 출발 자세 교정과 분석 등이 가능해졌다.

2010년	2010/SN+년/NNB
국내에	국내/NNG+에/JKB
스타트	스타트/NNG
연습장이	연습장/NNG+이/JKS
생기면서	생기/VV+면서/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
훈련으로	훈련/NNG+으로/JKB
썰매에서	썰매/NNG+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
출발	출발/NNG
자세	자세/NNG
교정과	교정/NNG+과/JC
분석	분석/NNG
등이	등/NNB+이/JKS
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.235.6.1
소치에서 거둔 성과를 통해 한국 봅슬레이는 4년 뒤 평창 겨울올림픽에 대한 희망을 밝혔다.

소치에서	소치/NNP+에서/JKB
거둔	거두/VV+ㄴ/ETM
성과를	성과/NNG+를/JKO
통해	통하/VV+아/EC
한국	한국/NNP
봅슬레이는	봅슬레이/NNG+는/JX
4년	4/SN+년/NNB
뒤	뒤/NNG
평창	평창/NNP
겨울올림픽에	겨울/NNG+올림픽/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
희망을	희망/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.235.6.2
한국 봅슬레이 대표선수 4명의 평균 연령은 26세로 경험을 쌓는다면 얼마든지 성장할 수 있다.

한국	한국/NNP
봅슬레이	봅슬레이/NNG
대표선수	대표/NNG+선수/NNG
4명의	4/SN+명/NNB+의/JKG
평균	평균/NNG
연령은	연령/NNG+은/JX
26세로	26/SN+세/NNB+로/JKB
경험을	경험/NNG+을/JKO
쌓는다면	쌓/VV+는다면/EC
얼마든지	얼마/NNG+든지/JX
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.235.6.3
이 종목에서 러시아가 금메달을 딴 데는 홈 이점으로 코스 사정에 밝았던 대목도 큰 영향을 끼쳤다.

이	이/MMD
종목에서	종목/NNG+에서/JKB
러시아가	러시아/NNP+가/JKS
금메달을	금메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
데는	데/NNB+는/JX
홈	홈/NNG
이점으로	이점/NNG+으로/JKB
코스	코스/NNG
사정에	사정/NNG+에/JKB
밝았던	밝/VA+았/EP+던/ETM
대목도	대목/NNG+도/JX
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼쳤다.	끼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.235.6.4
평창 썰매 종목 경기장의 조기 완공이 시급한 이유이기도 하다.

평창	평창/NNP
썰매	썰매/NNG
종목	종목/NNG
경기장의	경기장/NNG+의/JKG
조기	조기/NNG
완공이	완공/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
이유이기도	이유/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000041.235.6.5
한국 썰매의 대부인 강광배 국제봅슬레이스켈레톤연맹 부회장은 “모두가 불가능이라고 하던 한국 봅슬레이가 이제 한 단계 더 올라선 것 같다”고 감격스러워했다.

한국	한국/NNP
썰매의	썰매/NNG+의/JKG
대부인	대부/NNG+이/VCP+ㄴ/ETM
강광배	강광배/NNP
국제봅슬레이스켈레톤연맹	국제봅슬레이스켈레톤연맹/NNP
부회장은	부회장/NNG+은/JX
“모두가	“/SS+모두/NNG+가/JKS
불가능이라고	불/XPN+가능/NNG+이/VCP+라고/EC
하던	하/VV+던/ETM
봅슬레이가	봅슬레이/NNG+가/JKS
이제	이제/MAG
한	한/MMN
단계	단계/NNG
더	더/MAG
올라선	올라서/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
감격스러워했다.	감격/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.235.6.6
봅슬레이의 최고 시속은 150km.

봅슬레이의	봅슬레이/NNG+의/JKG
최고	최고/NNG
시속은	시속/NNG+은/JX
150km.	150/SN+km/SW+./SF


# id : NWRW1800000041.235.6.7
평창을 향하는 한국 봅슬레이는 벌써부터 그 이상의 고속 질주를 꿈꾸고 있다.

평창을	평창/NNP+을/JKO
향하는	향하/VV+는/ETM
한국	한국/NNP
봅슬레이는	봅슬레이/NNG+는/JX
벌써부터	벌써/MAG+부터/JX
그	그/MMD
이상의	이상/NNG+의/JKG
고속	고속/NNG
질주를	질주/NNG+를/JKO
꿈꾸고	꿈꾸/VV+고/EC
있다.	있/VX+다/EF+./SF


