# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.151
metadata : {}


# id : NWRW1800000037.151.1.1
정조가 경모궁을 세운 뜻은…

정조가	정조/NNP+가/JKS
의식을	의식/NNG+을/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
‘경모궁의궤’가	‘/SS+경모궁의궤/NNP+’/SS+가/JKS
발간됐다.	발간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.151.5.1
조선왕조의궤 번역 사업을 하는 한국고전번역원은 최근 ‘경모궁의궤’(사진)를 우리말로 처음 번역 출간했다.

조선왕조의궤	조선왕조의궤/NNP
번역	번역/NNG
사업을	사업/NNG+을/JKO
하는	하/VV+는/ETM
한국고전번역원은	한국고전번역원/NNP+은/JX
최근	최근/MAG
‘경모궁의궤’(사진)를	‘/SS+경모궁의궤/NNP+’/SS+(/SS+사진/NNG+)/SS+를/JKO
우리말로	우리말/NNG+로/JKB
처음	처음/NNG
출간했다.	출간/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.151.5.2
의궤에는 경모궁 개축에 따라 조성된 건물 악기 제기의 그림과 설명, 경모궁에서 행하는 제사에 대한 규정, 사도세자의 출생부터 세자 책봉, 입학, 가례, 대리청정의 과정, 경모궁의 각종 제도와 운영 상황이 기록돼 있다.

의궤에는	의궤/NNG+에/JKB+는/JX
경모궁	경모궁/NNP
개축에	개축/NNG+에/JKB
따라	따르/VV+아/EC
조성된	조성/NNG+되/XSV+ㄴ/ETM
건물	건물/NNG
악기	악기/NNG
제기의	제기/NNG+의/JKG
그림과	그림/NNG+과/JC
설명,	설명/NNG+,/SP
경모궁에서	경모궁/NNP+에서/JKB
행하는	행하/VV+는/ETM
제사에	제사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규정,	규정/NNG+,/SP
사도세자의	사도/NNP+세자/NNG+의/JKG
출생부터	출생/NNG+부터/JX
세자	세자/NNG
책봉,	책봉/NNG+,/SP
입학,	입학/NNG+,/SP
가례,	가례/NNG+,/SP
대리청정의	대리청정/NNG+의/JKG
과정,	과정/NNG+,/SP
경모궁의	경모궁/NNP+의/JKG
각종	각종/NNG
제도와	제도/NNG+와/JC
운영	운영/NNG
상황이	상황/NNG+이/JKS
기록돼	기록/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.151.5.3
이를 통해 생부의 복권을 통해 왕통의 권위를 높이려 했던 정조의 의지와 조선시대 왕실 의례를 구체적으로 살필 수 있다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
생부의	생부/NNG+의/JKG
복권을	복권/NNG+을/JKO
왕통의	왕통/NNG+의/JKG
권위를	권위/NNG+를/JKO
높이려	높이/VV+려/EC
했던	하/VX+았/EP+던/ETM
정조의	정조/NNP+의/JKG
의지와	의지/NNG+와/JC
조선시대	조선시대/NNG
왕실	왕실/NNG
의례를	의례/NNG+를/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
살필	살피/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.151.6.1
경모궁은 지금의 서울 종로구 연건동 서울대병원 본관 뒤편에 있었다.

경모궁은	경모궁/NNP+은/JX
지금의	지금/NNG+의/JKG
서울	서울/NNP
종로구	종로구/NNP
연건동	연건동/NNP
서울대병원	서울대병원/NNP
본관	본관/NNG
뒤편에	뒤편/NNG+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.151.6.2
1899년 사도세자가 장종(莊宗)으로 추존되어 왕의 신분을 갖게 되면서 신주가 종묘로 옮겨진 뒤 경모궁은 사당으로서의 기능을 잃었다.

1899년	1899/SN+년/NNB
사도세자가	사도/NNP+세자/NNG+가/JKS
장종(莊宗)으로	장종/NNP+(/SS+莊宗/SH+)/SS+으로/JKB
추존되어	추존/NNG+되/XSV+어/EC
왕의	왕/NNG+의/JKG
신분을	신분/NNG+을/JKO
갖게	갖/VV+게/EC
되면서	되/VV+면서/EC
신주가	신주/NNG+가/JKS
종묘로	종묘/NNP+로/JKB
옮겨진	옮기/VV+어/EC+지/VX+ㄴ/ETM
뒤	뒤/NNG
경모궁은	경모궁/NNP+은/JX
사당으로서의	사당/NNG+으로서/JKB+의/JKG
기능을	기능/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.151.6.3
1924년 경모궁이 세워진 함춘원(창경궁의 후원) 일대에 경성제국대 의학부가 들어서면서 경모궁의 일부 건물을 빼고는 본모습을 잃었다.

1924년	1924/SN+년/NNB
경모궁이	경모궁/NNP+이/JKS
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
함춘원(창경궁의	함춘원/NNP+(/SS+창경궁/NNP+의/JKG
후원)	후원/NNG+)/SS
일대에	일대/NNG+에/JKB
경성제국대	경성제국대/NNP
의학부가	의학부/NNG+가/JKS
들어서면서	들어서/VV+면서/EC
경모궁의	경모궁/NNP+의/JKG
일부	일부/NNG
건물을	건물/NNG+을/JKO
빼고는	빼/VV+고/EC+는/JX
본모습을	본모습/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.151.6.4
나머지 건물마저 6·25전쟁 때 불타 지금은 석단과 함춘문만 남아 있다.

나머지	나머지/NNG
건물마저	건물/NNG+마저/JX
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
때	때/NNG
불타	불타/VV+아/EC
지금은	지금/NNG+은/JX
석단과	석단/NNG+과/JC
함춘문만	함춘문/NNP+만/JX
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


