# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.221
metadata : {}


# id : NWRW1800000022.221.1.1
박용택 '도전! 타격달인' 페타지니·김현수 제치고 타율 선두… 홍성흔도 추격

박용택	박용택/NNP
중간계투로 2~3이닝을 책임지는 임태훈은 워낙 직구 볼 끝이 좋고 믿음직스러워 팽팽한 접전에서 등판하는 경우가 많아 오히려 5일 간격으로 등판하는 선발보다 승리를 챙길 기회를 더 많이 얻고 있다.

중간계투로	중간/NNG+계투/NNG+로/JKB
2~3이닝을	2/SN+~/SO+3/SN+이닝/NNG+을/JKO
책임지는	책임지/VV+는/ETM
임태훈은	임태훈/NNP+은/JX
워낙	워낙/MAG
직구	직구/NNG
볼	볼/NNG
끝이	끝/NNG+이/JKS
좋고	좋/VA+고/EC
믿음직스러워	믿음직스럽/VA+어/EC
팽팽한	팽팽하/VA+ㄴ/ETM
접전에서	접전/NNG+에서/JKB
등판하는	등판/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
오히려	오히려/MAG
5일	5/SN+일/NNB
간격으로	간격/NNG+으로/JKB
선발보다	선발/NNG+보다/JKB
승리를	승리/NNG+를/JKO
챙길	챙기/VV+ㄹ/ETM
기회를	기회/NNG+를/JKO
더	더/MAG
많이	많이/MAG
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.221.7.1
이현승과 송은범은 뛰어난 구위로 장원삼(히어로즈)과 김광현(SK) 등이 꿰찬 팀 에이스 자리까지 넘보고 있다.

이현승과	이현승/NNP+과/JC
송은범은	송은범/NNP+은/JX
뛰어난	뛰어나/VA+ㄴ/ETM
구위로	구위/NNG+로/JKB
장원삼(히어로즈)과	장원삼/NNP+(/SS+히어로즈/NNP+)/SS+과/JC
김광현(SK)	김광현/NNP+(/SS+SK/SL+)/SS
등이	등/NNB+이/JKS
꿰찬	꿰차/VV+ㄴ/ETM
팀	팀/NNG
에이스	에이스/NNG
자리까지	자리/NNG+까지/JX
넘보고	넘보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.221.8.1
이 밖에 홈런 단독 1위(21개)로 치고 나선 브룸바(히어로즈)는 득점(2위) 1위까지 넘볼 태세이고, 최다안타 부문에서는 노장 강동우(한화·3위·84개)가 공동 1위 정근우(SK)와 김현수(두산·이상 87개)를 위협하고 있다.

이	이/MMD
밖에	밖/NNG+에/JKB
홈런	홈런/NNG
단독	단독/NNG
1위(21개)로	1/SN+위/NNB+(/SS+21/SN+개/NNB+)/SS+로/JKB
치고	치/VV+고/EC
나선	나서/VV+ㄴ/ETM
브룸바(히어로즈)는	브룸바/NNP+(/SS+히어로즈/NNP+)/SS+는/JX
득점(2위)	득점/NNG+(/SS+2/SN+위/NNB+)/SS
1위까지	1/SN+위/NNB+까지/JX
넘볼	넘보/VV+ㄹ/ETM
태세이고,	태세/NNG+이/VCP+고/EC+,/SP
최다안타	최다/NNG+안타/NNG
부문에서는	부문/NNG+에서/JKB+는/JX
노장	노장/NNG
강동우(한화·3위·84개)가	강동우/NNP+(/SS+한화/NNP+·/SP+3/SN+위/NNB+·/SP+84/SN+개/NNB+)/SS+가/JKS
공동	공동/NNG
1위	1/SN+위/NNB
정근우(SK)와	정근우/NNP+(/SS+SK/SL+)/SS+와/JC
김현수(두산·이상	김현수/NNP+(/SS+두산/NNP+·/SP+이상/NNG
87개)를	87/SN+개/NNB+)/SS+를/JKO
위협하고	위협/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


