# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.415
metadata : {}


# id : NWRW1800000038.415.1.1
'中·日 변수'에 꼬여가는 韓美동맹

'中·日	'/SS+中/SH+·/SP+日/SH
공격받지	공격/NNG+받/XSV+지/EC
않아도	않/VX+아도/EC
이해관계를	이해관계/NNG+를/JKO
공유하는	공유/NNG+하/XSV+는/ETM
국가가	국가/NNG+가/JKS
공격받을	공격/NNG+받/XSV+을/ETM
경우	경우/NNG
타국에	타국/NNG+에/JKB
반격할	반격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권리를	권리/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.415.5.3
한·미·일 3각 협력을 위해 필요하다는 게 미국 입장이다.

한·미·일	한·미·일/NNP
3각	3/SN+각/NNG
협력을	협력/NNG+을/JKO
위해	위하/VV+아/EC
필요하다는	필요/NNG+하/XSA+다는/ETM
게	거/NNB+이/JKS
미국	미국/NNP
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.415.6.1
그러나 아베 내각의 군국주의화를 우려하는 우리 정부는 이를 받아들이기 어려운 상황이다.

그러나	그러나/MAJ
아베	아베/NNP
내각의	내각/NNG+의/JKG
군국주의화를	군국주의/NNG+화/XSN+를/JKO
우려하는	우려/NNG+하/XSV+는/ETM
우리	우리/NP
정부는	정부/NNG+는/JX
이를	이/NP+를/JKO
받아들이기	받아들이/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.415.6.2
박근혜 대통령이 지난 30일 헤이글 장관에게 "자꾸 퇴행적인 발언을 하는 (일본) 지도부 때문에 신뢰가 형성되지 못하고 있다"고 말한 것도 이 때문이다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
헤이글	헤이글/NNP
장관에게	장관/NNG+에게/JKB
"자꾸	"/SS+자꾸/MAG
퇴행적인	퇴행/NNG+적/XSN+이/VCP+ㄴ/ETM
발언을	발언/NNG+을/JKO
하는	하/VV+는/ETM
(일본)	(/SS+일본/NNP+)/SS
지도부	지도부/NNG
때문에	때문/NNB+에/JKB
신뢰가	신뢰/NNG+가/JKS
형성되지	형성/NNG+되/XSV+지/EC
못하고	못하/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이	이/MMD
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.415.7.1
양자 동맹 관계에서도 해결해야 할 숙제가 적지 않다.

양자	양자/NNG
동맹	동맹/NNG
관계에서도	관계/NNG+에서/JKB+도/JX
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
숙제가	숙제/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.415.7.2
전작권 전환 재연기와 주한 미군 방위비 분담 문제도 아직 합의점을 찾지 못하고 있다.

전작권	전작권/NNG
전환	전환/NNG
재연기와	재/XPN+연기/NNG+와/JC
주한	주한/NNG
미군	미군/NNG
방위비	방위비/NNG
분담	분담/NNG
문제도	문제/NNG+도/JX
아직	아직/MAG
합의점을	합의점/NNG+을/JKO
찾지	찾/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.415.7.3
원자력협정 개정 문제도 견해차를 좁히지 못하고 있다.

원자력협정	원자력/NNG+협정/NNG
개정	개정/NNG
문제도	문제/NNG+도/JX
견해차를	견해차/NNG+를/JKO
좁히지	좁히/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.415.8.1
박 대통령과 버락 오바마 미국 대통령은 지난 5월 '한·미동맹 60주년 기념 공동선언'을 통해 동맹의 진화를 선언했다.

박	박/NNP
대통령과	대통령/NNG+과/JC
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
'한·미동맹	'/SS+한·미/NNP+동맹/NNG
60주년	60/SN+주년/NNB
기념	기념/NNG
공동선언'을	공동/NNG+선언/NNG+'/SS+을/JKO
통해	통하/VV+아/EC
동맹의	동맹/NNG+의/JKG
진화를	진화/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.415.8.2
그러나 한·미동맹은 동아시아의 정세 변화에 따라 새로운 도전을 맞고 있다.

그러나	그러나/MAJ
한·미동맹은	한·미/NNP+동맹/NNG+은/JX
동아시아의	동아시아/NNP+의/JKG
정세	정세/NNG
변화에	변화/NNG+에/JKB
따라	따르/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
도전을	도전/NNG+을/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.415.9.1
한편 박 대통령은 1일 '건군 65주년 국군의 날' 기념사에서 "정부는 강력한 한·미 연합 방위 체제를 유지하면서 '킬 체인'(Kill Chain)과 한국형 미사일 방어 체제 등 핵과 대량살상무기(WMD) 대응 능력을 조기에 확보해 북한 정권이 집착하는 핵과 미사일이 더 이상 쓸모없다는 것을 스스로 인식하도록 할 것"이라고 말했다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
1일	1/SN+일/NNB
'건군	'/SS+건군/NNG
65주년	65/SN+주년/NNB
국군의	국군/NNG+의/JKG
날'	날/NNG+'/SS
기념사에서	기념사/NNG+에서/JKB
"정부는	"/SS+정부/NNG+는/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
한·미	한·미/NNP
연합	연합/NNG
방위	방위/NNG
체제를	체제/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
'킬	'/SS+킬/NNG
체인'(Kill	체인/NNG+'/SS+(/SS+Kill/SL
Chain)과	Chain/SL+)/SS+과/JC
한국형	한국/NNP+형/XSN
미사일	미사일/NNG
방어	방어/NNG
체제	체제/NNG
등	등/NNB
핵과	핵/NNG+과/JC
대량살상무기(WMD)	대량/NNG+살상/NNG+무기/NNG+(/SS+WMD/SL+)/SS
대응	대응/NNG
능력을	능력/NNG+을/JKO
조기에	조기/NNG+에/JKB
확보해	확보/NNG+하/XSV+아/EC
북한	북한/NNP
정권이	정권/NNG+이/JKS
집착하는	집착/NNG+하/XSV+는/ETM
미사일이	미사일/NNG+이/JKS
더	더/MAG
이상	이상/NNG
쓸모없다는	쓸모없/VA+다는/ETM
것을	것/NNB+을/JKO
스스로	스스로/MAG
인식하도록	인식/NNG+하/XSV+도록/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.415.9.2
킬 체인은 북한의 핵과 미사일 기지 등을 탐지·타격하는 통합 시스템을 말한다.

킬	킬/NNG
체인은	체인/NNG+은/JX
북한의	북한/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일	미사일/NNG
기지	기지/NNG
등을	등/NNB+을/JKO
탐지·타격하는	탐지/NNG+·/SP+타격/NNG+하/XSV+는/ETM
통합	통합/NNG
시스템을	시스템/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


