# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.40
metadata : {}


# id : NWRW1800000053.40.1.1
특종 대신 아이 생명 구한 사진기자

특종	특종/NNG
80명이나	80/SN+명/NNB+이나/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.40.4.3
당시 폭발의 충격으로 잠시 혼절했던 그는 이내 정신을 차렸다.

당시	당시/NNG
폭발의	폭발/NNG+의/JKG
충격으로	충격/NNG+으로/JKB
잠시	잠시/MAG
혼절했던	혼절/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
이내	이내/MAG
정신을	정신/NNG+을/JKO
차렸다.	차리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.40.4.4
눈앞에는 아비규환의 생지옥이 펼쳐져 있었다.

눈앞에는	눈앞/NNG+에/JKB+는/JX
아비규환의	아비규환/NNG+의/JKG
생지옥이	생/XPN+지옥/NNG+이/JKS
펼쳐져	펼쳐지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.40.4.5
하바크 씨는 CNN에 “끔찍했다.

하바크	하바크/NNP
씨는	씨/NNB+는/JX
CNN에	CNN/SL+에/JKB
“끔찍했다.	“/SS+끔찍하/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.40.4.6
바로 눈앞에서 수많은 아이가 울음이 뒤범벅된 비명을 지르며 죽어가고 있었다”고 말했다.

바로	바로/MAG
눈앞에서	눈앞/NNG+에서/JKB
수많은	수많/VA+은/ETM
아이가	아이/NNG+가/JKS
울음이	울음/NNG+이/JKS
뒤범벅된	뒤범벅/NNG+되/XSV+ㄴ/ETM
비명을	비명/NNG+을/JKO
지르며	지르/VV+며/EC
죽어가고	죽/VV+어/EC+가/VX+고/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.40.5.1
하바크 씨의 선택은 사진이 아니라 인명 구조였다.

하바크	하바크/NNP
씨의	씨/NNB+의/JKG
선택은	선택/NNG+은/JX
사진이	사진/NNG+이/JKC
아니라	아니/VCN+라/EC
인명	인명/NNG
구조였다.	구조/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.40.5.2
그는 촬영을 뒤로하고 동료들과 함께 부상자를 찾아 나섰다.

그는	그/NP+는/JX
촬영을	촬영/NNG+을/JKO
뒤로하고	뒤로하/VV+고/EC
동료들과	동료/NNG+들/XSN+과/JKB
함께	함께/MAG
부상자를	부상자/NNG+를/JKO
찾아	찾/VV+아/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.40.5.3
처음 다가섰던 아이는 안타깝게도 이미 숨진 상태였다.

처음	처음/NNG
다가섰던	다가서/VV+었/EP+던/ETM
아이는	아이/NNG+는/JX
안타깝게도	안타깝/VA+게/EC+도/JX
이미	이미/MAG
숨진	숨지/VV+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.40.5.4
하바크 씨가 다른 아이에게 다가가자 어떤 사람이 “(그 아이는) 이미 죽었다”고 소리쳤다.

하바크	하바크/NNP
씨가	씨/NNB+가/JKS
다른	다른/MMD
아이에게	아이/NNG+에게/JKB
다가가자	다가가/VV+자/EC
어떤	어떤/MMD
사람이	사람/NNG+이/JKS
“(그	“/SS+(/SS+그/MMD
아이는)	아이/NNG+는/JX+)/SS
이미	이미/MAG
죽었다”고	죽/VV+었/EP+다/EF+”/SS+고/JKQ
소리쳤다.	소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.40.5.5
자세히 살펴보니 미세하게 숨을 쉬고 있었다.

자세히	자세히/MAG
살펴보니	살펴보/VV+니/EC
미세하게	미세/NNG+하/XSA+게/EC
숨을	숨/NNG+을/JKO
쉬고	쉬/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.40.5.6
아이를 냅다 두 팔로 들쳐 안고 구급차를 향해 뛰었다.

아이를	아이/NNG+를/JKO
냅다	냅다/MAG
두	두/MMN
팔로	팔/NNG+로/JKB
들쳐	들치/VV+어/EC
안고	안/VV+고/EC
구급차를	구급차/NNG+를/JKO
향해	향하/VV+아/EC
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.40.5.7
급박한 상황에서도 영상 촬영 중인 카메라를 놓지 않았다.

급박한	급박/NNG+하/XSA+ㄴ/ETM
상황에서도	상황/NNG+에서/JKB+도/JX
영상	영상/NNG
촬영	촬영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
카메라를	카메라/NNG+를/JKO
놓지	놓/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.40.5.8
“아이는 6, 7세밖에 안 돼 보였습니다.

“아이는	“/SS+아이/NNG+는/JX
6,	6/SN+,/SP
7세밖에	7/SN+세/NNB+밖에/JX
안	안/MAG
돼	되/VV+어/EC
보였습니다.	보이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000053.40.5.9
그 아이는 내 손을 꼭 잡고 나를 올려다봤습니다.”

그	그/MMD
아이는	아이/NNG+는/JX
내	나/NP+의/JKG
손을	손/NNG+을/JKO
꼭	꼭/MAG
잡고	잡/VV+고/EC
나를	나/NP+를/JKO
올려다봤습니다.”	올려다보/VV+았/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000053.40.6.1
추가 테러가 우려되는 상황에서 벌어진 하바크 씨의 용감한 행동은 동료 사진기자의 카메라에 그대로 담겼다.

추가	추가/NNG
테러가	테러/NNG+가/JKS
우려되는	우려/NNG+되/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
하바크	하바크/NNP
씨의	씨/NNB+의/JKG
용감한	용감하/VA+ㄴ/ETM
행동은	행동/NNG+은/JX
동료	동료/NNG
사진기자의	사진/NNG+기자/NNG+의/JKG
카메라에	카메라/NNG+에/JKB
그대로	그대로/MAG
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.40.6.2
하바크 씨를 촬영한 동료 무함마드 알라게브 씨는 “나 또한 아이들을 구조한 뒤 카메라를 잡았다”며 “구조 책임을 다한 사람들의 모습을 담고 싶었다”고 말했다.

하바크	하바크/NNP
씨를	씨/NNB+를/JKO
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
동료	동료/NNG
무함마드	무함마드/NNP
알라게브	알라게브/NNP
씨는	씨/NNB+는/JX
“나	“/SS+나/NP
또한	또한/MAG
아이들을	아이/NNG+들/XSN+을/JKO
구조한	구조/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
카메라를	카메라/NNG+를/JKO
잡았다”며	잡/VV+았/EP+다/EF+”/SS+며/EC
“구조	“/SS+구조/NNG
책임을	책임/NNG+을/JKO
다한	다/MAG+하/XSV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
모습을	모습/NNG+을/JKO
담고	담/VV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


