# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.361
metadata : {}


# id : NWRW1800000044.361.1.1
야당에 손내미는 새누리 시도지사 당선자들

야당에	야당/NNG+에/JKB
진정성에	진정/NNG+성/XSN+에/JKB
의심의	의심/NNG+의/JKG
눈초리를	눈초리/NNG+를/JKO
보내기도	보내/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.361.6.1
남경필 경기지사 당선자는 9일 언론 인터뷰에서 “‘사회통합 부지사’ 직에 야당 인사를 임명하겠다”고 밝혔다.

남경필	남경필/NNP
경기지사	경기/NNP+지사/NNG
당선자는	당선자/NNG+는/JX
9일	9/SN+일/NNB
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“‘사회통합	“/SS+‘/SS+사회/NNG+통합/NNG
부지사’	부지사/NNG+’/SS
직에	직/NNG+에/JKB
야당	야당/NNG
인사를	인사/NNG+를/JKO
임명하겠다”고	임명/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.361.6.2
남 당선자는 ‘작은 연정’을 내걸고 △부지사, 특보 등에 야당 인사 등용 △야당 도의원과의 소통을 위한 정책협의체 정례 운영 등을 공약한 바 있다.

남	남/NNP
당선자는	당선자/NNG+는/JX
‘작은	‘/SS+작/VA+은/ETM
연정’을	연정/NNG+’/SS+을/JKO
내걸고	내걸/VV+고/EC
△부지사,	△/SW+부지사/NNG+,/SP
특보	특보/NNG
등에	등/NNB+에/JKB
야당	야당/NNG
인사	인사/NNG
등용	등용/NNG
△야당	△/SW+야당/NNG
도의원과의	도/NNG+의원/NNG+과/JKB+의/JKG
소통을	소통/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책협의체	정책/NNG+협의체/NNG
정례	정례/NNG
운영	운영/NNG
등을	등/NNB+을/JKO
공약한	공약/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.361.6.3
남 당선자 쪽은 “당선 직후 새정치민주연합의 한 중진 의원에게 ‘사회통합 부지사’로 적합한 인물을 천거해 달라고 요청했다”고 말했다.

남	남/NNP
당선자	당선자/NNG
쪽은	쪽/NNB+은/JX
“당선	“/SS+당선/NNG
직후	직후/NNG
새정치민주연합의	새정치민주연합/NNP+의/JKG
한	한/MMN
중진	중진/NNG
의원에게	의원/NNG+에게/JKB
‘사회통합	‘/SS+사회/NNG+통합/NNG
부지사’로	부지사/NNG+’/SS+로/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
인물을	인물/NNG+을/JKO
천거해	천거/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청했다”고	요청/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.6.4
남 당선자는 도정혁신위원회(인수위원회)에도 야당 인사를 포함시킬 계획을 하고 있다.

남	남/NNP
당선자는	당선자/NNG+는/JX
도정혁신위원회(인수위원회)에도	도정/NNG+혁신/NNG+위원회/NNG+(/SS+인수/NNG+위원회/NNG+)/SS+에/JKB+도/JX
야당	야당/NNG
인사를	인사/NNG+를/JKO
포함시킬	포함/NNG+시키/XSV+ㄹ/ETM
계획을	계획/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.361.7.1
원조 소장파인 남 당선자는 본인이 대통령이나 권력 핵심부에 권력 분산과 야당 인사 중용 등을 요구해온 만큼, 스스로 그런 모습을 보이겠다는 것이다.

원조	원조/NNG
소장파인	소장파/NNG+이/VCP+ㄴ/ETM
남	남/NNP
당선자는	당선자/NNG+는/JX
본인이	본인/NNG+이/JKS
대통령이나	대통령/NNG+이나/JC
권력	권력/NNG
핵심부에	핵심부/NNG+에/JKB
분산과	분산/NNG+과/JC
야당	야당/NNG
인사	인사/NNG
중용	중용/NNG
등을	등/NNB+을/JKO
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
만큼,	만큼/NNB+,/SP
스스로	스스로/MAG
그런	그런/MMD
모습을	모습/NNG+을/JKO
보이겠다는	보이/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.361.7.2
현실적으로는 경기도의회가 새누리당 50석, 새정치연합 78석으로 여소야대인데다, 경기교육감도 진보 성향의 이재정 당선자여서 과거처럼 독단적인 도정 운영이 불가능하다는 점도 배경이 됐다.

현실적으로는	현실/NNG+적/XSN+으로/JKB+는/JX
경기도의회가	경기도의회/NNP+가/JKS
새누리당	새누리당/NNP
50석,	50/SN+석/NNB+,/SP
새정치연합	새정치연합/NNP
78석으로	78/SN+석/NNB+으로/JKB
여소야대인데다,	여소/NNG+야대/NNG+이/VCP+ㄴ데다/EC+,/SP
경기교육감도	경기/NNP+교육감/NNG+도/JX
진보	진보/NNG
성향의	성향/NNG+의/JKG
이재정	이재정/NNP
당선자여서	당선자/NNG+이/VCP+어서/EC
과거처럼	과거/NNG+처럼/JKB
독단적인	독단/NNG+적/XSN+이/VCP+ㄴ/ETM
도정	도정/NNG
운영이	운영/NNG+이/JKS
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
점도	점/NNG+도/JX
배경이	배경/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.361.8.1
야당은 남 당선자의 제안에 대해 “정책 합의부터 먼저 하자”고 역제안했다.

야당은	야당/NNG+은/JX
남	남/NNP
당선자의	당선자/NNG+의/JKG
제안에	제안/NNG+에/JKB
대해	대하/VV+아/EC
“정책	“/SS+정책/NNG
합의부터	합의/NNG+부터/JX
먼저	먼저/MAG
하자”고	하/VV+자/EF+”/SS+고/JKQ
역제안했다.	역제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.8.2
새정치연합의 김태년 경기도당위원장은 <한겨레>와의 통화에서 “자리를 주겠다는 것은 새정치연합이 다수당인 경기도의회에 대한 대응 카드 정도에 그칠 수 있다.

새정치연합의	새정치연합/NNP+의/JKG
김태년	김태년/NNP
경기도당위원장은	경기도/NNP+당/NNG+위원장/NNG+은/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“자리를	“/SS+자리/NNG+를/JKO
주겠다는	주/VV+겠/EP+다는/ETM
것은	것/NNB+은/JX
새정치연합이	새정치연합/NNP+이/JKS
다수당인	다수당/NNG+이/VCP+ㄴ/ETM
경기도의회에	경기도의회/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
대응	대응/NNG
카드	카드/NNG
정도에	정도/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.361.8.3
진짜 상생·통합의 정치를 이루려면 독일에서 연정 할 때 정당간 정책 합의를 한 뒤 내각을 구성하는 것과 마찬가지로 우리도 먼저 정책에 대한 합의부터 하자”고 말했다.

진짜	진짜/NNG
상생·통합의	상생/NNG+·/SP+통합/NNG+의/JKG
정치를	정치/NNG+를/JKO
이루려면	이루/VV+려면/EC
독일에서	독일/NNP+에서/JKB
연정	연정/NNG
할	하/VV+ㄹ/ETM
때	때/NNG
정당간	정당/NNG+간/NNB
정책	정책/NNG
합의를	합의/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
내각을	내각/NNG+을/JKO
구성하는	구성/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
우리도	우리/NP+도/JX
먼저	먼저/MAG
정책에	정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
합의부터	합의/NNG+부터/JX
하자”고	하/VV+자/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.9.1
원희룡 제주지사 당선자도 9일 선거에서 맞붙었던 신구범 새정치연합 후보에게 인수위원장직을 제안했다.

원희룡	원희룡/NNP
제주지사	제주/NNP+지사/NNG
당선자도	당선자/NNG+도/JX
9일	9/SN+일/NNB
선거에서	선거/NNG+에서/JKB
맞붙었던	맞붙/VV+었/EP+던/ETM
신구범	신구범/NNP
새정치연합	새정치연합/NNP
후보에게	후보/NNG+에게/JKB
인수위원장직을	인수/NNG+위원장직/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.9.2
원 당선자 쪽 강홍균 대변인은 “선거 과정의 갈등을 치유하고 도민 대통합을 이룰 수 있는 적임자가 신 후보”라고 말했다.

원	원/NNP
당선자	당선자/NNG
쪽	쪽/NNB
강홍균	강홍균/NNP
대변인은	대변인/NNG+은/JX
“선거	“/SS+선거/NNG
과정의	과정/NNG+의/JKG
갈등을	갈등/NNG+을/JKO
치유하고	치유/NNG+하/XSV+고/EC
도민	도민/NNG
대통합을	대/XPN+통합/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
적임자가	적임자/NNG+가/JKS
신	신/NNP
후보”라고	후보/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.9.3
제주도의회 역시 새누리당 17석, 새정치연합 16석, 무소속 3석의 여소야대 구조여서 통합의 리더십은 필수적이다.

제주도의회	제주도/NNP+의회/NNG
역시	역시/MAG
새누리당	새누리당/NNP
17석,	17/SN+석/NNB+,/SP
새정치연합	새정치연합/NNP
16석,	16/SN+석/NNB+,/SP
무소속	무/XPN+소속/NNG
3석의	3/SN+석/NNB+의/JKG
여소야대	여소/NNG+야대/NNG
구조여서	구조/NNG+이/VCP+어서/EC
통합의	통합/NNG+의/JKG
리더십은	리더십/NNG+은/JX
필수적이다.	필수/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.361.9.4
제안을 받은 신 후보는 <한겨레>와의 통화에서 “원 당선자는 새정치연합의 정체성을 존중하고, 정책 융합을 하자는 전제를 달고 인수위원장직을 제안한 것”이라며 “전직 도지사를 지낸 사람으로서 후배 도지사를 돕는 것은 충분히 검토할 만한 일”이라고 말했다.

제안을	제안/NNG+을/JKO
받은	받/VV+은/ETM
신	신/NNP
후보는	후보/NNG+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“원	“/SS+원/NNP
당선자는	당선자/NNG+는/JX
새정치연합의	새정치연합/NNP+의/JKG
정체성을	정체/NNG+성/XSN+을/JKO
존중하고,	존중/NNG+하/XSV+고/EC+,/SP
정책	정책/NNG
융합을	융합/NNG+을/JKO
하자는	하/VV+자는/ETM
전제를	전제/NNG+를/JKO
달고	달/VV+고/EC
인수위원장직을	인수/NNG+위원장직/NNG+을/JKO
제안한	제안/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“전직	“/SS+전직/NNG
도지사를	도지사/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
사람으로서	사람/NNG+으로서/JKB
후배	후배/NNG
돕는	돕/VV+는/ETM
것은	것/NNB+은/JX
충분히	충분히/MAG
검토할	검토/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.9.5
하지만 새정치연합 제주도당은 원 당선자의 제안에 대해 당의 공천을 받은 후보자가 상대당의 인수위원장직을 맡는 것은 “적절하지 않다”며 수용 불가 입장을 밝혔다.

하지만	하지만/MAJ
새정치연합	새정치연합/NNP
제주도당은	제주도/NNP+당/NNG+은/JX
원	원/NNP
당선자의	당선자/NNG+의/JKG
제안에	제안/NNG+에/JKB
대해	대하/VV+아/EC
당의	당/NNG+의/JKG
공천을	공천/NNG+을/JKO
받은	받/VV+은/ETM
후보자가	후보자/NNG+가/JKS
상대당의	상대/NNG+당/NNG+의/JKG
인수위원장직을	인수/NNG+위원장직/NNG+을/JKO
맡는	맡/VV+는/ETM
것은	것/NNB+은/JX
“적절하지	“/SS+적절하/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
수용	수용/NNG
불가	불가/NNG
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.361.9.6
무엇보다 책임정치에 맞지 않는다는 것이다.

무엇보다	무엇/NP+보다/JKB
책임정치에	책임/NNG+정치/NNG+에/JKB
맞지	맞/VV+지/EC
않는다는	않/VX+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.361.10.1
새정치연합 일각에선 남·원 두 당선자가 여권내 잠재적인 대권주자임을 지적하며 이들의 ‘통합 제스처’가 ‘이미지 정치’가 아니냐는 의심을 버리지 못하고 있다.

새정치연합	새정치연합/NNP
일각에선	일각/NNG+에서/JKB+ㄴ/JX
남·원	남/NNP+·/SP+원/NNP
두	두/MMN
당선자가	당선자/NNG+가/JKS
여권내	여권/NNG+내/NNB
잠재적인	잠재/NNG+적/XSN+이/VCP+ㄴ/ETM
대권주자임을	대권/NNG+주자/NNG+이/VCP+ㅁ/ETN+을/JKO
지적하며	지적/NNG+하/XSV+며/EC
이들의	이/NP+들/XSN+의/JKG
‘통합	‘/SS+통합/NNG
제스처’가	제스처/NNG+’/SS+가/JKS
‘이미지	‘/SS+이미지/NNG
정치’가	정치/NNG+’/SS+가/JKC
아니냐는	아니/VCN+냐는/ETM
의심을	의심/NNG+을/JKO
버리지	버리/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.361.10.2
그러나 통합을 명분으로 하고 있어 마냥 거부하기도 쉽지 않은 상황이다.

그러나	그러나/MAJ
통합을	통합/NNG+을/JKO
명분으로	명분/NNG+으로/JKB
하고	하/VV+고/EC
있어	있/VX+어/EC
마냥	마냥/MAG
거부하기도	거부/NNG+하/XSV+기/ETN+도/JX
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.361.11.1
서병수 부산시장 당선자(새누리당)는 오거돈 무소속 후보에게 만남을 제의했다.

서병수	서병수/NNP
부산시장	부산시장/NNG
당선자(새누리당)는	당선자/NNG+(/SS+새누리당/NNP+)/SS+는/JX
오거돈	오거돈/NNP
무소속	무/XPN+소속/NNG
후보에게	후보/NNG+에게/JKB
만남을	만남/NNG+을/JKO
제의했다.	제의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.11.2
하지만 오 후보 쪽은 “선거운동 기간 동안 새누리당이 우리를 ‘종북좌파’로 몰았다.

하지만	하지만/MAJ
오	오/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
“선거운동	“/SS+선거/NNG+운동/NNG
기간	기간/NNG
동안	동안/NNG
새누리당이	새누리당/NNP+이/JKS
우리를	우리/NP+를/JKO
‘종북좌파’로	‘/SS+종북/NNG+좌파/NNG+’/SS+로/JKB
몰았다.	몰/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.361.11.3
진정한 사과 없이 만날 순 없다”는 반응을 보였다.

진정한	진정하/VA+ㄴ/ETM
사과	사과/NNG
없이	없이/MAG
만날	만나/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다”는	없/VA+다/EF+”/SS+는/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


