# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.12
metadata : {}


# id : NWRW1800000038.12.1.1
中·日 전투기·군함, 물고 물린 추격전 벌였다

中·日	中/SH+·/SP+日/SH
당시와	당시/NNG+와/JKB
비교된다"고	비교/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
우려를	우려/NNG+를/JKO
표했다.	표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.8.1
아베 신조 총리가 지난 2일 오키나와 자위대를 시찰하고 5일 센카쿠와 독도 문제를 전담하는 '영토·주권 대책 기획조정실'을 새로 설치한 것도 이번 사건과 관련이 있다는 분석이 나온다.

아베	아베/NNP
신조	신조/NNP
총리가	총리/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
오키나와	오키나와/NNP
자위대를	자위대/NNG+를/JKO
시찰하고	시찰/NNG+하/XSV+고/EC
5일	5/SN+일/NNB
센카쿠와	센카쿠/NNP+와/JC
독도	독도/NNP
문제를	문제/NNG+를/JKO
전담하는	전담/NNG+하/XSV+는/ETM
'영토·주권	'/SS+영토/NNG+·/SP+주권/NNG
대책	대책/NNG
기획조정실'을	기획/NNG+조정실/NNG+'/SS+을/JKO
새로	새로/MAG
설치한	설치/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이번	이번/NNG
사건과	사건/NNG+과/JKB
관련이	관련/NNG+이/JKS
있다는	있/VA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.12.8.2
아베 총리는 중국의 반발을 각오하고 적극 대응에 나서기로 했다는 것이다.

아베	아베/NNP
총리는	총리/NNG+는/JX
중국의	중국/NNP+의/JKG
반발을	반발/NNG+을/JKO
각오하고	각오/NNG+하/XSV+고/EC
적극	적극/NNG
대응에	대응/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다는	하/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


