# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.377
metadata : {}


# id : NWRW1800000037.377.1.1
‘국정원 셀프개혁 vs 국회 주도’ 접점 찾을까

‘국정원	‘/SS+국정원/NNG
국회의장실에서	국회/NNG+의장실/NNG+에서/JKB
순방설명회를	순방/NNG+설명회/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
국회	국회/NNG
귀빈식당에서	귀빈/NNG+식당/NNG+에서/JKB
3자회담을	3/SN+자/NNB+회담/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000037.377.6.3
국회 내 한옥 사랑재도 거론되나 회담 공간이 마땅치 않은 것으로 알려졌다.

국회	국회/NNG
내	내/NNB
한옥	한옥/NNG
사랑재도	사랑재/NNG+도/JX
거론되나	거론/NNG+되/XSV+나/EC
회담	회담/NNG
공간이	공간/NNG+이/JKS
마땅치	마땅하/VA+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.377.7.1
3자회담은 비공개로 진행되지만 청와대는 “내용을 투명하게 공개하겠다”고 밝혔다.

3자회담은	3/SN+자/NNB+회담/NNG+은/JX
비공개로	비/XPN+공개/NNG+로/JKB
진행되지만	진행/NNG+되/XSV+지만/EC
청와대는	청와대/NNP+는/JX
“내용을	“/SS+내용/NNG+을/JKO
투명하게	투명/NNG+하/XSA+게/EC
공개하겠다”고	공개/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.377.7.2
대화록 수준의 내용이 공개될 것으로 예상된다.

대화록	대화록/NNG
수준의	수준/NNG+의/JKG
내용이	내용/NNG+이/JKS
공개될	공개/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.377.7.3
3자회담에서 박 대통령과 김 대표 사이에 서로 수용할 수 있는 공감대가 형성될 경우엔 합의문을 발표할 수도 있다.

3자회담에서	3/SN+자/NNB+회담/NNG+에서/JKB
박	박/NNP
대통령과	대통령/NNG+과/JC
김	김/NNP
대표	대표/NNG
사이에	사이/NNG+에/JKB
서로	서로/MAG
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공감대가	공감대/NNG+가/JKS
형성될	형성/NNG+되/XSV+ㄹ/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
합의문을	합의문/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.377.7.4
2월 당선인 신분일 때 박 대통령과 당시 문희상 민주당 비상대책위원장의 회동 뒤에는 ‘여야 공통 공약을 조속히 처리하겠다’는 합의문이 나왔다.

2월	2/SN+월/NNB
당선인	당선인/NNG
신분일	신분/NNG+이/VCP+ㄹ/ETM
때	때/NNG
박	박/NNP
대통령과	대통령/NNG+과/JC
당시	당시/NNG
문희상	문희상/NNP
민주당	민주당/NNP
비상대책위원장의	비상/NNG+대책/NNG+위원장/NNG+의/JKG
회동	회동/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
‘여야	‘/SS+여야/NNG
공통	공통/NNG
공약을	공약/NNG+을/JKO
조속히	조속히/MAG
처리하겠다’는	처리/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
합의문이	합의문/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.377.8.1
○ 국정원, NLL 대화록, 채동욱 등 험난

○	○/SW
국정원,	국정원/NNG+,/SP
NLL	NLL/SL
대화록,	대화록/NNG+,/SP
채동욱	채동욱/NNP
등	등/NNB
험난	험난/XR


# id : NWRW1800000037.377.9.1
청와대는 3자회담의 의제에 대해 “국가정보원 대선개입 논란 등 민주당이 요구하는 모든 문제를 테이블에 다 올려놓을 수 있다”는 태도다.

청와대는	청와대/NNP+는/JX
3자회담의	3/SN+자/NNB+회담/NNG+의/JKG
의제에	의제/NNG+에/JKB
대해	대하/VV+아/EC
“국가정보원	“/SS+국가/NNG+정보원/NNG
대선개입	대선/NNG+개입/NNG
논란	논란/NNG
등	등/NNB
민주당이	민주당/NNP+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
모든	모든/MMN
문제를	문제/NNG+를/JKO
테이블에	테이블/NNG+에/JKB
다	다/MAG
올려놓을	올려놓/VV+을/ETM
수	수/NNB
있다”는	있/VA+다/EF+”/SS+는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.377.10.1
박 대통령이 국정원의 자체 개혁에 대한 강한 의지를 밝히면서 ‘박근혜 정부에선 그런 일이 절대 없도록 하겠다’고 약속할 것이라는 전망이 나온다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
국정원의	국정원/NNG+의/JKG
자체	자체/NNG
개혁에	개혁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
의지를	의지/NNG+를/JKO
밝히면서	밝히/VV+면서/EC
‘박근혜	‘/SS+박근혜/NNP
정부에선	정부/NNG+에서/JKB+ㄴ/JX
그런	그런/MMD
일이	일/NNG+이/JKS
절대	절대/MAG
없도록	없/VA+도록/EC
하겠다’고	하/VV+겠/EP+다/EF+’/SS+고/JKQ
약속할	약속/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.377.10.2
여권 관계자는 “박 대통령이 국정원 대선개입 논란으로 정국이 오랫동안 꼬이면서 국민들에게 심려를 끼친 데 대해 안타까움을 표명할 수 있다”고 말했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
“박	“/SS+박/NNP
대통령이	대통령/NNG+이/JKS
국정원	국정원/NNG
대선개입	대선/NNG+개입/NNG
논란으로	논란/NNG+으로/JKB
정국이	정국/NNG+이/JKS
오랫동안	오랫동안/NNG
꼬이면서	꼬이/VV+면서/EC
국민들에게	국민/NNG+들/XSN+에게/JKB
심려를	심려/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
표명할	표명/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.377.11.1
이어 박 대통령은 국정원 문제를 매듭짓고 국민을 위해 민생에 주력하자고 강조할 것으로 알려졌다.

이어	이어/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
국정원	국정원/NNG
문제를	문제/NNG+를/JKO
매듭짓고	매듭짓/VV+고/EC
국민을	국민/NNG+을/JKO
위해	위하/VV+아/EC
민생에	민생/NNG+에/JKB
주력하자고	주력/NNG+하/XSV+자고/EC
강조할	강조/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.377.11.2
9월 정기국회 정상화를 통해 국회에서 표류 중인 외국인투자촉진법과 지하경제 양성화를 위한 ‘특정금융거래정보의 보고 및 이용에 관한 법률(FIU법)’ 등 경제 살리기를 위해 공을 들인 법안의 국회 통과를 요구하고 내년 예산안의 순조로운 처리를 부탁할 것으로 예상된다.

9월	9/SN+월/NNB
정기국회	정기/NNG+국회/NNG
정상화를	정상/NNG+화/XSN+를/JKO
통해	통하/VV+아/EC
국회에서	국회/NNG+에서/JKB
표류	표류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
외국인투자촉진법과	외국인/NNG+투자/NNG+촉진법/NNG+과/JC
지하경제	지하/NNG+경제/NNG
양성화를	양성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
‘특정금융거래정보의	‘/SS+특정/NNG+금융/NNG+거래/NNG+정보/NNG+의/JKG
보고	보고/NNG
및	및/MAG
이용에	이용/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률(FIU법)’	법률/NNG+(/SS+FIU/SL+법/NNG+)/SS+’/SS
등	등/NNB
경제	경제/NNG
살리기를	살리/VV+기/ETN+를/JKO
위해	위하/VV+아/EC
공을	공/NNG+을/JKO
들인	들이/VV+ㄴ/ETM
법안의	법안/NNG+의/JKG
국회	국회/NNG
통과를	통과/NNG+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
내년	내년/NNG
예산안의	예산안/NNG+의/JKG
순조로운	순조/NNG+롭/XSA+ㄴ/ETM
처리를	처리/NNG+를/JKO
부탁할	부탁/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.377.11.3
이에 김 대표는 국회에서 경제민주화 관련 법안이 후퇴했다는 문제를 제기할 것으로 예상된다.

이에	이/NP+에/JKB
김	김/NNP
대표는	대표/NNG+는/JX
국회에서	국회/NNG+에서/JKB
경제민주화	경제/NNG+민주/NNG+화/XSN
관련	관련/NNG
법안이	법안/NNG+이/JKS
후퇴했다는	후퇴/NNG+하/XSV+았/EP+다는/ETM
문제를	문제/NNG+를/JKO
제기할	제기/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.377.12.1
민주당은 3자회담의 최우선 의제는 국정원 대선개입 문제이고 국정원의 정치개입에 대해 박 대통령이 분명한 입장을 표명해야 한다고 보고 있다.

민주당은	민주당/NNP+은/JX
3자회담의	3/SN+자/NNB+회담/NNG+의/JKG
최우선	최/XPN+우선/NNG
의제는	의제/NNG+는/JX
국정원	국정원/NNG
대선개입	대선/NNG+개입/NNG
문제이고	문제/NNG+이/VCP+고/EC
국정원의	국정원/NNG+의/JKG
정치개입에	정치/NNG+개입/NNG+에/JKB
대해	대하/VV+아/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
분명한	분명/MAG+하/XSA+ㄴ/ETM
입장을	입장/NNG+을/JKO
표명해야	표명/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.377.12.2
하지만 그동안 요구해온 대통령 사과보다 수위가 낮은 ‘유감 표명’을 수용하는 것도 고려하고 있다.

하지만	하지만/MAJ
그동안	그동안/NNG
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
대통령	대통령/NNG
사과보다	사과/NNG+보다/JKB
수위가	수위/NNG+가/JKS
낮은	낮/VA+은/ETM
‘유감	‘/SS+유감/NNG
표명’을	표명/NNG+’/SS+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
고려하고	고려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.377.12.3
김 대표도 13일 “(국정원의 대선개입 자체에 대해) 사과하라는 것은 아니다”라고 말했다.

김	김/NNP
대표도	대표/NNG+도/JX
13일	13/SN+일/NNB
“(국정원의	“/SS+(/SS+국정원/NNG+의/JKG
대선개입	대선/NNG+개입/NNG
자체에	자체/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
사과하라는	사과/NNG+하/XSV+라는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.377.12.4
하지만 박 대통령이 강조한 국정원 자체 개혁은 받아들일 수 없고 국회에 특별위원회를 만들어 국회가 국정원 개혁을 주도하겠다는 태도다.

하지만	하지만/MAJ
박	박/NNP
대통령이	대통령/NNG+이/JKS
강조한	강조/NNG+하/XSV+ㄴ/ETM
국정원	국정원/NNG
자체	자체/NNG
개혁은	개혁/NNG+은/JX
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없고	없/VA+고/EC
국회에	국회/NNG+에/JKB
특별위원회를	특별/NNG+위원회/NNG+를/JKO
만들어	만들/VV+어/EC
국회가	국회/NNG+가/JKS
개혁을	개혁/NNG+을/JKO
주도하겠다는	주도/NNG+하/XSV+겠/EP+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.377.12.5
결국 국정원 대선개입 책임에 대해 박 대통령과 김 대표가 얼마나 접점을 찾는지가 이번 회담의 성패를 가르는 핵심 포인트인 셈이다.

결국	결국/MAG
국정원	국정원/NNG
대선개입	대선/NNG+개입/NNG
책임에	책임/NNG+에/JKB
대해	대하/VV+아/EC
박	박/NNP
대통령과	대통령/NNG+과/JC
김	김/NNP
대표가	대표/NNG+가/JKS
얼마나	얼마나/MAG
접점을	접점/NNG+을/JKO
찾는지가	찾/VV+는지/EF+가/JKS
이번	이번/NNG
회담의	회담/NNG+의/JKG
성패를	성패/NNG+를/JKO
가르는	가르/VV+는/ETM
핵심	핵심/NNG
포인트인	포인트/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.377.13.1
민주당이 2007년 남북 정상회담 대화록 폐기 의혹에 대한 검찰 수사의 문제점과 노무현 전 대통령의 서해 북방한계선(NLL) 포기 논란과 관련한 국정원의 대화록 공개에 대한 책임론을 거론할 수도 있다.

민주당이	민주당/NNP+이/JKS
2007년	2007/SN+년/NNB
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
대화록	대화록/NNG
폐기	폐기/NNG
의혹에	의혹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검찰	검찰/NNG
수사의	수사/NNG+의/JKG
문제점과	문제점/NNG+과/JC
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서해	서해/NNP
북방한계선(NLL)	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
포기	포기/NNG
논란과	논란/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
국정원의	국정원/NNG+의/JKG
공개에	공개/NNG+에/JKB
책임론을	책임/NNG+론/XSN+을/JKO
거론할	거론/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.377.13.2
야권에서 채동욱 검찰총장의 사퇴 배경에 청와대와 국정원 개입설을 제기해 논쟁이 벌어질 가능성도 있다.

야권에서	야권/NNG+에서/JKB
채동욱	채동욱/NNP
검찰총장의	검찰/NNG+총장/NNG+의/JKG
사퇴	사퇴/NNG
배경에	배경/NNG+에/JKB
청와대와	청와대/NNP+와/JC
국정원	국정원/NNG
개입설을	개입설/NNG+을/JKO
제기해	제기/NNG+하/XSV+아/EC
논쟁이	논쟁/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


