# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.188
metadata : {}


# id : NWRW1800000046.188.1.1
나라 전체 마비시키겠다더니… 조계사 숨은 민노총 위원장

나라	나라/NNG
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
한	한/NNP
위원장은	위원장/NNG+은/JX
그동안	그동안/NNG
서울	서울/NNP
정동	정동/NNP
민노총	민노총/NNP
사무실에	사무실/NNG+에/JKB
숨어	숨/VV+어/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.188.4.2
그러다 14일 서울 도심 폭력 시위 현장에 나타났다.

그러다	그러/VV+다/EC
14일	14/SN+일/NNB
서울	서울/NNP
도심	도심/NNG
폭력	폭력/NNG
시위	시위/NNG
현장에	현장/NNG+에/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.4.3
그는 이날 서울광장에서 열린 노동자대회에서 시위 독려 연설을 하는 등 폭력 시위를 진두지휘했다.

그는	그/NP+는/JX
이날	이날/NNG
서울광장에서	서울광장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
노동자대회에서	노동자/NNG+대회/NNG+에서/JKB
시위	시위/NNG
독려	독려/NNG
연설을	연설/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
폭력	폭력/NNG
시위를	시위/NNG+를/JKO
진두지휘했다.	진두지휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.4.4
경찰은 이날 한 위원장 체포를 시도했으나 민노총 조합원들이 몸싸움을 벌이며 저항해 검거에 실패했다.

경찰은	경찰/NNG+은/JX
이날	이날/NNG
한	한/NNP
위원장	위원장/NNG
체포를	체포/NNG+를/JKO
시도했으나	시도/NNG+하/XSV+았/EP+으나/EC
민노총	민노총/NNP
조합원들이	조합원/NNG+들/XSN+이/JKS
몸싸움을	몸싸움/NNG+을/JKO
벌이며	벌이/VV+며/EC
저항해	저항/NNG+하/XSV+아/EC
검거에	검거/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.4.5
그 뒤 행방이 묘연했던 한 위원장이 16일 밤 민노총 조합원 3~4명과 함께 조계사로 숨어 들어가 신변보호를 요청했다.

그	그/MMD
뒤	뒤/NNG
행방이	행방/NNG+이/JKS
묘연했던	묘연하/VA+았/EP+던/ETM
한	한/NNP
위원장이	위원장/NNG+이/JKS
16일	16/SN+일/NNB
밤	밤/NNG
민노총	민노총/NNP
조합원	조합원/NNG
3~4명과	3/SN+~/SO+4/SN+명/NNB+과/JKB
함께	함께/MAG
조계사로	조계사/NNP+로/JKB
숨어	숨/VV+어/EC
들어가	들어가/VV+아/EC
신변보호를	신변/NNG+보호/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.5.1
조계사 측은 17일 "한 위원장이 계속 조계사에 머무는 것에 대해 종단 차원의 결정이 나지 않은 상태"라면서도 "당장 한 위원장을 절 밖으로 내보내지는 않을 것"이라고 했다.

조계사	조계사/NNP
측은	측/NNB+은/JX
17일	17/SN+일/NNB
"한	"/SS+한/NNP
위원장이	위원장/NNG+이/JKS
계속	계속/MAG
조계사에	조계사/NNP+에/JKB
머무는	머물/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
종단	종단/NNG
차원의	차원/NNG+의/JKG
결정이	결정/NNG+이/JKS
나지	나/VV+지/EC
않은	않/VX+은/ETM
상태"라면서도	상태/NNG+"/SS+이/VCP+라면서/EC+도/JX
"당장	"/SS+당장/NNG
한	한/NNP
위원장을	위원장/NNG+을/JKO
절	절/NNG
밖으로	밖/NNG+으로/JKB
내보내지는	내보내/VV+지/EC+는/JX
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.5.2
한 위원장은 조계사 경내(境內)에 있는 '도심포교 100주년 기념관' 건물 4층에 머물고 있다.

한	한/NNP
위원장은	위원장/NNG+은/JX
조계사	조계사/NNP
경내(境內)에	경내/NNG+(/SS+境內/SH+)/SS+에/JKB
있는	있/VA+는/ETM
'도심포교	'/SS+도심/NNG+포교/NNG
100주년	100/SN+주년/NNB
기념관'	기념관/NNG+'/SS
건물	건물/NNG
4층에	4/SN+층/NNG+에/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.188.5.3
이 건물은 평소 템플스테이 숙소로 쓰여 왔다.

이	이/MMD
건물은	건물/NNG+은/JX
평소	평소/NNG
템플스테이	템플스테이/NNG
숙소로	숙소/NNG+로/JKB
쓰여	쓰이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.188.5.4
한 위원장이 들어오고 나서 건물 엘리베이터는 작동이 멈춰 있었다.

한	한/NNP
위원장이	위원장/NNG+이/JKS
들어오고	들어오/VV+고/EC
나서	나/VX+아서/EC
건물	건물/NNG
엘리베이터는	엘리베이터/NNG+는/JX
작동이	작동/NNG+이/JKS
멈춰	멈추/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.188.5.5
그가 은신한 4층 계단 문도 잠가 놓아 안으로 들어갈 수 없었다.

그가	그/NP+가/JKS
은신한	은신/NNG+하/XSV+ㄴ/ETM
4층	4/SN+층/NNG
계단	계단/NNG
문도	문/NNG+도/JX
잠가	잠그/VV+아/EC
놓아	놓/VX+아/EC
안으로	안/NNG+으로/JKB
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.188.6.1
한 위원장 측은 조계사에 "12월 5일까지 머물며 일을 보고 싶다"는 뜻을 전달한 것으로 알려졌다.

한	한/NNP
위원장	위원장/NNG
측은	측/NNB+은/JX
조계사에	조계사/NNP+에/JKB
"12월	"/SS+12/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
머물며	머물/VV+며/EC
일을	일/NNG+을/JKO
보고	보/VV+고/EC
싶다"는	싶/VX+다/EF+"/SS+는/ETM
뜻을	뜻/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.188.6.2
조계사 측은 한 위원장 측의 요구에 난감해하면서 18일 그를 다시 만나 입장을 들어보기로 했다.

조계사	조계사/NNP
측은	측/NNB+은/JX
한	한/NNP
위원장	위원장/NNG
측의	측/NNB+의/JKG
요구에	요구/NNG+에/JKB
난감해하면서	난감하/VA+아/EC+하/VX+면서/EC
18일	18/SN+일/NNB
그를	그/NP+를/JKO
다시	다시/MAG
만나	만나/VV+아/EC
입장을	입장/NNG+을/JKO
들어보기로	듣/VV+어/EC+보/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.6.3
한 위원장 측이 말하는 '12월 5일'은 그가 총파업과 함께 2차 서울 도심 시위를 열겠다고 공언한 날이다.

한	한/NNP
위원장	위원장/NNG
측이	측/NNB+이/JKS
말하는	말/NNG+하/XSV+는/ETM
'12월	'/SS+12/SN+월/NNB
5일'은	5/SN+일/NNB+'/SS+은/JX
그가	그/NP+가/JKS
총파업과	총파업/NNG+과/JKB
함께	함께/MAG
2차	2/SN+차/NNB
서울	서울/NNP
도심	도심/NNG
시위를	시위/NNG+를/JKO
열겠다고	열/VV+겠/EP+다고/EC
공언한	공언/NNG+하/XSV+ㄴ/ETM
날이다.	날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.188.6.4
그는 17일 저녁 민노총 홈페이지에 올린 '위원장 서신'에서 "12월 총파업 투쟁 현장에서 조합원들을 다시 뵙겠다"고 밝혔다.

그는	그/NP+는/JX
17일	17/SN+일/NNB
저녁	저녁/NNG
민노총	민노총/NNP
홈페이지에	홈페이지/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
'위원장	'/SS+위원장/NNG
서신'에서	서신/NNG+'/SS+에서/JKB
"12월	"/SS+12/SN+월/NNB
총파업	총파업/NNG
투쟁	투쟁/NNG
현장에서	현장/NNG+에서/JKB
조합원들을	조합원/NNG+들/XSN+을/JKO
다시	다시/MAG
뵙겠다"고	뵙/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.188.7.1
한 위원장이 조계사를 은신처로 택한 건 공권력이 미치기 어려운 종교 시설이란 점을 노린 것으로 보인다.

한	한/NNP
위원장이	위원장/NNG+이/JKS
조계사를	조계사/NNP+를/JKO
은신처로	은신처/NNG+로/JKB
택한	택하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
공권력이	공권력/NNG+이/JKS
미치기	미치/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
종교	종교/NNG
시설이란	시설/NNG+이/VCP+란/ETM
점을	점/NNG+을/JKO
노린	노리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.188.7.2
경찰 고위 관계자는 "종교 시설 안에서 체포 영장을 집행하기엔 부담스러운 측면이 있다"고 말했다.

경찰	경찰/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"종교	"/SS+종교/NNG
시설	시설/NNG
안에서	안/NNG+에서/JKB
체포	체포/NNG
영장을	영장/NNG+을/JKO
집행하기엔	집행/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.7.3
경찰력을 투입했다가 민노총 조합원과 몸싸움이 벌어지고 이 과정에서 불상사라도 벌어지면 여론의 역풍을 맞을 수도 있다는 것이다.

경찰력을	경찰력/NNG+을/JKO
투입했다가	투입/NNG+하/XSV+았/EP+다가/EC
민노총	민노총/NNP
조합원과	조합원/NNG+과/JKB
몸싸움이	몸싸움/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
이	이/MMD
과정에서	과정/NNG+에서/JKB
불상사라도	불상사/NNG+이/VCP+라도/EC
벌어지면	벌어지/VV+면/EC
여론의	여론/NNG+의/JKG
역풍을	역풍/NNG+을/JKO
맞을	맞/VV+을/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.188.7.4
한 위원장은 14일 시위에서 "노동자·민중이 분노하면 나라 전체를 마비시킬 수 있다는 것을 똑똑히 보여주자"며 과격 시위를 선동했다.

한	한/NNP
위원장은	위원장/NNG+은/JX
14일	14/SN+일/NNB
시위에서	시위/NNG+에서/JKB
"노동자·민중이	"/SS+노동자/NNG+·/SP+민중/NNG+이/JKS
분노하면	분노/NNG+하/XSV+면/EC
나라	나라/NNG
전체를	전체/NNG+를/JKO
마비시킬	마비/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
똑똑히	똑똑히/MAG
보여주자"며	보이/VV+어/EC+주/VX+자/EF+"/SS+며/EC
과격	과격/NNG
시위를	시위/NNG+를/JKO
선동했다.	선동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.7.5
그런 그가 공권력의 탄압을 받는 약자(弱者) 행세를 하려는 게 아니냐는 지적도 있다.

그런	그런/MMD
그가	그/NP+가/JKS
공권력의	공권력/NNG+의/JKG
탄압을	탄압/NNG+을/JKO
받는	받/VV+는/ETM
약자(弱者)	약자/NNG+(/SS+弱者/SH+)/SS
행세를	행세/NNG+를/JKO
하려는	하/VV+려는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.188.8.1
조계사는 그동안 불법 시위 주도자들의 단골 도피처가 돼 왔다.

조계사는	조계사/NNP+는/JX
그동안	그동안/NNG
불법	불법/NNG
시위	시위/NNG
주도자들의	주도자/NNG+들/XSN+의/JKG
단골	단골/NNG
도피처가	도피처/NNG+가/JKC
돼	되/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.188.8.2
2008년 경찰의 수배를 받던 '광우병 국민대책회의' 간부들과 이석행 당시 민노총 위원장이 조계사로 피신해 3개월을 지냈다.

2008년	2008/SN+년/NNB
경찰의	경찰/NNG+의/JKG
수배를	수배/NNG+를/JKO
받던	받/VV+던/ETM
'광우병	'/SS+광우병/NNG
국민대책회의'	국민/NNG+대책/NNG+회의/NNG+'/SS
간부들과	간부/NNG+들/XSN+과/JC
이석행	이석행/NNP
당시	당시/NNG
민노총	민노총/NNP
위원장이	위원장/NNG+이/JKS
조계사로	조계사/NNP+로/JKB
피신해	피신/NNG+하/XSV+아/EC
3개월을	3/SN+개월/NNB+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.188.8.3
2013년 12월엔 철도 파업을 주도한 혐의로 경찰의 수배를 받아온 박태만 철도노조 수석 부위원장이 20여일간 머물렀다.

2013년	2013/SN+년/NNB
12월엔	12/SN+월/NNB+에/JKB+ㄴ/JX
철도	철도/NNG
파업을	파업/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
경찰의	경찰/NNG+의/JKG
수배를	수배/NNG+를/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
박태만	박태만/NNP
철도노조	철도노조/NNP
수석	수석/NNG
부위원장이	부위원장/NNG+이/JKS
20여일간	20/SN+여/XSN+일/NNB+간/XSN
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.188.8.4
그러나 시위 자체를 봉쇄하던 권위주의 시절도 아니고 합법 시위가 보장된 마당에 사찰이 불법 시위꾼들의 은신처가 되는 게 옳으냐는 지적도 나온다.

그러나	그러나/MAJ
시위	시위/NNG
자체를	자체/NNG+를/JKO
봉쇄하던	봉쇄/NNG+하/XSV+던/ETM
권위주의	권위주의/NNG
시절도	시절/NNG+도/JX
아니고	아니/VCN+고/EC
합법	합법/NNG
시위가	시위/NNG+가/JKS
보장된	보장/NNG+되/XSV+ㄴ/ETM
마당에	마당/NNB+에/JKB
사찰이	사찰/NNG+이/JKS
불법	불법/NNG
시위꾼들의	시위/NNG+꾼/XSN+들/XSN+의/JKG
은신처가	은신처/NNG+가/JKC
되는	되/VV+는/ETM
게	거/NNB+이/JKS
옳으냐는	옳/VA+으냐는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.188.8.5
과거 민주화 인사의 피난처 역할을 해온 명동성당은 1990년대 후반부터 농성자 퇴거(退去)를 요구하고 경찰에 시설보호를 요청하고 있다.

과거	과거/NNG
민주화	민주/NNG+화/XSN
인사의	인사/NNG+의/JKG
피난처	피난처/NNG
역할을	역할/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
명동성당은	명동성당/NNP+은/JX
1990년대	1990/SN+년대/NNB
후반부터	후반/NNG+부터/JX
농성자	농성자/NNG
퇴거(退去)를	퇴거/NNG+(/SS+退去/SH+)/SS+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
경찰에	경찰/NNG+에/JKB
시설보호를	시설/NNG+보호/NNG+를/JKO
요청하고	요청/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.188.9.1
경찰 안팎에선 한 위원장이 12월 5일 2차 시위까지 조계사에서 머물면서 대규모 폭력 시위를 기획하고 준비할 것이란 관측이 많다.

경찰	경찰/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
한	한/NNP
위원장이	위원장/NNG+이/JKS
12월	12/SN+월/NNB
5일	5/SN+일/NNB
2차	2/SN+차/NNB
시위까지	시위/NNG+까지/JX
조계사에서	조계사/NNP+에서/JKB
머물면서	머물/VV+면서/EC
대규모	대/XPN+규모/NNG
폭력	폭력/NNG
시위를	시위/NNG+를/JKO
기획하고	기획/NNG+하/XSV+고/EC
준비할	준비/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
관측이	관측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.188.9.2
민노총 금속노조 쌍용차지부장 출신인 한 위원장은 2009년 일명 '옥쇄파업'을 주도해 3년간 복역하고 이후에도 171일간 송전탑 고공농성을 벌였다.

민노총	민노총/NNP
금속노조	금속노조/NNP
쌍용차지부장	쌍용차/NNP+지부장/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
한	한/NNP
위원장은	위원장/NNG+은/JX
2009년	2009/SN+년/NNB
일명	일명/NNG
'옥쇄파업'을	'/SS+옥쇄/NNG+파업/NNG+'/SS+을/JKO
주도해	주도/NNG+하/XSV+아/EC
3년간	3/SN+년/NNB+간/XSN
복역하고	복역/NNG+하/XSV+고/EC
이후에도	이후/NNG+에/JKB+도/JX
171일간	171/SN+일/NNB+간/XSN
송전탑	송전탑/NNG
고공농성을	고공/NNG+농성/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.188.9.3
경찰 관계자는 "조계사가 불법 시위를 준비하는 '투쟁본부'의 임시 지휘소가 될 가능성이 있다"고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"조계사가	"/SS+조계사/NNP+가/JKS
불법	불법/NNG
시위를	시위/NNG+를/JKO
준비하는	준비/NNG+하/XSV+는/ETM
'투쟁본부'의	'/SS+투쟁/NNG+본부/NNG+'/SS+의/JKG
임시	임시/NNG
지휘소가	지휘소/NNG+가/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


