# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.308
metadata : {}


# id : NWRW1800000048.308.1.1
“어떻게 차벽 뚫고 청와대로 가고, 간들 뭐하겠냐”

“어떻게	“/SS+어떻/VA+게/EC
위원장은	위원장/NNG+은/JX
27일	27/SN+일/NNB
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
새달	새달/NNG
5일로	5/SN+일/NNB+로/JKB
예고된	예고/NNG+되/XSV+ㄴ/ETM
‘2차	‘/SS+2/SN+차/NNB
민중총궐기’	민중/NNG+총궐기/NNG+’/SS
대회의	대회/NNG+의/JKG
평화적	평화/NNG+적/XSN
개최를	개최/NNG+를/JKO
약속하면서도,	약속/NNG+하/XSV+면서/EC+도/JX+,/SP
노동개혁에	노동/NNG+개혁/NNG+에/JKB
관해	관하/VV+아/EC
대화를	대화/NNG+를/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
채	채/NNB
강경	강경/NNG
대응으로만	대응/NNG+으로/JKB+만/JX
치닫는	치닫/VV+는/ETM
정부	정부/NNG
행태를	행태/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.6.1
한 위원장은 ‘폭력 시위’로 연일 정부와 보수언론의 뭇매를 맞고 있는 지난 14일 민중총궐기대회에 대해 “집회 참가자들이 밧줄로 차벽을 뚫으려 했던 것은 실정법 위반이 맞고 이를 부인한 적은 없다.

한	한/NNP
위원장은	위원장/NNG+은/JX
‘폭력	‘/SS+폭력/NNG
시위’로	시위/NNG+’/SS+로/JKB
연일	연일/MAG
정부와	정부/NNG+와/JC
보수언론의	보수/NNG+언론/NNG+의/JKG
뭇매를	뭇매/NNG+를/JKO
맞고	맞/VV+고/EC
있는	있/VX+는/ETM
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
민중총궐기대회에	민중/NNG+총궐기/NNG+대회/NNG+에/JKB
대해	대하/VV+아/EC
“집회	“/SS+집회/NNG
참가자들이	참가자/NNG+들/XSN+이/JKS
밧줄로	밧줄/NNG+로/JKB
차벽을	차/NNG+벽/NNG+을/JKO
뚫으려	뚫/VV+으려/EC
했던	하/VX+았/EP+던/ETM
것은	것/NNB+은/JX
실정법	실정법/NNG
위반이	위반/NNG+이/JKS
이를	이/NP+를/JKO
부인한	부인/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.308.6.2
그런 행동을 한 사람들은 모두 책임을 감수하고 있다”면서도 “경찰이 집회·행진을 막고 차벽과 물대포로 대응한 폭력에 대해선 어떤 언급도 하지 않고 (물대포에 맞아 중태에 빠진) 백남기씨에 대한 사과도 하지 않는 것에 분노를 느낀다”고 했다.

그런	그런/MMD
행동을	행동/NNG+을/JKO
한	하/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
모두	모두/MAG
책임을	책임/NNG+을/JKO
감수하고	감수/NNG+하/XSV+고/EC
있다”면서도	있/VX+다/EF+”/SS+면서/EC+도/JX
“경찰이	“/SS+경찰/NNG+이/JKS
집회·행진을	집회/NNG+·/SP+행진/NNG+을/JKO
막고	막/VV+고/EC
차벽과	차/NNG+벽/NNG+과/JC
물대포로	물대포/NNG+로/JKB
대응한	대응/NNG+하/XSV+ㄴ/ETM
폭력에	폭력/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
어떤	어떤/MMD
언급도	언급/NNG+도/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
(물대포에	(/SS+물대포/NNG+에/JKB
맞아	맞/VV+아/EC
중태에	중태/NNG+에/JKB
빠진)	빠지/VV+ㄴ/ETM+)/SS
백남기씨에	백남기/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
사과도	사과/NNG+도/JX
않는	않/VX+는/ETM
것에	것/NNB+에/JKB
분노를	분노/NNG+를/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.6.3
집회 참가자들이 ‘청와대 행진을 고집한다’는 지적에 대해서는 “맨손인 집회 참가자들이 어떻게 차벽을 뚫고 청와대로 가겠으며, 또 간들 뭐하겠냐”며 “‘청와대로 가자’는 말은 청와대가 국민들의 목소리를 들으라는 의미”라고 했다.

집회	집회/NNG
참가자들이	참가자/NNG+들/XSN+이/JKS
‘청와대	‘/SS+청와대/NNP
행진을	행진/NNG+을/JKO
고집한다’는	고집/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
지적에	지적/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“맨손인	“/SS+맨/XPN+손/NNG+이/VCP+ㄴ/ETM
어떻게	어떻/VA+게/EC
차벽을	차/NNG+벽/NNG+을/JKO
뚫고	뚫/VV+고/EC
청와대로	청와대/NNP+로/JKB
가겠으며,	가/VV+겠/EP+으며/EC+,/SP
또	또/MAG
간들	가/VV+ㄴ들/EC
뭐하겠냐”며	뭐/NP+하/XSA+겠/EP+냐/EF+”/SS+며/EC
“‘청와대로	“/SS+‘/SS+청와대/NNP+로/JKB
가자’는	가/VV+자/EF+’/SS+는/ETM
말은	말/NNG+은/JX
청와대가	청와대/NNP+가/JKS
국민들의	국민/NNG+들/XSN+의/JKG
목소리를	목소리/NNG+를/JKO
들으라는	듣/VV+으라는/ETM
의미”라고	의미/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.7.1
“정부 처음부터 집회·행진 막아서

“정부	“/SS+정부/NNG
처음부터	처음/NNG+부터/JX
집회·행진	집회/NNG+·/SP+행진/NNG
막아서	막/VV+아서/EC


# id : NWRW1800000048.308.8.1
경찰 폭력은 언급하지 않고

경찰	경찰/NNG
폭력은	폭력/NNG+은/JX
언급하지	언급/NNG+하/XSV+지/EC
않고	않/VX+고/EC


# id : NWRW1800000048.308.9.1
백남기씨에 사과도 안해 분노

백남기씨에	백남기/NNP+씨/NNB+에/JKB
사과도	사과/NNG+도/JX
안해	안/MAG+하/VV+아/EC
분노	분노/NNG


# id : NWRW1800000048.308.10.1
2차 궐기대회 평화집회 약속…

2차	2/SN+차/NNB
궐기대회	궐기/NNG+대회/NNG
평화집회	평화/NNG+집회/NNG
약속…	약속/NNG+…/SE


# id : NWRW1800000048.308.11.1
노동개악 중단한다면

노동개악	노동/NNG+개악/NNG
중단한다면	중단/NNG+하/XSV+ㄴ다면/EC


# id : NWRW1800000048.308.12.1
당장 조계사서 나갈 의사”

당장	당장/NNG
조계사서	조계사/NNP+서/JKB
나갈	나가/VV+ㄹ/ETM
의사”	의사/NNG+”/SS


# id : NWRW1800000048.308.13.1
주최 쪽이 ‘평화 집회’를 거듭 천명하고 있는데도 경찰이 지난 집회의 폭력성을 들어 2차 총궐기 집회를 불허할 방침을 밝히고 있는 것과 관련해선 “법적으로 불허할 수 있는 근거는 없다”고 목소리를 높였다.

주최	주최/NNG
쪽이	쪽/NNB+이/JKS
‘평화	‘/SS+평화/NNG
집회’를	집회/NNG+’/SS+를/JKO
거듭	거듭/MAG
천명하고	천명/NNG+하/XSV+고/EC
있는데도	있/VX+는데/EC+도/JX
경찰이	경찰/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
집회의	집회/NNG+의/JKG
폭력성을	폭력/NNG+성/XSN+을/JKO
들어	들/VV+어/EC
2차	2/SN+차/NNB
총궐기	총궐기/NNG
집회를	집회/NNG+를/JKO
불허할	불허/NNG+하/XSV+ㄹ/ETM
방침을	방침/NNG+을/JKO
밝히고	밝히/VV+고/EC
있는	있/VA+는/ETM
것과	것/NNB+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
“법적으로	“/SS+법/NNG+적/XSN+으로/JKB
수	수/NNB
근거는	근거/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.308.13.2
그는 “집회를 막겠다는 것은 권력을 유지하는 데 걸림돌이 되는 어떤 목소리도 듣지 않겠다는 것”이라고 말했다.

그는	그/NP+는/JX
“집회를	“/SS+집회/NNG+를/JKO
막겠다는	막/VV+겠/EP+다는/ETM
것은	것/NNB+은/JX
권력을	권력/NNG+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
데	데/NNB
걸림돌이	걸림돌/NNG+이/JKC
되는	되/VV+는/ETM
어떤	어떤/MMD
목소리도	목소리/NNG+도/JX
듣지	듣/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.13.3
한 위원장은 “경찰이 물대포를 쏘더라도 평화적인 시위를 하겠다”며 “종교계에서도 중재에 나선 만큼 평화적인 집회를 국민들한테 약속한다”고 했다.

한	한/NNP
위원장은	위원장/NNG+은/JX
“경찰이	“/SS+경찰/NNG+이/JKS
물대포를	물대포/NNG+를/JKO
쏘더라도	쏘/VV+더라도/EC
평화적인	평화/NNG+적/XSN+이/VCP+ㄴ/ETM
시위를	시위/NNG+를/JKO
하겠다”며	하/VV+겠/EP+다/EF+”/SS+며/EC
“종교계에서도	“/SS+종교/NNG+계/XSN+에서/JKB+도/JX
중재에	중재/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
만큼	만큼/NNB
집회를	집회/NNG+를/JKO
국민들한테	국민/NNG+들/XSN+한테/JKB
약속한다”고	약속/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.14.1
조계사에서 나와 자진출두하라는 요구에 대해선 “평화대행진이 보장되고 노동 입법과 관련한 국회의 상황 등을 종합해서 당일(5일) 저녁 국민들에게 거취에 대한 입장을 밝히겠다”고 했다.

조계사에서	조계사/NNP+에서/JKB
나와	나오/VV+아/EC
자진출두하라는	자진/NNG+출두/NNG+하/XSV+라는/ETM
요구에	요구/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“평화대행진이	“/SS+평화/NNG+대/XPN+행진/NNG+이/JKS
보장되고	보장/NNG+되/XSV+고/EC
노동	노동/NNG
입법과	입법/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
국회의	국회/NNG+의/JKG
상황	상황/NNG
등을	등/NNB+을/JKO
종합해서	종합/NNG+하/XSV+아서/EC
당일(5일)	당일/NNG+(/SS+5/SN+일/NNB+)/SS
저녁	저녁/NNG
국민들에게	국민/NNG+들/XSN+에게/JKB
거취에	거취/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝히겠다”고	밝히/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.14.2
정부가 취업규칙 개정과 일반해고 도입 등 ‘노동 개악’을 중단한다면 “당장이라도 나갈 의사가 있다”고도 했다.

정부가	정부/NNG+가/JKS
취업규칙	취업/NNG+규칙/NNG
개정과	개정/NNG+과/JC
일반해고	일반/NNG+해고/NNG
도입	도입/NNG
등	등/NNB
‘노동	‘/SS+노동/NNG
개악’을	개악/NNG+’/SS+을/JKO
중단한다면	중단/NNG+하/XSV+ㄴ다면/EC
“당장이라도	“/SS+당장/NNG+이/VCP+라도/EC
나갈	나가/VV+ㄹ/ETM
의사가	의사/NNG+가/JKS
있다”고도	있/VA+다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.15.1
한 위원장은 이날 인터뷰 과정에서 “대통령과 여당 의원들이 (조계사를) 범법자를 보호하는 곳으로 규정하고 압박을 해대고 있고, 신세 지는 것만도 죄송하다”며 불교계에 대한 고마움과 미안함을 강조했다.

한	한/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
인터뷰	인터뷰/NNG
과정에서	과정/NNG+에서/JKB
“대통령과	“/SS+대통령/NNG+과/JC
여당	여당/NNG
의원들이	의원/NNG+들/XSN+이/JKS
(조계사를)	(/SS+조계사/NNP+를/JKO+)/SS
범법자를	범법자/NNG+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
곳으로	곳/NNG+으로/JKB
규정하고	규정/NNG+하/XSV+고/EC
압박을	압박/NNG+을/JKO
해대고	하/VV+아/EC+대/VX+고/EC
있고,	있/VX+고/EC+,/SP
신세	신세/NNG
지는	지/VV+는/ETM
것만도	것/NNB+만/JX+도/JX
죄송하다”며	죄송하/VA+다/EF+”/SS+며/EC
불교계에	불교/NNG+계/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
고마움과	고마움/NNG+과/JC
미안함을	미안/NNG+하/XSA+ㅁ/ETN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.308.15.2
그는 “정부가 13만명의 시위 참가자들을 테러리스트로 규정하고 있는 상황에서 아픈 중생을 부처님의 품에 받아준 것에 용기를 내서 살고 있다”며 “노동자들의 삶에 대해 좀더 진솔하게 성찰하고, 대통령 공약처럼 함께 사는 대한민국이 될 수 있도록 불자로서 게으르게 하지 않고 기도드리겠다”고 했다.

그는	그/NP+는/JX
“정부가	“/SS+정부/NNG+가/JKS
13만명의	13/SN+만/NR+명/NNB+의/JKG
시위	시위/NNG
참가자들을	참가자/NNG+들/XSN+을/JKO
테러리스트로	테러리스트/NNG+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
아픈	아프/VA+ㄴ/ETM
중생을	중생/NNG+을/JKO
부처님의	부처/NNP+님/XSN+의/JKG
품에	품/NNG+에/JKB
받아준	받/VV+아/EC+주/VX+ㄴ/ETM
것에	것/NNB+에/JKB
용기를	용기/NNG+를/JKO
내서	내/VV+어서/EC
살고	살/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“노동자들의	“/SS+노동자/NNG+들/XSN+의/JKG
삶에	삶/NNG+에/JKB
대해	대하/VV+아/EC
좀더	좀/MAG+더/MAG
진솔하게	진솔하/VA+게/EC
성찰하고,	성찰/NNG+하/XSV+고/EC+,/SP
대통령	대통령/NNG
공약처럼	공약/NNG+처럼/JKB
함께	함께/MAG
사는	살/VV+는/ETM
대한민국이	대한민국/NNP+이/JKS
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
불자로서	불자/NNG+로서/JKB
게으르게	게으르/VA+게/EC
하지	하/VX+지/EC
않고	않/VX+고/EC
기도드리겠다”고	기도/NNG+드리/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


