# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.221
metadata : {}


# id : NWRW1800000037.221.1.1
술집 1곳 정해놓고… 공무원들에 性접대

술집	술집/NNG
대전에	대전/NNP+에/JKB
세워졌고	세우/VV+어/EC+지/VX+었/EP+고/EC
2007년	2007/SN+년/NNB
제2통합센터가	제/XPN+2/SN+통합/NNG+센터/NNG+가/JKS
광주에	광주/NNP+에/JKB
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.5.1
통합센터는 수많은 전산장비와 서버, 컴퓨터 프로그램 등을 보유하고 있다.

통합센터는	통합/NNG+센터/NNG+는/JX
수많은	수많/VA+은/ETM
전산장비와	전산/NNG+장비/NNG+와/JC
서버,	서버/NNG+,/SP
컴퓨터	컴퓨터/NNG
프로그램	프로그램/NNG
등을	등/NNB+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.221.5.2
장비와 프로그램 유지보수는 외부 IT업체에 용역을 맡기는데 센터가 입찰공고를 내면 지역 IT업체들이 응모하고, 그중 가장 좋은 조건을 제시한 업체가 용역을 따가는 식이다.

장비와	장비/NNG+와/JC
프로그램	프로그램/NNG
유지보수는	유지/NNG+보수/NNG+는/JX
외부	외부/NNG
IT업체에	IT/SL+업체/NNG+에/JKB
용역을	용역/NNG+을/JKO
맡기는데	맡기/VV+는데/EC
센터가	센터/NNG+가/JKS
입찰공고를	입찰/NNG+공고/NNG+를/JKO
내면	내/VV+면/EC
지역	지역/NNG
IT업체들이	IT/SL+업체/NNG+들/XSN+이/JKS
응모하고,	응모/NNG+하/XSV+고/EC+,/SP
그중	그중/NNG
가장	가장/MAG
좋은	좋/VA+은/ETM
조건을	조건/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
업체가	업체/NNG+가/JKS
따가는	따/VV+아/EC+가/VX+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.221.6.1
응찰 업체 중 한 곳이었던 D사는 2012년 11월 센터가 발주한 소프트웨어 유지보수 용역 등 9개 용역사업 중에서 7개를 ‘싹쓸이’했다.

응찰	응찰/NNG
업체	업체/NNG
중	중/NNB
한	한/MMN
곳이었던	곳/NNG+이/VCP+었/EP+던/ETM
D사는	D사/NNG+는/JX
2012년	2012/SN+년/NNB
11월	11/SN+월/NNB
센터가	센터/NNG+가/JKS
발주한	발주/NNG+하/XSV+ㄴ/ETM
소프트웨어	소프트웨어/NNG
유지보수	유지/NNG+보수/NNG
용역	용역/NNG
등	등/NNB
9개	9/SN+개/NNB
용역사업	용역/NNG+사업/NNG
중에서	중/NNB+에서/JKB
7개를	7/SN+개/NNB+를/JKO
‘싹쓸이’했다.	‘/SS+싹쓸이/NNG+’/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.6.2
돈으로 치면 400억 원 규모였다.

돈으로	돈/NNG+으로/JKB
치면	치/VV+면/EC
400억	400/SN+억/NR
원	원/NNB
규모였다.	규모/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.221.6.3
비슷한 시기 광주시내 한 유흥주점에 ‘정부 공무원들이 자주 들른다’는 소문도 퍼졌다.

비슷한	비슷하/VA+ㄴ/ETM
시기	시기/NNG
광주시내	광주/NNP+시내/NNG
한	한/MMN
유흥주점에	유흥/NNG+주점/NNG+에/JKB
‘정부	‘/SS+정부/NNG
공무원들이	공무원/NNG+들/XSN+이/JKS
자주	자주/MAG
들른다’는	들르/VV+ㄴ다/EF+’/SS+는/ETM
소문도	소문/NNG+도/JX
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.7.1
올해 6월경 경찰에 첩보가 입수됐다.

올해	올해/NNG
6월경	6/SN+월/NNB+경/XSN
경찰에	경찰/NNG+에/JKB
첩보가	첩보/NNG+가/JKS
입수됐다.	입수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.7.2
“D사가 정부통합센터 공무원들과 입찰 및 용역과정에서 심사를 담당하는 심사위원들을 체계적으로 ‘관리’하고 있다”는 내용이었다.

“D사가	“/SS+D사/NNG+가/JKS
정부통합센터	정부/NNG+통합/NNG+센터/NNG
공무원들과	공무원/NNG+들/XSN+과/JKB
입찰	입찰/NNG
및	및/MAG
용역과정에서	용역/NNG+과정/NNG+에서/JKB
심사를	심사/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
심사위원들을	심사/NNG+위원/NNG+들/XSN+을/JKO
체계적으로	체계/NNG+적/XSN+으로/JKB
‘관리’하고	‘/SS+관리/NNG+’/SS+하/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.221.7.3
경찰청 지능범죄수사팀은 정부통합센터와 D사 사이의 연결고리를 내사하기 시작했다.

경찰청	경찰청/NNG
지능범죄수사팀은	지능/NNG+범죄/NNG+수사/NNG+팀/NNG+은/JX
정부통합센터와	정부/NNG+통합/NNG+센터/NNG+와/JC
D사	D사/NNG
사이의	사이/NNG+의/JKG
연결고리를	연결/NNG+고리/NNG+를/JKO
내사하기	내사/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.7.4
뇌물 수수 의혹이 있는 공무원과 심사위원들의 휴대전화 및 계좌를 추적했다.

뇌물	뇌물/NNG
수수	수수/NNG
의혹이	의혹/NNG+이/JKS
있는	있/VA+는/ETM
공무원과	공무원/NNG+과/JC
심사위원들의	심사/NNG+위원/NNG+들/XSN+의/JKG
휴대전화	휴대/NNG+전화/NNG
및	및/MAG
계좌를	계좌/NNG+를/JKO
추적했다.	추적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.8.1
전산시스템 유지보수 용역 입찰 과정에서 돈과 접대가 오갔다는 진술을 확보한 경찰은 올해 9월 11일 광주 정부통합전산센터, D사 사무실, D사 대표 문모 씨의 자택 등 11곳에 수사관 28명을 급파해 전격 압수수색하며 공개수사로 전환했다.

전산시스템	전산/NNG+시스템/NNG
유지보수	유지/NNG+보수/NNG
용역	용역/NNG
입찰	입찰/NNG
과정에서	과정/NNG+에서/JKB
돈과	돈/NNG+과/JC
접대가	접대/NNG+가/JKS
오갔다는	오가/VV+았/EP+다는/ETM
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
경찰은	경찰/NNG+은/JX
올해	올해/NNG
9월	9/SN+월/NNB
11일	11/SN+일/NNB
광주	광주/NNP
정부통합전산센터,	정부통합전산센터/NNP+,/SP
D사	D사/NNG
사무실,	사무실/NNG+,/SP
대표	대표/NNG
문모	문/NNP+모/NP
씨의	씨/NNB+의/JKG
자택	자택/NNG
등	등/NNB
11곳에	11/SN+곳/NNG+에/JKB
수사관	수사관/NNG
28명을	28/SN+명/NNB+을/JKO
급파해	급파/NNG+하/XSV+아/EC
전격	전격/NNG
압수수색하며	압수/NNG+수색/NNG+하/XSV+며/EC
공개수사로	공개수사/NNG+로/JKB
전환했다.	전환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.8.2
경찰은 입찰 관련 서류와 컴퓨터 하드디스크 등 관련 증거물을 확보했다.

경찰은	경찰/NNG+은/JX
입찰	입찰/NNG
관련	관련/NNG
서류와	서류/NNG+와/JC
컴퓨터	컴퓨터/NNG
하드디스크	하드/NNG+디스크/NNG
등	등/NNB
증거물을	증거물/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.9.1
그 결과 외견상 이권과 별 상관없이 보이는 전산센터 직원들마저도 향응과 부패에 심각하게 젖어 있었음이 드러났다.

그	그/MMD
결과	결과/NNG
외견상	외견/NNG+상/XSN
이권과	이권/NNG+과/JKB
별	별/MMA
상관없이	상관없이/MAG
보이는	보이/VV+는/ETM
전산센터	전산/NNG+센터/NNG
직원들마저도	직원/NNG+들/XSN+마저/JX+도/JX
향응과	향응/NNG+과/JC
부패에	부패/NNG+에/JKB
심각하게	심각하/VA+게/EC
젖어	젖/VV+어/EC
있었음이	있/VX+었/EP+음/ETN+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.9.2
업소에서 찾아낸 매출장부에는 2010년부터 올해까지 약 70차례에 걸쳐 ‘○월 ○일 얼마, △월 △일 얼마…’ 식으로 D사가 공무원과 심사위원들을 접대한 날짜와 액수가 적혀 있었다.

업소에서	업소/NNG+에서/JKB
찾아낸	찾아내/VV+ㄴ/ETM
매출장부에는	매출/NNG+장부/NNG+에/JKB+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
올해까지	올해/NNG+까지/JX
약	약/MMA
70차례에	70/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
‘○월	‘/SS+○/SW+월/NNB
○일	○/SW+일/NNB
얼마,	얼마/NNG+,/SP
△월	△/SW+월/NNB
△일	△/SW+일/NNB
얼마…’	얼마/NNG+…/SE+’/SS
식으로	식/NNG+으로/JKB
D사가	D사/NNG+가/JKS
공무원과	공무원/NNG+과/JC
심사위원들을	심사/NNG+위원/NNG+들/XSN+을/JKO
접대한	접대/NNG+하/XSV+ㄴ/ETM
날짜와	날짜/NNG+와/JC
액수가	액수/NNG+가/JKS
적혀	적히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.221.9.3
공무원과 심사위원들이 골프 접대를 받은 사실도 드러났다.

공무원과	공무원/NNG+과/JC
심사위원들이	심사/NNG+위원/NNG+들/XSN+이/JKS
골프	골프/NNG
접대를	접대/NNG+를/JKO
받은	받/VV+은/ETM
사실도	사실/NNG+도/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.10.1
술 접대뿐만 아니라 성 접대 정황도 담겨 있었다.

술	술/NNG
접대뿐만	접대/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
성	성/NNG
접대	접대/NNG
정황도	정황/NNG+도/JX
담겨	담기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.221.10.2
‘2차(성 접대)’를 간 날에는 따로 표시가 돼 있었다.

‘2차(성	‘/SS+2/SN+차/NNB+(/SS+성/NNG
접대)’를	접대/NNG+)/SS+’/SS+를/JKO
간	가/VV+ㄴ/ETM
날에는	날/NNG+에/JKB+는/JX
따로	따로/MAG
표시가	표시/NNG+가/JKC
돼	되/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.221.10.3
경찰은 “1차로 해당 업소에서 술을 마시고 이들 중 상당수는 2차로 다른 장소로 옮겨 성 접대를 받았다”고 14일 밝혔다.

경찰은	경찰/NNG+은/JX
“1차로	“/SS+1/SN+차/NNB+로/JKB
해당	해당/NNG
업소에서	업소/NNG+에서/JKB
술을	술/NNG+을/JKO
마시고	마시/VV+고/EC
이들	이/NP+들/XSN
중	중/NNB
상당수는	상당수/NNG+는/JX
2차로	2/SN+차/NNB+로/JKB
다른	다른/MMD
장소로	장소/NNG+로/JKB
옮겨	옮기/VV+어/EC
성	성/NNG
접대를	접대/NNG+를/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.10.4
경찰은 수사과정에서 광주시내 유흥업소 중 한 곳을 D사가 아예 단골로 ‘찍어놓고’ 공무원을 대접한다는 진술을 확보했다.

경찰은	경찰/NNG+은/JX
수사과정에서	수사/NNG+과정/NNG+에서/JKB
광주시내	광주/NNP+시내/NNG
유흥업소	유흥업소/NNG
중	중/NNB
한	한/MMN
곳을	곳/NNG+을/JKO
D사가	D사/NNG+가/JKS
아예	아예/MAG
단골로	단골/NNG+로/JKB
‘찍어놓고’	‘/SS+찍/VV+어/EC+놓/VX+고/EC+’/SS
공무원을	공무원/NNG+을/JKO
대접한다는	대접/NNG+하/XSV+ㄴ다는/ETM
진술을	진술/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.10.5
경찰은 바로 해당 업소를 압수수색했다.

경찰은	경찰/NNG+은/JX
바로	바로/MAG
해당	해당/NNG
업소를	업소/NNG+를/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.11.1
D사 관계자 및 유흥업소 직원들의 진술에 따르면 공무원들이 유흥업소에 가기 전 D사 관계자에게 전화를 걸면 D사 측은 유흥업소에 전화를 걸어 “우리가 대접할 분들이니까 알아서 잘 좀 해주세요”라고 주문한 것으로 알려졌다.

D사	D사/NNG
관계자	관계자/NNG
및	및/MAG
유흥업소	유흥업소/NNG
직원들의	직원/NNG+들/XSN+의/JKG
진술에	진술/NNG+에/JKB
따르면	따르/VV+면/EC
공무원들이	공무원/NNG+들/XSN+이/JKS
유흥업소에	유흥업소/NNG+에/JKB
가기	가/VV+기/ETN
전	전/NNG
관계자에게	관계자/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸면	걸/VV+면/EC
측은	측/NNB+은/JX
걸어	걸/VV+어/EC
“우리가	“/SS+우리/NP+가/JKS
대접할	대접/NNG+하/XSV+ㄹ/ETM
분들이니까	분/NNB+들/XSN+이/VCP+니까/EC
알아서	알/VV+아서/EC
잘	잘/MAG
좀	좀/MAG
해주세요”라고	하/VV+아/EC+주/VX+시/EP+어요/EF+”/SS+라고/JKQ
주문한	주문/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.11.2
술값과 화대는 물론 D사가 대신 냈다.

술값과	술값/NNG+과/JC
화대는	화대/NNG+는/JX
물론	물론/MAG
D사가	D사/NNG+가/JKS
대신	대신/NNG
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.12.1
경찰은 “현재 조사 중인 공무원과 심사위원은 20여 명이지만 수사가 끝나면 접대를 받은 인원이 더 늘어날 수도 있다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“현재	“/SS+현재/MAG
조사	조사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
공무원과	공무원/NNG+과/JC
심사위원은	심사/NNG+위원/NNG+은/JX
20여	20/SN+여/XSN
명이지만	명/NNB+이/VCP+지만/EC
수사가	수사/NNG+가/JKS
끝나면	끝나/VV+면/EC
접대를	접대/NNG+를/JKO
받은	받/VV+은/ETM
인원이	인원/NNG+이/JKS
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.13.1
광주지역 주요 대학의 교수들도 D사의 ‘관리대상’이었다.

광주지역	광주/NNP+지역/NNG
주요	주요/NNG
대학의	대학/NNG+의/JKG
교수들도	교수/NNG+들/XSN+도/JX
D사의	D사/NNG+의/JKG
‘관리대상’이었다.	‘/SS+관리/NNG+대상/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.221.13.2
입찰 과정에서 향후 심사위원으로 유력한 교수들은 D사로부터 ‘기프트카드’를 선물받았다.

입찰	입찰/NNG
과정에서	과정/NNG+에서/JKB
향후	향후/NNG
심사위원으로	심사/NNG+위원/NNG+으로/JKB
유력한	유력/NNG+하/XSA+ㄴ/ETM
교수들은	교수/NNG+들/XSN+은/JX
D사로부터	D사/NNG+로/JKB+부터/JX
‘기프트카드’를	‘/SS+기프트카드/NNG+’/SS+를/JKO
선물받았다.	선물/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.221.13.3
현금과 동일하게 쓸 수 있는 카드로 장당 10만∼50만 원짜리였다.

현금과	현금/NNG+과/JKB
동일하게	동일/NNG+하/XSA+게/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
카드로	카드/NNG+로/JKB
장당	장/NNB+당/XSN
10만∼50만	10/SN+만/NR+∼/SO+50/SN+만/NR
원짜리였다.	원/NNB+짜리/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.221.13.4
경찰은 “기프트카드를 받은 교수들 수는 아직 파악 중이지만 총액은 수천만 원 규모”라고 밝혔다.

경찰은	경찰/NNG+은/JX
“기프트카드를	“/SS+기프트카드/NNG+를/JKO
받은	받/VV+은/ETM
교수들	교수/NNG+들/XSN
수는	수/NNG+는/JX
아직	아직/MAG
파악	파악/NNG
중이지만	중/NNB+이/VCP+지만/EC
총액은	총액/NNG+은/JX
수천만	수천만/NR
원	원/NNB
규모”라고	규모/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.221.14.1
경찰은 “관련 공무원 등 전원을 소환해 뇌물 혐의 등으로 사법처리할 것”이라며 “기프트카드를 받은 교수들도 대가성이 밝혀지면 처벌할 것”이라고 밝혔다.

경찰은	경찰/NNG+은/JX
“관련	“/SS+관련/NNG
공무원	공무원/NNG
등	등/NNB
전원을	전원/NNG+을/JKO
소환해	소환/NNG+하/XSV+아/EC
뇌물	뇌물/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
사법처리할	사법/NNG+처리/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“기프트카드를	“/SS+기프트카드/NNG+를/JKO
받은	받/VV+은/ETM
교수들도	교수/NNG+들/XSN+도/JX
대가성이	대가/NNG+성/XSN+이/JKS
밝혀지면	밝히/VV+어/EC+지/VX+면/EC
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


