# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.229
metadata : {}


# id : NWRW1800000022.229.1.1
"내 딸아 얼짱 몸짱이 전부는 아니란다";외모에만 신경 쓰는 우리 아이 걱정된다면…

"내	"/SS+나/NP+의/JKG
없다고	없/VA+다고/EC
해도	하/VV+아도/EC
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.229.3.5
요즘에는 공부도 열심히 하지 않고 걸핏하면 대든다.

요즘에는	요즘/NNG+에/JKB+는/JX
공부도	공부/NNG+도/JX
열심히	열심히/MAG
하지	하/VV+지/EC
않고	않/VX+고/EC
걸핏하면	걸핏하면/MAG
대든다.	대들/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.4.1
사례 3_ 고등학교 1학년인 민준이(가명)는 남들이 가고 싶어하는 지방 명문고에 진학했지만, 최근 전학을 결심했다.

사례	사례/NNG
3_	3/SN+_/SS
고등학교	고등학교/NNG
1학년인	1/SN+학년/NNG+이/VCP+ㄴ/ETM
민준이(가명)는	민준이/NNP+(/SS+가명/NNG+)/SS+는/JX
남들이	남/NNG+들/XSN+이/JKS
가고	가/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
지방	지방/NNG
명문고에	명문고/NNG+에/JKB
진학했지만,	진학/NNG+하/XSV+았/EP+지만/EC+,/SP
최근	최근/NNG
전학을	전학/NNG+을/JKO
결심했다.	결심/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.4.2
두발규제가 심해 이를 참을 수 없었기 때문이다.

두발규제가	두발/NNG+규제/NNG+가/JKS
심해	심하/VA+아/EC
이를	이/NP+를/JKO
참을	참/VV+을/ETM
수	수/NNB
없었기	없/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.229.4.3
머리에 신경 쓰다 보니 학교 다니기가 싫어졌고 공부까지 멀어지게 됐다.

머리에	머리/NNG+에/JKB
신경	신경/NNG
쓰다	쓰/VV+다/EC
보니	보/VX+니/EC
학교	학교/NNG
다니기가	다니/VV+기/ETN+가/JKS
싫어졌고	싫/VA+어/EC+지/VX+었/EP+고/EC
공부까지	공부/NNG+까지/JX
멀어지게	멀어지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.229.4.4
이런 모습을 본 부모는 어쩔 수 없이 전학을 택했다.

이런	이런/MMD
모습을	모습/NNG+을/JKO
본	보/VV+ㄴ/ETM
부모는	부모/NNG+는/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
전학을	전학/NNG+을/JKO
택했다.	택하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.5.1
서울 모여고 1학년 진성(가명)이는 예뻐질 수만 있다면 구할 수 있는 물건은 다 써보는 타입이다.

서울	서울/NNP
모여고	모/MMD+여고/NNG
1학년	1/SN+학년/NNG
진성(가명)이는	진성/NNP+(/SS+가명/NNG+)/SS+이/NA+는/JX
예뻐질	예쁘/VA+어/EC+지/VX+ㄹ/ETM
수만	수/NNB+만/JX
있다면	있/VA+다면/EC
구할	구하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
물건은	물건/NNG+은/JX
다	다/MAG
써보는	쓰/VV+어/EC+보/VX+는/ETM
타입이다.	타입/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.229.5.2
평소 예쁘다는 얘기를 듣지만 몸이 성숙될수록 더 깔끔을 떤다.

평소	평소/NNG
예쁘다는	예쁘/VA+다는/ETM
얘기를	얘기/NNG+를/JKO
듣지만	듣/VV+지만/EC
몸이	몸/NNG+이/JKS
성숙될수록	성숙/NNG+되/XSV+ㄹ수록/EC
더	더/MAG
깔끔을	깔끔/NNG+을/JKO
떤다.	떨/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.5.3
학교 화장실에서 훨씬 더 예쁜 여자애와 부딪히면 눈을 흘겨보며 자신의 미모와 끊임없이 비교한다.

학교	학교/NNG
화장실에서	화장실/NNG+에서/JKB
훨씬	훨씬/MAG
더	더/MAG
예쁜	예쁘/VA+ㄴ/ETM
여자애와	여자애/NNG+와/JKB
부딪히면	부딪히/VV+면/EC
눈을	눈/NNG+을/JKO
흘겨보며	흘겨보/VV+며/EC
자신의	자신/NNG+의/JKG
미모와	미모/NNG+와/JKB
끊임없이	끊임없이/MAG
비교한다.	비교/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.5.4
그리고 몇 초 후 자신은 전혀 예쁘지 않은 소녀가 된다.

그리고	그리고/MAJ
몇	몇/NR
초	초/NNB
후	후/NNG
자신은	자신/NNG+은/JX
전혀	전혀/MAG
예쁘지	예쁘/VA+지/EC
않은	않/VX+은/ETM
소녀가	소녀/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.5.5
자신감을 잃은 채 화장실문을 나선다.

자신감을	자신감/NNG+을/JKO
잃은	잃/VV+은/ETM
채	채/NNB
화장실문을	화장실/NNG+문/NNG+을/JKO
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.6.1
◆외모와 자기혐오

◆외모와	◆/SW+외모/NNG+와/JC
자기혐오	자기혐오/NNG


# id : NWRW1800000022.229.7.1
바야흐로 루키즘(lookism)의 시대다.

바야흐로	바야흐로/MAG
루키즘(lookism)의	루키즘/NNG+(/SS+lookism/SL+)/SS+의/JKG
시대다.	시대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.229.7.2
이는 외모가 개인 간의 우열과 성패를 나눈다고 믿어 외모에 지나치게 집착하는 외모 지상주의를 뜻한다.

이는	이/NP+는/JX
외모가	외모/NNG+가/JKS
개인	개인/NNG
간의	간/NNB+의/JKG
우열과	우열/NNG+과/JC
성패를	성패/NNG+를/JKO
나눈다고	나누/VV+ㄴ다고/EC
믿어	믿/VV+어/EC
외모에	외모/NNG+에/JKB
지나치게	지나치/VA+게/EC
집착하는	집착/NNG+하/XSV+는/ETM
외모	외모/NNG
지상주의를	지상주의/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.7.3
"쟤, 얼굴 완전 조각이네"라는 한마디에 모든 것이 용서가 된다.

"쟤,	"/SS+쟤/NP+,/SP
얼굴	얼굴/NNG
완전	완전/NNG
조각이네"라는	조각/NNG+이/VCP+네/EF+"/SS+이/VCP+라는/ETM
한마디에	한마디/NNG+에/JKB
모든	모든/MMN
것이	것/NNB+이/JKS
용서가	용서/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.7.4
학생들에게 지나친 외모의 집착은 '헷갈리는 공식으로 세상을 대입하겠다'는 뜻과 다르지 않다.

학생들에게	학생/NNG+들/XSN+에게/JKB
지나친	지나치/VA+ㄴ/ETM
외모의	외모/NNG+의/JKG
집착은	집착/NNG+은/JX
'헷갈리는	'/SS+헷갈리/VV+는/ETM
공식으로	공식/NNG+으로/JKB
세상을	세상/NNG+을/JKO
대입하겠다'는	대입/NNG+하/XSV+겠/EP+다/EF+'/SS+는/ETM
뜻과	뜻/NNG+과/JKB
다르지	다르/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000022.229.8.1
소아정신과 전문의 손석한(41·연세 신경정신과) 박사는 "청소년기는 자의식이 발달하는 시기라서 자신이 남들에게 어떻게 보이는지 신경을 많이 쓴다"며 "뇌 발달 측면에서도 청소년기는 시각을 담당하는 후두엽이 왕성하게 성장하는 시기"라고 설명했다.

소아정신과	소아/NNG+정신과/NNG
전문의	전문의/NNG
손석한(41·연세	손석한/NNP+(/SS+41/SN+·/SP+연세/NNP
신경정신과)	신경/NNG+정신과/NNG+)/SS
박사는	박사/NNG+는/JX
"청소년기는	"/SS+청소년기/NNG+는/JX
자의식이	자의식/NNG+이/JKS
발달하는	발달/NNG+하/XSV+는/ETM
시기라서	시기/NNG+이/VCP+라서/EC
자신이	자신/NNG+이/JKS
남들에게	남/NNG+들/XSN+에게/JKB
어떻게	어떻/VA+게/EC
보이는지	보이/VV+는지/EC
신경을	신경/NNG+을/JKO
많이	많이/MAG
쓴다"며	쓰/VV+ㄴ다/EF+"/SS+며/EC
"뇌	"/SS+뇌/NNG
발달	발달/NNG
측면에서도	측면/NNG+에서/JKB+도/JX
청소년기는	청소년기/NNG+는/JX
시각을	시각/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
후두엽이	후두엽/NNG+이/JKS
왕성하게	왕성/NNG+하/XSA+게/EC
성장하는	성장/NNG+하/XSV+는/ETM
시기"라고	시기/NNG+"/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.9.1
이런 이유에서 학생들은 외모에 더욱 집착하고 화려한 것에 감성적으로 동조해 끌려 다닌다.

이런	이런/MMD
이유에서	이유/NNG+에서/JKB
학생들은	학생/NNG+들/XSN+은/JX
외모에	외모/NNG+에/JKB
더욱	더욱/MAG
집착하고	집착/NNG+하/XSV+고/EC
화려한	화려하/VA+ㄴ/ETM
것에	것/NNB+에/JKB
감성적으로	감성/NNG+적/XSN+으로/JKB
동조해	동조/NNG+하/XSV+아/EC
끌려	끌리/VV+어/EC
다닌다.	다니/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.9.2
대구지역 청소년상담원을 찾은 혜미(17)는 자신의 몸과 몸무게를 끊임없이 트집 잡는 스타일이다.

대구지역	대구/NNP+지역/NNG
청소년상담원을	청소년/NNG+상담원/NNG+을/JKO
찾은	찾/VV+은/ETM
혜미(17)는	혜미/NNP+(/SS+17/SN+)/SS+는/JX
자신의	자신/NNG+의/JKG
몸과	몸/NNG+과/JC
몸무게를	몸무게/NNG+를/JKO
끊임없이	끊임없이/MAG
트집	트집/NNG
잡는	잡/VV+는/ETM
스타일이다.	스타일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.229.9.3
음식 한 숟가락에 든 열량에 집착하며 몸무게가 조금이라도 늘면 참담함과 자기 혐오에 빠진다.

음식	음식/NNG
한	한/MMN
숟가락에	숟가락/NNG+에/JKB
든	들/VV+ㄴ/ETM
열량에	열량/NNG+에/JKB
집착하며	집착/NNG+하/XSV+며/EC
몸무게가	몸무게/NNG+가/JKS
조금이라도	조금/NNG+이/VCP+라도/EC
늘면	늘/VV+면/EC
참담함과	참담/NNG+하/XSA+ㅁ/ETN+과/JC
자기	자기/NNG
혐오에	혐오/NNG+에/JKB
빠진다.	빠지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.9.4
그녀는 "나를 가장 괴롭히는 적은 바로 나 자신"이라며 "스스로 못났다고 느낄때가 괴롭다"고 했다.

그녀는	그녀/NP+는/JX
"나를	"/SS+나/NP+를/JKO
가장	가장/MAG
괴롭히는	괴롭히/VV+는/ETM
적은	적/NNG+은/JX
바로	바로/MAG
나	나/NP
자신"이라며	자신/NNG+"/SS+이/VCP+라며/EC
"스스로	"/SS+스스로/MAG
못났다고	못나/VV+았/EP+다고/EC
느낄때가	느끼/VV+ㄹ/ETM+때/NNG+가/JKS
괴롭다"고	괴롭/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.10.1
한국청소년상담원의 박관성(52) 선임상담원은 "아무리 짙은 메이크업을 하더라도 수두 자국을 덮을 수 없듯이 외적인 아름다움이 정서적 불안을 감출 수는 없다"고 말했다.

한국청소년상담원의	한국청소년상담원/NNP+의/JKG
박관성(52)	박관성/NNP+(/SS+52/SN+)/SS
선임상담원은	선임/NNG+상담원/NNG+은/JX
"아무리	"/SS+아무리/MAG
짙은	짙/VA+은/ETM
메이크업을	메이크업/NNG+을/JKO
하더라도	하/VV+더라도/EC
수두	수두/NNG
자국을	자국/NNG+을/JKO
덮을	덮/VV+을/ETM
수	수/NNB
없듯이	없/VA+듯이/EC
외적인	외/NNG+적/XSN+이/VCP+ㄴ/ETM
아름다움이	아름다움/NNG+이/JKS
정서적	정서/NNG+적/XSN
불안을	불안/NNG+을/JKO
감출	감추/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.10.2
특히 성적이 나빠질수록 외모에 더욱 집착하는 경향을 보인다.

특히	특히/MAG
성적이	성적/NNG+이/JKS
나빠질수록	나빠지/VV+ㄹ수록/EC
외모에	외모/NNG+에/JKB
더욱	더욱/MAG
집착하는	집착/NNG+하/XSV+는/ETM
경향을	경향/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.11.1
박 상담원은 "공부보다 외모 가꾸기가 이목을 끌기 더 쉽고 또래들에게 우월감을 느낄 수 있기 때문"이라고 설명했다.

박	박/NNP
상담원은	상담원/NNG+은/JX
"공부보다	"/SS+공부/NNG+보다/JKB
외모	외모/NNG
가꾸기가	가꾸/VV+기/ETN+가/JKS
이목을	이목/NNG+을/JKO
끌기	끌/VV+기/ETN
더	더/MAG
쉽고	쉽/VA+고/EC
또래들에게	또래/NNG+들/XSN+에게/JKB
우월감을	우월감/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.12.1
◆대화로 외모에 관심을 갖는 이유를 들어야

◆대화로	◆/SW+대화/NNG+로/JKB
외모에	외모/NNG+에/JKB
관심을	관심/NNG+을/JKO
갖는	갖/VV+는/ETM
이유를	이유/NNG+를/JKO
들어야	들/VV+어야/EC


# id : NWRW1800000022.229.13.1
외모에 관심이 많다고 해서 '학생답게' 또는 '학생의 본분에 맞게'라는 말로 막으면 오히려 반발심만 생긴다.

외모에	외모/NNG+에/JKB
관심이	관심/NNG+이/JKS
많다고	많/VA+다고/EC
해서	하/VV+아서/EC
'학생답게'	'/SS+학생/NNG+답/XSA+게/EC+'/SS
또는	또는/MAG
'학생의	'/SS+학생/NNG+의/JKG
본분에	본분/NNG+에/JKB
맞게'라는	맞/VV+게/EC+'/SS+이/VCP+라는/ETM
말로	말/NNG+로/JKB
막으면	막/VV+으면/EC
오히려	오히려/MAG
반발심만	반발심/NNG+만/JX
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.13.2
손석한 박사는 "작은 키(165㎝)가 고민인 고1 남학생에게 '키가 작으니 대신 공부를 열심히 해라'거나 '세상 살다 보면 키 작은 게 더 좋아'라는 식으로 말하면 역효과를 부를 수밖에 없다"고 했다.

손석한	손석한/NNP
박사는	박사/NNG+는/JX
"작은	"/SS+작/VA+은/ETM
키(165㎝)가	키/NNG+(/SS+165/SN+㎝/SW+)/SS+가/JKS
고민인	고민/NNG+이/VCP+ㄴ/ETM
고1	고/NNG+1/SN
남학생에게	남학생/NNG+에게/JKB
'키가	'/SS+키/NNG+가/JKS
작으니	작/VA+으니/EC
대신	대신/NNG
공부를	공부/NNG+를/JKO
열심히	열심히/MAG
해라'거나	하/VV+아라/EF+'/SS+거나/EC
'세상	'/SS+세상/NNG
살다	살/VV+다/EC
보면	보/VX+면/EC
키	키/NNG
작은	작/VA+은/ETM
게	거/NNB+이/JKS
더	더/MAG
좋아'라는	좋/VA+아/EC+'/SS+이/VCP+라는/ETM
식으로	식/NNB+으로/JKB
말하면	말/NNG+하/XSV+면/EC
역효과를	역효과/NNG+를/JKO
부를	부르/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.13.3
대신 "키 작은 것이 약점이더라도 그것이 자신을 설명하는 전부가 아니라는 점을 강조해야 한다"고 덧붙였다.

대신	대신/NNG
"키	"/SS+키/NNG
작은	작/VA+은/ETM
것이	것/NNB+이/JKS
약점이더라도	약점/NNG+이/VCP+더라도/EC
그것이	그것/NP+이/JKS
자신을	자신/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
전부가	전부/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
점을	점/NNG+을/JKO
강조해야	강조/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.229.13.4
스스로 '미운 오리새끼'라 혐오하지 말고 나중에 '백조'로 자라기 위해 내면을 발전시키도록 설득하는 것이 중요하다는 얘기다.

스스로	스스로/MAG
'미운	'/SS+밉/VA+ㄴ/ETM
오리새끼'라	오리/NNG+새끼/NNG+'/SS+라/JKQ
혐오하지	혐오/NNG+하/XSV+지/EC
말고	말/VX+고/EC
나중에	나중/NNG+에/JKB
'백조'로	'/SS+백조/NNG+'/SS+로/JKB
자라기	자라/VV+기/ETN
위해	위하/VV+아/EC
내면을	내면/NNG+을/JKO
발전시키도록	발전/NNG+시키/XSV+도록/EC
설득하는	설득/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.229.14.1
또 억지로 외모에 신경 쓰지 못하도록 강요하는 것도 바람직하지 않다.

또	또/MAG
억지로	억지로/MAG
외모에	외모/NNG+에/JKB
신경	신경/NNG
쓰지	쓰/VV+지/EC
못하도록	못하/VX+도록/EC
강요하는	강요/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
바람직하지	바람직하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000022.229.14.2
무엇이든 강제로 못하게 하면 더 하고 싶어지는 법이다.

무엇이든	무엇/NP+이/VCP+든/EC
강제로	강제/NNG+로/JKB
못하게	못/MAG+하/VV+게/EC
하면	하/VX+면/EC
더	더/MAG
하고	하/VV+고/EC
싶어지는	싶/VX+어/EC+지/VX+는/ETM
법이다.	법/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.229.14.3
박관성 선임상담원은 "자녀가 부모와의 약속을 무조건 지킬 것이라고 기대하는 것은 금물"이라며 "부모도 참는 인내심을 보여줘야 한다"고 충고했다.

박관성	박관성/NNP
선임상담원은	선임/NNG+상담원/NNG+은/JX
"자녀가	"/SS+자녀/NNG+가/JKS
부모와의	부모/NNG+와/JKB+의/JKG
약속을	약속/NNG+을/JKO
무조건	무/XPN+조건/NNG
지킬	지키/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
기대하는	기대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
금물"이라며	금물/NNG+"/SS+이/VCP+라며/EC
"부모도	"/SS+부모/NNG+도/JX
참는	참/VV+는/ETM
인내심을	인내심/NNG+을/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
충고했다.	충고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.15.1
외모에 관련된 부모들의 잘못된 상식도 고쳐야 한다.

외모에	외모/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
부모들의	부모/NNG+들/XSN+의/JKG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
상식도	상식/NNG+도/JX
고쳐야	고치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.229.15.2
많은 부모가 '학생은 학생다운 머리와 복장을 해야 공부를 잘한다'고 믿는다.

많은	많/VA+은/ETM
부모가	부모/NNG+가/JKS
'학생은	'/SS+학생/NNG+은/JX
학생다운	학생/NNG+답/XSA+ㄴ/ETM
머리와	머리/NNG+와/JC
복장을	복장/NNG+을/JKO
해야	하/VV+아야/EC
공부를	공부/NNG+를/JKO
잘한다'고	잘/MAG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000022.229.15.3
또 '멋을 못 부리게 막으면 꾸밀 생각을 안 할 것'이라고 생각하는 부모도 많다.

또	또/MAG
'멋을	'/SS+멋/NNG+을/JKO
못	못/MAG
부리게	부리/VV+게/EC
막으면	막/VV+으면/EC
꾸밀	꾸미/VV+ㄹ/ETM
생각을	생각/NNG+을/JKO
안	안/MAG
할	하/VV+ㄹ/ETM
것'이라고	것/NNB+'/SS+이라고/JKQ
생각하는	생각/NNG+하/XSV+는/ETM
부모도	부모/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.229.15.4
그러나 이는 잘못된 상식이다.

그러나	그러나/MAJ
이는	이/NP+는/JX
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
상식이다.	상식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.229.15.5
청소년시기에 외모에 관심을 가지는 것은 자연스러운 일이고, 외모를 꾸민다고 해서 반드시 공부를 못하는 것은 아니라는 점을 명심해야 한다.

청소년시기에	청소년/NNG+시기/NNG+에/JKB
외모에	외모/NNG+에/JKB
관심을	관심/NNG+을/JKO
가지는	가지/VV+는/ETM
것은	것/NNB+은/JX
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
일이고,	일/NNG+이/VCP+고/EC+,/SP
외모를	외모/NNG+를/JKO
꾸민다고	꾸미/VV+ㄴ다고/EC
해서	하/VV+아서/EC
반드시	반드시/MAG
공부를	공부/NNG+를/JKO
못하는	못/MAG+하/XSV+는/ETM
아니라는	아니/VCN+라는/ETM
점을	점/NNG+을/JKO
명심해야	명심/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.229.15.6
서울 정화여중 이용미 진로상담부장은 "지나치지만 않다면 청소년들이 외모에 관심을 두는 것에 제약을 둘 필요는 없다"며 "단, 교복이나 두발 문제에서 학교와 학생들이 함께 만든 교칙 기준은 서로 합의한 최소한의 학교생활 기준이므로 따르는 것이 필요하다"고 말했다.

서울	서울/NNP
정화여중	정화여중/NNP
이용미	이용미/NNP
진로상담부장은	진로/NNG+상담부장/NNG+은/JX
"지나치지만	"/SS+지나치/VA+지/EC+만/JX
않다면	않/VX+다면/EC
청소년들이	청소년/NNG+들/XSN+이/JKS
외모에	외모/NNG+에/JKB
관심을	관심/NNG+을/JKO
두는	두/VV+는/ETM
것에	것/NNB+에/JKB
제약을	제약/NNG+을/JKO
둘	두/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"단,	"/SS+단/MAJ+,/SP
교복이나	교복/NNG+이나/JC
두발	두발/NNG
문제에서	문제/NNG+에서/JKB
학교와	학교/NNG+와/JC
학생들이	학생/NNG+들/XSN+이/JKS
함께	함께/MAG
만든	만들/VV+ㄴ/ETM
교칙	교칙/NNG
기준은	기준/NNG+은/JX
서로	서로/MAG
합의한	합의/NNG+하/XSV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
학교생활	학교생활/NNG
기준이므로	기준/NNG+이/VCP+므로/EC
따르는	따르/VV+는/ETM
것이	것/NNB+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


